Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+WBI/EB,475,35,0
Absol (Mega) PC+BrS/Mh,938,40,135
Aerodactyl DB+RS/EP,727,27,70
Aerodactyl (Mega) DB+RS/EP,652,43,47
Aerodactyl (Shadow) DB+RS/EP,922,19,130
Aggron DT+T/RT,743,9,75
Aggron (Mega) DT+RT/T,407,12,0
Aggron (Shadow) DT+T/RT,688,1,58
Alakazam PC+FiP/SB,470,6,0
Alakazam (Mega) PC+SB/FiP,403,11,0
Alakazam (Shadow) PC+FiP/SB,730,56,71
Altaria (Mega) DB+M/SA,918,19,129
Ampharos VS+BrS/TP,639,35,43
Ampharos (Mega) VS+TP/DgP,574,19,23
Ampharos (Shadow) VS+BrS/TP,571,27,22
Annihilape C+RF/IP,694,64,60
Annihilape (Shadow) C+RF/IP,655,56,48
Arboliva ML+EP/EB,568,35,21
Arcanine Sn+WC/Cr,642,1,44
Arcanine (Hisuian) Sn+WC/RS,659,1,49
Arcanine (Shadow) Sn+WC/Cr,600,1,31
Archeops WA+AP/Cr,801,19,93
Archeops (Shadow) WA+AP/Cr,801,11,93
Armaldo FC+RB/CP,577,27,24
Armaldo (Shadow) FC+RB/CP,574,19,23
Armarouge I+Psh/HW,300,35,0
Articuno PS+IW/Hu,525,1,8
Articuno (Galarian) PC+AP/BrB,413,27,0
Articuno (Shadow) PS+IW/Hu,381,27,0
Audino (Mega) ZH+BS/DV,879,6,117
Aurorus PS+WBI/Tb,503,51,1
Aurorus (Shadow) PS+WBI/MeB,376,14,0
Avalugg IF+Av/BS,394,43,0
Avalugg (Hisuian) PS+RS/IW,389,51,0
Azelf Cf+Sw/FS,698,19,61
Banette (Mega) SC+SB/DG,603,64,32
Barbaracle FC+CrC/SE,597,35,30
Baxcalibur DB+Av/GlR,753,19,78
Beartic PS+IP/Li,613,35,35
Beedrill (Mega) PSt+DR/XS,426,27,0
Bellibolt SkP+D/PbC,623,43,38
Bewear SC+SP/Pbk,792,56,90
Bewear (Shadow) SC+SP/St,788,48,89
Bisharp Sn+DP/XS,685,27,57
Blacephalon I+MdB/SB,400,14,0
Blastoise RO+HC/IB,711,43,65
Blastoise (Mega) RO+HC/IB,458,43,0
Blastoise (Shadow) RO+HC/IB,678,27,55
Blaziken (Mega) E+BB/AuS,380,11,0
Blissey ZH+WC/DG,759,46,80
Bouffalant MS+St/Mh,577,43,24
Braviary AS+CC/BrB,788,19,89
Braviary (Hisuian) AS+BrB/Fl,769,35,83
Buzzwole C+SP/Lu,889,64,120
Carracosta WG+BS/Li,668,35,52
Carracosta (Shadow) WG+BS/Li,633,27,41
Celebi Cf+AuS/LfS,412,38,0
Celesteela AS+BS/Bd,639,6,43
Centiskorch E+HW/Lu,281,35,0
Ceruledge I+SB/HW,246,14,0
Cetitan PS+Av/ISp,404,35,0
Chandelure I+SB/EB,313,14,0
Chandelure (Shadow) I+SB/EB,369,14,0
Charizard DB+BB/AC,395,46,0
Charizard (Mega X) DB+BB/AC,413,27,0
Charizard (Mega Y) DB+BB/AC,190,6,0
Charizard (Shadow) DB+BB/DC,555,51,17
Chesnaught LK+FP/SP,850,19,108
Chesnaught (Shadow) LK+FP/SP,931,11,133
Cinderace FS+Ft/FmC,351,30,0
Coalossal FS+RS/FmC,633,1,41
Cobalion DK+SSw/SE,707,1,64
Conkeldurr FPm+DyP/BrS,899,56,123
Conkeldurr (Shadow) FPm+DyP/BrS,899,48,123
Corviknight SdA+AC/Pbk,707,6,64
Corviknight (Shadow) SdA+IH/AC,366,46,0
Crabominable B+IP/BkB,899,48,123
Cresselia PC+GK/M,620,1,37
Cresselia (Shadow) PC+GK/M,568,1,21
Crobat AS+AC/SB,334,35,0
Crobat (Shadow) AS+AC/SB,401,35,0
Cryogonal IS+TAx/NS,633,51,41
Cursola A+NSh/PG,500,27,0
Darkrai Sn+DP/FB,883,11,118
Darkrai (Shadow) Sn+SB/DP,899,48,123
Darmanitan (Galarian) IF+Av/SP,659,27,49
Darmanitan (Standard) I+RS/Ov,310,14,0
Darmanitan (Standard) (Shadow) I+RS/Ov,367,14,0
Decidueye A+FP/SSh,431,19,0
Decidueye (Hisuian) PC+AuS/TBl,779,11,86
Delphox FS+Psh/BB,295,27,0
Delphox (Shadow) FS+Psh/BB,332,22,0
Deoxys (Defense) C+PB/RS,782,51,87
Deoxys (Speed) CB+Sw/PB,775,27,85
Dhelmise SC+SB/BrS,394,11,0
Dialga DB+IH/T,336,19,0
Dialga (Origin) DB+ROT/IH,323,19,0
Dialga (Shadow) DB+IH/DM,399,19,0
Diancie RTh+RS/M,685,43,57
Diancie (Mega) RTh+RS/M,542,35,13
Dondozo W+Li/O,607,6,33
Donphan MSl+BS/TBl,535,43,11
Donphan (Shadow) MSl+BS/TBl,542,27,13
Dragapult DT+SB/O,905,11,125
Dragonite DB+TP/SP,701,19,62
Dragonite (Mega) DB+TP/SP,642,35,44
Dragonite (Shadow) DB+TP/SP,866,11,113
Drampa DB+Sw/Fl,941,48,136
Druddigon DT+NS/RT,928,11,132
Dudunsparce RO+BS/DR,639,43,43
Duraludon DT+DC/FC,909,27,126
Electivire TS+WC/IP,564,27,20
Electivire (Shadow) TS+WC/IP,487,11,0
Emboar E+BB/RS,652,35,47
Emboar (Shadow) E+BB/RS,672,64,53
Empoleon MC+HC/DrlP,337,43,0
Empoleon (Shadow) MSo+HC/DrlP,272,14,0
Enamorus (Incarnate) FW+Fl/DG,581,27,25
Enamorus (Therian) FW+Fl/M,509,35,3
Entei FS+FmC/ScS,269,35,0
Entei (Shadow) FS+FmC/ScS,320,35,0
Escavalier BBi+DR/Mh,289,22,0
Escavalier (Shadow) BBi+DR/Mh,366,27,0
Espeon Cf+SB/PsF,711,27,65
Eternatus DT+DyC/Ft,623,6,38
Excadrill MSl+DR/RS,360,38,0
Excadrill (Shadow) MSl+DR/RS,337,19,0
Exeggutor Cf+SeB/P,698,35,61
Exeggutor (Alolan) DT+SeB/DM,928,11,132
Exeggutor (Alolan) (Shadow) DT+SeB/DM,931,48,133
Exeggutor (Shadow) Cf+SeB/P,834,19,103
Falinks (Mega) C+SP/Mh,889,64,120
Feraligatr SC+HC/IB,463,35,0
Feraligatr (Shadow) SC+HC/IB,429,19,0
Flareon E+SP/HW,372,30,0
Florges FW+M/CW,571,51,22
Gallade PC+CC/LB,756,56,79
Gallade (Mega) LK+CC/LB,691,64,59
Gallade (Shadow) LK+CC/LB,944,48,137
Garchomp DT+Tw/EP,892,19,121
Garchomp (Mega) DT+EP/Tw,561,27,19
Garchomp (Shadow) DT+Tw/EP,905,11,125
Gardevoir Ch+SB/TAx,672,35,53
Gardevoir (Mega) Ch+TAx/SB,500,43,0
Gardevoir (Shadow) Ch+SB/TAx,675,19,54
Garganacl MS+RT/RB,581,4,25
Genesect FC+MgB/TBN,256,14,0
Genesect (Burn) FC+MgB/TBB,256,14,0
Genesect (Chill) FC+MgB/TBC,256,14,0
Genesect (Douse) FC+MgB/TBD,256,14,0
Genesect (Shock) FC+MgB/TBS,256,14,0
Gengar (Mega) SC+ShP/SB,214,3,0
Gholdengo H+SB/FB,230,19,0
Gigalith LO+SP/MeB,590,43,28
Gigalith (Shadow) LO+MeB/SP,532,35,10
Giratina (Altered) DB+DC/AP,785,43,88
