Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+WBI/EB,72,40,0
Absol (Mega) PC+BrS/Mh,606,0,38
Aerodactyl DB+RS/EP,578,0,28
Aerodactyl (Mega) DB+RS/EP,328,15,0
Aerodactyl (Shadow) DB+RS/EP,738,15,85
Aggron DT+T/RT,859,0,128
Aggron (Mega) DT+RT/T,254,30,0
Aggron (Shadow) DT+T/RT,845,10,123
Alakazam PC+FiP/SB,536,0,13
Alakazam (Mega) PC+SB/FiP,100,40,0
Alakazam (Shadow) PC+FiP/SB,151,40,0
Altaria (Mega) DB+M/SA,716,0,77
Ampharos VS+BrS/TP,595,0,34
Ampharos (Mega) VS+TP/DgP,336,20,0
Ampharos (Shadow) VS+BrS/TP,511,0,4
Annihilape C+RF/IP,258,10,0
Annihilape (Shadow) C+RF/IP,295,0,0
Arboliva ML+EP/EB,662,0,58
Arcanine Sn+WC/Cr,637,0,49
Arcanine (Hisuian) Sn+WC/RS,898,0,142
Arcanine (Shadow) Sn+WC/Cr,567,0,24
Archeops WA+AP/Cr,603,0,37
Archeops (Shadow) WA+AP/Cr,856,0,127
Armaldo FC+RB/CP,581,0,29
Armaldo (Shadow) FC+RB/CP,634,0,48
Armarouge I+Psh/HW,626,0,45
Articuno PS+TAx/Hu,629,0,46
Articuno (Galarian) PC+AP/BrB,665,0,59
Articuno (Shadow) PS+TAx/Hu,727,0,81
Audino (Mega) ZH+BS/DV,842,0,122
Aurorus PS+WBI/Tb,679,0,64
Aurorus (Shadow) PS+WBI/MeB,817,10,113
Avalugg IF+Av/BS,727,0,81
Avalugg (Hisuian) PS+RS/IW,592,0,33
Azelf Cf+Sw/FS,558,0,21
Banette (Mega) SC+SB/DG,693,0,69
Barbaracle FC+CrC/SE,478,40,0
Baxcalibur DB+Av/DC,761,0,93
Beartic PS+IP/Li,617,0,42
Beedrill (Mega) PSt+DR/XS,318,15,0
Bellibolt SkP+D/PbC,794,0,105
Bewear SC+SP/Pbk,508,0,3
Bewear (Shadow) SC+SP/St,500,0,0
Bisharp Sn+DP/XS,735,10,84
Blacephalon I+MdB/SB,744,0,87
Blastoise RO+HC/IB,592,0,33
Blastoise (Mega) RO+HC/IB,382,5,0
Blastoise (Shadow) RO+HC/IB,514,0,5
Blaziken (Mega) E+BB/AuS,113,35,0
Blissey ZH+WC/DG,828,20,117
Bouffalant MS+St/Mh,873,10,133
Braviary AS+CC/BrB,839,20,121
Braviary (Hisuian) AS+BrB/Fl,862,0,129
Buzzwole C+SP/Lu,404,0,0
Carracosta WG+BS/Li,478,80,0
Carracosta (Shadow) WG+BS/Li,643,0,51
Celebi Cf+AuS/LfS,385,0,0
Celesteela AS+BS/Bd,646,0,52
Centiskorch E+HW/Lu,721,0,79
Ceruledge I+SB/HW,800,0,107
Cetitan PS+Av/ISp,550,0,18
Chandelure I+SB/EB,772,0,97
Chandelure (Shadow) I+SB/EB,730,0,82
Charizard DB+BB/AC,710,0,75
Charizard (Mega X) DB+BB/AC,363,15,0
Charizard (Mega Y) DB+BB/AC,258,10,0
Charizard (Shadow) DB+BB/DC,716,0,77
Chesnaught LK+FP/SP,309,65,0
Chesnaught (Shadow) LK+FP/SP,323,20,0
Cinderace FS+Ft/FmC,676,0,63
Coalossal FS+RS/FmC,884,0,137
Cobalion DK+SSw/SE,178,10,0
Conkeldurr FPm+DyP/BrS,288,5,0
Conkeldurr (Shadow) FPm+DyP/BrS,302,10,0
Corviknight SdA+AC/Pbk,519,0,7
Crabominable B+IP/BkB,735,0,84
Cresselia PC+GK/M,313,55,0
Cresselia (Shadow) PC+GK/M,522,0,8
Crobat AS+AC/SB,862,0,129
Crobat (Shadow) AS+AC/SB,839,0,121
Cryogonal IS+TAx/NS,651,20,54
Cursola A+NSh/PG,682,0,65
Darkrai Sn+DP/FB,859,0,128
Darkrai (Shadow) Sn+SB/DP,839,0,121
Darmanitan (Galarian) IF+Av/SP,716,0,77
Darmanitan (Standard) I+RS/Ov,772,0,97
Darmanitan (Standard) (Shadow) I+RS/Ov,783,0,101
Decidueye A+FP/SSh,727,0,81
Decidueye (Hisuian) PC+AuS/TBl,252,0,0
Delphox FS+Psh/BB,606,0,38
Delphox (Shadow) FS+Psh/BB,542,0,15
Deoxys (Defense) C+PB/RS,514,0,5
Deoxys (Speed) CB+Sw/PB,750,0,89
Dhelmise SC+SB/BrS,203,10,0
