Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+WBI/EB,104,31,0
Absol (Mega) PC+BrS/Mh,174,23,0
Aerodactyl DB+RS/EP,203,47,0
Aerodactyl (Mega) DB+RS/EP,113,31,0
Aerodactyl (Shadow) DB+RS/EP,168,31,0
Aggron DT+T/RT,143,4,0
Aggron (Mega) DT+RT/T,79,46,0
Aggron (Shadow) DT+T/RT,79,46,0
Alakazam PC+FiP/SB,159,39,0
Alakazam (Mega) PC+SB/FiP,144,31,0
Alakazam (Shadow) PC+FiP/SB,237,39,0
Altaria (Mega) DB+M/SA,60,31,0
Ampharos VS+BrS/TP,115,39,0
Ampharos (Mega) VS+TP/DgP,172,34,0
Ampharos (Shadow) VS+BrS/TP,172,39,0
Annihilape C+RF/IP,113,46,0
Annihilape (Shadow) C+RF/IP,169,46,0
Arboliva ML+EP/EB,294,9,0
Arcanine Sn+WC/Cr,120,43,0
Arcanine (Hisuian) Sn+WC/RS,115,43,0
Arcanine (Shadow) Sn+WC/Cr,180,43,0
Archeops WA+AP/Cr,408,6,0
Archeops (Shadow) WA+AP/Cr,448,6,0
Armaldo FC+RB/CP,326,22,0
Armaldo (Shadow) FC+RB/CP,185,35,0
Armarouge I+Psh/HW,120,39,0
Articuno PS+TAx/Hu,120,43,0
Articuno (Galarian) PC+AP/BrB,244,47,0
Articuno (Shadow) PS+TAx/Hu,110,35,0
Audino (Mega) ZH+BS/DV,219,29,0
Aurorus PS+WBI/Tb,82,31,0
Aurorus (Shadow) PS+WBI/MeB,123,31,0
Avalugg IF+Av/BS,100,31,0
Avalugg (Hisuian) PS+RS/IW,121,47,0
Azelf Cf+Sw/FS,195,39,0
Banette (Mega) SC+SB/DG,155,15,0
Barbaracle FC+CrC/SE,146,47,0
Baxcalibur DB+Av/DC,168,23,0
Beartic PS+IP/Li,164,39,0
Beedrill (Mega) PSt+DR/XS,194,31,0
Bellibolt SkP+D/PbC,114,46,0
Bewear SC+SP/Pbk,209,1,0
Bewear (Shadow) SC+SP/St,294,34,0
Bisharp Sn+DP/XS,151,38,0
Blacephalon I+MdB/SB,588,1,28
Blastoise RO+HC/IB,144,46,0
Blastoise (Mega) RO+HC/IB,132,38,0
Blastoise (Shadow) RO+HC/IB,238,6,0
Blaziken (Mega) E+BB/AuS,125,39,0
Blissey ZH+WC/DG,234,46,0
Bouffalant MS+St/Mh,306,40,0
Braviary AS+CC/BrB,430,46,0
Braviary (Hisuian) AS+BrB/Fl,355,30,0
Buzzwole C+SP/Lu,368,2,0
Carracosta WG+BS/Li,349,41,0
Carracosta (Shadow) WG+BS/Li,352,25,0
Celebi Cf+AuS/LfS,121,46,0
Celesteela AS+BS/Bd,211,18,0
Centiskorch E+HW/Lu,358,34,0
Ceruledge I+SB/HW,289,6,0
Cetitan PS+Av/ISp,105,39,0
Chandelure I+SB/EB,341,6,0
Chandelure (Shadow) I+SB/EB,461,6,0
Charizard DB+BB/AC,116,31,0
Charizard (Mega X) DB+BB/AC,154,23,0
Charizard (Mega Y) DB+BB/AC,104,23,0
Charizard (Shadow) DB+BB/DC,172,31,0
Chesnaught LK+FP/SP,309,40,0
Chesnaught (Shadow) LK+FP/SP,296,12,0
Cinderace FS+Ft/FmC,331,30,0
Coalossal FS+RS/FmC,369,1,0
Cobalion DK+SSw/SE,148,20,0
Conkeldurr FPm+DyP/BrS,161,38,0
Conkeldurr (Shadow) FPm+DyP/BrS,161,38,0
Corviknight SdA+AC/Pbk,196,6,0
Crabominable B+IP/BkB,285,6,0
Cresselia PC+GK/M,190,4,0
Cresselia (Shadow) PC+GK/M,205,4,0
Crobat AS+AC/SB,292,18,0
Crobat (Shadow) AS+AC/SB,370,6,0
Cryogonal IS+TAx/NS,130,43,0
Cursola A+NSh/PG,95,2,0
Darkrai Sn+DP/FB,245,6,0
Darkrai (Shadow) Sn+SB/DP,264,6,0
Darmanitan (Galarian) IF+Av/SP,88,3,0
Darmanitan (Standard) I+RS/Ov,350,6,0
Darmanitan (Standard) (Shadow) I+RS/Ov,444,6,0
Decidueye A+FP/SSh,104,23,0
Decidueye (Hisuian) PC+AuS/TBl,307,24,0
Delphox FS+Psh/BB,289,6,0
Delphox (Shadow) FS+Psh/BB,393,6,0
Deoxys (Defense) C+PB/RS,594,3,30
Deoxys (Speed) CB+Sw/PB,401,25,0
Dhelmise SC+SB/BrS,124,31,0
Dialga DB+IH/T,95,18,0
Dialga (Origin) DB+ROT/IH,95,18,0
Dialga (Shadow) DB+IH/DM,78,6,0
Diancie RTh+RS/M,192,22,0
Diancie (Mega) RTh+RS/M,70,23,0
Dondozo W+Li/O,211,32,0
Donphan MSl+BS/TBl,131,46,0
Donphan (Shadow) MSl+BS/TBl,180,38,0
Dragapult DT+SB/O,220,35,0
Dragonite DB+TP/SP,138,23,0
Dragonite (Mega) DB+TP/SP,122,15,0
Dragonite (Shadow) DB+TP/SP,151,6,0
Drampa DB+Sw/Fl,229,31,0
Druddigon DT+NS/RT,230,31,0
Dudunsparce RO+BS/DR,299,17,0
Duraludon DT+DC/FC,130,30,0
Electivire TS+WC/IP,118,31,0
Electivire (Shadow) TS+WC/IP,176,31,0
Emboar E+BB/RS,339,9,0
Emboar (Shadow) E+BB/RS,148,39,0
Empoleon MC+HC/DrlP,137,46,0
Empoleon (Shadow) MSo+HC/DrlP,120,34,0
Enamorus (Incarnate) FW+Fl/DG,67,39,0
Enamorus (Therian) FW+Fl/M,67,39,0
Entei FS+FmC/ScS,251,30,0
Entei (Shadow) FS+FmC/ScS,340,30,0
Escavalier BBi+DR/Mh,270,18,0
Escavalier (Shadow) BBi+DR/Mh,286,18,0
Espeon Cf+SB/PsF,144,39,0
Eternatus DT+DyC/Ft,109,18,0
Excadrill MSl+DR/RS,113,46,0
Excadrill (Shadow) MSl+DR/RS,95,30,0
Exeggutor Cf+SeB/P,280,6,0
Exeggutor (Alolan) DT+SeB/DM,208,35,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,221,23,0
Exeggutor (Shadow) Cf+SeB/P,180,47,0
Falinks (Mega) C+SP/Mh,362,36,0
Feraligatr SC+HC/IB,120,34,0
Feraligatr (Shadow) SC+HC/IB,179,39,0
Flareon E+SP/HW,375,34,0
Florges FW+M/CW,130,6,0
Gallade PC+CC/LB,224,5,0
Gallade (Mega) LK+CC/LB,318,16,0
Gallade (Shadow) LK+CC/LB,461,16,0
Garchomp DT+Tw/EP,143,30,0
Garchomp (Mega) DT+EP/Tw,93,2,0
Garchomp (Shadow) DT+Tw/EP,161,18,0
Gardevoir Ch+SB/TAx,58,23,0
Gardevoir (Mega) Ch+TAx/SB,38,48,0
Gardevoir (Shadow) Ch+SB/TAx,42,3,0
Garganacl MS+RT/RB,251,16,0
Genesect FC+MgB/TBN,148,47,0
Genesect (Burn) FC+MgB/TBB,148,47,0
Genesect (Chill) FC+MgB/TBC,148,47,0
Genesect (Douse) FC+MgB/TBD,148,47,0
Genesect (Shock) FC+MgB/TBS,148,47,0
Gengar (Mega) SC+ShP/SB,109,15,0
Gholdengo H+SB/FB,134,46,0
Gigalith LO+SP/MeB,137,46,0
Gigalith (Shadow) LO+MeB/SP,230,6,0
Giratina (Altered) DB+DC/AP,133,38,0
Giratina (Altered) (Shadow) DB+AP/DC,115,26,0
Giratina (Origin) DT+SB/OW,139,42,0
Glaceon IS+Av/WP,137,35,0
Glalie (Mega) PS+Av/SB,113,31,0
Glimmora RTh+MeB/PG,133,47,0
Gliscor WA+NS/Eq,143,42,0
Gliscor (Shadow) FC+NS/Acr,125,35,0
Gogoat VW+LB/BkB,312,21,0
Golem MSl+Eq/SE,296,12,0
Golem (Alolan) VS+WC/SE,290,13,0
Golem (Alolan) (Shadow) VS+WC/SE,313,13,0
Golem (Shadow) MSl+Eq/SE,203,1,0
Golisopod FC+AJ/XS,310,34,0
Golurk A+ShP/DyP,141,18,0
Golurk (Shadow) A+ShP/DyP,108,2,0
Goodra DB+AT/DM,155,26,0
Gourgeist (Large) H+SB/SeB,137,43,0
Gourgeist (Super) H+SB/SeB,126,38,0
Grimmsnarl SkP+FoP/PR,41,15,0
Groudon DT+FiP/PrB,122,38,0
Groudon (Primal) DT+PrB/FiP,89,18,0
Groudon (Shadow) MS+PrB/FiP,133,46,0
Guzzlord DT+BrS/DC,125,26,0
Gyarados DB+AT/Cr,100,31,0
