Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+WBI/EB,614,6,42
Absol (Mega) PC+BrS/Mh,288,46,0
Aerodactyl DB+RS/EP,725,4,83
Aerodactyl (Mega) DB+RS/EP,162,42,0
Aerodactyl (Shadow) DB+RS/EP,725,4,83
Aggron DT+T/RT,785,4,105
Aggron (Mega) DT+RT/T,755,4,94
Aggron (Shadow) DT+T/RT,798,6,110
Alakazam PC+FiP/SB,804,6,112
Alakazam (Mega) PC+SB/FiP,440,6,0
Alakazam (Shadow) PC+FiP/SB,766,6,98
Altaria (Mega) DB+M/SA,725,4,83
Ampharos VS+BrS/TP,790,24,107
Ampharos (Mega) VS+TP/DgP,766,4,98
Ampharos (Shadow) VS+BrS/TP,880,6,140
Annihilape C+RF/IP,581,4,30
Annihilape (Shadow) C+RF/IP,516,4,6
Arboliva ML+EP/EB,505,2,2
Arcanine Sn+WC/Cr,875,4,138
Arcanine (Hisuian) Sn+WC/RS,896,6,146
Arcanine (Shadow) Sn+WC/Cr,858,15,132
Archeops WA+AP/Cr,733,4,86
Archeops (Shadow) WA+AP/Cr,646,4,54
Armaldo FC+RB/CP,663,4,60
Armaldo (Shadow) FC+RB/CP,611,6,41
Armarouge I+Psh/HW,668,4,62
Articuno PS+IW/Hu,215,24,0
Articuno (Galarian) PC+AP/BrB,427,24,0
Articuno (Shadow) PS+IW/Hu,263,24,0
Audino (Mega) ZH+BS/DV,834,13,123
Aurorus PS+WBI/Tb,242,46,0
Aurorus (Shadow) PS+WBI/MeB,272,46,0
Avalugg IF+Av/BS,365,6,0
Avalugg (Hisuian) PS+RS/IW,603,4,38
Azelf Cf+Sw/FS,554,33,20
Banette (Mega) SC+SB/DG,690,6,70
Barbaracle FC+CrC/SE,633,4,49
Baxcalibur DB+Av/GlR,635,4,50
Beartic PS+IP/Li,614,6,42
Beedrill (Mega) PSt+DR/XS,625,6,46
Bellibolt SkP+D/PbC,733,4,86
