Pokemon,Battle Rating,Energy Remaining,HP Remaining
Kyogre (Primal) W+Av/T,613,0,43
Mewtwo (Mega X) PC+Pst/Tb/DyP+,875,1,142
Mewtwo (Mega Y) PC+Pst/Tb/FS+,846,3,131
Gyarados (Mega) DB+AT/Cr,213,38,0
Rayquaza (Mega) DT+BkS/DrA,285,2,0
Garchomp (Mega) DT+EP/Tw,314,18,0
Dragonite (Mega) DB+TP/SP/O+,337,30,0
Tyranitar (Mega) DB+BrS/SE,206,38,0
Groudon (Primal) DT+PrB/FiP,197,30,0
Metagross (Mega) SC+MM/Eq,418,31,0
Latias (Mega) DB+AuS/MsB,319,38,0
Latios (Mega) DB+AuS/LrP,354,26,0
Heracross (Mega) FC+RT/UH,284,26,0
Salamence (Mega) DT+Fl/BrS,327,30,0
Dialga (Origin) DB+ROT/IH,277,30,0
Swampert (Mega) MS+HC/Eq,783,13,107
Lugia DT+A/Fl,613,0,43
Palkia (Shadow) DB+AT/DM,453,43,0
Palkia (Origin) DB+AT/SpR,441,55,0
Scizor (Mega) FC+NS/TBl,159,26,0
Xerneas Geo+CC/M,100,4,0
Lugia (Shadow) DT+A/Fl,550,0,19
Gengar (Mega) SC+ShP/SB,735,3,89
Zacian (Crowned Sword) MC+CC/BB,361,16,0
Florges FW+M/CW,139,34,0
Zamazenta (Crowned Shield) IF+CC/BB,315,24,0
Dialga (Shadow) DB+IH/DM,304,18,0
Charizard (Mega Y) DB+BB/AC,303,30,0
Kyurem (White) DB+FuF/IBu,357,18,0
Aggron (Mega) DT+RT/T,375,0,0
Gallade (Mega) LK+CC/LB,513,3,5
Zekrom DB+O/FuB,413,30,0
Gyarados (Shadow) DB+AT/Tw,566,3,25
Reshiram DB+FuF/DM,413,30,0
Melmetal TS+DbI/DyP,376,35,0
Marshadow SC+CC/IP,796,11,112
Dialga DB+IH/T,277,30,0
Keldeo (Resolute) LK+SeS/AJ,417,7,0
Kyurem (Black) DT+FSh/FuB,405,30,0
Latios (Shadow) DB+AuS/LrP,491,61,0
Lunala SC+SB/M,809,3,117
Reshiram (Shadow) DB+FuF/Cr,421,43,0
Yveltal SkP+DP/ObW,605,0,40
Tyranitar (Shadow) DB+BrS/SE,353,42,0
Aerodactyl (Mega) DB+RS/EP,523,3,9
Ampharos (Mega) VS+TP/DgP,753,3,96
Gardevoir (Mega) Ch+TAx/SB,61,1,0
Hydreigon (Shadow) DB+BrS/Fl,500,6,0
Kyogre W+Av/T,730,1,87
Palkia DB+AT/FiB,441,55,0
Lucario (Mega) FPm+MM/AuS,165,33,0
Zygarde (Complete Forme) DT+Cr/Eq,498,0,0
Kyurem DB+G/DC,550,3,19
Metagross BP+MM/Eq,544,0,17
Annihilape (Shadow) C+RF/IP,237,0,0
Metagross (Shadow) SC+MM/Eq,809,3,117
Togekiss Pk+DG/AuS,379,5,0
Tyranitar DB+BrS/SE,393,11,0
Necrozma (Dusk Mane) SC+DP/Stl,809,7,117
Kartana FC+LB/NS,298,30,0
Blastoise (Mega) RO+HC/IB,804,7,115
Mewtwo (Shadow) PC+Pst/SB,883,3,145
Urshifu (Single Strike) SkP+DyP/Pbk,716,1,82
Tapu Lele A+Psh/NM,648,0,56
