Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+WBI/EB,845,7,130
Absol (Mega) PC+BrS/Mh,789,100,109
Aerodactyl DB+RS/EP,763,7,99
Aerodactyl (Mega) DB+RS/EP,763,2,99
Aerodactyl (Shadow) DB+RS/EP,763,7,99
Aggron DT+T/RT,827,7,123
Aggron (Mega) DT+RT/T,739,4,90
Aggron (Shadow) DT+T/RT,827,69,123
Alakazam PC+FiP/SB,734,2,88
Alakazam (Mega) PC+SB/FiP,466,2,0
Alakazam (Shadow) PC+FiP/SB,659,2,60
Altaria (Mega) DB+M/SA,420,4,0
Ampharos VS+BrS/TP,451,2,0
Ampharos (Mega) VS+TP/DgP,166,26,0
Ampharos (Shadow) VS+BrS/TP,566,7,25
Annihilape C+RF/IP,304,16,0
Annihilape (Shadow) C+RF/IP,341,16,0
Arboliva ML+EP/EB,635,7,51
Arcanine Sn+WC/Cr,922,7,159
Arcanine (Hisuian) Sn+WC/RS,922,7,159
Arcanine (Shadow) Sn+WC/Cr,922,7,159
Archeops WA+AP/Cr,622,7,46
Archeops (Shadow) WA+AP/Cr,390,42,0
Armaldo FC+RB/CP,744,7,92
Armaldo (Shadow) FC+RB/CP,651,7,57
Armarouge I+Psh/HW,835,2,126
Articuno PS+IW/Hu,419,4,0
Articuno (Galarian) PC+AP/BrB,282,18,0
Articuno (Shadow) PS+IW/Hu,696,12,74
Audino (Mega) ZH+BS/DV,771,4,102
Aurorus PS+WBI/Tb,890,100,147
Aurorus (Shadow) PS+WBI/MeB,877,100,142
Avalugg IF+Av/BS,845,7,130
Avalugg (Hisuian) PS+RS/IW,845,7,130
Azelf Cf+Sw/FS,189,26,0
Banette (Mega) SC+SB/DG,479,24,0
Barbaracle FC+CrC/SE,747,7,93
Baxcalibur DB+Av/GlR,686,7,70
Beartic PS+IP/Li,845,7,130
Beedrill (Mega) PSt+DR/XS,569,24,26
Bellibolt SkP+D/PbC,627,4,48
Bewear SC+SP/Pbk,819,7,120
Bewear (Shadow) SC+SP/St,771,7,102
Bisharp Sn+DP/XS,949,80,169
Blacephalon I+MdB/SB,781,2,106
Blastoise RO+HC/IB,803,4,114
Blastoise (Mega) RO+HC/IB,726,4,85
Blastoise (Shadow) RO+HC/IB,888,15,146
Blaziken (Mega) E+BB/AuS,569,2,26
Blissey ZH+WC/DG,789,4,109
Bouffalant MS+St/Mh,920,7,158
Braviary AS+CC/BrB,587,23,33
Braviary (Hisuian) AS+BrB/Fl,547,7,18
Buzzwole C+SP/Lu,399,20,0
Carracosta WG+BS/Li,840,7,128
Carracosta (Shadow) WG+BS/Li,840,7,128
Celebi Cf+AuS/LfS,213,7,0
Celesteela AS+BS/Bd,461,39,0
Centiskorch E+HW/Lu,744,5,92
Ceruledge I+SB/HW,803,10,114
Cetitan PS+Av/ISp,845,7,130
Chandelure I+SB/EB,808,2,116
Chandelure (Shadow) I+SB/EB,768,2,101
Charizard DB+BB/AC,598,2,37
Charizard (Mega X) DB+BB/AC,425,10,0
Charizard (Mega Y) DB+BB/AC,130,32,0
Charizard (Shadow) DB+BB/DC,763,2,99
Chesnaught LK+FP/SP,410,23,0
Chesnaught (Shadow) LK+FP/SP,491,23,0
Cinderace FS+Ft/FmC,789,7,109
Coalossal FS+RS/FmC,789,7,109
Cobalion DK+SSw/SE,702,7,76
Conkeldurr FPm+DyP/BrS,539,31,15
Conkeldurr (Shadow) FPm+DyP/BrS,611,7,42
Corviknight SdA+AC/Pbk,510,4,4
Corviknight (Shadow) AS+AC/SA,675,23,66
Crabominable B+IP/BkB,765,7,100
Cresselia PC+GK/M,248,32,0
Cresselia (Shadow) PC+GK/M,259,16,0
Crobat AS+AC/SB,376,24,0
Crobat (Shadow) AS+AC/SB,421,24,0
Cryogonal IS+TAx/NS,792,7,110
Cursola A+NSh/PG,510,0,4
Darkrai Sn+DP/FB,898,7,150
Darkrai (Shadow) Sn+SB/DP,875,7,141
Darmanitan (Galarian) IF+Av/SP,773,100,103
Darmanitan (Standard) I+RS/Ov,808,7,116
Darmanitan (Standard) (Shadow) I+RS/Ov,781,7,106
Decidueye A+FP/SSh,321,32,0
Decidueye (Hisuian) PC+AuS/TBl,451,7,0
Delphox FS+Psh/BB,827,2,123
Delphox (Shadow) FS+Psh/BB,803,2,114
Deoxys (Defense) C+PB/RS,718,5,82
Deoxys (Speed) CB+Sw/PB,381,39,0
Dhelmise SC+SB/BrS,315,13,0
Dialga DB+IH/T,686,7,70
Dialga (Origin) DB+ROT/IH,686,7,70
Dialga (Shadow) DB+IH/DM,686,7,70
Diancie RTh+RS/M,837,2,127
Diancie (Mega) RTh+RS/M,702,7,76
Dondozo W+Li/O,821,20,121
Donphan MSl+BS/TBl,755,2,96
Donphan (Shadow) MSl+BS/TBl,683,7,69
Dragapult DT+SB/O,298,32,0
Dragonite DB+TP/SP,284,10,0
Dragonite (Mega) DB+TP/SP,218,10,0
Dragonite (Shadow) DB+TP/SP,305,10,0
Drampa DB+Sw/Fl,635,7,51
Druddigon DT+NS/RT,742,7,91
Dudunsparce RO+BS/DR,803,7,114
Duraludon DT+DC/FC,779,7,105
Electivire TS+WC/IP,734,7,88
Electivire (Shadow) TS+WC/IP,696,7,74
Emboar E+BB/RS,882,7,144
Emboar (Shadow) E+BB/RS,882,7,144
Empoleon MC+HC/DrlP,882,7,144
Empoleon (Shadow) MSo+HC/DrlP,845,7,130
Enamorus (Incarnate) FW+Fl/DG,144,40,0
Enamorus (Therian) FW+Fl/M,312,0,0
Entei FS+FmC/ScS,808,18,116
Entei (Shadow) FS+FmC/ScS,763,2,99
Escavalier BBi+DR/Mh,771,7,102
Escavalier (Shadow) BBi+DR/Mh,771,7,102
Espeon Cf+SB/PsF,167,26,0
Eternatus DT+DyC/Ft,253,39,0
Excadrill MSl+DR/RS,707,7,78
Excadrill (Shadow) MSl+DR/RS,659,100,60
Exeggutor Cf+SeB/P,185,42,0
Exeggutor (Alolan) DT+SeB/DM,755,15,96
Exeggutor (Alolan) (Shadow) DT+SeB/DM,755,7,96
Exeggutor (Shadow) Cf+SeB/P,159,26,0
Falinks (Mega) C+SP/Mh,542,31,16
Feraligatr SC+HC/IB,656,31,59
Feraligatr (Shadow) SC+HC/IB,808,7,116
Flareon E+SP/HW,882,7,144
Florges FW+M/CW,250,8,0
Gallade PC+CC/LB,422,2,0
Gallade (Mega) LK+CC/LB,142,42,0
Gallade (Shadow) LK+CC/LB,467,2,0
Garchomp DT+Tw/EP,387,15,0
Garchomp (Mega) DT+EP/Tw,319,2,0
Garchomp (Shadow) DT+Tw/EP,438,2,0
Gardevoir Ch+SB/TAx,97,32,0
Gardevoir (Mega) Ch+TAx/SB,71,0,0
