Pokemon,Battle Rating,Energy Remaining,HP Remaining
Kyogre (Primal) W+Av/T,489,0,0
Mewtwo (Mega Y) PC+Pst/Tb/FS+,240,24,0
Mewtwo (Mega X) PC+Pst/Tb/DyP+,259,32,0
Gyarados (Mega) DB+AT/Cr,317,30,0
Dragonite (Mega) DB+TP/SP/O+,428,8,0
Rayquaza (Mega) DT+BkS/DrA,465,0,0
Garchomp (Mega) DT+EP/Tw,427,0,0
Tyranitar (Mega) DB+BrS/SE,201,12,0
Groudon (Primal) DT+PrB/FiP,220,16,0
Metagross (Mega) SC+MM/Eq,162,20,0
Chesnaught (Mega) LK+TP/SP/SeB+,330,36,0
Latios (Mega) DB+AuS/LrP,116,40,0
Latias (Mega) DB+AuS/MsB,334,12,0
Delphox (Mega) Scr+BB/Psh/MFP,322,6,0
Heracross (Mega) FC+RT/UH,247,4,0
Salamence (Mega) DT+Fl/BrS,550,36,22
Dialga (Origin) DB+ROT/IH,260,20,0
Swampert (Mega) MS+HC/Eq,477,2,0
Aggron (Mega) MSo+BkB/MeB,187,32,0
Palkia (Shadow) DB+AT/DM,761,2,114
Palkia (Origin) DB+AT/SpR,791,2,127
Scizor (Mega) FC+NS/TBl,388,18,0
Dialga DB+IH/DM,271,20,0
Xerneas Geo+CC/M,232,40,0
Gallade (Mega) LK+SSw/LB,279,8,0
Zygarde (Complete Forme) DT+Cr/Bd,711,0,92
Charizard (Mega Y) DB+BB/AC,312,28,0
Dialga (Shadow) DB+IH/DM,307,8,0
Keldeo (Resolute) LK+SeS/AJ,337,14,0
Melmetal TS+DbI/DyP,149,24,0
Ursaluna (Shadow) Scr+TP/HH,575,0,33
Lugia DT+A/EP,511,0,5
Gengar (Mega) SC+ShP/SB,394,32,0
Kyurem (White) DB+FuF/IBu,463,6,0
Zacian (Crowned Sword) MC+CC/BB,124,12,0
Metagross SC+MM/Eq,313,8,0
Zekrom DB+O/FuB,649,6,65
Ursaluna Scr+TP/HH,637,0,60
Necrozma (Dusk Mane) SC+DP/Stl,186,28,0
Florges FW+M/CW,354,12,0
Gyarados (Shadow) DB+AT/Tw,384,36,0
Zamazenta (Crowned Shield) IF+CC/BB,312,36,0
Reshiram DB+FuF/DM,552,6,23
Keldeo (Ordinary) LK+AJ/SSw,353,22,0
Marshadow SC+CC/IP,306,32,0
Reshiram (Shadow) DB+FuF/DM,421,20,0
Tyranitar (Shadow) DB+BrS/SE,296,12,0
Lugia (Shadow) DT+A/EP,534,8,15
Aerodactyl (Mega) DB+BrS/RS,401,28,0
Yveltal SkP+DP/ObW,639,0,61
Hydreigon (Shadow) DB+BrS/Fl,596,12,42
Kingambit LK+FoP/IH,293,12,0
Latios (Shadow) DB+AuS/LrP,174,40,0
Ampharos (Mega) VS+TP/DgP,805,6,133
Kyurem (Black) DT+FSh/FuB,451,2,0
Kyogre W+Av/OP,626,0,55
Kyurem DB+G/DC,500,2,0
Palkia DB+AT/FiB,821,2,140
Tyranitar DB+BrS/SE,281,2,0
Greninja (Mega) WSh+HC/BrS/S+,577,30,34
Lunala SC+SB/M,416,20,0
Necrozma (Dawn Wings) SC+DP/MoG,336,18,0
Blastoise (Mega) RO+HC/IB,485,2,0
Garchomp (Shadow) DT+Tw/EP,855,0,155
Gardevoir (Mega) Ch+TAx/SB,230,40,0
Rillaboom Scr+DrB/EP,713,0,93
Starmie (Mega) Psy+IB/PG/Li+,437,30,0
Hydreigon DB+BrS/Fl,690,2,83
Urshifu (Single Strike) SkP+DyP/Pbk,358,40,0
Eternatus DT+DyC/Ft,379,28,0
Metagross (Shadow) SC+MM/Eq,168,0,0
Zarude Bi+DP/EB,724,0,98
Kartana FC+LB/SSw,383,32,0
Lucario (Mega) FPm+MM/AuS,235,4,0
