Pokemon,Battle Rating,Energy Remaining,HP Remaining
Kyogre (Primal) W+Av/T,210,0,0
Mewtwo (Mega Y) PC+Pst/Tb/FS+,75,45,0
Mewtwo (Mega X) PC+Pst/Tb/DyP+,99,45,0
Gyarados (Mega) DB+AT/Cr,244,27,0
Dragonite (Mega) DB+TP/SP/O+,121,8,0
Rayquaza (Mega) DT+BkS/DrA,51,53,0
Garchomp (Mega) DT+EP/Tw,286,45,0
Tyranitar (Mega) DB+BrS/SE,328,27,0
Groudon (Primal) DT+PrB/FiP,402,45,0
Metagross (Mega) SC+MM/Eq,521,0,8
Chesnaught (Mega) LK+TP/SP/SeB+,352,0,0
Latios (Mega) DB+AuS/LrP,334,8,0
Latias (Mega) DB+AuS/MsB,241,18,0
Delphox (Mega) Scr+BB/Psh/MFP,439,9,0
Heracross (Mega) FC+RT/UH,334,25,0
Salamence (Mega) DT+Fl/BrS,54,35,0
Dialga (Origin) DB+ROT/IH,451,36,0
Swampert (Mega) MS+HC/Eq,296,36,0
Aggron (Mega) MSo+BkB/MeB,543,0,16
Palkia (Shadow) DB+AT/DM,108,36,0
Palkia (Origin) DB+AT/SpR,362,17,0
Scizor (Mega) FC+NS/TBl,597,9,36
Dialga DB+IH/DM,567,36,25
Xerneas Geo+CC/M,557,8,21
Gallade (Mega) LK+SSw/LB,331,36,0
Zygarde (Complete Forme) DT+Cr/Bd,521,0,8
Charizard (Mega Y) DB+BB/AC,187,9,0
Dialga (Shadow) DB+IH/DM,752,0,93
Keldeo (Resolute) LK+SeS/AJ,527,0,10
Melmetal TS+DbI/DyP,635,0,50
Ursaluna (Shadow) Scr+TP/HH,635,0,50
Lugia DT+A/EP,273,34,0
Gengar (Mega) SC+ShP/SB,766,0,98
Kyurem (White) DB+FuF/IBu,488,17,0
Zacian (Crowned Sword) MC+CC/BB,479,45,0
Metagross SC+MM/Eq,595,0,35
Zekrom DB+O/FuB,516,36,6
Ursaluna Scr+TP/HH,559,0,22
Necrozma (Dusk Mane) SC+DP/Stl,505,0,2
Florges FW+M/CW,392,45,0
Gyarados (Shadow) DB+AT/Tw,540,8,15
Zamazenta (Crowned Shield) IF+CC/BB,118,45,0
Reshiram DB+FuF/DM,554,8,20
Keldeo (Ordinary) LK+AJ/SSw,540,0,15
Marshadow SC+CC/IP,352,45,0
Reshiram (Shadow) DB+FuF/DM,752,0,93
Tyranitar (Shadow) DB+BrS/SE,668,9,62
Lugia (Shadow) DT+A/EP,357,34,0
Aerodactyl (Mega) DB+BrS/RS,72,53,0
Yveltal SkP+DP/ObW,424,7,0
Hydreigon (Shadow) DB+BrS/Fl,484,17,0
Kingambit LK+FoP/IH,739,0,88
Latios (Shadow) DB+AuS/LrP,363,18,0
Ampharos (Mega) VS+TP/DgP,616,36,43
Kyurem (Black) DT+FSh/FuB,479,8,0
Kyogre W+Av/OP,269,27,0
Kyurem DB+G/DC,236,0,0
Palkia DB+AT/FiB,336,27,0
Tyranitar DB+BrS/SE,548,0,18
Greninja (Mega) WSh+HC/BrS/S+,114,36,0
Lunala SC+SB/M,546,8,17
Necrozma (Dawn Wings) SC+DP/MoG,316,27,0
Blastoise (Mega) RO+HC/IB,341,8,0
Garchomp (Shadow) DT+Tw/EP,554,0,20
Gardevoir (Mega) Ch+TAx/SB,584,0,31
Rillaboom Scr+DrB/EP,256,7,0
Starmie (Mega) Psy+IB/PG/Li+,319,9,0
Hydreigon DB+BrS/Fl,338,36,0
Urshifu (Single Strike) SkP+DyP/Pbk,328,36,0
Eternatus DT+DyC/Ft,570,0,26
Metagross (Shadow) SC+MM/Eq,820,0,118
Zarude Bi+DP/EB,290,43,0
Kartana FC+LB/SSw,488,27,0
Lucario (Mega) FPm+MM/AuS,828,0,121
Sylveon FW+DK/SB,589,0,33
Raichu (Mega X) VS+BkB/TBl/VT+,725,0,83
Garchomp DT+Tw/EP,476,9,0
Dragonite (Shadow) DB+TP/SP,581,8,30
Gyarados DB+AT/Cr,476,7,0
Kangaskhan (Mega) LK+BkB/Cr,711,8,78
Kyogre (Shadow) W+Av/OP,326,18,0
Togekiss Pk+DG/AuS,477,34,0
Raichu (Mega Y) VS+BkB/TBl/ZC+,836,0,124
Giratina (Altered) (Shadow) DB+DC/SS,486,17,0
Sceptile (Mega) FC+LB/DC,270,17,0
Primarina W+M/HC,328,9,0
Landorus (Therian) MS+SSt/SE,500,6,0
Tapu Lele A+Psh/NM,508,0,3
Goodra DB+AT/DM,497,8,0
Charizard (Mega X) DB+BB/AC,505,8,2
Pinsir (Mega) FC+CC/XS,722,8,82
Mewtwo (Shadow) PC+Pst/SB,486,17,0
Houndoom (Mega) I+FoP/TBl,578,0,29
Darkrai (Shadow) SkP+FoP/SB,644,8,53
Groudon DT+FiP/PrB,559,0,22
Gholdengo H+SB/FB,663,18,60
Giratina (Altered) DB+DC/SS,412,44,0
Blaziken (Mega) E+BB/AuS,516,0,6
Slowbro (Mega) Cf+S/DrP,391,8,0
Tapu Fini WG+S/NM,372,26,0
Golisopod FC+AJ/XS,496,25,0
Enamorus (Therian) FW+MF/M,573,8,27
Genesect (Shock) FC+MgB/TBS,668,0,62
Latias (Shadow) DB+AuS/MsB,345,27,0
Salamence (Shadow) DT+Fl/BrS,154,9,0
Dragonite DB+TP/SP,513,8,5
Latios DB+AuS/LrP,337,27,0
