Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+WBI/EB,500,9,0
Absol (Mega) PC+BrS/Mh,147,36,0
Aerodactyl DB+RS/EP,752,0,97
Aerodactyl (Mega) DB+RS/EP,671,0,66
Aerodactyl (Shadow) DB+RS/EP,752,0,97
Aggron DT+T/RT,536,8,14
Aggron (Mega) DT+RT/T,267,44,0
Aggron (Shadow) DT+T/RT,505,8,2
Alakazam PC+FiP/SB,736,0,91
Alakazam (Mega) PC+SB/FiP,174,45,0
Alakazam (Shadow) PC+FiP/SB,671,0,66
Altaria (Mega) DB+M/SA,752,0,97
Ampharos VS+BrS/TP,585,0,33
Ampharos (Mega) VS+TP/DgP,481,0,0
Ampharos (Shadow) VS+BrS/TP,268,36,0
Annihilape C+RF/IP,575,0,29
Annihilape (Shadow) C+RF/IP,721,0,85
Arboliva ML+EP/EB,734,0,90
Arcanine Sn+WC/Cr,812,0,120
Arcanine (Hisuian) Sn+WC/RS,812,0,120
Arcanine (Shadow) Sn+WC/Cr,786,0,110
Archeops WA+AP/Cr,721,0,85
Archeops (Shadow) WA+AP/Cr,682,0,70
Armaldo FC+RB/CP,280,45,0
Armaldo (Shadow) FC+RB/CP,304,36,0
Armarouge I+Psh/HW,682,4,70
Articuno PS+IW/Hu,354,45,0
Articuno (Galarian) PC+AP/BrB,739,4,92
Articuno (Shadow) PS+IW/Hu,403,27,0
Audino (Mega) ZH+BS/DV,885,0,148
Aurorus PS+WBI/Tb,635,27,52
Aurorus (Shadow) PS+WBI/MeB,723,0,86
Avalugg IF+Av/BS,425,36,0
Avalugg (Hisuian) PS+RS/IW,492,0,0
Azelf Cf+Sw/FS,744,4,94
Banette (Mega) SC+SB/DG,270,27,0
Barbaracle FC+CrC/SE,619,0,46
Baxcalibur DB+Av/GlR,671,0,66
Beartic PS+IP/Li,760,0,100
Beedrill (Mega) PSt+DR/XS,791,100,112
Bellibolt SkP+D/PbC,643,0,55
Bewear SC+SP/Pbk,682,0,70
Bewear (Shadow) SC+SP/St,604,0,40
Bisharp Sn+DP/XS,107,35,0
Blacephalon I+MdB/SB,408,45,0
Blastoise RO+HC/IB,864,0,140
Blastoise (Mega) RO+HC/IB,526,45,10
Blastoise (Shadow) RO+HC/IB,838,0,130
Blaziken (Mega) E+BB/AuS,398,45,0
Blissey ZH+WC/DG,861,0,139
Bouffalant MS+St/Mh,861,9,139
Braviary AS+CC/BrB,763,0,101
Braviary (Hisuian) AS+BrB/Fl,736,4,91
Buzzwole C+SP/Lu,799,0,115
Carracosta WG+BS/Li,752,0,97
Carracosta (Shadow) WG+BS/Li,752,0,97
Celebi Cf+AuS/LfS,684,22,71
Celesteela AS+BS/Bd,596,4,37
Centiskorch E+HW/Lu,552,0,20
Ceruledge I+SB/HW,666,0,64
Cetitan PS+Av/ISp,505,27,2
Chandelure I+SB/EB,635,0,52
Chandelure (Shadow) I+SB/EB,559,0,23
Charizard DB+BB/AC,648,0,57
Charizard (Mega X) DB+BB/AC,567,0,26
Charizard (Mega Y) DB+BB/AC,229,45,0
Charizard (Shadow) DB+BB/DC,752,0,97
Chesnaught LK+FP/SP,877,0,145
Chesnaught (Shadow) LK+FP/SP,838,0,130
Cinderace FS+Ft/FmC,661,0,62
