Pokemon,Battle Rating,Energy Remaining,HP Remaining
Kyogre (Primal) W+Av/T,105,0,0
Mewtwo (Mega Y) PC+Pst/Tb/FS+,172,30,0
Mewtwo (Mega X) PC+Pst/Tb/DyP+,344,0,0
Gyarados (Mega) DB+AT/Cr,141,20,0
Dragonite (Mega) DB+TP/SP/O+,76,20,0
Rayquaza (Mega) DT+BkS/DrA,152,0,0
Garchomp (Mega) DT+EP/Tw,190,40,0
Tyranitar (Mega) DB+BrS/SE,485,10,0
Groudon (Primal) DT+PrB/FiP,474,0,0
Metagross (Mega) SC+MM/Eq,281,40,0
Chesnaught (Mega) LK+TP/SP/SeB+,83,10,0
Latios (Mega) DB+AuS/LrP,159,20,0
Latias (Mega) DB+AuS/MsB,319,0,0
Delphox (Mega) Scr+BB/Psh/MFP,632,0,59
Heracross (Mega) FC+RT/UH,107,10,0
Salamence (Mega) DT+Fl/BrS,149,0,0
Dialga (Origin) DB+ROT/IH,782,0,126
Swampert (Mega) MS+HC/Eq,126,10,0
Aggron (Mega) MSo+BkB/MeB,573,10,33
Palkia (Shadow) DB+AT/DM,213,20,0
Palkia (Origin) DB+AT/SpR,178,20,0
Scizor (Mega) FC+NS/TBl,175,20,0
Dialga DB+IH/DM,782,0,126
Xerneas Geo+CC/M,513,0,6
Gallade (Mega) LK+SSw/LB,149,10,0
Zygarde (Complete Forme) DT+Cr/Bd,364,0,0
Charizard (Mega Y) DB+BB/AC,656,0,70
Dialga (Shadow) DB+IH/DM,782,0,126
Keldeo (Resolute) LK+SeS/AJ,178,20,0
Melmetal TS+DbI/DyP,717,0,97
Ursaluna (Shadow) Scr+TP/HH,230,40,0
Lugia DT+A/EP,354,30,0
Gengar (Mega) SC+ShP/SB,422,30,0
Kyurem (White) DB+FuF/IBu,385,0,0
Zacian (Crowned Sword) MC+CC/BB,701,0,90
Metagross SC+MM/Eq,351,40,0
Zekrom DB+O/FuB,782,0,126
Ursaluna Scr+TP/HH,393,20,0
Necrozma (Dusk Mane) SC+DP/Stl,668,0,75
Florges FW+M/CW,392,10,0
Gyarados (Shadow) DB+AT/Tw,95,20,0
Zamazenta (Crowned Shield) IF+CC/BB,677,10,79
Reshiram DB+FuF/DM,782,0,126
Keldeo (Ordinary) LK+AJ/SSw,178,20,0
Marshadow SC+CC/IP,209,30,0
Reshiram (Shadow) DB+FuF/DM,782,0,126
Tyranitar (Shadow) DB+BrS/SE,641,0,63
Lugia (Shadow) DT+A/EP,435,30,0
Aerodactyl (Mega) DB+BrS/RS,701,0,90
Yveltal SkP+DP/ObW,553,0,24
Hydreigon (Shadow) DB+BrS/Fl,609,0,49
Kingambit LK+FoP/IH,659,0,71
Latios (Shadow) DB+AuS/LrP,247,30,0
Ampharos (Mega) VS+TP/DgP,919,0,187
Kyurem (Black) DT+FSh/FuB,385,0,0
Kyogre W+Av/OP,192,30,0
Kyurem DB+G/DC,607,0,48
Palkia DB+AT/FiB,178,20,0
Tyranitar DB+BrS/SE,699,0,89
Greninja (Mega) WSh+HC/BrS/S+,188,0,0
Lunala SC+SB/M,506,30,3
Necrozma (Dawn Wings) SC+DP/MoG,625,0,56
Blastoise (Mega) RO+HC/IB,188,30,0
Garchomp (Shadow) DT+Tw/EP,246,40,0
Gardevoir (Mega) Ch+TAx/SB,647,0,66
Rillaboom Scr+DrB/EP,238,0,0
Starmie (Mega) Psy+IB/PG/Li+,190,20,0
Hydreigon DB+BrS/Fl,636,0,61
Urshifu (Single Strike) SkP+DyP/Pbk,422,0,0
Eternatus DT+DyC/Ft,598,0,44
Metagross (Shadow) SC+MM/Eq,421,40,0
Zarude Bi+DP/EB,103,20,0
Kartana FC+LB/SSw,282,20,0
Lucario (Mega) FPm+MM/AuS,487,40,0
Sylveon FW+DK/SB,526,0,12
Raichu (Mega X) VS+BkB/TBl/VT+,813,0,140
Garchomp DT+Tw/EP,208,40,0
Dragonite (Shadow) DB+TP/SP,82,20,0
Gyarados DB+AT/Cr,517,0,8
Kangaskhan (Mega) LK+BkB/Cr,454,0,0
Kyogre (Shadow) W+Av/OP,152,10,0
Togekiss Pk+DG/AuS,661,0,72
Raichu (Mega Y) VS+BkB/TBl/ZC+,926,70,190
Giratina (Altered) (Shadow) DB+DC/SS,589,0,40
Sceptile (Mega) FC+LB/DC,136,20,0
Primarina W+M/HC,453,0,0
Landorus (Therian) MS+SSt/SE,317,0,0
Tapu Lele A+Psh/NM,542,0,19
Goodra DB+AT/DM,451,0,0
Charizard (Mega X) DB+BB/AC,782,0,126
Pinsir (Mega) FC+CC/XS,73,30,0
Mewtwo (Shadow) PC+Pst/SB,558,0,26
Houndoom (Mega) I+FoP/TBl,417,40,0
Darkrai (Shadow) SkP+FoP/SB,334,40,0
Groudon DT+FiP/PrB,377,0,0
Gholdengo H+SB/FB,854,0,158
Giratina (Altered) DB+DC/SS,424,30,0
Blaziken (Mega) E+BB/AuS,522,0,10
Slowbro (Mega) Cf+S/DrP,363,0,0
Tapu Fini WG+S/NM,634,0,60
Golisopod FC+AJ/XS,131,30,0
Enamorus (Therian) FW+MF/M,647,0,66
Genesect (Shock) FC+MgB/TBS,508,0,4
Latias (Shadow) DB+AuS/MsB,447,0,0
Salamence (Shadow) DT+Fl/BrS,643,0,64
Dragonite DB+TP/SP,178,0,0
Latios DB+AuS/LrP,415,0,0
Solgaleo FS+PsF/IH,760,0,116
Enamorus (Incarnate) FW+Fl/DG,623,0,55
Latias DB+AuS/MsB,573,10,33
Raikou (Shadow) TS+WC/AuS,668,0,75
Baxcalibur DB+GlR/Av,224,30,0
Abomasnow (Mega) PS+WBI/EB,115,20,0
Conkeldurr (Shadow) FPm+DyP/BrS,271,30,0
Annihilape (Shadow) C+RF/IP,465,0,0
Urshifu (Rapid Strike) W+AJ/DyP,211,30,0
Mewtwo PC+Pst/SB,609,0,49
Zapdos TS+DrlP/Tb,838,0,151
Falinks (Mega) C+SP/Mh/BkB+,241,40,0
Malamar (Mega) Psy+FoP/SP/Psb+,603,0,46
Skarmory (Mega) AS+BrB/FC/DrP+,636,10,61
Kommo-o DT+ClS/UH,445,20,0
Steelix (Mega) DT+PsF/Eq,760,10,116
Annihilape C+RF/IP,423,10,0
Genesect (Chill) FC+MgB/TBC,281,40,0
Altaria (Mega) DB+M/SA,645,0,65
Venusaur (Mega) VW+FP/Sl,186,30,0
Tapu Bulu BS+GK/NM,156,40,0
Rhyperior (Shadow) MSl+DR/RW,500,0,0
Meloetta (Aria) Cf+Psh/DG,571,20,32
Beedrill (Mega) Inf+DR/SlB/FeS,535,0,16
Raikou TS+AuS/WC,715,0,96
Virizion DK+LB/SSw,226,0,0
Groudon (Shadow) DT+FiP/PrB,432,0,0
Genesect (Douse) FC+MgB/TBD,281,40,0
Darkrai SkP+FoP/SB,513,0,6
Lopunny (Mega) LK+TAx/SB,271,40,0
Rhyperior MSl+DR/RW,500,0,0
Zacian (Hero) QA+WC/PR,827,10,146
Zapdos (Shadow) TS+DrlP/HW,818,0,142
Rayquaza DT+BkS/DrA,623,0,55
Salamence DT+Fl/BrS,692,0,86
Alakazam (Mega) PC+SB/FiP,589,0,40
Aggron MSo+MeB/BkB,704,80,91
Conkeldurr FPm+DyP/BrS,252,40,0
Ho-Oh I+BrB/SF,852,0,157
Magnezone (Shadow) VS+WC/MrS,934,60,194
Chesnaught (Shadow) LK+SP/FP,307,0,0
Jirachi Cf+DD/AuS,840,0,152
Volcanion I+Sc/EP,375,40,0
Zeraora VS+PF/DyP,876,0,168
Genesect (Burn) FC+MgB/TBB,508,0,4
Snorlax (Shadow) Psy+BS/Eq,484,0,0
Aggron (Shadow) MSo+MeB/BkB,661,70,72
Snorlax Psy+BS/Eq,556,0,25
Mamoswine (Shadow) PS+HH/ISp,239,10,0
Quaquaval LK+CC/HC,221,20,0
Thundurus (Therian) VS+WbS/FB,840,0,152
Heatran FS+MgS/EP,887,80,173
Zapdos (Galarian) LK+Fl/BrB,258,0,0
Genesect FC+MgB/TBN,508,0,4
Milotic W+AT/Wr,182,30,0
Milotic (Shadow) W+AT/Wr,219,30,0
Heatran (Shadow) FS+MgS/EP,876,70,168
Hippowdon (Shadow) SdA+WBR/EP,215,30,0
Swampert (Shadow) MS+HC/Eq,211,20,0
Machamp (Shadow) KC+CrC/SE,524,0,11
Avalugg (Hisuian) PS+RS/IW,567,0,30
Giratina (Origin) DT+SB/OW,569,0,31
Zamazenta (Hero) IF+CC/Cr,398,10,0
Xurkitree TS+D/DG,858,80,160
Cobalion DK+SSw/SE,654,0,69
Ho-Oh (Shadow) I+BrB/SF,829,0,147
Gigalith (Shadow) LO+MeB/SP,760,0,116
Dondozo W+S/O,310,0,0
Aurorus (Shadow) PS+WBI/MeB,576,0,34
Grimmsnarl SkP+FoP/DK,782,0,126
Mamoswine PS+ISp/HH,230,30,0
Hippowdon SdA+WBR/EP,446,30,0
Zygarde (50% Forme) DT+Cr/Eq,326,10,0
Articuno PS+IW/Hu,558,20,26
Landorus (Incarnate) (Shadow) MS+EP/RS,116,30,0
Chesnaught LK+SP/FP,263,0,0
Magnezone VS+WC/MrS,943,20,198
Pidgeot (Mega) G+BrB/Tw,688,0,84
Terrakion DK+SSw/RS,551,0,23
Avalugg Bi+IW/Eq,448,20,0
Victreebel (Mega) Ac+LB/SlB/AS+,209,10,0
Gigalith LO+SP/MeB,791,0,130
Thundurus (Incarnate) (Shadow) TS+TP/BkB,710,0,94
