Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+WBI/EB,694,33,85
Absol (Mega) PC+BrS/Mh,828,7,144
Aerodactyl DB+RS/EP,808,5,135
Aerodactyl (Mega) DB+RS/EP,482,44,0
Aerodactyl (Shadow) DB+RS/EP,746,20,108
Aggron DT+T/RT,972,7,207
Aggron (Mega) DT+RT/T,534,8,15
Aggron (Shadow) DT+T/RT,972,7,207
Alakazam PC+FiP/SB,707,5,91
Alakazam (Mega) PC+SB/FiP,618,5,52
Alakazam (Shadow) PC+FiP/SB,648,5,65
Altaria (Mega) DB+M/SA,799,5,131
Ampharos VS+BrS/TP,730,31,101
Ampharos (Mega) VS+TP/DgP,716,5,95
Ampharos (Shadow) VS+BrS/TP,751,5,110
Annihilape C+RF/IP,826,5,143
Annihilape (Shadow) C+RF/IP,792,5,128
Arboliva ML+EP/EB,908,7,179
Arcanine Sn+WC/Cr,771,55,119
Arcanine (Hisuian) Sn+WC/RS,792,46,128
Arcanine (Shadow) Sn+WC/Cr,735,55,103
Archeops WA+AP/Cr,739,20,105
Archeops (Shadow) WA+AP/Cr,691,20,84
Armaldo FC+RB/CP,789,5,127
Armaldo (Shadow) FC+RB/CP,728,20,100
Armarouge I+Psh/HW,337,44,0
Articuno PS+IW/Hu,664,1,72
Articuno (Galarian) PC+AP/BrB,462,44,0
Articuno (Shadow) PS+IW/Hu,598,1,43
Audino (Mega) ZH+BS/DV,817,12,139
Aurorus PS+WBI/Tb,833,7,146
Aurorus (Shadow) PS+WBI/MeB,801,7,132
Avalugg IF+Av/BS,646,1,64
Avalugg (Hisuian) PS+RS/IW,764,20,116
Azelf Cf+Sw/FS,760,5,114
Banette (Mega) SC+SB/DG,579,5,35
Barbaracle FC+CrC/SE,744,20,107
Baxcalibur DB+Av/GlR,723,20,98
Beartic PS+IP/Li,796,7,130
Beedrill (Mega) PSt+DR/XS,459,31,0
Bellibolt SkP+D/PbC,771,1,119
Bewear SC+SP/Pbk,828,7,144
Bewear (Shadow) SC+SP/St,787,7,126
Bisharp Sn+DP/XS,851,20,154
Blacephalon I+MdB/SB,496,18,0
Blastoise RO+HC/IB,780,1,123
Blastoise (Mega) RO+HC/IB,411,31,0
Blastoise (Shadow) RO+HC/IB,757,18,113
Blaziken (Mega) E+BB/AuS,566,5,29
Blissey ZH+WC/DG,778,6,122
Bouffalant MS+St/Mh,833,33,146
Braviary AS+CC/BrB,568,31,30
Braviary (Hisuian) AS+BrB/Fl,712,18,93
Buzzwole C+SP/Lu,799,5,131
Carracosta WG+BS/Li,810,20,136
Carracosta (Shadow) WG+BS/Li,917,7,183
Celebi Cf+AuS/LfS,543,12,19
Celesteela AS+BS/Bd,771,1,119
Centiskorch E+HW/Lu,547,10,21
Ceruledge I+SB/HW,359,44,0
Cetitan PS+Av/ISp,664,1,72
Chandelure I+SB/EB,426,44,0
Chandelure (Shadow) I+SB/EB,454,18,0
Charizard DB+BB/AC,369,44,0
Charizard (Mega X) DB+BB/AC,616,1,51
Charizard (Mega Y) DB+BB/AC,291,31,0
Charizard (Shadow) DB+BB/DC,618,1,52
Chesnaught LK+FP/SP,764,5,116
Chesnaught (Shadow) LK+FP/SP,712,5,93
Cinderace FS+Ft/FmC,646,1,64
Coalossal FS+RS/FmC,776,1,121
Cobalion DK+SSw/SE,760,1,114
Conkeldurr FPm+DyP/BrS,851,5,154
Conkeldurr (Shadow) FPm+DyP/BrS,828,20,144
Corviknight SdA+AC/Pbk,757,1,113
Corviknight (Shadow) StW+IH/AC,525,1,11
Crabominable B+IP/BkB,803,20,133
Cresselia PC+GK/M,648,10,65
Cresselia (Shadow) PC+GK/M,593,10,41
Crobat AS+AC/SB,662,10,71
Crobat (Shadow) AS+AC/SB,627,12,56
Cryogonal IS+TAx/NS,778,46,122
Cursola A+NSh/PG,680,5,79
Darkrai Sn+DP/FB,828,7,144
Darkrai (Shadow) Sn+SB/DP,687,20,82
Darmanitan (Galarian) IF+Av/SP,876,7,165
Darmanitan (Standard) I+RS/Ov,451,33,0
Darmanitan (Standard) (Shadow) I+RS/Ov,483,7,0
Decidueye A+FP/SSh,648,18,65
Decidueye (Hisuian) PC+AuS/TBl,826,5,143
Delphox FS+Psh/BB,359,44,0
Delphox (Shadow) FS+Psh/BB,344,46,0
Deoxys (Defense) C+PB/RS,815,12,138
Deoxys (Speed) CB+Sw/PB,810,5,136
Dhelmise SC+SB/BrS,682,5,80
Dialga DB+IH/T,609,1,48
Dialga (Origin) DB+ROT/IH,614,1,50
Dialga (Shadow) DB+IH/DM,582,20,36
Diancie RTh+RS/M,680,1,79
Diancie (Mega) RTh+RS/M,753,18,111
Dondozo W+Li/O,573,25,32
Donphan MSl+BS/TBl,700,1,88
Donphan (Shadow) MSl+BS/TBl,776,5,121
Dragapult DT+SB/O,703,5,89
Dragonite DB+TP/SP,805,5,134
Dragonite (Mega) DB+TP/SP,776,18,121
Dragonite (Shadow) DB+TP/SP,780,5,123
Drampa DB+Sw/Fl,828,7,144
Druddigon DT+NS/RT,908,20,179
Dudunsparce RO+BS/DR,723,55,98
Duraludon DT+DC/FC,963,7,203
Electivire TS+WC/IP,812,5,137
Electivire (Shadow) TS+WC/IP,659,7,70
Emboar E+BB/RS,698,5,87
Emboar (Shadow) E+BB/RS,636,20,60
Empoleon MC+HC/DrlP,655,46,68
Empoleon (Shadow) MSo+HC/DrlP,703,7,89
Enamorus (Incarnate) FW+Fl/DG,682,5,80
Enamorus (Therian) FW+Fl/M,496,31,0
Entei FS+FmC/ScS,662,1,71
Entei (Shadow) FS+FmC/ScS,579,1,35
Escavalier BBi+DR/Mh,700,1,88
Escavalier (Shadow) BBi+DR/Mh,696,1,86
Espeon Cf+SB/PsF,776,5,121
Eternatus DT+DyC/Ft,495,12,0
Excadrill MSl+DR/RS,721,20,97
Excadrill (Shadow) MSl+DR/RS,668,20,74
Exeggutor Cf+SeB/P,767,5,117
Exeggutor (Alolan) DT+SeB/DM,842,5,150
Exeggutor (Alolan) (Shadow) DT+SeB/DM,808,20,135
Exeggutor (Shadow) Cf+SeB/P,723,5,98
Falinks (Mega) C+SP/Mh,769,5,118
Feraligatr SC+HC/IB,570,40,31
Feraligatr (Shadow) SC+HC/IB,728,5,100
Flareon E+SP/HW,439,46,0
Florges FW+M/CW,554,12,24
Gallade PC+CC/LB,803,5,133
Gallade (Mega) LK+CC/LB,728,5,100
Gallade (Shadow) LK+CC/LB,787,5,126
Garchomp DT+Tw/EP,732,5,102
Garchomp (Mega) DT+EP/Tw,657,5,69
Garchomp (Shadow) DT+Tw/EP,675,5,77
Gardevoir Ch+SB/TAx,721,18,97
Gardevoir (Mega) Ch+TAx/SB,441,18,0
Gardevoir (Shadow) Ch+SB/TAx,828,5,144
Garganacl MS+RT/RB,703,1,89
Genesect FC+MgB/TBN,630,1,57
Genesect (Burn) FC+MgB/TBB,630,1,57
Genesect (Chill) FC+MgB/TBC,630,1,57
Genesect (Douse) FC+MgB/TBD,630,1,57
Genesect (Shock) FC+MgB/TBS,630,1,57
Gengar (Mega) SC+ShP/SB,323,5,0
Gholdengo H+SB/FB,324,44,0
Gigalith LO+SP/MeB,696,46,86
Gigalith (Shadow) LO+MeB/SP,858,7,157
