Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,860,8,134
Aerodactyl (Shadow) DB+RS/EP,860,8,134
Aggron DT+RT/T,439,16,0
Aggron (Shadow) DT+RT/T,548,0,18
Alakazam C+FiP/SB,838,13,126
Alakazam (Shadow) C+FiP/SB,806,13,114
Ampharos VS+BrS/TP,500,7,0
Ampharos (Shadow) VS+BrS/TP,500,10,0
Annihilape LK+RF/CC,302,24,0
Annihilape (Shadow) C+RF/IP,404,40,0
Arboliva ML+EP/TBl,232,13,0
Arcanine Sn+WC/Cr,419,40,0
Arcanine (Hisuian) Sn+WC/RS,402,40,0
Arcanine (Shadow) Sn+WC/Cr,497,40,0
Archeops WA+DC/AP,666,8,62
Archeops (Shadow) WA+AP/Cr,599,13,37
Armaldo FC+RB/Li,451,40,0
Armaldo (Shadow) FC+RB/Li,534,40,13
Armarouge I+Psh/FmC,390,40,0
Aurorus PS+WBI/Tb,297,24,0
Aurorus (Shadow) PS+WBI/MeB,310,8,0
Avalugg IF+Av/BS,283,40,0
Avalugg (Hisuian) PS+RS/IW,417,0,0
Barbaracle FC+CrC/SE,599,24,37
Baxcalibur DB+Av/DC,209,13,0
Beartic PS+IP/S,430,40,0
Bellibolt TS+D/ZC,537,7,14
Bewear SC+SP/Pbk,393,40,0
Bewear (Shadow) SC+SP/St,361,8,0
Bisharp Sn+DP/XS,493,40,0
Blastoise RO+HC/IB,731,24,86
Blastoise (Shadow) RO+HC/IB,924,8,158
Blissey ZH+WC/HB,516,5,6
Bouffalant MS+St/Mh,602,0,38
Braviary StW+CC/BrB,919,8,156
Braviary (Hisuian) AS+BrB/Fl,924,8,158
Carracosta WG+S/BS,870,8,138
Carracosta (Shadow) WG+Li/BS,870,8,138
Centiskorch E+HW/Lu,407,40,0
Ceruledge I+SB/FmC,371,13,0
Cetitan PS+Av/SP,483,0,0
Chandelure I+SB/FmC,447,13,0
Chandelure (Shadow) I+SB/FmC,811,13,116
Charizard DB+BB/AC,860,8,134
Charizard (Shadow) DB+BB/AC,860,8,134
Chesnaught VW+FP/SP,323,0,0
Chesnaught (Shadow) VW+FP/SP,209,8,0
Cinderace FS+PB/BB,357,8,0
Coalossal FS+RS/FmC,474,16,0
Conkeldurr FPm+BrS/DyP,307,8,0
Conkeldurr (Shadow) FPm+DyP/BrS,365,8,0
Corviknight SdA+AC/IH,731,40,86
Corviknight (Shadow) SdA+AC/IH,819,8,119
Crabominable B+IP/BkB,626,0,47
Crobat AS+CP/SB,935,8,162
Crobat (Shadow) AS+CP/SB,913,8,154
Cryogonal IS+TAx/NS,631,0,49
Cursola A+NSh/PG,510,29,4
Darmanitan (Galarian) IF+Av/SP,403,8,0
Darmanitan (Standard) I+RS/Ov,403,8,0
Darmanitan (Standard) (Shadow) I+RS/Ov,487,8,0
