Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,802,0,130
Aerodactyl (Shadow) DB+RS/EP,753,0,109
Aggron DT+RT/T,788,4,124
Aggron (Shadow) DT+RT/T,746,4,106
Alakazam C+FiP/SB,539,0,17
Alakazam (Shadow) C+FiP/SB,337,32,0
Ampharos VS+BrS/TP,762,16,113
Ampharos (Shadow) VS+BrS/TP,893,0,169
Annihilape LK+RF/CC,188,40,0
Annihilape (Shadow) C+RF/IP,234,40,0
Arboliva ML+EP/TBl,625,0,54
Arcanine Sn+WC/Cr,693,4,83
Arcanine (Hisuian) Sn+WC/RS,634,4,58
Arcanine (Shadow) Sn+WC/Cr,618,4,51
Archeops WA+DC/AP,788,0,124
Archeops (Shadow) WA+AP/Cr,793,72,126
Armaldo FC+RB/Li,765,0,114
Armaldo (Shadow) FC+RB/Li,765,0,114
Armarouge I+Psh/FmC,143,20,0
Aurorus PS+WBI/Tb,609,4,47
Aurorus (Shadow) PS+WBI/MeB,180,56,0
Avalugg IF+Av/BS,146,52,0
Avalugg (Hisuian) PS+RS/IW,456,0,0
Barbaracle FC+CrC/SE,328,8,0
Baxcalibur DB+Av/DC,473,8,0
Beartic PS+IP/S,172,48,0
Bellibolt TS+D/ZC,937,24,188
Bewear SC+SP/Pbk,811,0,134
Bewear (Shadow) SC+SP/St,788,0,124
Bisharp Sn+DP/XS,581,4,35
Blastoise RO+HC/IB,544,4,19
Blastoise (Shadow) RO+HC/IB,320,0,0
Blissey ZH+WC/HB,802,0,130
Bouffalant MS+St/Mh,625,4,54
Braviary StW+CC/BrB,672,0,74
Braviary (Hisuian) AS+BrB/Fl,802,0,130
Carracosta WG+S/BS,504,4,2
Carracosta (Shadow) WG+Li/BS,411,16,0
Centiskorch E+HW/Lu,139,40,0
Ceruledge I+SB/FmC,332,8,0
Cetitan PS+Av/SP,128,48,0
Chandelure I+SB/FmC,144,24,0
Chandelure (Shadow) I+SB/FmC,172,24,0
Charizard DB+BB/AC,665,0,71
Charizard (Shadow) DB+BB/AC,590,0,39
Chesnaught VW+FP/SP,741,0,104
Chesnaught (Shadow) VW+FP/SP,695,0,84
Cinderace FS+PB/BB,389,16,0
Coalossal FS+RS/FmC,604,4,45
Conkeldurr FPm+BrS/DyP,218,40,0
Conkeldurr (Shadow) FPm+DyP/BrS,213,24,0
Corviknight SdA+AC/IH,588,40,38
Corviknight (Shadow) SdA+AC/IH,720,8,95
Crabominable B+IP/BkB,397,16,0
Crobat AS+CP/SB,818,0,137
Crobat (Shadow) AS+CP/SB,769,0,116
Cryogonal IS+TAx/NS,497,28,0
Cursola A+NSh/PG,688,0,81
Darmanitan (Galarian) IF+Av/SP,574,4,32
Darmanitan (Standard) I+RS/Ov,194,40,0
Darmanitan (Standard) (Shadow) I+RS/Ov,175,24,0
Decidueye A+FP/SSh,737,0,102
Decidueye (Hisuian) PC+AuS/TBl,320,32,0
Delphox FS+BB/Psh,347,16,0
Delphox (Shadow) FS+Psh/BB,167,12,0
Dhelmise SC+SB/PW,788,0,124
Dondozo W+S/O,222,4,0
Donphan MSl+BS/TBl,744,0,105
Donphan (Shadow) MSl+BS/TBl,695,0,84
Dragapult A+SB/O,672,0,74
Dragonite DB+TP/SP,481,40,0
Dragonite (Shadow) DB+TP/SP,765,72,114
Drampa DB+Fl/O,753,0,109
Druddigon DT+DC/NS,802,0,130
Dudunsparce RO+BS/DR,706,4,89
Duraludon DT+DC/FC,769,8,116
Electivire TS+WC/IP,755,0,110
Electivire (Shadow) TS+WC/IP,718,0,94
Emboar E+BB/RS,181,48,0
Emboar (Shadow) E+BB/RS,188,40,0
Empoleon MSo+HC/DrlP,87,40,0
Empoleon (Shadow) MSo+HC/DrlP,115,40,0
Escavalier C+DR/Mh,544,4,19
Escavalier (Shadow) BBi+DR/Mh,558,4,25
Espeon Cf+PsF/SB,271,40,0
Excadrill MSl+DR/RS,704,0,88
Excadrill (Shadow) MSl+DR/RS,655,0,67
Exeggutor Cf+SeB/P,718,0,94
Exeggutor (Alolan) DT+SeB/DM,846,72,149
Exeggutor (Alolan) (Shadow) DT+SeB/DM,813,64,135
Exeggutor (Shadow) BS+SeB/P,769,0,116
Feraligatr SC+HC/IB,143,40,0
Feraligatr (Shadow) SC+HC/IB,171,40,0
Flareon FS+SP/Ft,359,0,0
Florges FW+CW/M,342,8,0
Gallade Cf+CC/LB,718,0,94
Gallade (Shadow) Cf+CC/LB,660,0,69
Garchomp MS+BkS/EP,881,0,164
Garchomp (Shadow) DT+BkS/EP,746,40,106
Gardevoir Ch+TAx/SB,695,0,84
Gardevoir (Shadow) Ch+TAx/SB,627,0,55
Garganacl MS+RT/RB,709,12,90
Gholdengo H+SB/FB,313,16,0
Gigalith LO+SP/MeB,424,0,0
Gigalith (Shadow) LO+MeB/RS,609,0,47
Glaceon IS+Av/IW,704,4,88
Glimmora RTh+MeB/PG,634,8,58
Gliscor WA+NS/Eq,758,0,111
Gliscor (Shadow) WA+NS/AA,867,72,158
Gogoat VW+LB/BkB,289,32,0
Golem MS+SE/RB,760,0,112
Golem (Alolan) VS+WC/SE,886,24,166
Golem (Alolan) (Shadow) VS+WC/SE,893,0,169
Golem (Shadow) MS+SE/RB,709,0,90
Golisopod FC+AJ/XS,262,0,0
Golurk MSl+ShP/DyP,737,0,102
Golurk (Shadow) MSl+ShP/DyP,688,0,81
Goodra DB+AT/TP,541,0,18
Gourgeist (Large) I+SB/SeB,709,0,90
Gourgeist (Super) I+SB/SeB,709,0,90
Grimmsnarl SkP+FoP/PR,718,0,94
Gyarados DB+AT/Cr,451,8,0
Gyarados (Shadow) DB+AT/Cr,211,32,0
Hariyama C+CC/HS,523,8,10
Hariyama (Shadow) C+CC/SP,509,0,4
Haxorus C+BkS/NS,555,0,24
Haxorus (Shadow) DT+NS/S,530,0,13
Heracross C+CC/RB,500,8,0
Hippowdon SdA+WBR/EP,711,0,91
Hippowdon (Shadow) SdA+WBR/EP,634,0,58
Hydrapple DT+SeB/O,786,0,123
Hydreigon DB+BrS/Fl,518,0,8
Hydreigon (Shadow) DB+BrS/Fl,373,40,0
Incineroar FF+BrS/BB,278,0,0
Jolteon VS+D/LR,904,0,174
Kangaskhan MSl+Cr/St,646,24,63
Kingambit MSo+FoP/IH,126,40,0
Kingdra DB+S/Sw,681,0,78
Kingdra (Shadow) DB+O/Sw,609,0,47
Kleavor QA+XS/SE,834,0,144
Klinklang TS+MrS/ZC,779,4,120
Kommo-o DT+UH/ClS,786,0,123
Krookodile MSl+Cr/ST,737,0,102
Lapras Psy+SpA/IB,181,4,0
Lapras (Shadow) Psy+SpA/IB,179,8,0
Leafeon QA+LB/LR,520,0,9
Lickilicky L+BS/SB,690,4,82
Luxray Sp+WC/Cr,927,0,184
Luxray (Shadow) Sp+WC/Cr,904,0,174
Machamp KC+CrC/SE,196,24,0
Machamp (Shadow) KC+CrC/SE,239,24,0
Magmortar FS+FiP/Tb,332,0,0
Magmortar (Shadow) KC+FiP/Tb,167,32,0
Magnezone VS+WC/MrS,679,4,77
Magnezone (Shadow) VS+WC/MrS,627,4,55
Mamoswine PS+ISp/HH,500,8,0
Mamoswine (Shadow) PS+ISp/HH,500,0,0
Metagross SC+MM/Eq,261,8,0
Metagross (Shadow) SC+MM/Eq,316,8,0
Milotic DT+S/Bl,126,36,0
Milotic (Shadow) W+AT/Wr,275,0,0
Miltank RO+BS/IB,758,4,111
Mr. Rime IS+TAx/IP,718,4,94
Mudsdale MSl+BS/Eq,753,0,109
Muk PJ+DP/TP,816,4,136
Muk (Alolan) PJ+DP/SW,816,4,136
Muk (Alolan) (Shadow) PJ+DP/SW,834,0,144
Muk (Shadow) PJ+DP/TP,834,0,144
Musharna CB+Psh/DG,772,4,117
Noivern AS+Hu/DM,832,72,143
Noivern (Shadow) AS+Hu/HW,837,64,145
Obstagoon C+NS/Ob,486,4,0
Obstagoon (Shadow) C+NS/CrC,648,0,64
Oinkologne Tk+BS/Dg,613,24,49
Oinkologne (Female) Tk+BS/Dg,627,4,55
Omastar MS+RS/RB,660,4,69
Omastar (Shadow) MS+RS/RB,613,4,49
Oranguru Cf+FoP/FS,611,24,48
Overqwil PJ+AT/SB,581,8,35
Pangoro Sn+CC/NS,867,0,158
Passimian C+CC/SP,472,0,0
Pinsir FC+CC/XS,765,0,114
Pinsir (Shadow) FC+CC/XS,718,0,94
Poliwrath C+Sc/IW,440,12,0
Poliwrath (Shadow) C+Sc/IW,311,8,0
Polteageist H+SB/DP,818,0,137
Porygon-Z LO+TA/Bl,900,0,172
Porygon-Z (Shadow) LO+TA/Bl,900,0,172
Porygon2 LO+TA/Re,702,16,87
Porygon2 (Shadow) LO+TA/ZC,904,0,174
Primarina W+DV/HC,328,16,0
Pyroar I+FmC/DP,369,8,0
Quaquaval LK+CC/AJ,171,40,0
Rampardos SD+RS/Ft,672,0,74
Rampardos (Shadow) SD+RS/Ft,606,0,46
Relicanth WG+AT/AP,276,16,0
Reuniclus HPI+SB/FS,834,8,144
Reuniclus (Shadow) HPI+SB/FS,804,0,131
Revavroom PJ+Ov/GB,786,4,123
Rhydon MSl+BkS/SE,737,0,102
Rhydon (Shadow) MSl+BkS/SE,688,0,81
Rhyperior MSl+DR/RW,720,0,95
Rhyperior (Shadow) MSl+DR/RW,672,0,74
Rillaboom RL+DrB/EP,315,40,0
