Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,418,27,0
Aerodactyl (Shadow) DB+RS/EP,122,49,0
Aggron DT+RT/T,216,48,0
Aggron (Shadow) DT+RT/T,264,48,0
Alakazam C+FiP/SB,658,6,66
Alakazam (Shadow) C+FiP/SB,769,6,112
Ampharos VS+BrS/TP,682,5,76
Ampharos (Shadow) VS+BrS/TP,610,5,46
Annihilape LK+RF/CC,302,20,0
Annihilape (Shadow) C+RF/IP,390,34,0
Arboliva ML+EP/TBl,545,13,19
Arcanine Sn+WC/Cr,699,20,83
Arcanine (Hisuian) Sn+WC/RS,363,27,0
Arcanine (Shadow) Sn+WC/Cr,649,20,62
Archeops WA+DC/AP,540,27,17
Archeops (Shadow) WA+AP/Cr,564,6,27
Armaldo FC+RB/Li,417,27,0
Armaldo (Shadow) FC+RB/Li,481,20,0
Armarouge I+Psh/FmC,622,6,51
Aurorus PS+WBI/Tb,312,34,0
Aurorus (Shadow) PS+WBI/MeB,323,6,0
Avalugg IF+Av/BS,358,41,0
Avalugg (Hisuian) PS+RS/IW,280,34,0
Barbaracle FC+CrC/SE,368,34,0
Baxcalibur DB+Av/DC,175,63,0
Beartic PS+IP/S,646,5,61
Bellibolt TS+D/ZC,524,19,10
Bewear SC+SP/Pbk,656,5,65
Bewear (Shadow) SC+SP/St,687,5,78
Bisharp Sn+DP/XS,493,5,0
Blastoise RO+HC/IB,718,12,91
Blastoise (Shadow) RO+HC/IB,682,5,76
Blissey ZH+WC/HB,584,11,35
Bouffalant MS+St/Mh,476,12,0
Braviary StW+CC/BrB,807,5,128
Braviary (Hisuian) AS+BrB/Fl,646,6,61
Carracosta WG+S/BS,395,48,0
Carracosta (Shadow) WG+Li/BS,450,34,0
Centiskorch E+HW/Lu,677,5,74
Ceruledge I+SB/FmC,612,13,47
Cetitan PS+Av/SP,381,34,0
Chandelure I+SB/FmC,564,6,27
Chandelure (Shadow) I+SB/FmC,169,56,0
Charizard DB+BB/AC,538,5,16
Charizard (Shadow) DB+BB/AC,187,49,0
Chesnaught VW+FP/SP,682,5,76
Chesnaught (Shadow) VW+FP/SP,612,5,47
Cinderace FS+PB/BB,186,56,0
Coalossal FS+RS/FmC,309,55,0
Conkeldurr FPm+BrS/DyP,288,6,0
Conkeldurr (Shadow) FPm+DyP/BrS,192,56,0
Corviknight SdA+AC/IH,295,48,0
Corviknight (Shadow) SdA+AC/IH,356,41,0
Crabominable B+IP/BkB,692,5,80
Crobat AS+CP/SB,548,5,20
Crobat (Shadow) AS+CP/SB,581,48,34
Cryogonal IS+TAx/NS,615,33,48
Cursola A+NSh/PG,637,6,57
Darmanitan (Galarian) IF+Av/SP,211,56,0
Darmanitan (Standard) I+RS/Ov,211,56,0
Darmanitan (Standard) (Shadow) I+RS/Ov,250,56,0
Decidueye A+FP/SSh,721,6,92
Decidueye (Hisuian) PC+AuS/TBl,432,13,0
Delphox FS+BB/Psh,507,6,3
Delphox (Shadow) FS+Psh/BB,195,56,0
Dhelmise SC+SB/PW,728,6,95
Dondozo W+S/O,379,33,0
Donphan MSl+BS/TBl,354,27,0
Donphan (Shadow) MSl+BS/TBl,379,6,0
Dragapult A+SB/O,470,6,0
Dragonite DB+TP/SP,470,12,0
Dragonite (Shadow) DB+TP/SP,170,56,0
Drampa DB+Fl/O,214,63,0
Druddigon DT+DC/NS,620,5,50
Dudunsparce RO+BS/DR,459,5,0
Duraludon DT+DC/FC,321,6,0
Electivire TS+WC/IP,694,20,81
Electivire (Shadow) TS+WC/IP,213,49,0
Emboar E+BB/RS,680,5,75
Emboar (Shadow) E+BB/RS,167,42,0
Empoleon MSo+HC/DrlP,300,20,0
Empoleon (Shadow) MSo+HC/DrlP,370,20,0
Escavalier C+DR/Mh,328,13,0
Escavalier (Shadow) BBi+DR/Mh,89,49,0
Espeon Cf+PsF/SB,692,6,80
Excadrill MSl+DR/RS,41,42,0
Excadrill (Shadow) MSl+DR/RS,41,42,0
Exeggutor Cf+SeB/P,802,6,126
Exeggutor (Alolan) DT+SeB/DM,752,6,105
Exeggutor (Alolan) (Shadow) DT+SeB/DM,709,6,87
Exeggutor (Shadow) BS+SeB/P,771,6,113
Feraligatr SC+HC/IB,488,5,0
Feraligatr (Shadow) SC+HC/IB,637,5,57
Flareon FS+SP/Ft,456,6,0
Florges FW+CW/M,591,5,38
Gallade Cf+CC/LB,538,5,16
Gallade (Shadow) Cf+CC/LB,207,56,0
Garchomp MS+BkS/EP,70,42,0
Garchomp (Shadow) DT+BkS/EP,93,56,0
Gardevoir Ch+TAx/SB,807,6,128
