Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,418,37,0
Aerodactyl (Shadow) DB+RS/EP,412,2,0
Aggron DT+RT/T,280,1,0
Aggron (Shadow) DT+RT/T,366,1,0
Alakazam C+FiP/SB,725,6,94
Alakazam (Shadow) C+FiP/SB,846,6,144
Ampharos VS+BrS/TP,403,20,0
Ampharos (Shadow) VS+BrS/TP,467,20,0
Annihilape LK+RF/CC,434,8,0
Annihilape (Shadow) C+RF/IP,353,34,0
Arboliva ML+EP/TBl,545,20,19
Arcanine Sn+WC/Cr,381,37,0
Arcanine (Hisuian) Sn+WC/RS,327,27,0
Arcanine (Shadow) Sn+WC/Cr,494,27,0
Archeops WA+DC/AP,540,37,17
Archeops (Shadow) WA+AP/Cr,572,9,30
Armaldo FC+RB/Li,390,34,0
Armaldo (Shadow) FC+RB/Li,387,37,0
Armarouge I+Psh/FmC,272,9,0
Aurorus PS+WBI/Tb,357,4,0
Aurorus (Shadow) PS+WBI/MeB,287,6,0
Avalugg IF+Av/BS,332,41,0
Avalugg (Hisuian) PS+RS/IW,255,34,0
Barbaracle FC+CrC/SE,627,4,53
Baxcalibur DB+Av/DC,346,13,0
Beartic PS+IP/S,381,30,0
Bellibolt TS+D/ZC,490,1,0
Bewear SC+SP/Pbk,531,4,13
Bewear (Shadow) SC+SP/St,398,30,0
Bisharp Sn+DP/XS,291,44,0
Blastoise RO+HC/IB,524,4,10
Blastoise (Shadow) RO+HC/IB,665,37,69
Blissey ZH+WC/HB,382,3,0
Bouffalant MS+St/Mh,576,1,32
Braviary StW+CC/BrB,452,30,0
Braviary (Hisuian) AS+BrB/Fl,620,13,50
Carracosta WG+S/BS,572,4,30
Carracosta (Shadow) WG+Li/BS,450,44,0
Centiskorch E+HW/Lu,338,30,0
Ceruledge I+SB/FmC,429,6,0
Cetitan PS+Av/SP,350,34,0
Chandelure I+SB/FmC,295,9,0
Chandelure (Shadow) I+SB/FmC,355,9,0
Charizard DB+BB/AC,524,37,10
Charizard (Shadow) DB+BB/AC,452,2,0
Chesnaught VW+FP/SP,557,1,24
Chesnaught (Shadow) VW+FP/SP,504,34,2
Cinderace FS+PB/BB,296,2,0
Coalossal FS+RS/FmC,388,15,0
Conkeldurr FPm+BrS/DyP,365,44,0
Conkeldurr (Shadow) FPm+DyP/BrS,425,37,0
Corviknight SdA+AC/IH,484,18,0
Corviknight (Shadow) SdA+AC/IH,528,4,12
Crabominable B+IP/BkB,436,44,0
Crobat AS+CP/SB,596,4,40
Crobat (Shadow) AS+CP/SB,516,4,7
Cryogonal IS+TAx/NS,514,1,6
Cursola A+NSh/PG,564,6,27
Darmanitan (Galarian) IF+Av/SP,365,9,0
Darmanitan (Standard) I+RS/Ov,365,9,0
Darmanitan (Standard) (Shadow) I+RS/Ov,435,9,0
Decidueye A+FP/SSh,661,13,67
Decidueye (Hisuian) PC+AuS/TBl,536,34,15
Delphox FS+BB/Psh,295,9,0
Delphox (Shadow) FS+Psh/BB,146,42,0
Dhelmise SC+SB/PW,564,6,27
Dondozo W+S/O,458,11,0
Donphan MSl+BS/TBl,319,27,0
Donphan (Shadow) MSl+BS/TBl,336,6,0
Dragapult A+SB/O,184,9,0
Dragonite DB+TP/SP,348,20,0
Dragonite (Shadow) DB+TP/SP,359,30,0
Drampa DB+Fl/O,428,13,0
Druddigon DT+DC/NS,497,34,0
Dudunsparce RO+BS/DR,373,27,0
Duraludon DT+DC/FC,280,6,0
Electivire TS+WC/IP,463,20,0
Electivire (Shadow) TS+WC/IP,307,2,0
Emboar E+BB/RS,390,30,0
Emboar (Shadow) E+BB/RS,167,42,0
Empoleon MSo+HC/DrlP,300,30,0
Empoleon (Shadow) MSo+HC/DrlP,370,30,0
Escavalier C+DR/Mh,480,1,0
Escavalier (Shadow) BBi+DR/Mh,296,23,0
Espeon Cf+PsF/SB,526,6,11
Excadrill MSl+DR/RS,41,42,0
Excadrill (Shadow) MSl+DR/RS,41,42,0
Exeggutor Cf+SeB/P,347,9,0
Exeggutor (Alolan) DT+SeB/DM,466,6,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,709,6,87
Exeggutor (Shadow) BS+SeB/P,509,6,4
Feraligatr SC+HC/IB,410,30,0
Feraligatr (Shadow) SC+HC/IB,480,30,0
Flareon FS+SP/Ft,409,6,0
Florges FW+CW/M,491,25,0
Gallade Cf+CC/LB,308,9,0
Gallade (Shadow) Cf+CC/LB,360,9,0
Garchomp MS+BkS/EP,70,42,0
Garchomp (Shadow) DT+BkS/EP,115,9,0
Gardevoir Ch+TAx/SB,701,13,84
Gardevoir (Shadow) Ch+TAx/SB,855,16,148
Garganacl MS+RT/RB,348,15,0
Gholdengo H+SB/FB,340,34,0
Gigalith LO+SP/MeB,280,20,0
Gigalith (Shadow) LO+MeB/RS,314,6,0
Glaceon IS+Av/IW,429,44,0
Glimmora RTh+MeB/PG,267,13,0
Gliscor WA+NS/Eq,262,6,0
Gliscor (Shadow) WA+NS/AA,381,34,0
Gogoat VW+LB/BkB,668,34,70
Golem MS+SE/RB,273,27,0
Golem (Alolan) VS+WC/SE,305,27,0
Golem (Alolan) (Shadow) VS+WC/SE,200,9,0
Golem (Shadow) MS+SE/RB,308,27,0
Golisopod FC+AJ/XS,378,30,0
Golurk MSl+ShP/DyP,440,20,0
Golurk (Shadow) MSl+ShP/DyP,149,9,0
Goodra DB+AT/TP,327,34,0
Gourgeist (Large) I+SB/SeB,600,27,42
Gourgeist (Super) I+SB/SeB,598,34,41
Grimmsnarl SkP+FoP/PR,569,30,29
Gyarados DB+AT/Cr,479,23,0
Gyarados (Shadow) DB+AT/Cr,682,2,76
Hariyama C+CC/HS,812,4,130
Hariyama (Shadow) C+CC/SP,608,4,45
Haxorus C+BkS/NS,496,34,0
Haxorus (Shadow) DT+NS/S,466,6,0
Heracross C+CC/RB,673,4,72
Hippowdon SdA+WBR/EP,115,2,0
Hippowdon (Shadow) SdA+WBR/EP,122,2,0
Hydrapple DT+SeB/O,466,34,0
Hydreigon DB+BrS/Fl,272,13,0
Hydreigon (Shadow) DB+BrS/Fl,317,13,0
Incineroar FF+BrS/BB,296,16,0
Jolteon VS+D/LR,453,20,0
Kangaskhan MSl+Cr/St,403,34,0
Kingambit MSo+FoP/IH,186,30,0
Kingdra DB+S/Sw,375,37,0
Kingdra (Shadow) DB+O/Sw,445,13,0
Kleavor QA+XS/SE,353,44,0
Klinklang TS+MrS/ZC,334,41,0
Kommo-o DT+UH/ClS,243,6,0
Krookodile MSl+Cr/ST,224,6,0
Lapras Psy+SpA/IB,363,44,0
Lapras (Shadow) Psy+SpA/IB,402,37,0
Leafeon QA+LB/LR,670,20,71
Lickilicky L+BS/SB,495,8,0
Luxray Sp+WC/Cr,473,27,0
Luxray (Shadow) Sp+WC/Cr,328,9,0
Machamp KC+CrC/SE,634,4,56
Machamp (Shadow) KC+CrC/SE,448,30,0
Magmortar FS+FiP/Tb,509,34,4
Magmortar (Shadow) KC+FiP/Tb,663,13,68
Magnezone VS+WC/MrS,273,13,0
Magnezone (Shadow) VS+WC/MrS,57,42,0
Mamoswine PS+ISp/HH,153,9,0
Mamoswine (Shadow) PS+ISp/HH,179,9,0
Metagross SC+MM/Eq,316,6,0
Metagross (Shadow) SC+MM/Eq,52,42,0
Milotic DT+S/Bl,355,44,0
Milotic (Shadow) W+AT/Wr,402,37,0
Miltank RO+BS/IB,612,1,47
Mr. Rime IS+TAx/IP,675,20,73
Mudsdale MSl+BS/Eq,281,13,0
Muk PJ+DP/TP,500,5,0
Muk (Alolan) PJ+DP/SW,418,18,0
Muk (Alolan) (Shadow) PJ+DP/SW,545,18,19
Muk (Shadow) PJ+DP/TP,500,1,0
Musharna CB+Psh/DG,466,34,0
Noivern AS+Hu/DM,412,44,0
