Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,65,28,0
Lickilicky RO+BS/SB,56,50,0
Tinkaton FW+GH/Bd,404,0,0
Altaria DB+SA/Ft,387,0,0
Empoleon MSo+HC/DrlP,61,34,0
Altaria (Shadow) DB+SA/Ft,481,9,0
Empoleon (Shadow) MSo+HC/DrlP,61,34,0
Quagsire (Shadow) MS+AT/MB,40,22,0
Quagsire MS+AT/MB,49,40,0
Jellicent H+S/SB,44,28,0
Forretress VS+ST/RT,62,40,0
Ninetales E+WBF/EB,47,16,0
Ninetales (Shadow) E+WBF/EB,47,16,0
Feraligatr SC+HC/IB,52,22,0
Forretress (Shadow) VS+ST/RT,62,40,0
Corsola (Galarian) A+NSh/PG,57,40,0
Jumpluff FW+EB/Acr,392,39,0
Clodsire PSt+Eq/SE,403,42,0
Corviknight SdA+AC/Pbk,76,59,0
Fearow Pk+DrlP/DR,60,34,0
Azumarill B+IB/PR,363,45,0
Feraligatr (Shadow) SC+HC/IB,44,10,0
Kingdra DB+S/Sw,557,0,16
Guzzlord DT+BrS/SlB,28,34,0
Lapras Psy+SpA/IB,75,59,0
Corviknight (Shadow) SdA+AC/Pbk,43,78,0
Furret SkP+Sw/TBl,46,34,0
Kingdra (Shadow) DB+S/Sw,503,0,1
Dragonair (Shadow) DB+Wr/AT,66,46,0
Sableye (Shadow) SC+FoP/DrP,44,10,0
Seismitoad MS+EP/IW,308,0,0
Umbreon Sn+FoP/LR,73,55,0
Medicham PC+IP/DyP,625,0,35
Talonflame I+Fl/BrB,51,28,0
Dragonair DB+AT/DgP,528,0,8
Oinkologne (Female) MSl+BS/TBl,80,55,0
Sliggoo DB+BS/DgP,525,18,7
Sealeo PS+S/BS,410,0,0
Greedent MS+BS/TBl,327,0,0
Sealeo (Shadow) PS+S/BS,528,9,8
Diggersby MS+FiP/ScS,43,34,0
Dusclops H+IP/ShP,97,43,0
Grumpig Psy+DyP/SB,64,46,0
Cradily Ac+RT/GK,336,36,0
Florges FW+CW/DV,372,36,0
Lapras (Shadow) Psy+SpA/IB,75,49,0
Sableye SC+FoP/PG,44,10,0
Wigglytuff Ch+IW/Sw,486,51,0
Dusclops (Shadow) H+IP/ShP,64,28,0
Moltres (Galarian) SkP+Fl/BrB,88,37,0
Blastoise RO+HC/SkB,525,18,7
Clefable FW+M/MM,611,0,31
Mantine WA+Tw/WP,442,15,0
Talonflame (Shadow) I+FmC/Fl,33,54,0
Mandibuzz Sn+FoP/SB,48,46,0
Dewgong IS+IW/DR,398,9,0
Gastrodon MSl+BS/EP,443,0,0
Malamar Psy+SP/FoP,53,34,0
Steelix (Shadow) TF+PsF/Cr,71,50,0
Drapion (Shadow) PSt+Cr/AT,59,28,0
Ninetales (Alolan) PS+WBI/CW,553,18,15
Charjabug VS+XS/D,71,50,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,575,0,21
Swampert MS+HC/Eq,55,34,0
Aegislash (Shield) PC+SB/GB,61,46,0
Bastiodon SD+SE/Ft,291,36,0
Marowak (Shadow) MSl+BC/RS,52,22,0
Swampert (Shadow) MS+HC/Eq,44,16,0
Stunfisk (Galarian) MS+RS/Eq,46,40,0
Registeel LO+FC/FB,387,36,0
Stunfisk TS+MB/D,43,34,0
Dusknoir (Shadow) A+DyP/ShP,55,4,0
Hydreigon (Shadow) DB+BrS/Fl,43,4,0
Dunsparce RO+DR/RS,342,9,0
Jumpluff (Shadow) FW+EB/Acr,454,33,0
Malamar (Shadow) Psy+FoP/SP,50,84,0
Pelipper WA+WBW/Hu,104,49,0
Melmetal TS+DbI/DyP,564,0,18
Seaking Pk+DR/IW,54,34,0
Turtonator I+BrS/DC,57,22,0
Dondozo W+S/O,403,9,0
Gourgeist (Large) I+SB/SeB,49,16,0
Milotic W+AT/Wr,454,0,0
Morpeko (Full Belly) TS+AuW/PsF,63,90,0
Oranguru Cf+BrS/TBl,91,59,0
Gourgeist (Average) I+SB/SeB,52,16,0
Gourgeist (Super) I+SB/SeB,46,16,0
Hydreigon DB+BrS/Fl,56,22,0
Shelgon DB+Tw/Ft,69,46,0
Samurott FC+HC/Mh,55,34,0
Shelgon (Shadow) DB+Tw/Ft,65,40,0
Doublade SC+SSw/GB,75,40,0
Drapion PSt+Cr/AT,63,34,0
Morgrem SkP+FoP/PR,37,10,0
Castform (Sunny) E+WBF/SoB,41,16,0
Dusknoir A+DyP/ShP,72,22,0
Gourgeist (Small) I+SB/SeB,56,16,0
Crustle FC+XS/RW,618,0,33
Spidops SC+Lu/RT,290,21,0
Toxapex PJ+Bri/SW,640,0,39
Aromatisse FW+Psh/M,611,0,31
Milotic (Shadow) W+AT/Wr,64,46,0
Miltank RO+BS/Tb,393,36,0
Carbink RTh+RS/M,719,0,61
Golisopod FC+XS/AJ,503,0,1
Ludicolo A+WBW/EB,55,34,0
Primeape (Shadow) KC+RF/IP,51,16,0
Aurorus PS+WBI/MeB,564,0,18
