Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,202,26,0
Abomasnow (Shadow) PS+WBI/EB,202,26,0
Absol PC+BrS/Mh,695,0,54
Absol (Shadow) PC+BrS/Mh,463,50,0
Accelgor WSh+BBu/AS,862,0,100
Accelgor (Shadow) WSh+BBu/SiB,757,0,71
Aegislash (Shield) PC+SB/GB,579,0,22
Aerodactyl DB+RS/EP,304,46,0
Aerodactyl (Shadow) DB+RS/EP,304,46,0
Aggron DT+RT/T,132,53,0
Aggron (Shadow) DT+RT/T,273,8,0
Aipom A+Sw/AA,663,4,45
Aipom (Shadow) A+Sw/AA,608,0,30
Alakazam PC+FiP/SB,579,0,22
Alakazam (Shadow) PC+FiP/SB,528,0,8
Alomomola W+HP/Bl,807,6,85
Altaria DB+SA/Ft,500,32,0
Altaria (Shadow) DB+SA/Ft,500,0,0
Amaura PS+WBI/Tb,175,26,0
Amaura (Shadow) PS+WBI/Tb,175,26,0
Ambipom A+AA/Re,793,0,81
Ambipom (Shadow) A+AA/LS,735,0,65
Amoonguss A+FoP/GK,688,12,52
Amoonguss (Shadow) A+GK/FoP,659,0,44
Ampharos VS+BrS/TBl,670,3,47
Ampharos (Shadow) VS+BrS/TBl,626,3,35
Annihilape LK+RF/CC,626,0,35
Annihilape (Shadow) C+RF/IP,630,0,36
Anorith StB+AJ/AP,851,0,97
Anorith (Shadow) StB+AJ/CP,822,0,89
Appletun A+SeB/O,775,0,76
Araquanid BBi+WP/BuB,619,2,33
Arbok Ac+DP/SW,807,0,85
Arbok (Shadow) Ac+DP/SW,760,0,72
Arboliva ML+EP/TBl,840,0,94
Arcanine FF+WC/PsF,717,0,60
Arcanine (Hisuian) Sn+WC/RS,590,20,25
Arcanine (Shadow) FF+WC/PsF,641,0,39
Archen WA+AP/Cr,435,50,0
Archen (Shadow) WA+AP/Cr,435,50,0
Archeops WA+AP/Cr,358,50,0
Archeops (Shadow) WA+AP/Cr,476,50,0
Arctibax DB+Av/DC,321,46,0
Ariados PSt+Lu/TBl,731,0,64
Armaldo FC+RB/Li,612,0,31
Armaldo (Shadow) FC+RB/Li,572,0,20
Armarouge I+Psh/HW,659,0,44
Aromatisse Ch+Psh/M,282,20,0
Aron MSo+RT/BS,322,30,0
Aron (Shadow) MSo+RT/BS,216,53,0
Articuno PS+IW/Hu,202,50,0
Articuno (Galarian) PC+Fl/BrB,663,0,45
Articuno (Shadow) PS+TAx/Hu,296,46,0
Audino ZH+BS/DV,586,54,24
Aurorus PS+WBI/MeB,176,26,0
Aurorus (Shadow) PS+WBI/MeB,176,26,0
Avalugg IF+Av/BS,185,42,0
Avalugg (Hisuian) PS+RS/IW,209,50,0
Axew Scr+AT/DC,739,100,66
Azelf Cf+Sw/FS,583,0,23
Azumarill B+IB/PR,353,26,0
Banette SC+SB/DG,760,0,72
Banette (Shadow) SC+SB/DG,713,0,59
Barbaracle FC+CrC/SE,452,48,0
Basculin WG+AT/AJ,702,0,56
Bastiodon SD+SE/Ft,244,58,0
Bastiodon (Shadow) SD+SE/Ft,262,58,0
Baxcalibur DB+Av/DC,476,41,0
Bayleef ML+AP/EB,706,44,57
Bayleef (Shadow) ML+AP/EB,909,0,113
Beartic PS+IP/Li,246,34,0
Beautifly Inf+AC/SvW,786,0,79
Beedrill PSt+XS/DR,768,0,74
Beedrill (Shadow) PSt+XS/DR,706,0,57
Beheeyem Cf+RS/DP,735,0,65
Bellibolt TS+ZC/PbC,396,23,0
Bellossom Ac+LB/DG,793,8,81
Bellossom (Shadow) Ac+LB/DG,510,0,3
