Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,576,6,25
Lickilicky RO+BS/SB,487,6,0
Tinkaton FW+GH/Bd,244,1,0
Altaria DB+SA/Ft,881,13,125
Empoleon MSo+HC/DrlP,40,40,0
Altaria (Shadow) DB+SA/Ft,899,5,131
Empoleon (Shadow) MSo+HC/DrlP,61,40,0
Quagsire (Shadow) MS+AT/MB,326,29,0
Quagsire MS+AT/MB,273,29,0
Jellicent H+S/SB,378,33,0
Forretress VS+ST/RT,375,6,0
Ninetales E+WBF/EB,301,17,0
Ninetales (Shadow) E+WBF/EB,341,17,0
Feraligatr SC+HC/IB,484,25,0
Forretress (Shadow) VS+ST/RT,332,25,0
Corsola (Galarian) A+NSh/PG,424,34,0
Jumpluff FW+EB/Acr,649,29,49
Clodsire PSt+Eq/SE,661,2,53
Corviknight SdA+AC/Pbk,560,6,20
Fearow Pk+DrlP/DR,661,5,53
Azumarill B+IB/PR,564,2,21
Feraligatr (Shadow) SC+HC/IB,80,40,0
Kingdra DB+S/Sw,368,37,0
Guzzlord DT+BrS/SlB,713,2,70
Lapras Psy+SpA/IB,326,41,0
Corviknight (Shadow) SdA+AC/Pbk,533,33,11
Furret SkP+Sw/TBl,548,10,16
Kingdra (Shadow) DB+S/Sw,338,13,0
Dragonair (Shadow) DB+Wr/AT,631,5,43
Sableye (Shadow) SC+FoP/DrP,533,2,11
Seismitoad MS+EP/IW,327,29,0
Umbreon Sn+FoP/LR,413,30,0
Medicham PC+IP/DyP,209,5,0
Talonflame I+Fl/BrB,612,9,37
Dragonair DB+AT/DgP,664,21,54
Oinkologne (Female) MSl+BS/TBl,359,41,0
Sliggoo DB+BS/DgP,594,2,31
Sealeo PS+S/BS,354,41,0
Greedent MS+BS/TBl,276,45,0
Sealeo (Shadow) PS+S/BS,428,25,0
Diggersby MS+FiP/ScS,615,2,38
Dusclops H+IP/ShP,444,42,0
Grumpig Psy+DyP/SB,268,13,0
Cradily Ac+RT/GK,576,2,25
Florges FW+CW/DV,445,2,0
Lapras (Shadow) Psy+SpA/IB,379,9,0
Sableye SC+FoP/PG,658,2,52
Wigglytuff Ch+IW/Sw,673,18,57
Dusclops (Shadow) H+IP/ShP,609,18,36
Moltres (Galarian) SkP+Fl/BrB,719,1,72
Blastoise RO+HC/SkB,426,33,0
Clefable FW+M/MM,85,40,0
