Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lickilicky RO+BS/SB,578,0,30
Tinkaton FW+GH/Bd,340,28,0
Altaria DB+SA/Ft,646,55,56
Empoleon MSo+HC/DrlP,381,34,0
Mimikyu SC+SS/PR,327,33,0
Altaria (Shadow) DB+SA/Ft,777,0,106
Empoleon (Shadow) MSo+HC/DrlP,377,12,0
Quagsire (Shadow) MS+AT/MB,581,28,31
Quagsire MS+AT/MB,552,0,20
Jellicent H+S/SB,314,45,0
Forretress VS+ST/RT,312,17,0
Ninetales E+WBF/EB,488,28,0
Cramorant Pk+Dve/Fl,361,11,0
Ninetales (Shadow) E+WBF/EB,484,0,0
Feraligatr SC+HC/IB,452,34,0
Forretress (Shadow) VS+ST/RT,332,11,0
Corsola (Galarian) A+NSh/PG,507,1,3
Jumpluff FW+EB/Acr,434,44,0
Clodsire PSt+Eq/SE,430,33,0
Corviknight SdA+AC/Pbk,528,0,11
Fearow Pk+DrlP/DR,659,0,61
Feraligatr (Shadow) SC+HC/IB,505,34,2
Kingdra DB+S/Sw,531,1,12
Azumarill B+IB/PR,500,2,0
Guzzlord DT+BrS/SlB,732,6,89
Furret SkP+Sw/TBl,390,22,0
Kingdra (Shadow) DB+S/Sw,709,6,80
Lapras Psy+SpA/IB,396,1,0
Corviknight (Shadow) SdA+AC/Pbk,453,44,0
Dragonair (Shadow) DB+Wr/AT,541,0,16
Sableye (Shadow) SC+FoP/DrP,623,6,47
Seismitoad MS+EP/IW,500,50,0
Umbreon Sn+FoP/LR,709,1,80
Medicham PC+IP/DyP,664,23,63
Talonflame I+Fl/BrB,615,0,44
Dragonair DB+AT/DgP,803,6,116
Oinkologne (Female) MSl+BS/TBl,386,33,0
Sliggoo DB+BS/DgP,638,0,53
Sealeo PS+S/BS,502,7,1
Greedent MS+BS/TBl,347,22,0
Grumpig Psy+DyP/SB,409,33,0
Sealeo (Shadow) PS+S/BS,389,45,0
Thievul SkP+NS/IW,641,56,54
Diggersby MS+FiP/ScS,599,0,38
Dusclops H+IP/ShP,384,61,0
Lapras (Shadow) Psy+SpA/IB,363,45,0
Sableye SC+FoP/PG,657,6,60
Wigglytuff Ch+IW/Sw,417,44,0
Cradily Ac+RT/GK,447,33,0
Dusclops (Shadow) H+IP/ShP,513,0,5
Florges FW+CW/DV,591,28,35
Moltres (Galarian) SkP+Fl/BrB,688,6,72
Blastoise RO+HC/SkB,326,45,0
Clefable FW+M/MM,469,28,0
Mantine WA+Tw/WP,583,1,32
Talonflame (Shadow) I+FmC/Fl,646,0,56
Mandibuzz Sn+FoP/SB,688,0,72
Dewgong IS+IW/DR,523,40,9
Malamar Psy+SP/FoP,664,6,63
Steelix (Shadow) TF+PsF/Cr,480,22,0
Charjabug VS+XS/D,384,11,0
Drapion (Shadow) PSt+Cr/AT,589,6,34
Gastrodon MSl+BS/EP,410,44,0
Ninetales (Alolan) PS+WBI/CW,554,29,21
Ninetales (Alolan) (Shadow) PS+WBI/CW,714,6,82
Swampert MS+HC/Eq,536,28,14
Aegislash (Shield) PC+SB/GB,359,0,0
Bastiodon SD+SE/Ft,402,50,0
Marowak (Shadow) MSl+BC/RS,659,0,61
Swampert (Shadow) MS+HC/Eq,602,6,39
Stunfisk (Galarian) MS+RS/Eq,599,0,38
Stunfisk TS+MB/D,485,22,0
Hydreigon (Shadow) DB+BrS/Fl,672,0,66
Registeel LO+FC/FB,437,7,0
Dusknoir (Shadow) A+DyP/ShP,589,6,34
Malamar (Shadow) Psy+FoP/SP,649,6,57
Dunsparce RO+DR/RS,573,0,28
Jumpluff (Shadow) FW+EB/Acr,450,0,0
Melmetal TS+DbI/DyP,383,33,0
Morpeko (Full Belly) TS+AuW/PsF,271,44,0
Pelipper WA+WBW/Hu,373,44,0
Turtonator I+BrS/DC,654,0,59
Oranguru Cf+BrS/TBl,366,22,0
Seaking Pk+DR/IW,427,34,0
Dondozo W+S/O,636,7,52
Gourgeist (Large) I+SB/SeB,426,33,0
Gourgeist (Super) I+SB/SeB,426,44,0
Milotic W+AT/Wr,473,1,0
Shelgon DB+Tw/Ft,821,6,123
Gourgeist (Average) I+SB/SeB,439,33,0
Hydreigon DB+BrS/Fl,780,0,107
Drapion PSt+Cr/AT,539,39,15
Shelgon (Shadow) DB+Tw/Ft,732,0,89
Doublade SC+SSw/GB,452,28,0
Morgrem SkP+FoP/PR,657,6,60
Samurott FC+HC/Mh,452,34,0
Crustle FC+XS/RW,623,11,47
Dusknoir A+DyP/ShP,510,28,4
Gourgeist (Small) I+SB/SeB,457,33,0
Castform (Sunny) E+WBF/SoB,544,39,17
Spidops SC+Lu/RT,465,1,0
Aromatisse FW+Psh/M,397,22,0
Toxapex PJ+Bri/SW,177,6,0
Miltank RO+BS/Tb,340,22,0
Carbink RTh+RS/M,617,23,45
Golisopod FC+XS/AJ,453,56,0
Milotic (Shadow) W+AT/Wr,427,23,0
Crustle (Shadow) FC+XS/RW,596,0,37
Ludicolo A+WBW/EB,302,28,0
Aurorus PS+WBI/MeB,557,17,22
Gligar WA+NS/Dg,722,0,85
Lumineon G+AT/SvW,565,7,25
Primeape (Shadow) KC+RF/IP,594,0,36
Togekiss Pk+Psh/AuS,688,0,72
Grumpig (Shadow) Psy+DyP/SB,541,17,16
Politoed (Shadow) MS+WBW/IB,562,1,24
Sylveon FW+Psh/SB,442,44,0
