Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,364,38,0
Lickilicky RO+BS/SB,418,13,0
Tinkaton FW+GH/Bd,397,5,0
Altaria DB+SA/Ft,405,13,0
Empoleon MSo+HC/DrlP,295,20,0
Altaria (Shadow) DB+SA/Ft,221,55,0
Empoleon (Shadow) MSo+HC/DrlP,311,20,0
Quagsire (Shadow) MS+AT/MB,596,4,29
Quagsire MS+AT/MB,496,22,0
Jellicent H+S/SB,616,4,35
Forretress VS+ST/RT,390,13,0
Ninetales E+WBF/EB,305,2,0
Ninetales (Shadow) E+WBF/EB,226,37,0
Feraligatr SC+HC/IB,412,20,0
Forretress (Shadow) VS+ST/RT,343,2,0
Corsola (Galarian) A+NSh/PG,510,22,3
Jumpluff FW+EB/Acr,743,3,73
Clodsire PSt+Eq/SE,596,14,29
Corviknight SdA+AC/Pbk,400,15,0
Fearow Pk+DrlP/DR,613,29,34
Azumarill B+IB/PR,374,21,0
Feraligatr (Shadow) SC+HC/IB,480,20,0
Kingdra DB+S/Sw,593,4,28
Guzzlord DT+BrS/SlB,488,3,0
Lapras Psy+SpA/IB,463,31,0
Corviknight (Shadow) SdA+AC/Pbk,490,15,0
Furret SkP+Sw/TBl,570,4,21
Kingdra (Shadow) DB+S/Sw,563,29,19
Dragonair (Shadow) DB+Wr/AT,536,20,11
Sableye (Shadow) SC+FoP/DrP,472,20,0
Seismitoad MS+EP/IW,454,31,0
Umbreon Sn+FoP/LR,394,30,0
Medicham PC+IP/DyP,510,29,3
Talonflame I+Fl/BrB,211,12,0
Dragonair DB+AT/DgP,550,4,15
Oinkologne (Female) MSl+BS/TBl,670,31,51
Sliggoo DB+BS/DgP,573,13,22
Sealeo PS+S/BS,434,4,0
Greedent MS+BS/TBl,633,5,40
Sealeo (Shadow) PS+S/BS,383,29,0
Diggersby MS+FiP/ScS,367,13,0
Dusclops H+IP/ShP,586,13,26
Grumpig Psy+DyP/SB,606,4,32
Cradily Ac+RT/GK,472,23,0
Florges FW+CW/DV,404,31,0
Lapras (Shadow) Psy+SpA/IB,474,4,0
Sableye SC+FoP/PG,408,20,0
Wigglytuff Ch+IW/Sw,495,21,0
Dusclops (Shadow) H+IP/ShP,543,4,13
Moltres (Galarian) SkP+Fl/BrB,358,20,0
Blastoise RO+HC/SkB,496,13,0
Clefable FW+M/MM,630,3,39
Mantine WA+Tw/WP,510,40,3
Talonflame (Shadow) I+FmC/Fl,270,12,0
Mandibuzz Sn+FoP/SB,380,5,0
Dewgong IS+IW/DR,347,31,0
Gastrodon MSl+BS/EP,666,13,50
Malamar Psy+SP/FoP,399,29,0
Steelix (Shadow) TF+PsF/Cr,146,21,0
Drapion (Shadow) PSt+Cr/AT,440,20,0
Ninetales (Alolan) PS+WBI/CW,332,11,0
Charjabug VS+XS/D,305,2,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,392,11,0
Swampert MS+HC/Eq,286,64,0
Aegislash (Shield) PC+SB/GB,424,49,0
Bastiodon SD+SE/Ft,230,24,0
Marowak (Shadow) MSl+BC/RS,630,4,39
Swampert (Shadow) MS+HC/Eq,334,30,0
Stunfisk (Galarian) MS+RS/Eq,343,6,0
Registeel LO+FC/FB,325,6,0
Stunfisk TS+MB/D,119,30,0
Dusknoir (Shadow) A+DyP/ShP,272,37,0
Hydreigon (Shadow) DB+BrS/Fl,656,2,47
Dunsparce RO+DR/RS,543,5,13
Jumpluff (Shadow) FW+EB/Acr,730,29,69
Malamar (Shadow) Psy+FoP/SP,460,29,0
Pelipper WA+WBW/Hu,666,4,50
Melmetal TS+DbI/DyP,253,20,0
Seaking Pk+DR/IW,463,40,0
Turtonator I+BrS/DC,336,20,0
Dondozo W+S/O,451,31,0
Gourgeist (Large) I+SB/SeB,299,12,0
Milotic W+AT/Wr,477,4,0
Morpeko (Full Belly) TS+AuW/PsF,131,19,0
Oranguru Cf+BrS/TBl,730,4,69
Gourgeist (Average) I+SB/SeB,630,11,39
Gourgeist (Super) I+SB/SeB,313,12,0
Hydreigon DB+BrS/Fl,516,20,5
Shelgon DB+Tw/Ft,288,55,0
Samurott FC+HC/Mh,437,20,0
Shelgon (Shadow) DB+Tw/Ft,264,37,0
Doublade SC+SSw/GB,273,20,0
Drapion PSt+Cr/AT,600,3,30
Morgrem SkP+FoP/PR,435,29,0
Castform (Sunny) E+WBF/SoB,301,2,0
Dusknoir A+DyP/ShP,516,4,5
Gourgeist (Small) I+SB/SeB,303,12,0
Crustle FC+XS/RW,623,4,37
Spidops SC+Lu/RT,616,3,35
Toxapex PJ+Bri/SW,610,23,33
Aromatisse FW+Psh/M,623,12,37
Milotic (Shadow) W+AT/Wr,546,4,14
Miltank RO+BS/Tb,453,22,0
Carbink RTh+RS/M,198,15,0
Golisopod FC+XS/AJ,743,2,73
Ludicolo A+WBW/EB,646,11,44
Primeape (Shadow) KC+RF/IP,616,72,35
Aurorus PS+WBI/MeB,140,21,0
Crustle (Shadow) FC+XS/RW,278,46,0
Gligar WA+NS/Dg,620,22,36
Politoed (Shadow) MS+WBW/IB,556,4,17
Togekiss Pk+Psh/AuS,421,29,0
Grumpig (Shadow) Psy+DyP/SB,573,4,22
