Pokemon,Battle Rating,Energy Remaining,HP Remaining
Tinkaton FW+GH/Bd,49,56,0
Ninetales (Shadow) E+WBF/EB,597,30,28
Corsola (Galarian) A+NSh/PG,520,2,6
Corviknight SdA+AC/IH,240,46,0
Cramorant Pk+Dve/Fl,631,38,38
Quagsire (Shadow) MS+AT/SE,795,6,85
Quagsire MS+AT/SE,836,6,97
Altaria DB+M/Ft,583,4,24
Melmetal TS+DbI/DyP,181,14,0
Empoleon MSo+HC/DrlP,344,30,0
Mantine WA+Tw/WP,621,4,35
Ninetales E+WBF/EB,621,4,35
Snorlax Psy+BS/Eq,607,4,31
Empoleon (Shadow) MSo+HC/DrlP,393,30,0
Florges FW+CW/DV,593,4,27
Thievul SkP+NS/IW,362,46,0
Corviknight (Shadow) SdA+AC/IH,263,38,0
Mimikyu SC+SS/PR,214,54,0
Feraligatr SC+HC/IB,722,6,64
Jellicent H+S/SB,416,46,0
Altaria (Shadow) DB+M/Ft,456,46,0
Araquanid Inf+WP/MrC,559,4,17
Furret SkP+Sw/TBl,384,54,0
Azumarill B+IB/PR,642,4,41
Clodsire PSt+Eq/SE,360,4,0
Fearow Pk+DrlP/DR,687,14,54
Vigoroth Scr+BS/Bd,666,4,48
Deoxys (Defense) LK+PB/Tb,489,12,0
Marowak MSl+BC/RS,552,4,15
Annihilape LK+RF/IP,360,30,0
Annihilape (Shadow) LK+RF/IP,410,30,0
Feraligatr (Shadow) SC+HC/IB,531,6,9
Malamar Psy+SP/FoP,374,30,0
Sableye (Shadow) SC+FoP/DrP,408,30,0
Electrode (Hisuian) TS+WC/EB,579,46,23
Malamar (Shadow) Psy+FoP/SP,438,22,0
Lapras Psy+SpA/IB,424,46,0
Umbreon Sn+DP/LR,531,2,9
Dondozo W+S/O,652,4,44
Guzzlord DT+BrS/SlB,604,4,30
Mandibuzz Sn+DP/SB,677,20,51
Snorlax (Shadow) Psy+BS/SP,366,30,0
Vigoroth (Shadow) Scr+BkB/RS,441,30,0
Araquanid (Shadow) Inf+WP/MrC,382,46,0
Kingdra DB+S/Sw,432,38,0
Hippowdon SdA+WBR/EP,485,46,0
Kingdra (Shadow) DB+S/Sw,466,30,0
Sableye SC+FoP/PG,396,54,0
Jumpluff FW+EB/Acr,628,4,37
Blastoise Bi+HC/SkB,457,38,0
Hydreigon (Shadow) DB+BrS/Fl,638,22,40
Carbink RTh+RS/M,638,28,40
Hippowdon (Shadow) SdA+WBR/EP,666,6,48
Medicham PC+IP/DyP,294,30,0
Forretress VS+ST/RT,538,2,11
Moltres (Galarian) SkP+Fl/BrB,607,54,31
Spidops SC+Lu/RT,354,46,0
Dragonair (Shadow) DB+Wr/AT,500,54,0
Turtonator I+BrS/DC,510,4,3
Charjabug VS+XS/D,452,30,0
Cradily Ac+RT/GK,500,4,0
Diggersby MS+FiP/ScS,618,4,34
Ninetales (Alolan) PS+WBI/CW,472,22,0
Lapras (Shadow) Psy+SpA/IB,500,38,0
Swampert MS+HC/Eq,927,6,123
Swampert (Shadow) MS+HC/Eq,708,6,60
Dewgong IS+IW/DR,559,4,17
Dusclops (Shadow) H+IP/ShP,300,30,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,576,6,22
Rillaboom Scr+DrB/EP,586,4,25
Doublade SC+SSw/IH,183,38,0
Aegislash (Shield) PC+SB/GB,183,28,0
Dusclops H+IP/ShP,462,20,0
Marowak (Shadow) MSl+BC/RS,670,30,49
Dragonair DB+AT/DgP,510,4,3
