Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,186,57,0
Lickilicky RO+BS/SB,281,48,0
Tinkaton FW+GH/Bd,205,66,0
Altaria DB+SA/Ft,587,6,28
Empoleon MSo+HC/DrlP,418,15,0
Altaria (Shadow) DB+SA/Ft,700,57,64
Empoleon (Shadow) MSo+HC/DrlP,274,48,0
Quagsire (Shadow) MS+AT/MB,587,6,28
Quagsire MS+AT/MB,618,6,38
Jellicent H+S/SB,285,48,0
Forretress VS+ST/RT,367,42,0
Ninetales E+WBF/EB,448,33,0
Ninetales (Shadow) E+WBF/EB,313,66,0
Feraligatr SC+HC/IB,396,66,0
Forretress (Shadow) VS+ST/RT,398,24,0
Corsola (Galarian) A+NSh/PG,248,66,0
Jumpluff FW+EB/Acr,637,6,44
Clodsire PSt+Eq/SE,578,60,25
Corviknight SdA+AC/Pbk,353,15,0
Fearow Pk+DrlP/DR,556,6,18
Azumarill B+IB/PR,581,0,26
Feraligatr (Shadow) SC+HC/IB,396,30,0
Kingdra DB+S/Sw,628,48,41
Guzzlord DT+BrS/SlB,784,3,91
Lapras Psy+SpA/IB,488,51,0
Corviknight (Shadow) SdA+AC/Pbk,230,48,0
Furret SkP+Sw/TBl,331,66,0
Kingdra (Shadow) DB+S/Sw,700,3,64
Dragonair (Shadow) DB+Wr/AT,734,3,75
Sableye (Shadow) SC+FoP/DrP,492,30,0
Seismitoad MS+EP/IW,587,6,28
Umbreon Sn+FoP/LR,439,15,0
Medicham PC+IP/DyP,756,6,82
Talonflame I+Fl/BrB,329,57,0
Dragonair DB+AT/DgP,690,39,61
Oinkologne (Female) MSl+BS/TBl,612,24,36
Sliggoo DB+BS/DgP,512,6,4
Sealeo PS+S/BS,550,24,16
Greedent MS+BS/TBl,550,51,16
Sealeo (Shadow) PS+S/BS,593,6,30
Diggersby MS+FiP/ScS,568,0,22
Dusclops H+IP/ShP,287,66,0
Grumpig Psy+DyP/SB,291,57,0
Cradily Ac+RT/GK,468,51,0
Florges FW+CW/DV,525,42,8
Lapras (Shadow) Psy+SpA/IB,606,6,34
Sableye SC+FoP/PG,384,30,0
Wigglytuff Ch+IW/Sw,609,6,35
Dusclops (Shadow) H+IP/ShP,300,48,0
Moltres (Galarian) SkP+Fl/BrB,375,57,0
Blastoise RO+HC/SkB,612,6,36
Clefable FW+M/MM,578,6,25
Mantine WA+Tw/WP,479,42,0
Talonflame (Shadow) I+FmC/Fl,385,57,0
Mandibuzz Sn+FoP/SB,448,15,0
Dewgong IS+IW/DR,518,0,6
Gastrodon MSl+BS/EP,565,6,21
Malamar Psy+SP/FoP,366,30,0
Steelix (Shadow) TF+PsF/Cr,365,6,0
Drapion (Shadow) PSt+Cr/AT,334,30,0
Ninetales (Alolan) PS+WBI/CW,625,6,40
Charjabug VS+XS/D,353,57,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,540,6,13
Swampert MS+HC/Eq,618,6,38
Aegislash (Shield) PC+SB/GB,194,24,0
Bastiodon SD+SE/Ft,266,27,0
Marowak (Shadow) MSl+BC/RS,525,6,8
Swampert (Shadow) MS+HC/Eq,448,48,0
Stunfisk (Galarian) MS+RS/Eq,343,60,0
Registeel LO+FC/FB,248,60,0
Stunfisk TS+MB/D,596,24,31
Dusknoir (Shadow) A+DyP/ShP,422,30,0
Hydreigon (Shadow) DB+BrS/Fl,650,3,48
Dunsparce RO+DR/RS,494,60,0
Jumpluff (Shadow) FW+EB/Acr,631,6,42
Malamar (Shadow) Psy+FoP/SP,431,30,0
Pelipper WA+WBW/Hu,662,6,52
Melmetal TS+DbI/DyP,390,33,0
Seaking Pk+DR/IW,675,6,56
Turtonator I+BrS/DC,531,6,10
Dondozo W+S/O,470,42,0
Gourgeist (Large) I+SB/SeB,393,57,0
Milotic W+AT/Wr,562,6,20
Morpeko (Full Belly) TS+AuW/PsF,725,3,72
Oranguru Cf+BrS/TBl,478,24,0
Gourgeist (Average) I+SB/SeB,404,57,0
Gourgeist (Super) I+SB/SeB,379,57,0
Hydreigon DB+BrS/Fl,728,3,73
Shelgon DB+Tw/Ft,612,39,36
Samurott FC+HC/Mh,356,30,0
Shelgon (Shadow) DB+Tw/Ft,709,3,67
Doublade SC+SSw/GB,264,57,0
Drapion PSt+Cr/AT,292,30,0
Morgrem SkP+FoP/PR,452,48,0
Castform (Sunny) E+WBF/SoB,414,33,0
Dusknoir A+DyP/ShP,338,39,0
Gourgeist (Small) I+SB/SeB,359,57,0
Crustle FC+XS/RW,347,30,0
Spidops SC+Lu/RT,263,48,0
Toxapex PJ+Bri/SW,389,42,0
Aromatisse FW+Psh/M,336,66,0
Milotic (Shadow) W+AT/Wr,389,66,0
Miltank RO+BS/Tb,603,33,33
Carbink RTh+RS/M,480,0,0
Golisopod FC+XS/AJ,370,30,0
Ludicolo A+WBW/EB,335,48,0
Primeape (Shadow) KC+RF/IP,768,3,86
Aurorus PS+WBI/MeB,301,48,0
Crustle (Shadow) FC+XS/RW,391,30,0
Gligar WA+NS/Dg,650,6,48
Politoed (Shadow) MS+WBW/IB,668,6,54
Togekiss Pk+Psh/AuS,675,6,56
Grumpig (Shadow) Psy+DyP/SB,321,48,0
Lumineon G+AT/SvW,332,66,0
Sylveon FW+Psh/SB,346,48,0
Noctowl WA+SB/Re,309,57,0
Toucannon Pk+BBl/DrlP,439,48,0
Toucannon (Shadow) Pk+BBl/DrlP,731,3,74
Walrein PS+ISp/Eq,593,6,30
Gligar (Shadow) WA+NS/Dg,618,30,38
Sandslash (Alolan) PS+IP/DR,376,15,0
Thievul SkP+NS/PR,385,30,0
Hippowdon SdA+WBR/EP,506,6,2
Lickitung L+BS/PW,446,60,0
Weezing (Galarian) (Shadow) FW+Sl/BrS,461,57,0
Araquanid BBi+WP/BuB,397,15,0
Cresselia PC+GK/M,562,0,20
Greninja (Shadow) WSh+HC/NS,731,3,74
Swalot MS+Sl/IB,456,51,0
Murkrow (Shadow) Pk+DrlP/FoP,615,3,37
Regidrago DB+DrE/VG,487,57,0
Goodra DB+AT/TP,675,57,56
Linoone SC+Sw/GK,603,6,33
Bellibolt TS+ZC/PbC,454,6,0
Pachirisu VS+HF/TP,550,0,16
Sandslash (Alolan) (Shadow) PS+IP/DR,424,15,0
Steelix TF+PsF/Cr,285,42,0
Zweilous DB+BS/DP,678,3,57
Kommo-o DT+ClS/UH,696,3,63
Lanturn WG+S/Tb,469,42,0
Spiritomb SkP+RT/SB,394,21,0
Araquanid (Shadow) BBi+BuB/WP,323,66,0
Giratina (Altered) (Shadow) DB+DC/SS,446,57,0
Qwilfish (Shadow) PSt+AT/SB,439,30,0
Annihilape LK+RF/IP,790,12,93
Diggersby (Shadow) MS+ScS/FiP,637,6,44
Klefki A+FoP/PR,235,48,0
Ledian RO+DyP/Acr,492,42,0
Marowak MSl+BC/RS,631,6,42
Walrein (Shadow) PS+ISp/Eq,409,66,0
Zweilous (Shadow) DB+BS/DP,587,3,28
Dragalge Ac+AT/O,543,6,14
Dudunsparce RO+BS/DR,584,6,27
Hakamo-o DT+BkB/RT,868,3,118
Pidgeot G+AC/BrB,387,66,0
Samurott (Shadow) FC+HC/Mh,411,12,0
Abomasnow (Shadow) PS+WBI/EB,447,66,0
Metang (Shadow) FC+Psh/GB,186,57,0
Politoed MS+WBW/IB,606,6,34
Dubwool DK+BS/Pbk,575,6,24
Gyarados DB+AT/Tw,596,6,31
Abomasnow PS+WBI/EB,618,6,38
Annihilape (Shadow) C+RF/IP,743,3,78
Hippowdon (Shadow) SdA+WBR/EP,419,57,0
Amoonguss A+FoP/GK,378,48,0
Charjabug (Shadow) VS+XS/D,357,30,0
Metang FC+Psh/GB,162,57,0
Poliwrath MS+IW/DyP,737,6,76
Bronzong Cf+WBW/Pbk,304,33,0
Emolga TS+Acr/D,440,57,0
Raikou TS+WC/AuS,396,30,0
Weezing (Galarian) FW+Sl/BrS,375,57,0
Castform H+WBR/EB,540,6,13
Castform (Rainy) WG+WBW/T,618,6,38
Dartrix Pk+BrB/EB,477,57,0
Dewott FC+AT/XS,325,30,0
Gyarados (Shadow) DB+AT/Tw,593,48,30
Orthworm MSl+RT/Eq,418,9,0
Rapidash (Shadow) I+DR/WC,437,57,0
Blastoise (Shadow) RO+HC/SkB,388,66,0
Tentacruel Ac+Sc/Pbk,328,66,0
Articuno PS+IW/Hu,468,33,0
Dewott (Shadow) FC+AT/XS,414,30,0
Primeape KC+RF/IP,803,3,97
Greninja WSh+HC/NS,765,3,85
Pangoro KC+CC/NS,778,3,89
Cradily (Shadow) Ac+RT/GK,368,57,0
Cetitan PS+ISp/SP,581,6,26
Electrode (Hisuian) TS+WC/EB,469,66,0
Machamp (Shadow) KC+CrC/RS,787,3,92
Qwilfish PSt+AT/SB,406,48,0
Torkoal E+FW/Ov,335,15,0
Gallade (Shadow) PC+CC/LB,815,3,101
Latias DB+AuS/MsB,612,66,36
Aurorus (Shadow) PS+WBI/MeB,378,48,0
Kecleon SkP+TP/DyP,575,6,24
Rufflet Pk+BrB/Fl,450,57,0
Dodrio Pk+DrlP/BrB,537,39,12
Oinkologne MSl+BS/TBl,600,6,32
Solrock Psy+WBF/RS,596,6,31
Wormadam (Trash) SkP+BBu/IH,200,57,0
Dragonite (Shadow) DB+TP/SP,743,3,78
Vespiquen FC+XS/PG,321,30,0
Gogoat VW+LB/RS,621,6,39
Grimmsnarl SkP+FoP/PR,559,12,19
Mightyena (Shadow) SkP+Cr/PF,521,3,7
Nidoqueen MSl+EP/PF,562,6,20
Swanna (Shadow) G+AJ/Fl,477,48,0
Dewgong (Shadow) IS+IW/DR,571,33,23
Machoke (Shadow) KC+CrC/DyP,812,3,100
Swanna G+AJ/Fl,402,66,0
Cetoddle PS+Av/BS,525,6,8
Coalossal FS+RS/FmC,350,51,0
Primarina W+DV/HC,419,48,0
Raichu TS+WC/TBl,403,30,0
Arctibax DB+Av/DC,490,57,0
Claydol MSl+RT/SB,487,6,0
Drampa DB+Sw/DgP,796,3,95
Gliscor WA+ST/Acr,712,30,68
Mawile FW+VG/IH,420,15,0
Amoonguss (Shadow) A+GK/FoP,451,48,0
Bellossom Ac+LB/DG,628,6,41
Klang MSo+VG/Tb,400,51,0
Lunatone Psy+WBI/RS,596,6,31
Marowak (Alolan) (Shadow) FS+SBo/BC,280,48,0
Ledian (Shadow) RO+DyP/Acr,373,66,0
Machamp KC+CrC/RS,812,3,100
Starmie Psy+AJ/PG,537,6,12
Ampharos VS+BrS/TBl,543,6,14
Poliwrath (Shadow) MS+IW/DyP,718,48,70
Qwilfish (Hisuian) PSt+AT/SB,347,48,0
Throh LK+BkB/BS,775,6,88
Amaura (Shadow) PS+WBI/Tb,587,6,28
Marowak (Alolan) FS+BC/SBo,224,66,0
Gallade PC+CC/LB,840,3,109
Latias (Shadow) DB+AuS/MsB,859,3,115
Registeel (Shadow) LO+FC/FB,354,42,0
Tinkatuff FW+PR/FC,315,24,0
Toedscruel MSl+SeB/EP,587,6,28
Hippopotas SdA+RT/BS,587,6,28
Hypno Cf+SB/TP,421,15,0
Blaziken E+AuS/BB,684,12,59
Murkrow Pk+DrlP/FoP,678,3,57
Bastiodon (Shadow) SD+SE/Ft,298,0,0
Samurott (Hisuian) FC+SSw/IW,568,6,22
Venusaur VW+FP/Sl,503,6,1
Cofagrigus SC+SB/Re,307,57,0
Rapidash I+DR/WC,506,6,2
Trumbeak (Shadow) Pk+DrlP/RB,687,21,60
Wartortle WG+AJ/IB,681,15,58
Castform (Snowy) PS+WBI/Bl,332,66,0
Skuntank PJ+Cr/TBl,303,57,0
Ursaring (Shadow) SC+Sw/CC,521,30,7
Urshifu (Single Strike) SkP+BkB/DyP,765,3,85
Hypno (Shadow) Cf+TP/IP,609,42,35
Nidoqueen (Shadow) MSl+EP/PF,606,48,34
Victreebel (Shadow) Ac+LB/SlB,731,3,74
Golbat WA+PF/SB,474,57,0
Blaziken (Shadow) E+AuS/BB,634,3,43
Munchlax Tk+BS/Bd,490,51,0
Overqwil PSt+AT/SB,356,48,0
Piloswine PS+ISp/SE,575,6,24
Runerigus SC+SB/RT,334,57,0
Trumbeak Pk+DrlP/RB,562,57,20
Drifblim H+IW/SB,361,48,0
Kingambit MSo+FoP/IH,282,30,0
Raikou (Shadow) TS+WC/AuS,631,30,42
Slurpuff FW+PR/EB,640,6,45
Togetic FW+HW/DG,618,6,38
Uxie Cf+Sw/T,581,0,26
Ampharos (Shadow) VS+BrS/TBl,445,30,0
Magcargo E+RT/Ov,316,33,0
Spinda SkP+RT/IW,631,6,42
Wailmer RO+Sc/BS,581,6,26
Bellossom (Shadow) Ac+LB/DG,543,6,14
Conkeldurr (Shadow) FPm+DyP/BrS,731,3,74
Dedenne TS+D/PR,600,6,32
Flamigo WA+UH/BrB,831,3,106
Noctowl (Shadow) WA+SA/SB,348,57,0
