Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,795,0,65
Abomasnow (Shadow) PS+WBI/EB,750,0,55
Absol PC+BrS/Mh,886,0,85
Absol (Shadow) PC+BrS/Mh,536,0,8
Accelgor WSh+BBu/AS,918,0,92
Accelgor (Shadow) WSh+BBu/EB,904,0,89
Aegislash (Shield) PC+SB/GB,133,24,0
Aerodactyl DB+RS/EP,325,8,0
Aerodactyl (Shadow) DB+RS/EP,362,8,0
Aggron DT+RT/T,240,1,0
Aggron (Shadow) DT+RT/T,306,1,0
Aipom A+Sw/AA,677,1,39
Aipom (Shadow) A+Sw/AA,909,8,90
Alakazam PC+FiP/SB,604,0,23
Alakazam (Shadow) PC+FiP/SB,522,0,5
Alomomola W+HP/Bl,493,8,0
Altaria DB+SA/Ft,492,9,0
Altaria (Shadow) DB+SA/Ft,358,8,0
Amaura PS+WBI/Tb,221,0,0
Amaura (Shadow) PS+WBI/Tb,248,0,0
Ambipom A+AA/Re,886,16,85
Ambipom (Shadow) A+AA/LS,931,0,95
Amoonguss A+GK/FoP,927,8,94
Amoonguss (Shadow) A+GK/FoP,931,0,95
Ampharos VS+BrS/TBl,255,0,0
Ampharos (Shadow) VS+BrS/TBl,329,8,0
Annihilape LK+RF/CC,886,0,85
Annihilape (Shadow) C+RF/IP,772,0,60
Anorith StB+AJ/AP,904,0,89
Anorith (Shadow) StB+AJ/CP,890,0,86
Appletun A+SeB/O,945,0,98
Araquanid BBi+WP/BuB,872,1,82
Arbok Ac+DP/SW,809,1,68
Arbok (Shadow) Ac+DP/SW,745,16,54
Arboliva ML+EP/TBl,904,0,89
Arcanine FF+WC/PsF,595,16,21
Arcanine (Hisuian) Sn+WC/RS,310,8,0
Arcanine (Shadow) FF+WC/PsF,750,0,55
Archen WA+AP/Cr,409,0,0
Archen (Shadow) WA+AP/Cr,487,0,0
Archeops WA+AP/Cr,424,0,0
Archeops (Shadow) WA+AP/Cr,818,0,70
Arctibax DB+Av/DC,403,8,0
Ariados PSt+Lu/TBl,909,0,90
Armaldo FC+RB/Li,495,8,0
Armaldo (Shadow) FC+RB/Li,863,0,80
Armarouge I+Psh/HW,457,0,0
Aromatisse Ch+Psh/M,727,1,50
Aron MSo+RT/BS,165,8,0
Aron (Shadow) MSo+RT/BS,185,8,0
Articuno PS+IW/Hu,119,48,0
Articuno (Galarian) PC+Fl/BrB,473,0,0
Articuno (Shadow) PS+TAx/Hu,146,48,0
Audino ZH+BS/DV,631,1,29
Aurorus PS+WBI/MeB,204,0,0
Aurorus (Shadow) PS+WBI/MeB,246,0,0
Avalugg IF+Av/BS,118,48,0
Avalugg (Hisuian) PS+RS/IW,233,0,0
Axew Scr+AT/DC,800,0,66
Azelf Cf+Sw/FS,818,0,70
Azumarill B+IB/PR,395,1,0
Banette SC+SB/DG,931,0,95
Banette (Shadow) SC+SB/DG,909,0,90
Barbaracle FC+CrC/SE,282,16,0
Basculin WG+AT/AJ,476,8,0
Bastiodon SD+SE/Ft,165,0,0
Bastiodon (Shadow) SD+SE/Ft,179,0,0
Baxcalibur DB+Av/DC,781,8,62
Bayleef ML+AP/EB,863,16,80
Bayleef (Shadow) ML+AP/EB,904,0,89
Beartic PS+IP/Li,476,0,0
Beautifly Inf+AC/SvW,695,0,43
Beedrill PSt+XS/DR,886,0,85
Beedrill (Shadow) PSt+XS/DR,886,0,85
Beheeyem Cf+RS/DP,754,8,56
Bellibolt TS+ZC/PbC,211,0,0
Bellossom Ac+LB/DG,886,0,85
Bellossom (Shadow) Ac+LB/DG,863,0,80
Bergmite Tk+IW/Cr,795,1,65
Bewear SC+SP/St,931,0,95
Bibarel RO+S/HF,409,8,0
Bibarel (Shadow) RO+S/HF,469,0,0
Bisharp Sn+DP/XS,328,8,0
Blacephalon I+MdB/SB,238,40,0
Blastoise RO+HC/SkB,509,1,2
Blastoise (Shadow) RO+HC/SkB,403,8,0
Blaziken E+AuS/BB,252,40,0
Blaziken (Shadow) E+AuS/BB,315,40,0
Blissey ZH+WC/DG,356,8,0
Boldore MSl+RS/Bd,424,1,0
Boldore (Shadow) MSl+RS/Bd,886,1,85
Boltund Sp+Cr/T,713,1,47
Bombirdier SkP+Fl/RT,713,1,47
Bonsly RTh+RT/RS,417,9,0
Bouffalant MS+St/Mh,736,1,52
Braixen E+Psh/FmC,554,16,12
Braixen (Shadow) E+Psh/FmC,886,0,85
Braviary AS+Fl/CC,772,1,60
Braviary (Hisuian) AS+BrB/Fl,772,1,60
Breloom FPm+DyP/GK,781,0,62
Brionne Ch+AJ/DV,750,1,55
Bronzong Cf+WBW/Pbk,250,32,0
Bruxish Cf+AT/PsF,478,0,0
Bulbasaur VW+PW/SeB,931,0,95
Bulbasaur (Shadow) VW+PW/SeB,909,0,90
Buneary QA+Sw/FiP,618,1,26
Butterfree Cf+BBu/SiB,872,0,82
