Pokemon,Battle Rating,Energy Remaining,HP Remaining
Tinkaton FW+GH/Bd,625,5,47
Ninetales (Shadow) E+WBF/EB,882,100,143
Corsola (Galarian) A+NSh/PG,496,0,0
Corviknight SdA+AC/IH,513,15,5
Cramorant Pk+Dve/Fl,265,25,0
Quagsire (Shadow) MS+AT/SE,620,5,45
Quagsire MS+AT/SE,329,40,0
Altaria DB+M/Ft,304,5,0
Melmetal TS+DbI/DyP,345,20,0
Empoleon MSo+HC/DrlP,532,10,12
Mantine WA+Tw/WP,475,20,0
Ninetales E+WBF/EB,633,100,50
Snorlax Psy+BS/Eq,508,5,3
Empoleon (Shadow) MSo+HC/DrlP,327,40,0
Florges FW+CW/DV,422,40,0
Thievul SkP+NS/IW,417,40,0
Corviknight (Shadow) SdA+AC/IH,396,40,0
Mimikyu SC+SS/PR,434,40,0
Feraligatr SC+HC/IB,268,25,0
Jellicent H+S/SB,439,0,0
Altaria (Shadow) DB+M/Ft,242,40,0
Araquanid Inf+WP/MrC,386,0,0
Furret SkP+Sw/TBl,343,30,0
Azumarill B+IB/PR,431,30,0
Clodsire PSt+Eq/SE,681,5,68
Fearow Pk+DrlP/DR,513,100,5
Vigoroth Scr+BS/Bd,365,40,0
Deoxys (Defense) LK+PB/Tb,614,5,43
Marowak MSl+BC/RS,729,100,86
Annihilape LK+RF/IP,425,40,0
Annihilape (Shadow) LK+RF/IP,396,40,0
Feraligatr (Shadow) SC+HC/IB,320,25,0
Malamar Psy+SP/FoP,505,5,2
Sableye (Shadow) SC+FoP/DrP,436,40,0
Electrode (Hisuian) TS+WC/EB,226,10,0
Malamar (Shadow) Psy+FoP/SP,471,40,0
Lapras Psy+SpA/IB,427,20,0
Umbreon Sn+DP/LR,534,0,13
Dondozo W+S/O,500,50,0
Guzzlord DT+BrS/SlB,224,40,0
Mandibuzz Sn+DP/SB,529,0,11
Snorlax (Shadow) Psy+BS/SP,387,40,0
Vigoroth (Shadow) Scr+BkB/RS,420,30,0
Araquanid (Shadow) Inf+WP/MrC,419,0,0
Kingdra DB+S/Sw,161,30,0
Hippowdon SdA+WBR/EP,727,100,85
Kingdra (Shadow) DB+S/Sw,194,5,0
Sableye SC+FoP/PG,424,40,0
Jumpluff FW+EB/Acr,176,40,0
Blastoise Bi+HC/SkB,473,10,0
Hydreigon (Shadow) DB+BrS/Fl,280,0,0
Carbink RTh+RS/M,700,15,75
Hippowdon (Shadow) SdA+WBR/EP,716,100,81
Medicham PC+IP/DyP,329,40,0
Forretress VS+ST/RT,304,30,0
Moltres (Galarian) SkP+Fl/BrB,375,40,0
Spidops SC+Lu/RT,427,15,0
Dragonair (Shadow) DB+Wr/AT,244,10,0
Turtonator I+BrS/DC,353,40,0
Charjabug VS+XS/D,313,20,0
Cradily Ac+RT/GK,274,40,0
Diggersby MS+FiP/ScS,687,5,70
Ninetales (Alolan) PS+WBI/CW,614,5,43
Lapras (Shadow) Psy+SpA/IB,477,0,0
Swampert MS+HC/Eq,553,5,20
Swampert (Shadow) MS+HC/Eq,408,40,0
Dewgong IS+IW/DR,510,50,4
