Pokemon,Battle Rating,Energy Remaining,HP Remaining
Tinkaton FW+GH/Bd,361,10,0
Ninetales (Shadow) E+WBF/EB,605,0,19
Corsola (Galarian) A+NSh/PG,544,10,8
Corviknight SdA+AC/IH,505,30,1
Cramorant Pk+Dve/Fl,452,0,0
Quagsire (Shadow) MS+AT/SE,688,0,34
Quagsire MS+AT/SE,478,10,0
Altaria DB+M/Ft,358,10,0
Melmetal TS+DbI/DyP,661,0,29
Empoleon MSo+HC/DrlP,561,10,11
Mantine WA+Tw/WP,421,30,0
Ninetales E+WBF/EB,496,0,0
Snorlax Psy+BS/Eq,417,0,0
Empoleon (Shadow) MSo+HC/DrlP,299,15,0
Florges FW+CW/DV,477,30,0
Thievul SkP+NS/IW,145,15,0
Corviknight (Shadow) SdA+AC/IH,672,0,31
Mimikyu SC+SS/PR,594,10,17
Feraligatr SC+HC/IB,244,15,0
Jellicent H+S/SB,761,0,47
Altaria (Shadow) DB+M/Ft,413,10,0
Araquanid Inf+WP/MrC,616,5,21
Furret SkP+Sw/TBl,462,0,0
Azumarill B+IB/PR,489,15,0
Clodsire PSt+Eq/SE,497,15,0
Fearow Pk+DrlP/DR,245,0,0
Vigoroth Scr+BS/Bd,516,30,3
Deoxys (Defense) LK+PB/Tb,938,0,79
Marowak MSl+BC/RS,500,20,0
Annihilape LK+RF/IP,611,0,20
Annihilape (Shadow) LK+RF/IP,561,70,11
Feraligatr (Shadow) SC+HC/IB,292,15,0
Malamar Psy+SP/FoP,219,25,0
Sableye (Shadow) SC+FoP/DrP,252,25,0
Electrode (Hisuian) TS+WC/EB,452,0,0
Malamar (Shadow) Psy+FoP/SP,262,25,0
Lapras Psy+SpA/IB,527,0,5
Umbreon Sn+DP/LR,336,10,0
Dondozo W+S/O,363,10,0
Guzzlord DT+BrS/SlB,500,10,0
Mandibuzz Sn+DP/SB,265,0,0
Snorlax (Shadow) Psy+BS/SP,611,10,20
Vigoroth (Shadow) Scr+BkB/RS,644,0,26
Araquanid (Shadow) Inf+WP/MrC,516,5,3
Kingdra DB+S/Sw,511,0,2
Hippowdon SdA+WBR/EP,408,0,0
Kingdra (Shadow) DB+S/Sw,283,25,0
Sableye SC+FoP/PG,220,25,0
Jumpluff FW+EB/Acr,372,30,0
Blastoise Bi+HC/SkB,476,0,0
Hydreigon (Shadow) DB+BrS/Fl,237,25,0
Carbink RTh+RS/M,333,30,0
Hippowdon (Shadow) SdA+WBR/EP,485,0,0
Medicham PC+IP/DyP,761,0,47
Forretress VS+ST/RT,522,20,4
Moltres (Galarian) SkP+Fl/BrB,411,0,0
Spidops SC+Lu/RT,404,30,0
Dragonair (Shadow) DB+Wr/AT,287,25,0
Turtonator I+BrS/DC,491,0,0
Charjabug VS+XS/D,522,30,4
Cradily Ac+RT/GK,577,20,14
Diggersby MS+FiP/ScS,347,10,0
Ninetales (Alolan) PS+WBI/CW,577,0,14
Lapras (Shadow) Psy+SpA/IB,388,0,0
Swampert MS+HC/Eq,622,10,22
Swampert (Shadow) MS+HC/Eq,588,0,16
Dewgong IS+IW/DR,594,10,17
Dusclops (Shadow) H+IP/ShP,310,25,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,544,10,8
Rillaboom Scr+DrB/EP,666,0,30
Doublade SC+SSw/IH,600,0,18
Aegislash (Shield) PC+SB/GB,900,40,72
Dusclops H+IP/ShP,566,0,12
Marowak (Shadow) MSl+BC/RS,538,0,7
Dragonair DB+AT/DgP,460,0,0
Forretress (Shadow) VS+ST/RT,800,0,54
Seismitoad MS+EP/IW,588,0,16
Gourgeist (Large) I+SB/SeB,794,0,53
Gourgeist (Super) I+SB/SeB,794,0,53
Jumpluff (Shadow) FW+EB/Acr,428,30,0
Dusknoir (Shadow) A+DyP/ShP,500,35,0
Gourgeist (Average) I+SB/SeB,794,0,53
Grumpig Psy+DyP/SB,761,0,47
Talonflame I+Fl/BrB,470,10,0
Regidrago DB+DrE/VG,433,0,0
Registeel LO+FC/FB,527,30,5
Gourgeist (Small) I+SB/SeB,794,0,53
Morpeko (Full Belly) TS+AuW/PsF,173,15,0
Clefable FW+M/MM,496,20,0
Drapion (Shadow) PSt+Cr/AT,182,15,0
Dunsparce Bi+DR/RS,388,10,0
Hydreigon DB+BrS/Fl,185,25,0
Dusknoir A+DyP/ShP,500,0,0
Oranguru Cf+BrS/TBl,260,0,0
Samurott FC+HC/Mh,627,0,23
Steelix (Shadow) TF+PsF/Cr,711,0,38
Aromatisse FW+M/Psh,474,20,0
Goodra DB+AT/TP,600,0,18
Stunfisk (Galarian) MS+RS/Eq,666,20,30
Seaking Pk+DR/IW,600,10,18
Shelgon (Shadow) DB+Tw/Ft,511,0,2
Talonflame (Shadow) I+FmC/Fl,683,0,33
Pachirisu VS+HF/TP,622,5,22
Cresselia PC+GK/M,672,20,31
Golisopod FC+XS/AJ,511,10,2
Muk (Alolan) PJ+BrS/IP,429,0,0
Wigglytuff Ch+IW/Sw,331,0,0
Morgrem SkP+FoP/PR,306,0,0
Shelgon DB+Tw/Ft,522,10,4
Wartortle Bi+AJ/IB,446,0,0
Castform (Sunny) E+WBF/SoB,476,0,0
Oinkologne (Female) TD+BS/TBl,566,5,12
Stunfisk TS+MB/D,383,30,0
Pelipper WA+WBW/Hu,452,0,0
Drapion PSt+Cr/AT,453,0,0
Muk (Alolan) (Shadow) PJ+BrS/IP,476,0,0
Sealeo PS+S/BS,750,0,45
Sliggoo DB+BS/DgP,492,0,0
Flamigo Pk+UH/BrB,677,0,32
Greninja (Shadow) WSh+HC/BrS,200,5,0
Miltank RO+BS/HH,505,5,1
Murkrow (Shadow) Pk+DrlP/FoP,248,15,0
Togekiss Pk+Psh/AuS,522,20,4
Walrein PS+ISp/Eq,550,0,9
Orthworm MSl+RT/IH,716,10,39
Toxapex Bi+Bri/SW,292,20,0
Gligar (Shadow) WA+NS/Dg,561,20,11
Crustle FC+XS/RW,447,0,0
Gligar WA+NS/Dg,416,20,0
Milotic W+AT/Wr,538,10,7
Spiritomb SkP+RT/SB,432,10,0
Milotic (Shadow) W+AT/Wr,533,0,6
Qwilfish (Hisuian) PSt+AT/DP,148,15,0
Toucannon (Shadow) Pk+BBl/DrlP,150,15,0
Charjabug (Shadow) VS+XS/D,555,10,10
Politoed (Shadow) MS+WBW/IB,666,0,30
Cofagrigus SC+SB/EB,716,0,39
Giratina (Altered) (Shadow) DB+DC/SS,761,0,47
Persian Scr+NS/PG,489,10,0
Steelix TF+PsF/Cr,650,10,27
Zweilous DB+BS/DP,285,0,0
Metang FC+Psh/GB,688,0,34
Wormadam (Trash) SkP+BBu/IH,444,10,0
Metang (Shadow) FC+Psh/GB,655,0,28
Skarmory AS+BrB/DR,421,30,0
Throh LK+BkB/BS,705,20,37
Toucannon Pk+BBl/DrlP,231,0,0
Walrein (Shadow) PS+ISp/Eq,511,0,2
Zweilous (Shadow) DB+BS/DP,328,0,0
Klefki A+FoP/DK,594,0,17
Samurott (Shadow) FC+HC/Mh,312,25,0
Wartortle (Shadow) Bi+AJ/IB,511,0,2
Wobbuffet C+MrC/Re,783,5,51
Cofagrigus (Shadow) SC+SB/EB,661,0,29
Lickilicky RO+BS/SB,421,20,0
Bellibolt TS+ZC/PbC,457,10,0
Dartrix Pk+BrB/EB,376,0,0
Dewott FC+AT/XS,694,10,35
Ludicolo A+WBW/EB,264,35,0
Lumineon G+AT/SvW,572,20,13
Kommo-o DT+ClS/UH,481,0,0
Latias DB+AuS/MsB,677,0,32
Dubwool TD+BS/WC,577,30,14
Hakamo-o DT+BkB/RT,505,30,1
Ledian RO+DyP/Acr,533,5,6
Piloswine PS+ISp/HH,444,0,0
Weezing (Galarian) (Shadow) FW+Sl/BrS,583,0,15
Aurorus PS+WBI/MeB,577,0,14
Mawile FW+VG/IH,527,10,5
Politoed MS+WBW/IB,633,10,24
Greninja WSh+HC/BrS,533,0,6
Lanturn WG+S/Tb,384,20,0
Poliwrath MS+IW/DyP,538,5,7
Raikou TS+WC/AuS,288,15,0
Sandslash (Alolan) PS+IP/DR,572,0,13
Togetic FW+HW/DK,644,5,26
Overqwil PSt+AT/DP,147,15,0
Persian (Shadow) Scr+NS/PG,627,0,23
Sealeo (Shadow) PS+S/BS,505,0,1
Torkoal E+FW/Ov,437,0,0
Emolga TS+Acr/D,650,0,27
Swalot Inf+Sl/IB,616,5,21
Abomasnow PS+WBI/EB,511,0,2
Blastoise (Shadow) Bi+HC/SkB,234,25,0
Grumpig (Shadow) Psy+DyP/MrC,761,0,47
Runerigus SC+SB/RT,716,0,39
Dragalge Ac+AT/O,500,30,0
Primarina W+M/HC,722,0,40
Raichu VS+VT/TBl,350,35,0
Rapidash (Shadow) I+DR/WC,410,35,0
Abomasnow (Shadow) PS+WBI/EB,276,25,0
Sylveon FW+Psh/DK,476,20,0
Volbeat Inf+Lu/Tb,627,5,23
Bastiodon SD+SE/Ft,683,40,33
Houndoom (Shadow) I+FoP/TBl,233,25,0
Diggersby (Shadow) MS+ScS/FiP,393,10,0
Greedent Bi+BS/TBl,403,10,0
Hawlucha LK+FlP/AA,677,10,32
Linoone SC+Sw/GK,94,25,0
Maushold TD+Sw/Cr,538,20,7
Weezing (Galarian) FW+Sl/BrS,474,10,0
Sandslash (Alolan) (Shadow) PS+IP/DR,561,0,11
Gastrodon MSl+BS/EP,633,10,24
Lopunny LK+TP/TAx,711,20,38
Pangoro KC+CC/NS,605,0,19
Qwilfish (Shadow) PSt+AT/SB,321,25,0
Slurpuff FW+DK/EB,442,30,0
Charizard (Shadow) E+BB/AC,337,25,0
Dragonite (Shadow) DB+TP/SP,349,25,0
Marowak (Alolan) FS+BC/SBo,761,0,47
Gyarados DB+AT/Tw,577,0,14
Machamp (Shadow) KC+CrC/RS,627,0,23
Marowak (Alolan) (Shadow) FS+SBo/BC,722,0,40
Skarmory (Shadow) AS+BrB/DR,727,0,41
Bronzong Cf+Psh/Bd,772,0,49
Castform (Rainy) WG+WBW/T,544,10,8
Latias (Shadow) DB+AuS/MsB,661,70,29
Scizor FC+NS/TBl,538,0,7
Tentacruel Ac+Sc/Pbk,416,20,0
Throh (Shadow) LK+BkB/BS,722,0,40
Mawile (Shadow) FW+VG/IH,511,0,2
Rapidash I+DR/WC,533,0,6
Cetitan PS+ISp/SP,538,0,7
Dodrio Pk+DrlP/BrB,259,0,0
Ursaluna Scr+TP/HH,544,0,8
