Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,644,70,26
Lickilicky RO+BS/SB,112,25,0
Tinkaton FW+GH/Bd,287,35,0
Altaria DB+SA/Ft,264,35,0
Empoleon MSo+HC/DrlP,348,25,0
Altaria (Shadow) DB+SA/Ft,322,35,0
Empoleon (Shadow) MSo+HC/DrlP,405,25,0
Quagsire (Shadow) MS+AT/MB,375,35,0
Quagsire MS+AT/MB,301,35,0
Jellicent H+S/SB,464,30,0
Forretress VS+ST/RT,316,35,0
Ninetales E+WBF/EB,321,35,0
Ninetales (Shadow) E+WBF/EB,384,35,0
Feraligatr SC+HC/IB,340,20,0
Forretress (Shadow) VS+ST/RT,378,35,0
Corsola (Galarian) A+NSh/PG,406,35,0
Jumpluff FW+EB/Acr,594,5,17
Clodsire PSt+Eq/SE,367,0,0
Corviknight SdA+AC/Pbk,296,35,0
Fearow Pk+DrlP/DR,173,25,0
Azumarill B+IB/PR,716,5,39
Feraligatr (Shadow) SC+HC/IB,396,20,0
Kingdra DB+S/Sw,330,25,0
Guzzlord DT+BrS/SlB,149,15,0
Lapras Psy+SpA/IB,270,35,0
Corviknight (Shadow) SdA+AC/Pbk,350,35,0
Furret SkP+Sw/TBl,112,25,0
Kingdra (Shadow) DB+S/Sw,389,25,0
Dragonair (Shadow) DB+Wr/AT,358,10,0
Sableye (Shadow) SC+FoP/DrP,352,25,0
Seismitoad MS+EP/IW,522,0,4
Umbreon Sn+FoP/LR,410,10,0
Medicham PC+IP/DyP,633,90,24
Talonflame I+Fl/BrB,359,35,0
Dragonair DB+AT/DgP,334,25,0
Oinkologne (Female) MSl+BS/TBl,622,0,22
Sliggoo DB+BS/DgP,347,35,0
Sealeo PS+S/BS,288,35,0
Greedent MS+BS/TBl,474,0,0
Sealeo (Shadow) PS+S/BS,315,25,0
Diggersby MS+FiP/ScS,393,10,0
Dusclops H+IP/ShP,310,15,0
Grumpig Psy+DyP/SB,738,80,43
Cradily Ac+RT/GK,566,0,12
Florges FW+CW/DV,522,0,4
Lapras (Shadow) Psy+SpA/IB,337,35,0
Sableye SC+FoP/PG,312,25,0
Wigglytuff Ch+IW/Sw,336,0,0
Dusclops (Shadow) H+IP/ShP,458,20,0
Moltres (Galarian) SkP+Fl/BrB,201,25,0
Blastoise RO+HC/SkB,544,0,8
Clefable FW+M/MM,357,35,0
