Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,554,8,14
Lickilicky RO+BS/SB,353,28,0
Tinkaton FW+GH/Bd,687,8,48
Altaria DB+SA/Ft,184,6,0
Empoleon MSo+HC/DrlP,667,0,43
Altaria (Shadow) DB+SA/Ft,210,6,0
Empoleon (Shadow) MSo+HC/DrlP,625,0,32
Quagsire (Shadow) MS+AT/MB,282,32,0
Quagsire MS+AT/MB,366,8,0
Jellicent H+S/SB,467,48,0
Forretress VS+ST/RT,437,4,0
Ninetales E+WBF/EB,269,24,0
Ninetales (Shadow) E+WBF/EB,317,24,0
Feraligatr SC+HC/IB,613,16,29
Forretress (Shadow) VS+ST/RT,500,8,0
Corsola (Galarian) A+NSh/PG,330,64,0
Jumpluff FW+EB/Acr,352,4,0
Clodsire PSt+Eq/SE,490,0,0
Corviknight SdA+AC/Pbk,660,8,41
Fearow Pk+DrlP/DR,585,6,22
Azumarill B+IB/PR,609,10,28
Feraligatr (Shadow) SC+HC/IB,589,0,23
Kingdra DB+S/Sw,440,48,0
Guzzlord DT+BrS/SlB,343,44,0
Lapras Psy+SpA/IB,511,44,3
Corviknight (Shadow) SdA+AC/Pbk,550,22,13
Furret SkP+Sw/TBl,462,44,0
Kingdra (Shadow) DB+S/Sw,515,48,4
Dragonair (Shadow) DB+Wr/AT,326,22,0
Sableye (Shadow) SC+FoP/DrP,582,6,21
Seismitoad MS+EP/IW,454,8,0
Umbreon Sn+FoP/LR,330,14,0
Medicham PC+IP/DyP,354,12,0
Talonflame I+Fl/BrB,225,14,0
Dragonair DB+AT/DgP,405,28,0
Oinkologne (Female) MSl+BS/TBl,503,10,1
Sliggoo DB+BS/DgP,441,4,0
Sealeo PS+S/BS,671,22,44
Greedent MS+BS/TBl,597,20,25
Sealeo (Shadow) PS+S/BS,785,6,73
Diggersby MS+FiP/ScS,186,12,0
Dusclops H+IP/ShP,305,38,0
Grumpig Psy+DyP/SB,420,28,0
Cradily Ac+RT/GK,437,10,0
Florges FW+CW/DV,605,4,27
Lapras (Shadow) Psy+SpA/IB,597,6,25
Sableye SC+FoP/PG,452,12,0
Wigglytuff Ch+IW/Sw,800,22,77
Dusclops (Shadow) H+IP/ShP,435,28,0
Moltres (Galarian) SkP+Fl/BrB,761,6,67
Blastoise RO+HC/SkB,480,22,0
Clefable FW+M/MM,781,6,72
Mantine WA+Tw/WP,855,6,91
Talonflame (Shadow) I+FmC/Fl,270,14,0
Mandibuzz Sn+FoP/SB,422,4,0
Dewgong IS+IW/DR,558,4,15
Gastrodon MSl+BS/EP,345,32,0
Malamar Psy+SP/FoP,449,28,0
Steelix (Shadow) TF+PsF/Cr,388,8,0
Drapion (Shadow) PSt+Cr/AT,699,6,51
Ninetales (Alolan) PS+WBI/CW,773,6,70
Charjabug VS+XS/D,384,48,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,710,6,54
Swampert MS+HC/Eq,286,22,0
Aegislash (Shield) PC+SB/GB,550,40,13
Bastiodon SD+SE/Ft,438,24,0
Marowak (Shadow) MSl+BC/RS,312,12,0
Swampert (Shadow) MS+HC/Eq,264,0,0
Stunfisk (Galarian) MS+RS/Eq,345,8,0
Registeel LO+FC/FB,582,40,21
Stunfisk TS+MB/D,316,24,0
Dusknoir (Shadow) A+DyP/ShP,338,0,0
Hydreigon (Shadow) DB+BrS/Fl,617,6,30
Dunsparce RO+DR/RS,467,4,0
Jumpluff (Shadow) FW+EB/Acr,408,4,0
Malamar (Shadow) Psy+FoP/SP,800,6,77
Pelipper WA+WBW/Hu,683,0,47
Melmetal TS+DbI/DyP,441,32,0
Seaking Pk+DR/IW,671,6,44
Turtonator I+BrS/DC,221,24,0
Dondozo W+S/O,527,8,7
Gourgeist (Large) I+SB/SeB,106,30,0
Milotic W+AT/Wr,562,48,16
Morpeko (Full Belly) TS+AuW/PsF,415,16,0
Oranguru Cf+BrS/TBl,589,4,23
Gourgeist (Average) I+SB/SeB,113,30,0
Gourgeist (Super) I+SB/SeB,100,30,0
Hydreigon DB+BrS/Fl,314,22,0
Shelgon DB+Tw/Ft,150,46,0
Samurott FC+HC/Mh,593,16,24
Shelgon (Shadow) DB+Tw/Ft,174,46,0
Doublade SC+SSw/GB,519,48,5
Drapion PSt+Cr/AT,585,8,22
Morgrem SkP+FoP/PR,542,6,11
Castform (Sunny) E+WBF/SoB,260,24,0
Dusknoir A+DyP/ShP,433,12,0
Gourgeist (Small) I+SB/SeB,121,30,0
Crustle FC+XS/RW,531,6,8
Spidops SC+Lu/RT,465,26,0
Toxapex PJ+Bri/SW,753,8,65
Aromatisse FW+Psh/M,734,6,60
Milotic (Shadow) W+AT/Wr,554,6,14
Miltank RO+BS/Tb,366,28,0
Carbink RTh+RS/M,550,10,13
Golisopod FC+XS/AJ,625,6,32
Ludicolo A+WBW/EB,350,38,0
Primeape (Shadow) KC+RF/IP,601,6,26
Aurorus PS+WBI/MeB,742,6,62
Crustle (Shadow) FC+XS/RW,352,0,0
Gligar WA+NS/Dg,316,28,0
Politoed (Shadow) MS+WBW/IB,734,16,60
Togekiss Pk+Psh/AuS,648,6,38
Grumpig (Shadow) Psy+DyP/SB,570,6,18
Lumineon G+AT/SvW,617,48,30
Sylveon FW+Psh/SB,695,6,50
Noctowl WA+SB/Re,597,44,25
Toucannon Pk+BBl/DrlP,426,0,0
Toucannon (Shadow) Pk+BBl/DrlP,519,0,5
Walrein PS+ISp/Eq,750,6,64
Gligar (Shadow) WA+NS/Dg,354,12,0
Sandslash (Alolan) PS+IP/DR,531,8,8
Thievul SkP+NS/PR,448,12,0
Hippowdon SdA+WBR/EP,285,12,0
Lickitung L+BS/PW,503,6,1
Weezing (Galarian) (Shadow) FW+Sl/BrS,773,6,70
Araquanid BBi+WP/BuB,550,4,13
Cresselia PC+GK/M,582,42,21
Greninja (Shadow) WSh+HC/NS,550,96,13
Swalot MS+Sl/IB,769,8,69
Murkrow (Shadow) Pk+DrlP/FoP,507,0,2
Regidrago DB+DrE/VG,367,28,0
Goodra DB+AT/TP,367,28,0
Linoone SC+Sw/GK,558,4,15
Bellibolt TS+ZC/PbC,422,32,0
Pachirisu VS+HF/TP,429,40,0
Sandslash (Alolan) (Shadow) PS+IP/DR,695,6,50
Steelix TF+PsF/Cr,546,0,12
Zweilous DB+BS/DP,371,28,0
Kommo-o DT+ClS/UH,377,12,0
Lanturn WG+S/Tb,570,8,18
Spiritomb SkP+RT/SB,384,12,0
Araquanid (Shadow) BBi+BuB/WP,675,8,45
Giratina (Altered) (Shadow) DB+DC/SS,443,4,0
Qwilfish (Shadow) PSt+AT/SB,640,0,36
Annihilape LK+RF/IP,457,12,0
Diggersby (Shadow) MS+ScS/FiP,232,12,0
Klefki A+FoP/PR,558,38,15
Ledian RO+DyP/Acr,440,28,0
Marowak MSl+BC/RS,264,28,0
Walrein (Shadow) PS+ISp/Eq,730,6,59
Zweilous (Shadow) DB+BS/DP,439,28,0
Dragalge Ac+AT/O,652,8,39
Dudunsparce RO+BS/DR,476,44,0
Hakamo-o DT+BkB/RT,346,28,0
Pidgeot G+AC/BrB,625,6,32
Samurott (Shadow) FC+HC/Mh,582,0,21
Abomasnow (Shadow) PS+WBI/EB,753,6,65
Metang (Shadow) FC+Psh/GB,597,8,25
Politoed MS+WBW/IB,613,32,29
Dubwool DK+BS/Pbk,492,4,0
Gyarados DB+AT/Tw,703,40,52
Abomasnow PS+WBI/EB,609,4,28
Annihilape (Shadow) C+RF/IP,375,0,0
Hippowdon (Shadow) SdA+WBR/EP,235,22,0
Amoonguss A+FoP/GK,299,28,0
Charjabug (Shadow) VS+XS/D,341,48,0
Metang FC+Psh/GB,667,8,43
Poliwrath MS+IW/DyP,667,32,43
Bronzong Cf+WBW/Pbk,593,8,24
Emolga TS+Acr/D,392,32,0
Raikou TS+WC/AuS,409,32,0
Weezing (Galarian) FW+Sl/BrS,796,6,76
Castform H+WBR/EB,421,28,0
Castform (Rainy) WG+WBW/T,601,48,26
Dartrix Pk+BrB/EB,347,6,0
Dewott FC+AT/XS,664,6,42
Gyarados (Shadow) DB+AT/Tw,671,40,44
Orthworm MSl+RT/Eq,483,8,0
Rapidash (Shadow) I+DR/WC,151,8,0
Blastoise (Shadow) RO+HC/SkB,613,6,29
Tentacruel Ac+Sc/Pbk,699,32,51
Articuno PS+IW/Hu,855,6,91
Dewott (Shadow) FC+AT/XS,667,0,43
Primeape KC+RF/IP,671,6,44
Greninja WSh+HC/NS,421,46,0
Pangoro KC+CC/NS,527,6,7
Cradily (Shadow) Ac+RT/GK,409,4,0
Cetitan PS+ISp/SP,781,6,72
Electrode (Hisuian) TS+WC/EB,291,48,0
Machamp (Shadow) KC+CrC/RS,593,6,24
Qwilfish PSt+AT/SB,687,0,48
Torkoal E+FW/Ov,277,0,0
Gallade (Shadow) PC+CC/LB,511,6,3
Latias DB+AuS/MsB,384,12,0
Aurorus (Shadow) PS+WBI/MeB,511,6,3
Kecleon SkP+TP/DyP,457,28,0
Rufflet Pk+BrB/Fl,761,6,67
Dodrio Pk+DrlP/BrB,477,0,0
Oinkologne MSl+BS/TBl,542,4,11
Solrock Psy+WBF/RS,365,0,0
Wormadam (Trash) SkP+BBu/IH,570,40,18
Dragonite (Shadow) DB+TP/SP,800,6,77
Vespiquen FC+XS/PG,613,22,29
Gogoat VW+LB/RS,527,10,7
Grimmsnarl SkP+FoP/PR,527,6,7
Mightyena (Shadow) SkP+Cr/PF,667,6,43
Nidoqueen MSl+EP/PF,233,6,0
Swanna (Shadow) G+AJ/Fl,722,40,57
Dewgong (Shadow) IS+IW/DR,718,6,56
Machoke (Shadow) KC+CrC/DyP,395,0,0
Swanna G+AJ/Fl,761,40,67
Cetoddle PS+Av/BS,722,6,57
Coalossal FS+RS/FmC,281,0,0
Primarina W+DV/HC,523,6,6
Raichu TS+WC/TBl,337,0,0
Arctibax DB+Av/DC,660,6,41
Claydol MSl+RT/SB,305,8,0
Drampa DB+Sw/DgP,465,28,0
Gliscor WA+ST/Acr,357,28,0
Mawile FW+VG/IH,812,6,80
Amoonguss (Shadow) A+GK/FoP,353,12,0
Bellossom Ac+LB/DG,660,10,41
Klang MSo+VG/Tb,691,8,49
Lunatone Psy+WBI/RS,621,6,31
Marowak (Alolan) (Shadow) FS+SBo/BC,292,24,0
Ledian (Shadow) RO+DyP/Acr,664,22,42
Machamp KC+CrC/RS,667,6,43
Starmie Psy+AJ/PG,644,0,37
Ampharos VS+BrS/TBl,372,32,0
Poliwrath (Shadow) MS+IW/DyP,644,16,37
Qwilfish (Hisuian) PSt+AT/SB,683,6,47
Throh LK+BkB/BS,371,12,0
Amaura (Shadow) PS+WBI/Tb,636,6,35
Marowak (Alolan) FS+BC/SBo,268,0,0
Gallade PC+CC/LB,613,16,29
Latias (Shadow) DB+AuS/MsB,593,6,24
Registeel (Shadow) LO+FC/FB,699,8,51
Tinkatuff FW+PR/FC,718,8,56
Toedscruel MSl+SeB/EP,225,28,0
Hippopotas SdA+RT/BS,223,44,0
