Pokemon,Battle Rating,Energy Remaining,HP Remaining
Melmetal TS+DbI/DyP,383,4,0
Altaria DB+M/Ft,474,7,0
Ninetales (Shadow) E+WBF/EB,464,14,0
Cramorant Pk+Dve/Fl,492,8,0
Tinkaton FW+GH/Bd,226,4,0
Mimikyu SC+SS/PR,584,4,27
Corviknight SdA+AC/IH,413,0,0
Corsola (Galarian) A+NSh/PG,706,15,66
Altaria (Shadow) DB+M/Ft,420,35,0
Corviknight (Shadow) SdA+AC/IH,496,0,0
Florges FW+CW/M,559,0,19
Quagsire (Shadow) MS+AT/SE,721,4,71
Ninetales E+WBF/EB,408,21,0
Quagsire MS+AT/SE,750,4,80
Thievul SkP+NS/IW,401,35,0
Araquanid Inf+WP/MrC,540,4,13
Clodsire PSt+Eq/SE,643,1,46
Sableye (Shadow) SC+FoP/DrP,646,8,47
Marowak MSl+BC/RS,631,1,42
Stunfisk TS+MB/D,459,39,0
Vigoroth Scr+BS/Bd,496,15,0
Jellicent H+S/SB,743,4,78
Empoleon MSo+HC/DrlP,575,1,24
Empoleon (Shadow) MSo+HC/DrlP,512,4,4
Fearow Pk+DrlP/DR,537,21,12
Mantine WA+Tw/WP,612,0,36
Snorlax Psy+BS/Eq,342,21,0
Umbreon Sn+DP/LR,387,18,0
Araquanid (Shadow) Inf+WP/MrC,408,35,0
Feraligatr SC+HC/IB,696,4,63
Annihilape LK+RF/IP,515,1,5
Azumarill B+IB/PR,609,1,35
Deoxys (Defense) LK+PB/Tb,571,1,23
Electrode (Hisuian) TS+WC/EB,521,35,7
Rillaboom Scr+DrB/EP,418,21,0
Sableye SC+FoP/PG,703,1,65
Vigoroth (Shadow) Scr+BkB/RS,310,39,0
Annihilape (Shadow) LK+RF/IP,253,35,0
Lapras Psy+SpA/IB,590,29,29
Snorlax (Shadow) Psy+BS/SP,224,25,0
Charjabug VS+XS/D,559,0,19
Malamar Psy+SP/FoP,230,25,0
Furret SkP+Sw/TBl,500,22,0
Guzzlord DT+BrS/SlB,290,21,0
Malamar (Shadow) Psy+FoP/SP,266,25,0
Carbink RTh+RS/M,468,5,0
Charjabug (Shadow) VS+XS/D,500,28,0
Forretress (Shadow) VS+ST/RT,546,0,15
Dondozo W+S/O,491,22,0
Hippowdon SdA+WBR/EP,596,1,31
Mandibuzz Sn+DP/SB,354,28,0
Morpeko (Full Belly) TS+AuW/PsF,165,18,0
Forretress VS+ST/RT,468,14,0
Medicham PC+IP/DyP,343,14,0
Jumpluff FW+EB/Acr,408,0,0
Hydreigon (Shadow) DB+BrS/Fl,219,35,0
Kingdra DB+S/Sw,631,11,42
Blastoise Bi+HC/SkB,631,1,42
Diggersby MS+FiP/ScS,405,32,0
Feraligatr (Shadow) SC+HC/IB,618,7,38
Hippowdon (Shadow) SdA+WBR/EP,429,0,0
Kingdra (Shadow) DB+S/Sw,258,35,0
Lapras (Shadow) Psy+SpA/IB,432,4,0
Turtonator I+BrS/DC,518,0,6
Pachirisu VS+Tb/TP,373,32,0
Cradily Ac+RT/GK,562,4,20
Dragonair (Shadow) DB+Wr/AT,506,7,2
Ninetales (Alolan) PS+WBI/CW,320,28,0
Dewgong IS+IW/DR,615,4,37
Dusclops (Shadow) H+IP/ShP,778,1,89
Moltres (Galarian) SkP+Fl/BrB,443,14,0
Spidops SC+Lu/RT,509,0,3
Ninetales (Alolan) (Shadow) PS+WBI/CW,404,28,0
Doublade SC+SSw/IH,665,4,53
Dusknoir (Shadow) A+DyP/ShP,815,7,101
Dusclops H+IP/ShP,803,1,97
Marowak (Shadow) MSl+BC/RS,531,1,10
Swampert MS+HC/Eq,665,4,53
Swampert (Shadow) MS+HC/Eq,488,7,0
Aegislash (Shield) PC+SB/GB,621,39,39
Jumpluff (Shadow) FW+EB/Acr,496,0,0
Dunsparce Bi+DR/RS,491,0,0
Seismitoad MS+EP/IW,631,4,42
Talonflame I+Fl/BrB,411,7,0
Dragonair DB+AT/DgP,460,14,0
Stunfisk (Galarian) MS+RS/Eq,543,1,14
Steelix (Shadow) TF+PsF/Cr,420,39,0
Gourgeist (Large) I+SB/SeB,612,1,36
Registeel LO+FC/FB,271,1,0
Gourgeist (Super) I+SB/SeB,662,1,52
Grumpig Psy+DyP/SB,481,7,0
Shelgon (Shadow) DB+Tw/Ft,491,0,0
Clefable FW+M/MM,360,35,0
Dusknoir A+DyP/ShP,537,4,12
Gourgeist (Average) I+SB/SeB,612,1,36
Oranguru Cf+BrS/TBl,715,4,69
Regidrago DB+DrE/VG,435,21,0
Sealeo PS+S/BS,671,1,55
Drapion (Shadow) PSt+Cr/AT,411,21,0
Muk (Alolan) PJ+BrS/IP,358,35,0
Wartortle Bi+AJ/IB,665,1,53
Gourgeist (Small) I+SB/SeB,612,1,36
Hydreigon DB+BrS/Fl,400,7,0
Talonflame (Shadow) I+FmC/Fl,485,7,0
Samurott FC+HC/Mh,430,7,0
Seaking Pk+DR/IW,659,4,51
Castform (Sunny) E+WBF/SoB,383,28,0
Goodra DB+AT/TP,440,21,0
Wigglytuff Ch+IW/Sw,466,0,0
Gligar (Shadow) WA+NS/Dg,565,18,21
Miltank RO+BS/HH,637,0,44
Bellibolt TS+ZC/PbC,366,28,0
Oinkologne (Female) TD+BS/TBl,371,21,0
Toxapex Bi+Bri/SW,537,1,12
Drapion PSt+Cr/AT,338,28,0
Muk (Alolan) (Shadow) PJ+BrS/IP,405,21,0
Shelgon DB+Tw/Ft,518,28,6
Persian Scr+NS/PG,646,1,47
Aromatisse FW+M/Psh,346,35,0
Pelipper WA+WBW/Hu,286,39,0
Morgrem SkP+FoP/PR,309,21,0
Walrein PS+ISp/Eq,625,1,40
Cresselia PC+GK/M,675,4,56
Politoed (Shadow) MS+WBW/IB,703,4,65
Torkoal E+FW/Ov,367,35,0
Milotic W+AT/Wr,553,1,17
Murkrow (Shadow) Pk+DrlP/FoP,225,35,0
Greninja (Shadow) WSh+HC/BrS,509,7,3
Lickilicky RO+BS/SB,521,7,7
Piloswine PS+ISp/HH,415,7,0
Sliggoo DB+BS/DgP,421,28,0
Gligar WA+NS/Dg,584,0,27
Orthworm MSl+RT/IH,405,36,0
Steelix TF+PsF/Cr,568,4,22
Wartortle (Shadow) Bi+AJ/IB,643,4,46
Klefki A+FoP/DK,491,15,0
Toucannon Pk+BBl/DrlP,778,0,89
Politoed MS+WBW/IB,725,1,72
Spiritomb SkP+RT/SB,621,8,39
Toucannon (Shadow) Pk+BBl/DrlP,329,35,0
Sandslash (Alolan) PS+IP/DR,400,35,0
Walrein (Shadow) PS+ISp/Eq,571,4,23
Crustle FC+XS/RW,260,32,0
Houndoom (Shadow) I+FoP/TBl,216,35,0
Milotic (Shadow) W+AT/Wr,684,4,59
Cofagrigus SC+SB/EB,746,1,79
Ledian RO+DyP/Acr,473,7,0
Persian (Shadow) Scr+NS/PG,299,32,0
Swalot Inf+Sl/IB,461,0,0
Zweilous DB+BS/DP,364,28,0
Dragalge Ac+AT/O,402,7,0
Emolga TS+Acr/D,500,28,0
Giratina (Altered) (Shadow) DB+DC/SS,528,1,9
Mawile FW+VG/IH,348,28,0
Raikou TS+WC/AuS,531,4,10
Sealeo (Shadow) PS+S/BS,562,4,20
Aurorus PS+WBI/MeB,253,39,0
Flamigo Pk+UH/BrB,166,35,0
Metang (Shadow) FC+Psh/GB,537,4,12
Ursaluna Scr+TP/HH,447,7,0
Dubwool TD+BS/WC,417,11,0
Golisopod FC+XS/AJ,578,4,25
Lanturn WG+S/Tb,503,29,1
Metang FC+Psh/GB,584,1,27
Raichu VS+VT/TBl,491,7,0
Togekiss Pk+Psh/AuS,134,35,0
Zweilous (Shadow) DB+BS/DP,375,0,0
Bastiodon SD+SE/Ft,442,22,0
Kommo-o DT+ClS/UH,316,0,0
Lickitung L+BS/PW,737,1,76
Qwilfish (Hisuian) PSt+AT/DP,404,21,0
Togetic FW+HW/DK,455,0,0
Cofagrigus (Shadow) SC+SB/EB,884,4,123
Marowak (Alolan) FS+BC/SBo,653,1,49
Marowak (Alolan) (Shadow) FS+SBo/BC,615,4,37
Maushold TD+Sw/Cr,433,11,0
Qwilfish (Shadow) PSt+AT/SB,653,0,49
Ludicolo A+WBW/EB,656,15,50
Wormadam (Trash) SkP+BBu/IH,381,0,0
Blastoise (Shadow) Bi+HC/SkB,603,4,33
Dewott FC+AT/XS,625,4,40
Sandslash (Alolan) (Shadow) PS+IP/DR,500,18,0
Weezing (Galarian) (Shadow) FW+Sl/BrS,413,21,0
Greedent Bi+BS/TBl,646,0,47
