Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,434,31,0
Lickilicky RO+BS/SB,443,31,0
Tinkaton FW+GH/Bd,283,12,0
Altaria DB+SA/Ft,553,4,14
Empoleon MSo+HC/DrlP,266,18,0
Altaria (Shadow) DB+SA/Ft,561,23,16
Empoleon (Shadow) MSo+HC/DrlP,266,2,0
Quagsire (Shadow) MS+AT/MB,307,26,0
Quagsire MS+AT/MB,468,31,0
Jellicent H+S/SB,496,23,0
Forretress VS+ST/RT,492,1,0
Ninetales E+WBF/EB,553,15,14
Ninetales (Shadow) E+WBF/EB,337,34,0
Feraligatr SC+HC/IB,304,18,0
Forretress (Shadow) VS+ST/RT,492,4,0
Corsola (Galarian) A+NSh/PG,530,4,8
Jumpluff FW+EB/Acr,473,31,0
Clodsire PSt+Eq/SE,507,1,2
Corviknight SdA+AC/Pbk,430,12,0
Fearow Pk+DrlP/DR,557,7,15
Azumarill B+IB/PR,204,15,0
Feraligatr (Shadow) SC+HC/IB,332,2,0
Kingdra DB+S/Sw,224,69,0
Guzzlord DT+BrS/SlB,488,31,0
Lapras Psy+SpA/IB,223,26,0
Corviknight (Shadow) SdA+AC/Pbk,393,31,0
Furret SkP+Sw/TBl,576,15,20
Kingdra (Shadow) DB+S/Sw,317,10,0
Dragonair (Shadow) DB+Wr/AT,240,61,0
Sableye (Shadow) SC+FoP/DrP,534,7,9
Seismitoad MS+EP/IW,396,15,0
Umbreon Sn+FoP/LR,362,20,0
Medicham PC+IP/DyP,485,7,0
Talonflame I+Fl/BrB,300,26,0
Dragonair DB+AT/DgP,303,18,0
Oinkologne (Female) MSl+BS/TBl,576,4,20
Sliggoo DB+BS/DgP,553,15,14
Sealeo PS+S/BS,205,2,0
Greedent MS+BS/TBl,660,4,42
Sealeo (Shadow) PS+S/BS,136,2,0
Diggersby MS+FiP/ScS,622,28,32
Dusclops H+IP/ShP,333,42,0
Grumpig Psy+DyP/SB,664,7,43
Cradily Ac+RT/GK,357,39,0
Florges FW+CW/DV,386,15,0
Lapras (Shadow) Psy+SpA/IB,259,18,0
Sableye SC+FoP/PG,460,7,0
Wigglytuff Ch+IW/Sw,464,7,0
Dusclops (Shadow) H+IP/ShP,347,34,0
Moltres (Galarian) SkP+Fl/BrB,729,7,60
Blastoise RO+HC/SkB,476,7,0
Clefable FW+M/MM,486,15,0
Mantine WA+Tw/WP,511,4,3
Talonflame (Shadow) I+FmC/Fl,366,26,0
Mandibuzz Sn+FoP/SB,348,20,0
Dewgong IS+IW/DR,219,34,0
Gastrodon MSl+BS/EP,774,23,72
Malamar Psy+SP/FoP,610,15,29
Steelix (Shadow) TF+PsF/Cr,345,47,0
Drapion (Shadow) PSt+Cr/AT,292,26,0
Ninetales (Alolan) PS+WBI/CW,148,2,0
Charjabug VS+XS/D,736,15,62
Ninetales (Alolan) (Shadow) PS+WBI/CW,148,2,0
Swampert MS+HC/Eq,622,7,32
Aegislash (Shield) PC+SB/GB,467,36,0
Bastiodon SD+SE/Ft,309,25,0
Marowak (Shadow) MSl+BC/RS,687,7,49
Swampert (Shadow) MS+HC/Eq,557,7,15
Stunfisk (Galarian) MS+RS/Eq,511,1,3
Registeel LO+FC/FB,372,12,0
Stunfisk TS+MB/D,625,1,33
Dusknoir (Shadow) A+DyP/ShP,438,34,0
Hydreigon (Shadow) DB+BrS/Fl,262,61,0
Dunsparce RO+DR/RS,538,4,10
Jumpluff (Shadow) FW+EB/Acr,656,7,41
Malamar (Shadow) Psy+FoP/SP,370,34,0
Pelipper WA+WBW/Hu,553,7,14
Melmetal TS+DbI/DyP,400,23,0
Seaking Pk+DR/IW,257,18,0
Turtonator I+BrS/DC,455,7,0
Dondozo W+S/O,229,34,0
Gourgeist (Large) I+SB/SeB,545,7,12
Milotic W+AT/Wr,259,10,0
Morpeko (Full Belly) TS+AuW/PsF,683,7,48
Oranguru Cf+BrS/TBl,549,7,13
Gourgeist (Average) I+SB/SeB,545,7,12
Gourgeist (Super) I+SB/SeB,549,7,13
Hydreigon DB+BrS/Fl,379,34,0
Shelgon DB+Tw/Ft,603,7,27
Samurott FC+HC/Mh,316,10,0
Shelgon (Shadow) DB+Tw/Ft,394,26,0
Doublade SC+SSw/GB,580,7,21
Drapion PSt+Cr/AT,545,7,12
Morgrem SkP+FoP/PR,675,7,46
Castform (Sunny) E+WBF/SoB,496,31,0
Dusknoir A+DyP/ShP,583,7,22
Gourgeist (Small) I+SB/SeB,545,42,12
Crustle FC+XS/RW,365,42,0
Spidops SC+Lu/RT,557,4,15
Toxapex PJ+Bri/SW,561,1,16
Aromatisse FW+Psh/M,483,23,0
Milotic (Shadow) W+AT/Wr,278,10,0
Miltank RO+BS/Tb,456,31,0
Carbink RTh+RS/M,253,20,0
Golisopod FC+XS/AJ,393,77,0
Ludicolo A+WBW/EB,522,7,6
Primeape (Shadow) KC+RF/IP,353,2,0
Aurorus PS+WBI/MeB,85,37,0
Crustle (Shadow) FC+XS/RW,334,18,0
Gligar WA+NS/Dg,610,4,29
Politoed (Shadow) MS+WBW/IB,291,2,0
Togekiss Pk+Psh/AuS,599,7,26
Grumpig (Shadow) Psy+DyP/SB,382,26,0
Lumineon G+AT/SvW,481,23,0
Sylveon FW+Psh/SB,645,7,38
Noctowl WA+SB/Re,507,4,2
Toucannon Pk+BBl/DrlP,378,18,0
Toucannon (Shadow) Pk+BBl/DrlP,451,18,0
Walrein PS+ISp/Eq,220,2,0
Gligar (Shadow) WA+NS/Dg,683,7,48
Sandslash (Alolan) PS+IP/DR,184,2,0
Thievul SkP+NS/PR,283,34,0
Hippowdon SdA+WBR/EP,633,23,35
Lickitung L+BS/PW,389,39,0
Weezing (Galarian) (Shadow) FW+Sl/BrS,545,7,12
Araquanid BBi+WP/BuB,397,23,0
Cresselia PC+GK/M,387,31,0
Greninja (Shadow) WSh+HC/NS,239,2,0
Swalot MS+Sl/IB,421,31,0
Murkrow (Shadow) Pk+DrlP/FoP,411,18,0
Regidrago DB+DrE/VG,633,7,35
Goodra DB+AT/TP,358,42,0
Linoone SC+Sw/GK,464,15,0
Bellibolt TS+ZC/PbC,507,1,2
Pachirisu VS+HF/TP,553,1,14
Sandslash (Alolan) (Shadow) PS+IP/DR,240,2,0
Steelix TF+PsF/Cr,496,1,0
Zweilous DB+BS/DP,583,7,22
Kommo-o DT+ClS/UH,386,34,0
Lanturn WG+S/Tb,342,15,0
Spiritomb SkP+RT/SB,302,42,0
Araquanid (Shadow) BBi+BuB/WP,444,15,0
Giratina (Altered) (Shadow) DB+DC/SS,364,26,0
Qwilfish (Shadow) PSt+AT/SB,414,26,0
Annihilape LK+RF/IP,511,7,3
Diggersby (Shadow) MS+ScS/FiP,694,4,51
Klefki A+FoP/PR,311,15,0
Ledian RO+DyP/Acr,614,23,30
Marowak MSl+BC/RS,717,4,57
Walrein (Shadow) PS+ISp/Eq,269,2,0
Zweilous (Shadow) DB+BS/DP,285,18,0
Dragalge Ac+AT/O,477,7,0
Dudunsparce RO+BS/DR,591,15,24
Hakamo-o DT+BkB/RT,698,7,52
Pidgeot G+AC/BrB,295,34,0
Samurott (Shadow) FC+HC/Mh,378,10,0
