Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,810,4,67
Abomasnow (Shadow) PS+WBI/EB,907,0,88
Absol PC+BrS/Mh,675,0,38
Absol (Shadow) PC+BrS/Mh,629,0,28
Accelgor WSh+BBu/AS,879,12,82
Accelgor (Shadow) WSh+BBu/EB,944,0,96
Aegislash (Shield) PC+SB/GB,169,32,0
Aerodactyl DB+RS/EP,898,0,86
Aerodactyl (Shadow) DB+RS/EP,847,0,75
Aggron DT+RT/T,471,20,0
Aggron (Shadow) DT+RT/T,870,4,80
Aipom A+Sw/AA,459,40,0
Aipom (Shadow) A+Sw/AA,791,20,63
Alakazam PC+FiP/SB,694,0,42
Alakazam (Shadow) PC+FiP/SB,629,0,28
Alomomola W+HP/Bl,601,0,22
Altaria DB+SA/Ft,231,32,0
Altaria (Shadow) DB+SA/Ft,217,12,0
Amaura PS+WBI/Tb,500,40,0
Amaura (Shadow) PS+WBI/Tb,930,0,93
Ambipom A+AA/Re,491,32,0
Ambipom (Shadow) A+AA/LS,814,4,68
Amoonguss A+GK/FoP,509,0,2
Amoonguss (Shadow) A+GK/FoP,372,20,0
Ampharos VS+BrS/TBl,430,24,0
Ampharos (Shadow) VS+BrS/TBl,465,4,0
Annihilape LK+RF/CC,367,36,0
Annihilape (Shadow) C+RF/IP,550,0,11
Anorith StB+AJ/AP,888,0,84
Anorith (Shadow) StB+AJ/CP,861,0,78
Appletun A+SeB/O,694,12,42
Araquanid BBi+WP/BuB,463,24,0
Arbok Ac+DP/SW,381,32,0
Arbok (Shadow) Ac+DP/SW,426,32,0
Arboliva ML+EP/TBl,888,0,84
Arcanine FF+WC/PsF,837,0,73
Arcanine (Hisuian) Sn+WC/RS,944,0,96
Arcanine (Shadow) FF+WC/PsF,814,0,68
Archen WA+AP/Cr,814,0,68
Archen (Shadow) WA+AP/Cr,791,0,63
Archeops WA+AP/Cr,814,0,68
Archeops (Shadow) WA+AP/Cr,791,0,63
Arctibax DB+Av/DC,380,28,0
Ariados PSt+Lu/TBl,332,40,0
Armaldo FC+RB/Li,569,0,15
Armaldo (Shadow) FC+RB/Li,513,0,3
Armarouge I+Psh/HW,601,0,22
Aromatisse Ch+Psh/M,523,0,5
Aron MSo+RT/BS,484,40,0
