Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,242,30,0
Lickilicky RO+BS/SB,586,12,20
Tinkaton FW+GH/Bd,187,10,0
Altaria DB+SA/Ft,586,2,20
Empoleon MSo+HC/DrlP,495,10,0
Altaria (Shadow) DB+SA/Ft,504,2,1
Empoleon (Shadow) MSo+HC/DrlP,724,2,52
Quagsire (Shadow) MS+AT/MB,659,2,37
Quagsire MS+AT/MB,586,4,20
Jellicent H+S/SB,866,2,85
Forretress VS+ST/RT,382,26,0
Ninetales E+WBF/EB,681,4,42
Ninetales (Shadow) E+WBF/EB,637,2,32
Feraligatr SC+HC/IB,840,2,79
Forretress (Shadow) VS+ST/RT,417,26,0
Corsola (Galarian) A+NSh/PG,754,22,59
Jumpluff FW+EB/Acr,483,0,0
Clodsire PSt+Eq/SE,394,34,0
Corviknight SdA+AC/Pbk,573,3,17
Fearow Pk+DrlP/DR,685,2,43
Azumarill B+IB/PR,327,30,0
Feraligatr (Shadow) SC+HC/IB,801,2,70
Kingdra DB+S/Sw,530,2,7
Guzzlord DT+BrS/SlB,360,41,0
Lapras Psy+SpA/IB,491,20,0
Corviknight (Shadow) SdA+AC/Pbk,470,30,0
Furret SkP+Sw/TBl,780,0,65
Kingdra (Shadow) DB+S/Sw,411,29,0
Dragonair (Shadow) DB+Wr/AT,440,64,0
Sableye (Shadow) SC+FoP/DrP,780,10,65
Seismitoad MS+EP/IW,483,0,0
Umbreon Sn+FoP/LR,603,1,24
Medicham PC+IP/DyP,577,0,18
Talonflame I+Fl/BrB,814,2,73
Dragonair DB+AT/DgP,530,2,7
Oinkologne (Female) MSl+BS/TBl,485,4,0
Sliggoo DB+BS/DgP,607,2,25
Sealeo PS+S/BS,229,41,0
Greedent MS+BS/TBl,612,20,26
Sealeo (Shadow) PS+S/BS,494,2,0
Diggersby MS+FiP/ScS,517,3,4
Dusclops H+IP/ShP,504,30,1
Grumpig Psy+DyP/SB,831,2,77
Cradily Ac+RT/GK,413,34,0
Florges FW+CW/DV,145,35,0
Lapras (Shadow) Psy+SpA/IB,814,0,73
Sableye SC+FoP/PG,801,2,70
Wigglytuff Ch+IW/Sw,47,5,0
Dusclops (Shadow) H+IP/ShP,866,2,85
Moltres (Galarian) SkP+Fl/BrB,737,0,55
Blastoise RO+HC/SkB,594,12,22
Clefable FW+M/MM,397,0,0
Mantine WA+Tw/WP,462,0,0
Talonflame (Shadow) I+FmC/Fl,775,2,64
Mandibuzz Sn+FoP/SB,534,3,8
Dewgong IS+IW/DR,382,34,0
Gastrodon MSl+BS/EP,633,4,31
Malamar Psy+SP/FoP,823,10,75
Steelix (Shadow) TF+PsF/Cr,586,3,20
Drapion (Shadow) PSt+Cr/AT,491,6,0
Ninetales (Alolan) PS+WBI/CW,156,41,0
Charjabug VS+XS/D,492,0,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,304,2,0
Swampert MS+HC/Eq,840,2,79
Aegislash (Shield) PC+SB/GB,935,3,101
Bastiodon SD+SE/Ft,460,20,0
Marowak (Shadow) MSl+BC/RS,659,2,37
