Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,144,14,0
Lickilicky RO+BS/SB,622,3,29
Tinkaton FW+GH/Bd,304,6,0
Altaria DB+SA/Ft,496,10,0
Empoleon MSo+HC/DrlP,601,3,24
Altaria (Shadow) DB+SA/Ft,420,47,0
Empoleon (Shadow) MSo+HC/DrlP,533,2,8
Quagsire (Shadow) MS+AT/MB,584,2,20
Quagsire MS+AT/MB,631,2,31
Jellicent H+S/SB,243,55,0
Forretress VS+ST/RT,421,6,0
Ninetales E+WBF/EB,665,2,39
Ninetales (Shadow) E+WBF/EB,618,2,28
Feraligatr SC+HC/IB,476,6,0
Forretress (Shadow) VS+ST/RT,468,6,0
Corsola (Galarian) A+NSh/PG,652,3,36
Jumpluff FW+EB/Acr,248,55,0
Clodsire PSt+Eq/SE,480,22,0
Corviknight SdA+AC/Pbk,383,6,0
Fearow Pk+DrlP/DR,342,39,0
Azumarill B+IB/PR,193,42,0
Feraligatr (Shadow) SC+HC/IB,572,2,17
Kingdra DB+S/Sw,406,16,0
Guzzlord DT+BrS/SlB,324,31,0
Lapras Psy+SpA/IB,220,59,0
Corviknight (Shadow) SdA+AC/Pbk,426,6,0
Furret SkP+Sw/TBl,516,2,4
Kingdra (Shadow) DB+S/Sw,487,16,0
Dragonair (Shadow) DB+Wr/AT,452,16,0
Sableye (Shadow) SC+FoP/DrP,300,39,0
Seismitoad MS+EP/IW,504,6,1
Umbreon Sn+FoP/LR,358,34,0
Medicham PC+IP/DyP,468,2,0
Talonflame I+Fl/BrB,877,2,89
Dragonair DB+AT/DgP,417,39,0
Oinkologne (Female) MSl+BS/TBl,699,2,47
Sliggoo DB+BS/DgP,375,31,0
Sealeo PS+S/BS,563,3,15
Greedent MS+BS/TBl,682,10,43
Sealeo (Shadow) PS+S/BS,470,10,0
Diggersby MS+FiP/ScS,601,10,24
Dusclops H+IP/ShP,605,3,25
Grumpig Psy+DyP/SB,703,2,48
Cradily Ac+RT/GK,243,63,0
Florges FW+CW/DV,100,39,0
Lapras (Shadow) Psy+SpA/IB,293,59,0
Sableye SC+FoP/PG,256,39,0
Wigglytuff Ch+IW/Sw,96,39,0
Dusclops (Shadow) H+IP/ShP,597,2,23
Moltres (Galarian) SkP+Fl/BrB,639,2,33
Blastoise RO+HC/SkB,694,3,46
Clefable FW+M/MM,428,6,0
Mantine WA+Tw/WP,289,47,0
Talonflame (Shadow) I+FmC/Fl,843,2,81
Mandibuzz Sn+FoP/SB,584,19,20
Dewgong IS+IW/DR,542,3,10
Gastrodon MSl+BS/EP,538,2,9
Malamar Psy+SP/FoP,230,39,0
Steelix (Shadow) TF+PsF/Cr,639,2,33
Drapion (Shadow) PSt+Cr/AT,245,31,0
Ninetales (Alolan) PS+WBI/CW,96,47,0
Charjabug VS+XS/D,508,2,2
Ninetales (Alolan) (Shadow) PS+WBI/CW,156,31,0
Swampert MS+HC/Eq,733,2,55
Aegislash (Shield) PC+SB/GB,399,46,0
Bastiodon SD+SE/Ft,639,1,33
Marowak (Shadow) MSl+BC/RS,268,43,0
Swampert (Shadow) MS+HC/Eq,665,2,39
Stunfisk (Galarian) MS+RS/Eq,468,14,0
Registeel LO+FC/FB,403,26,0
Stunfisk TS+MB/D,648,2,35
Dusknoir (Shadow) A+DyP/ShP,372,43,0
Hydreigon (Shadow) DB+BrS/Fl,588,68,21
Dunsparce RO+DR/RS,601,18,24
Jumpluff (Shadow) FW+EB/Acr,209,39,0
Malamar (Shadow) Psy+FoP/SP,305,39,0
Pelipper WA+WBW/Hu,741,6,57
Melmetal TS+DbI/DyP,572,2,17
Seaking Pk+DR/IW,538,2,9
Turtonator I+BrS/DC,711,2,50
Dondozo W+S/O,843,3,81
Gourgeist (Large) I+SB/SeB,508,3,2
Milotic W+AT/Wr,618,3,28
Morpeko (Full Belly) TS+AuW/PsF,326,31,0
Oranguru Cf+BrS/TBl,489,6,0
Gourgeist (Average) I+SB/SeB,508,14,2
Gourgeist (Super) I+SB/SeB,508,3,2
Hydreigon DB+BrS/Fl,495,16,0
Shelgon DB+Tw/Ft,430,39,0
Samurott FC+HC/Mh,690,2,45
Shelgon (Shadow) DB+Tw/Ft,467,16,0
Doublade SC+SSw/GB,525,2,6
Drapion PSt+Cr/AT,550,2,12
Morgrem SkP+FoP/PR,465,6,0
Castform (Sunny) E+WBF/SoB,817,2,75
Dusknoir A+DyP/ShP,250,43,0
Gourgeist (Small) I+SB/SeB,690,6,45
Crustle FC+XS/RW,278,39,0
Spidops SC+Lu/RT,492,3,0
Toxapex PJ+Bri/SW,610,19,26
Aromatisse FW+Psh/M,413,6,0
Milotic (Shadow) W+AT/Wr,813,2,74
Miltank RO+BS/Tb,622,3,29
Carbink RTh+RS/M,614,1,27
Golisopod FC+XS/AJ,296,39,0
Ludicolo A+WBW/EB,283,55,0
Primeape (Shadow) KC+RF/IP,370,8,0
Aurorus PS+WBI/MeB,707,2,49
Crustle (Shadow) FC+XS/RW,369,39,0
Gligar WA+NS/Dg,665,2,39
Politoed (Shadow) MS+WBW/IB,533,2,8
Togekiss Pk+Psh/AuS,186,39,0
Grumpig (Shadow) Psy+DyP/SB,703,2,48
Lumineon G+AT/SvW,504,3,1
Sylveon FW+Psh/SB,165,39,0
Noctowl WA+SB/Re,244,63,0
Toucannon Pk+BBl/DrlP,345,39,0
Toucannon (Shadow) Pk+BBl/DrlP,430,39,0
Walrein PS+ISp/Eq,379,2,0
Gligar (Shadow) WA+NS/Dg,267,47,0
Sandslash (Alolan) PS+IP/DR,188,47,0
Thievul SkP+NS/PR,251,39,0
Hippowdon SdA+WBR/EP,246,47,0
Lickitung L+BS/PW,584,11,20
Weezing (Galarian) (Shadow) FW+Sl/BrS,168,31,0
Araquanid BBi+WP/BuB,452,23,0
Cresselia PC+GK/M,256,63,0
Greninja (Shadow) WSh+HC/NS,644,92,34
Swalot MS+Sl/IB,661,3,38
Murkrow (Shadow) Pk+DrlP/FoP,470,24,0
Regidrago DB+DrE/VG,394,39,0
Goodra DB+AT/TP,448,84,0
Linoone SC+Sw/GK,301,47,0
Bellibolt TS+ZC/PbC,792,6,69
Pachirisu VS+HF/TP,567,3,16
Sandslash (Alolan) (Shadow) PS+IP/DR,172,39,0
Steelix TF+PsF/Cr,559,10,14
Zweilous DB+BS/DP,342,31,0
Kommo-o DT+ClS/UH,419,43,0
Lanturn WG+S/Tb,877,3,89
Spiritomb SkP+RT/SB,588,2,21
Araquanid (Shadow) BBi+BuB/WP,538,3,9
Giratina (Altered) (Shadow) DB+DC/SS,437,47,0
Qwilfish (Shadow) PSt+AT/SB,345,39,0
Annihilape LK+RF/IP,533,2,8
Diggersby (Shadow) MS+ScS/FiP,783,2,67
Klefki A+FoP/PR,376,6,0
Ledian RO+DyP/Acr,283,55,0
Marowak MSl+BC/RS,538,2,9
Walrein (Shadow) PS+ISp/Eq,275,39,0
Zweilous (Shadow) DB+BS/DP,428,80,0
Dragalge Ac+AT/O,648,2,35
Dudunsparce RO+BS/DR,635,2,32
Hakamo-o DT+BkB/RT,447,43,0
Pidgeot G+AC/BrB,533,2,8
Samurott (Shadow) FC+HC/Mh,690,2,45
Abomasnow (Shadow) PS+WBI/EB,269,31,0
Metang (Shadow) FC+Psh/GB,166,39,0
Politoed MS+WBW/IB,563,3,15
Dubwool DK+BS/Pbk,627,2,30
Gyarados DB+AT/Tw,334,35,0
Abomasnow PS+WBI/EB,297,39,0
Annihilape (Shadow) C+RF/IP,332,47,0
Hippowdon (Shadow) SdA+WBR/EP,327,47,0
Amoonguss A+FoP/GK,504,3,1
Charjabug (Shadow) VS+XS/D,337,39,0
Metang FC+Psh/GB,472,34,0
Poliwrath MS+IW/DyP,504,3,1
Bronzong Cf+WBW/Pbk,475,22,0
Emolga TS+Acr/D,372,47,0
Raikou TS+WC/AuS,366,39,0
Weezing (Galarian) FW+Sl/BrS,94,39,0
Castform H+WBR/EB,593,10,22
Castform (Rainy) WG+WBW/T,877,3,89
Dartrix Pk+BrB/EB,246,55,0
Dewott FC+AT/XS,312,47,0
Gyarados (Shadow) DB+AT/Tw,334,35,0
Orthworm MSl+RT/Eq,434,30,0
Rapidash (Shadow) I+DR/WC,533,2,8
Blastoise (Shadow) RO+HC/SkB,635,3,32
Tentacruel Ac+Sc/Pbk,605,3,25
Articuno PS+IW/Hu,508,3,2
Dewott (Shadow) FC+AT/XS,345,35,0
Primeape KC+RF/IP,400,47,0
Greninja WSh+HC/NS,686,2,44
Pangoro KC+CC/NS,289,31,0
Cradily (Shadow) Ac+RT/GK,284,63,0
Cetitan PS+ISp/SP,262,39,0
Electrode (Hisuian) TS+WC/EB,278,39,0
Machamp (Shadow) KC+CrC/RS,387,31,0
Qwilfish PSt+AT/SB,345,39,0
Torkoal E+FW/Ov,796,2,70
Gallade (Shadow) PC+CC/LB,370,31,0
Latias DB+AuS/MsB,408,39,0
Aurorus (Shadow) PS+WBI/MeB,259,39,0
Kecleon SkP+TP/DyP,690,2,45
Rufflet Pk+BrB/Fl,690,2,45
Dodrio Pk+DrlP/BrB,386,39,0
Oinkologne MSl+BS/TBl,699,2,47
Solrock Psy+WBF/RS,293,39,0
Wormadam (Trash) SkP+BBu/IH,437,30,0
Dragonite (Shadow) DB+TP/SP,593,68,22
Vespiquen FC+XS/PG,265,47,0
Gogoat VW+LB/RS,281,47,0
Grimmsnarl SkP+FoP/PR,588,2,21
Mightyena (Shadow) SkP+Cr/PF,349,47,0
Nidoqueen MSl+EP/PF,631,2,31
Swanna (Shadow) G+AJ/Fl,512,2,3
Dewgong (Shadow) IS+IW/DR,242,55,0
Machoke (Shadow) KC+CrC/DyP,335,31,0
Swanna G+AJ/Fl,588,2,21
Cetoddle PS+Av/BS,248,39,0
Coalossal FS+RS/FmC,860,2,85
Primarina W+DV/HC,455,18,0
Raichu TS+WC/TBl,372,39,0
Arctibax DB+Av/DC,460,47,0
Claydol MSl+RT/SB,652,22,36
Drampa DB+Sw/DgP,614,16,27
Gliscor WA+ST/Acr,563,2,15
Mawile FW+VG/IH,100,47,0
Amoonguss (Shadow) A+GK/FoP,285,55,0
Bellossom Ac+LB/DG,296,55,0
Klang MSo+VG/Tb,597,34,23
Lunatone Psy+WBI/RS,293,39,0
Marowak (Alolan) (Shadow) FS+SBo/BC,656,2,37
Ledian (Shadow) RO+DyP/Acr,533,2,8
Machamp KC+CrC/RS,375,47,0
Starmie Psy+AJ/PG,336,47,0
Ampharos VS+BrS/TBl,329,39,0
Poliwrath (Shadow) MS+IW/DyP,273,39,0
Qwilfish (Hisuian) PSt+AT/SB,351,39,0
Throh LK+BkB/BS,559,2,14
Amaura (Shadow) PS+WBI/Tb,233,31,0
Marowak (Alolan) FS+BC/SBo,720,2,52
Gallade PC+CC/LB,278,31,0
Latias (Shadow) DB+AuS/MsB,490,20,0
Registeel (Shadow) LO+FC/FB,440,22,0
Tinkatuff FW+PR/FC,312,22,0
Toedscruel MSl+SeB/EP,690,6,45
Hippopotas SdA+RT/BS,635,2,32
Hypno Cf+SB/TP,504,3,1
Blaziken E+AuS/BB,542,2,10
Murkrow Pk+DrlP/FoP,392,39,0
Bastiodon (Shadow) SD+SE/Ft,588,1,21
Samurott (Hisuian) FC+SSw/IW,352,47,0
Venusaur VW+FP/Sl,284,47,0
Cofagrigus SC+SB/Re,741,2,57
Rapidash I+DR/WC,614,2,27
Trumbeak (Shadow) Pk+DrlP/RB,401,39,0
Wartortle WG+AJ/IB,877,3,89
Castform (Snowy) PS+WBI/Bl,529,10,7
Skuntank PJ+Cr/TBl,639,2,33
Ursaring (Shadow) SC+Sw/CC,380,31,0
Urshifu (Single Strike) SkP+BkB/DyP,546,2,11
Hypno (Shadow) Cf+TP/IP,493,6,0
Nidoqueen (Shadow) MSl+EP/PF,550,2,12
Victreebel (Shadow) Ac+LB/SlB,366,31,0
Golbat WA+PF/SB,529,2,7
Blaziken (Shadow) E+AuS/BB,403,31,0
Munchlax Tk+BS/Bd,231,55,0
