Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,665,6,53
Lickilicky RO+BS/SB,384,52,0
Tinkaton FW+GH/Bd,475,54,0
Altaria DB+SA/Ft,612,6,36
Empoleon MSo+HC/DrlP,637,2,44
Altaria (Shadow) DB+SA/Ft,481,43,0
Empoleon (Shadow) MSo+HC/DrlP,559,2,19
Quagsire (Shadow) MS+AT/MB,369,43,0
Quagsire MS+AT/MB,335,28,0
Jellicent H+S/SB,615,6,37
Forretress VS+ST/RT,590,6,29
Ninetales E+WBF/EB,615,2,37
Ninetales (Shadow) E+WBF/EB,496,17,0
Feraligatr SC+HC/IB,515,28,5
Forretress (Shadow) VS+ST/RT,503,6,1
Corsola (Galarian) A+NSh/PG,746,6,79
Jumpluff FW+EB/Acr,326,43,0
Clodsire PSt+Eq/SE,587,4,28
Corviknight SdA+AC/Pbk,326,43,0
Fearow Pk+DrlP/DR,451,15,0
Azumarill B+IB/PR,421,32,0
Feraligatr (Shadow) SC+HC/IB,684,2,59
Kingdra DB+S/Sw,402,30,0
Guzzlord DT+BrS/SlB,418,41,0
Lapras Psy+SpA/IB,385,43,0
Corviknight (Shadow) SdA+AC/Pbk,400,43,0
Furret SkP+Sw/TBl,421,13,0
Kingdra (Shadow) DB+S/Sw,612,2,36
Dragonair (Shadow) DB+Wr/AT,521,2,7
Sableye (Shadow) SC+FoP/DrP,396,56,0
Seismitoad MS+EP/IW,334,43,0
Umbreon Sn+FoP/LR,448,0,0
Medicham PC+IP/DyP,390,30,0
Talonflame I+Fl/BrB,329,54,0
Dragonair DB+AT/DgP,492,15,0
Oinkologne (Female) MSl+BS/TBl,404,26,0
Sliggoo DB+BS/DgP,363,30,0
Sealeo PS+S/BS,413,43,0
Greedent MS+BS/TBl,384,26,0
Sealeo (Shadow) PS+S/BS,603,2,33
Diggersby MS+FiP/ScS,471,0,0
Dusclops H+IP/ShP,728,6,73
Grumpig Psy+DyP/SB,443,4,0
Cradily Ac+RT/GK,423,6,0
Florges FW+CW/DV,445,56,0
Lapras (Shadow) Psy+SpA/IB,593,28,30
Sableye SC+FoP/PG,578,6,25
Wigglytuff Ch+IW/Sw,468,52,0
Dusclops (Shadow) H+IP/ShP,650,6,48
Moltres (Galarian) SkP+Fl/BrB,375,30,0
Blastoise RO+HC/SkB,350,30,0
Clefable FW+M/MM,384,30,0
Mantine WA+Tw/WP,404,43,0
Talonflame (Shadow) I+FmC/Fl,418,54,0
Mandibuzz Sn+FoP/SB,442,58,0
Dewgong IS+IW/DR,515,2,5
Gastrodon MSl+BS/EP,309,56,0
Malamar Psy+SP/FoP,359,4,0
Steelix (Shadow) TF+PsF/Cr,444,41,0
Drapion (Shadow) PSt+Cr/AT,512,2,4
Ninetales (Alolan) PS+WBI/CW,488,15,0
Charjabug VS+XS/D,631,28,42
Ninetales (Alolan) (Shadow) PS+WBI/CW,590,2,29
Swampert MS+HC/Eq,334,17,0
Aegislash (Shield) PC+SB/GB,662,6,52
Bastiodon SD+SE/Ft,575,2,24
Marowak (Shadow) MSl+BC/RS,360,43,0
Swampert (Shadow) MS+HC/Eq,470,2,0
Stunfisk (Galarian) MS+RS/Eq,515,4,5
Registeel LO+FC/FB,375,54,0
Stunfisk TS+MB/D,581,4,26
Dusknoir (Shadow) A+DyP/ShP,534,4,11
Hydreigon (Shadow) DB+BrS/Fl,211,54,0
Dunsparce RO+DR/RS,464,2,0
Jumpluff (Shadow) FW+EB/Acr,372,30,0
Malamar (Shadow) Psy+FoP/SP,129,41,0
Pelipper WA+WBW/Hu,543,30,14
Melmetal TS+DbI/DyP,590,2,29
Seaking Pk+DR/IW,380,56,0
Turtonator I+BrS/DC,584,2,27
Dondozo W+S/O,509,6,3
Gourgeist (Large) I+SB/SeB,628,30,41
Milotic W+AT/Wr,370,43,0
Morpeko (Full Belly) TS+AuW/PsF,385,17,0
Oranguru Cf+BrS/TBl,397,41,0
Gourgeist (Average) I+SB/SeB,628,30,41
Gourgeist (Super) I+SB/SeB,521,43,7
Hydreigon DB+BrS/Fl,596,2,31
Shelgon DB+Tw/Ft,491,15,0
Samurott FC+HC/Mh,488,15,0
Shelgon (Shadow) DB+Tw/Ft,528,2,9
Doublade SC+SSw/GB,721,17,71
Drapion PSt+Cr/AT,712,2,68
Morgrem SkP+FoP/PR,462,15,0
Castform (Sunny) E+WBF/SoB,621,2,39
Dusknoir A+DyP/ShP,603,17,33
Gourgeist (Small) I+SB/SeB,668,17,54
Crustle FC+XS/RW,439,4,0
Spidops SC+Lu/RT,596,32,31
Toxapex PJ+Bri/SW,637,4,44
Aromatisse FW+Psh/M,426,28,0
Milotic (Shadow) W+AT/Wr,393,4,0
Miltank RO+BS/Tb,463,2,0
Carbink RTh+RS/M,428,4,0
Golisopod FC+XS/AJ,546,30,15
Ludicolo A+WBW/EB,618,6,38
Primeape (Shadow) KC+RF/IP,142,54,0
Aurorus PS+WBI/MeB,615,2,37
Crustle (Shadow) FC+XS/RW,247,54,0
Gligar WA+NS/Dg,354,43,0
Politoed (Shadow) MS+WBW/IB,471,15,0
Togekiss Pk+Psh/AuS,534,17,11
Grumpig (Shadow) Psy+DyP/SB,155,54,0
Lumineon G+AT/SvW,612,6,36
Sylveon FW+Psh/SB,559,6,19
Noctowl WA+SB/Re,389,6,0
Toucannon Pk+BBl/DrlP,264,54,0
Toucannon (Shadow) Pk+BBl/DrlP,329,54,0
Walrein PS+ISp/Eq,464,15,0
Gligar (Shadow) WA+NS/Dg,374,30,0
Sandslash (Alolan) PS+IP/DR,656,2,50
Thievul SkP+NS/PR,429,15,0
Hippowdon SdA+WBR/EP,316,30,0
Lickitung L+BS/PW,606,0,34
Weezing (Galarian) (Shadow) FW+Sl/BrS,456,17,0
Araquanid BBi+WP/BuB,506,6,2
Cresselia PC+GK/M,659,6,51
Greninja (Shadow) WSh+HC/NS,439,4,0
Swalot MS+Sl/IB,459,41,0
Murkrow (Shadow) Pk+DrlP/FoP,359,54,0
Regidrago DB+DrE/VG,396,30,0
Goodra DB+AT/TP,397,30,0
Linoone SC+Sw/GK,470,52,0
Bellibolt TS+ZC/PbC,324,43,0
Pachirisu VS+HF/TP,553,4,17
Sandslash (Alolan) (Shadow) PS+IP/DR,590,2,29
Steelix TF+PsF/Cr,503,4,1
Zweilous DB+BS/DP,450,15,0
