Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,359,20,0
Lickilicky RO+BS/SB,275,76,0
Tinkaton FW+GH/Bd,287,16,0
Altaria DB+SA/Ft,286,64,0
Empoleon MSo+HC/DrlP,168,40,0
Altaria (Shadow) DB+SA/Ft,481,20,0
Empoleon (Shadow) MSo+HC/DrlP,250,40,0
Quagsire (Shadow) MS+AT/MB,640,4,39
Quagsire MS+AT/MB,263,72,0
Jellicent H+S/SB,611,8,31
Forretress VS+ST/RT,386,16,0
Ninetales E+WBF/EB,622,16,34
Ninetales (Shadow) E+WBF/EB,575,4,21
Feraligatr SC+HC/IB,528,4,8
Forretress (Shadow) VS+ST/RT,199,60,0
Corsola (Galarian) A+NSh/PG,708,12,58
Jumpluff FW+EB/Acr,248,60,0
Clodsire PSt+Eq/SE,350,76,0
Corviknight SdA+AC/Pbk,386,40,0
Fearow Pk+DrlP/DR,326,40,0
Azumarill B+IB/PR,744,0,68
Feraligatr (Shadow) SC+HC/IB,324,40,0
Kingdra DB+S/Sw,503,4,1
Guzzlord DT+BrS/SlB,228,24,0
Lapras Psy+SpA/IB,643,0,40
Corviknight (Shadow) SdA+AC/Pbk,383,16,0
Furret SkP+Sw/TBl,676,12,49
Kingdra (Shadow) DB+S/Sw,343,40,0
Dragonair (Shadow) DB+Wr/AT,318,40,0
Sableye (Shadow) SC+FoP/DrP,128,40,0
Seismitoad MS+EP/IW,658,0,44
Umbreon Sn+FoP/LR,362,16,0
Medicham PC+IP/DyP,661,40,45
Talonflame I+Fl/BrB,636,16,38
Dragonair DB+AT/DgP,694,4,54
Oinkologne (Female) MSl+BS/TBl,227,60,0
Sliggoo DB+BS/DgP,484,12,0
Sealeo PS+S/BS,398,12,0
Greedent MS+BS/TBl,423,32,0
Sealeo (Shadow) PS+S/BS,467,0,0
Diggersby MS+FiP/ScS,611,0,31
Dusclops H+IP/ShP,672,20,48
Grumpig Psy+DyP/SB,913,8,115
Cradily Ac+RT/GK,375,24,0
Florges FW+CW/DV,245,4,0
Lapras (Shadow) Psy+SpA/IB,611,24,31
Sableye SC+FoP/PG,428,16,0
Wigglytuff Ch+IW/Sw,383,8,0
Dusclops (Shadow) H+IP/ShP,647,0,41
Moltres (Galarian) SkP+Fl/BrB,112,68,0
Blastoise RO+HC/SkB,561,24,17
Clefable FW+M/MM,217,44,0
Mantine WA+Tw/WP,404,28,0
Talonflame (Shadow) I+FmC/Fl,651,0,42
Mandibuzz Sn+FoP/SB,94,48,0
Dewgong IS+IW/DR,474,12,0
Gastrodon MSl+BS/EP,528,20,8
Malamar Psy+SP/FoP,647,0,41
Steelix (Shadow) TF+PsF/Cr,412,32,0
Drapion (Shadow) PSt+Cr/AT,368,12,0
Ninetales (Alolan) PS+WBI/CW,460,28,0
Charjabug VS+XS/D,452,0,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,416,4,0
Swampert MS+HC/Eq,604,0,29
Aegislash (Shield) PC+SB/GB,482,12,0
Bastiodon SD+SE/Ft,460,0,0
Marowak (Shadow) MSl+BC/RS,488,4,0
Swampert (Shadow) MS+HC/Eq,510,0,3
Stunfisk (Galarian) MS+RS/Eq,331,32,0
Registeel LO+FC/FB,579,0,22
Stunfisk TS+MB/D,264,80,0
Dusknoir (Shadow) A+DyP/ShP,643,0,40
Hydreigon (Shadow) DB+BrS/Fl,168,36,0
Dunsparce RO+DR/RS,625,0,35
Jumpluff (Shadow) FW+EB/Acr,248,60,0
Malamar (Shadow) Psy+FoP/SP,597,0,27
Pelipper WA+WBW/Hu,600,0,28
Melmetal TS+DbI/DyP,407,20,0
Seaking Pk+DR/IW,607,0,30
Turtonator I+BrS/DC,571,8,20
Dondozo W+S/O,227,72,0
Gourgeist (Large) I+SB/SeB,766,0,74
Milotic W+AT/Wr,484,16,0
Morpeko (Full Belly) TS+AuW/PsF,165,36,0
Oranguru Cf+BrS/TBl,730,28,64
Gourgeist (Average) I+SB/SeB,766,0,74
Gourgeist (Super) I+SB/SeB,766,0,74
Hydreigon DB+BrS/Fl,185,4,0
Shelgon DB+Tw/Ft,517,4,5
Samurott FC+HC/Mh,283,36,0
Shelgon (Shadow) DB+Tw/Ft,329,40,0
Doublade SC+SSw/GB,600,0,28
Drapion PSt+Cr/AT,372,28,0
Morgrem SkP+FoP/PR,265,16,0
Castform (Sunny) E+WBF/SoB,462,20,0
Dusknoir A+DyP/ShP,694,0,54
Gourgeist (Small) I+SB/SeB,766,0,74
Crustle FC+XS/RW,226,28,0
Spidops SC+Lu/RT,248,60,0
Toxapex PJ+Bri/SW,672,36,48
Aromatisse FW+Psh/M,445,16,0
Milotic (Shadow) W+AT/Wr,488,4,0
Miltank RO+BS/Tb,293,76,0
Carbink RTh+RS/M,361,64,0
Golisopod FC+XS/AJ,240,28,0
Ludicolo A+WBW/EB,488,16,0
Primeape (Shadow) KC+RF/IP,766,68,74
Aurorus PS+WBI/MeB,723,16,62
Crustle (Shadow) FC+XS/RW,200,20,0
Gligar WA+NS/Dg,629,28,36
Politoed (Shadow) MS+WBW/IB,651,0,42
Togekiss Pk+Psh/AuS,473,16,0
Grumpig (Shadow) Psy+DyP/SB,920,0,117
Lumineon G+AT/SvW,456,16,0
Sylveon FW+Psh/SB,246,4,0
Noctowl WA+SB/Re,422,28,0
