Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,373,4,0
Lickilicky RO+BS/SB,683,0,51
Tinkaton FW+GH/Bd,180,60,0
Altaria DB+SA/Ft,286,44,0
Empoleon MSo+HC/DrlP,168,40,0
Altaria (Shadow) DB+SA/Ft,286,44,0
Empoleon (Shadow) MSo+HC/DrlP,250,40,0
Quagsire (Shadow) MS+AT/MB,604,16,29
Quagsire MS+AT/MB,245,64,0
Jellicent H+S/SB,333,4,0
Forretress VS+ST/RT,199,60,0
Ninetales E+WBF/EB,622,0,34
Ninetales (Shadow) E+WBF/EB,553,12,15
Feraligatr SC+HC/IB,292,36,0
Forretress (Shadow) VS+ST/RT,199,60,0
Corsola (Galarian) A+NSh/PG,305,52,0
Jumpluff FW+EB/Acr,248,40,0
Clodsire PSt+Eq/SE,350,56,0
Corviknight SdA+AC/Pbk,170,60,0
Fearow Pk+DrlP/DR,326,40,0
Azumarill B+IB/PR,269,76,0
Feraligatr (Shadow) SC+HC/IB,324,40,0
Kingdra DB+S/Sw,258,40,0
Guzzlord DT+BrS/SlB,392,32,0
Lapras Psy+SpA/IB,661,0,45
Corviknight (Shadow) SdA+AC/Pbk,170,60,0
Furret SkP+Sw/TBl,733,0,65
Kingdra (Shadow) DB+S/Sw,360,24,0
Dragonair (Shadow) DB+Wr/AT,318,40,0
Sableye (Shadow) SC+FoP/DrP,128,40,0
Seismitoad MS+EP/IW,658,20,44
Umbreon Sn+FoP/LR,115,80,0
Medicham PC+IP/DyP,661,0,45
Talonflame I+Fl/BrB,281,40,0
Dragonair DB+AT/DgP,287,36,0
Oinkologne (Female) MSl+BS/TBl,227,40,0
Sliggoo DB+BS/DgP,285,36,0
Sealeo PS+S/BS,226,40,0
Greedent MS+BS/TBl,694,0,54
Sealeo (Shadow) PS+S/BS,568,4,19
Diggersby MS+FiP/ScS,705,12,57
Dusclops H+IP/ShP,273,56,0
Grumpig Psy+DyP/SB,409,40,0
Cradily Ac+RT/GK,243,48,0
Florges FW+CW/DV,245,24,0
Lapras (Shadow) Psy+SpA/IB,633,0,37
Sableye SC+FoP/PG,204,40,0
Wigglytuff Ch+IW/Sw,271,36,0
Dusclops (Shadow) H+IP/ShP,273,56,0
Moltres (Galarian) SkP+Fl/BrB,201,48,0
Blastoise RO+HC/SkB,561,0,17
Clefable FW+M/MM,217,24,0
Mantine WA+Tw/WP,359,12,0
Talonflame (Shadow) I+FmC/Fl,374,40,0
Mandibuzz Sn+FoP/SB,94,88,0
Dewgong IS+IW/DR,232,72,0
Gastrodon MSl+BS/EP,528,0,8
Malamar Psy+SP/FoP,356,24,0
Steelix (Shadow) TF+PsF/Cr,643,0,40
Drapion (Shadow) PSt+Cr/AT,216,40,0
Ninetales (Alolan) PS+WBI/CW,535,0,10
Charjabug VS+XS/D,253,24,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,476,4,0
Swampert MS+HC/Eq,532,0,9
Aegislash (Shield) PC+SB/GB,280,16,0
Bastiodon SD+SE/Ft,665,8,46
Marowak (Shadow) MSl+BC/RS,268,28,0
Swampert (Shadow) MS+HC/Eq,510,4,3
Stunfisk (Galarian) MS+RS/Eq,159,68,0
Registeel LO+FC/FB,579,0,22
Stunfisk TS+MB/D,264,80,0
Dusknoir (Shadow) A+DyP/ShP,372,28,0
Hydreigon (Shadow) DB+BrS/Fl,168,36,0
Dunsparce RO+DR/RS,672,0,48
Jumpluff (Shadow) FW+EB/Acr,248,40,0
Malamar (Shadow) Psy+FoP/SP,500,0,0
Pelipper WA+WBW/Hu,330,40,0
Melmetal TS+DbI/DyP,174,40,0
Seaking Pk+DR/IW,607,0,30
Turtonator I+BrS/DC,503,0,1
Dondozo W+S/O,227,72,0
Gourgeist (Large) I+SB/SeB,323,44,0
Milotic W+AT/Wr,290,40,0
Morpeko (Full Belly) TS+AuW/PsF,165,36,0
Oranguru Cf+BrS/TBl,679,8,50
Gourgeist (Average) I+SB/SeB,343,44,0
Gourgeist (Super) I+SB/SeB,306,44,0
Hydreigon DB+BrS/Fl,176,40,0
Shelgon DB+Tw/Ft,296,36,0
Samurott FC+HC/Mh,279,36,0
Shelgon (Shadow) DB+Tw/Ft,329,40,0
Doublade SC+SSw/GB,339,8,0
Drapion PSt+Cr/AT,474,8,0
Morgrem SkP+FoP/PR,380,16,0
Castform (Sunny) E+WBF/SoB,270,44,0
Dusknoir A+DyP/ShP,283,40,0
Gourgeist (Small) I+SB/SeB,369,44,0
Crustle FC+XS/RW,226,8,0
Spidops SC+Lu/RT,251,40,0
Toxapex PJ+Bri/SW,672,0,48
Aromatisse FW+Psh/M,323,40,0
Milotic (Shadow) W+AT/Wr,255,28,0
Miltank RO+BS/Tb,683,0,51
Carbink RTh+RS/M,607,0,30
Golisopod FC+XS/AJ,240,8,0
Ludicolo A+WBW/EB,283,40,0
Primeape (Shadow) KC+RF/IP,766,68,74
Aurorus PS+WBI/MeB,773,0,76
Crustle (Shadow) FC+XS/RW,200,20,0
Gligar WA+NS/Dg,347,60,0
Politoed (Shadow) MS+WBW/IB,651,4,42
Togekiss Pk+Psh/AuS,330,40,0
Grumpig (Shadow) Psy+DyP/SB,564,12,18
Lumineon G+AT/SvW,277,40,0
Sylveon FW+Psh/SB,246,24,0
Noctowl WA+SB/Re,244,68,0
Toucannon Pk+BBl/DrlP,329,40,0
Toucannon (Shadow) Pk+BBl/DrlP,410,40,0
Walrein PS+ISp/Eq,207,44,0
Gligar (Shadow) WA+NS/Dg,267,32,0
Sandslash (Alolan) PS+IP/DR,582,0,23
Thievul SkP+NS/PR,161,40,0
Hippowdon SdA+WBR/EP,514,0,4
Lickitung L+BS/PW,633,16,37
Weezing (Galarian) (Shadow) FW+Sl/BrS,413,16,0
Araquanid BBi+WP/BuB,110,60,0
Cresselia PC+GK/M,331,48,0
Greninja (Shadow) WSh+HC/NS,169,36,0
Swalot MS+Sl/IB,643,4,40
