Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,866,1,110
Lickilicky RO+BS/SB,406,42,0
Tinkaton FW+GH/Bd,304,45,0
Altaria DB+SA/Ft,740,1,72
Empoleon MSo+HC/DrlP,372,29,0
Altaria (Shadow) DB+SA/Ft,643,3,43
Empoleon (Shadow) MSo+HC/DrlP,290,25,0
Quagsire (Shadow) MS+AT/MB,459,16,0
Quagsire MS+AT/MB,381,29,0
Jellicent H+S/SB,416,34,0
Forretress VS+ST/RT,382,14,0
Ninetales E+WBF/EB,566,3,20
Ninetales (Shadow) E+WBF/EB,476,38,0
Feraligatr SC+HC/IB,686,3,56
Forretress (Shadow) VS+ST/RT,378,1,0
Corsola (Galarian) A+NSh/PG,520,25,6
Jumpluff FW+EB/Acr,640,7,42
Clodsire PSt+Eq/SE,413,18,0
Corviknight SdA+AC/Pbk,340,42,0
Fearow Pk+DrlP/DR,563,25,19
Azumarill B+IB/PR,513,11,4
Feraligatr (Shadow) SC+HC/IB,650,3,45
Kingdra DB+S/Sw,330,25,0
Guzzlord DT+BrS/SlB,471,1,0
Lapras Psy+SpA/IB,563,14,19
Corviknight (Shadow) SdA+AC/Pbk,396,29,0
Furret SkP+Sw/TBl,356,36,0
Kingdra (Shadow) DB+S/Sw,381,12,0
Dragonair (Shadow) DB+Wr/AT,413,12,0
Sableye (Shadow) SC+FoP/DrP,388,58,0
Seismitoad MS+EP/IW,563,7,19
Umbreon Sn+FoP/LR,400,20,0
Medicham PC+IP/DyP,379,29,0
Talonflame I+Fl/BrB,743,12,73
Dragonair DB+AT/DgP,366,25,0
Oinkologne (Female) MSl+BS/TBl,416,3,0
Sliggoo DB+BS/DgP,526,14,8
Sealeo PS+S/BS,593,1,28
Greedent MS+BS/TBl,435,42,0
Sealeo (Shadow) PS+S/BS,593,3,28
Diggersby MS+FiP/ScS,576,11,23
Dusclops H+IP/ShP,643,21,43
Grumpig Psy+DyP/SB,333,23,0
Cradily Ac+RT/GK,336,58,0
Florges FW+CW/DV,650,1,45
Lapras (Shadow) Psy+SpA/IB,766,3,80
Sableye SC+FoP/PG,526,8,8
