Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,457,21,0
Lickilicky RO+BS/SB,412,30,0
Tinkaton FW+GH/Bd,753,3,64
Altaria DB+SA/Ft,515,2,4
Empoleon MSo+HC/DrlP,372,29,0
Altaria (Shadow) DB+SA/Ft,242,28,0
Empoleon (Shadow) MSo+HC/DrlP,377,11,0
Quagsire (Shadow) MS+AT/MB,288,28,0
Quagsire MS+AT/MB,223,28,0
Jellicent H+S/SB,368,15,0
Forretress VS+ST/RT,869,2,93
Ninetales E+WBF/EB,563,7,16
Ninetales (Shadow) E+WBF/EB,619,24,30
Feraligatr SC+HC/IB,256,1,0
Forretress (Shadow) VS+ST/RT,841,2,86
Corsola (Galarian) A+NSh/PG,392,21,0
Jumpluff FW+EB/Acr,789,3,73
Clodsire PSt+Eq/SE,372,2,0
Corviknight SdA+AC/Pbk,571,3,18
Fearow Pk+DrlP/DR,391,29,0
Azumarill B+IB/PR,408,11,0
Feraligatr (Shadow) SC+HC/IB,328,6,0
Kingdra DB+S/Sw,262,10,0
Guzzlord DT+BrS/SlB,292,12,0
Lapras Psy+SpA/IB,268,38,0
Corviknight (Shadow) SdA+AC/Pbk,678,38,45
Furret SkP+Sw/TBl,496,21,0
Kingdra (Shadow) DB+S/Sw,296,10,0
Dragonair (Shadow) DB+Wr/AT,342,15,0
Sableye (Shadow) SC+FoP/DrP,543,3,11
Seismitoad MS+EP/IW,220,10,0
Umbreon Sn+FoP/LR,483,31,0
Medicham PC+IP/DyP,429,21,0
Talonflame I+Fl/BrB,374,33,0
Dragonair DB+AT/DgP,275,19,0
Oinkologne (Female) MSl+BS/TBl,440,3,0
Sliggoo DB+BS/DgP,433,24,0
Sealeo PS+S/BS,467,30,0
Greedent MS+BS/TBl,535,4,9
Sealeo (Shadow) PS+S/BS,315,38,0
Diggersby MS+FiP/ScS,356,30,0
Dusclops H+IP/ShP,515,4,4
Grumpig Psy+DyP/SB,531,4,8
Cradily Ac+RT/GK,343,3,0
Florges FW+CW/DV,431,21,0
Lapras (Shadow) Psy+SpA/IB,284,29,0
Sableye SC+FoP/PG,308,29,0
Wigglytuff Ch+IW/Sw,650,39,38
Dusclops (Shadow) H+IP/ShP,507,21,2
Moltres (Galarian) SkP+Fl/BrB,467,38,0
Blastoise RO+HC/SkB,226,10,0
Clefable FW+M/MM,753,7,64
Mantine WA+Tw/WP,227,19,0
Talonflame (Shadow) I+FmC/Fl,507,2,2
Mandibuzz Sn+FoP/SB,474,31,0
Dewgong IS+IW/DR,603,4,26
Gastrodon MSl+BS/EP,261,28,0
Malamar Psy+SP/FoP,523,3,6
Steelix (Shadow) TF+PsF/Cr,642,3,36
Drapion (Shadow) PSt+Cr/AT,406,38,0
Ninetales (Alolan) PS+WBI/CW,642,3,36
Charjabug VS+XS/D,611,3,28
Ninetales (Alolan) (Shadow) PS+WBI/CW,900,2,101
Swampert MS+HC/Eq,205,2,0
Aegislash (Shield) PC+SB/GB,531,4,8
Bastiodon SD+SE/Ft,377,31,0
Marowak (Shadow) MSl+BC/RS,300,20,0
Swampert (Shadow) MS+HC/Eq,227,2,0
Stunfisk (Galarian) MS+RS/Eq,619,3,30
Registeel LO+FC/FB,892,3,99
Stunfisk TS+MB/D,375,21,0
Dusknoir (Shadow) A+DyP/ShP,411,38,0
Hydreigon (Shadow) DB+BrS/Fl,301,20,0
Dunsparce RO+DR/RS,432,30,0
Jumpluff (Shadow) FW+EB/Acr,765,3,67
Malamar (Shadow) Psy+FoP/SP,377,38,0
Pelipper WA+WBW/Hu,278,19,0
Melmetal TS+DbI/DyP,654,29,39
Seaking Pk+DR/IW,500,11,0
Turtonator I+BrS/DC,371,15,0
Dondozo W+S/O,318,2,0
Gourgeist (Large) I+SB/SeB,884,38,97
Milotic W+AT/Wr,229,10,0
Morpeko (Full Belly) TS+AuW/PsF,377,2,0
Oranguru Cf+BrS/TBl,457,30,0
Gourgeist (Average) I+SB/SeB,591,3,23
Gourgeist (Super) I+SB/SeB,857,3,90
Hydreigon DB+BrS/Fl,301,38,0
Shelgon DB+Tw/Ft,280,28,0
Samurott FC+HC/Mh,305,15,0
Shelgon (Shadow) DB+Tw/Ft,353,24,0
Doublade SC+SSw/GB,674,11,44
Drapion PSt+Cr/AT,326,38,0
Morgrem SkP+FoP/PR,523,3,6
Castform (Sunny) E+WBF/SoB,563,7,16
Dusknoir A+DyP/ShP,503,3,1
Gourgeist (Small) I+SB/SeB,773,3,69
Crustle FC+XS/RW,321,29,0
Spidops SC+Lu/RT,710,3,53
Toxapex PJ+Bri/SW,389,15,0
Aromatisse FW+Psh/M,575,21,19
Milotic (Shadow) W+AT/Wr,259,10,0
Miltank RO+BS/Tb,420,30,0
Carbink RTh+RS/M,230,15,0
Golisopod FC+XS/AJ,342,29,0
Ludicolo A+WBW/EB,466,3,0
Primeape (Shadow) KC+RF/IP,662,6,41
Aurorus PS+WBI/MeB,292,29,0
Crustle (Shadow) FC+XS/RW,404,29,0
Gligar WA+NS/Dg,435,12,0
Politoed (Shadow) MS+WBW/IB,316,33,0
Togekiss Pk+Psh/AuS,567,3,17
Grumpig (Shadow) Psy+DyP/SB,356,29,0
Lumineon G+AT/SvW,383,6,0
Sylveon FW+Psh/SB,496,21,0
Noctowl WA+SB/Re,386,12,0
Toucannon Pk+BBl/DrlP,410,29,0
Toucannon (Shadow) Pk+BBl/DrlP,459,11,0
Walrein PS+ISp/Eq,464,3,0
Gligar (Shadow) WA+NS/Dg,290,20,0
Sandslash (Alolan) PS+IP/DR,900,2,101
Thievul SkP+NS/PR,523,12,6
Hippowdon SdA+WBR/EP,316,24,0
Lickitung L+BS/PW,478,13,0
Weezing (Galarian) (Shadow) FW+Sl/BrS,638,24,35
Araquanid BBi+WP/BuB,345,21,0
Cresselia PC+GK/M,531,31,8
Greninja (Shadow) WSh+HC/NS,282,2,0
Swalot MS+Sl/IB,674,2,44
Murkrow (Shadow) Pk+DrlP/FoP,757,11,65
Regidrago DB+DrE/VG,265,19,0
Goodra DB+AT/TP,273,28,0
Linoone SC+Sw/GK,483,12,0
Bellibolt TS+ZC/PbC,399,12,0
Pachirisu VS+HF/TP,408,30,0
Sandslash (Alolan) (Shadow) PS+IP/DR,869,2,93
Steelix TF+PsF/Cr,706,3,52
Zweilous DB+BS/DP,232,29,0
Kommo-o DT+ClS/UH,405,33,0
Lanturn WG+S/Tb,368,6,0
Spiritomb SkP+RT/SB,442,12,0
Araquanid (Shadow) BBi+BuB/WP,386,21,0
Giratina (Altered) (Shadow) DB+DC/SS,273,28,0
Qwilfish (Shadow) PSt+AT/SB,551,6,13
Annihilape LK+RF/IP,623,3,31
Diggersby (Shadow) MS+ScS/FiP,238,11,0
Klefki A+FoP/PR,801,29,76
Ledian RO+DyP/Acr,547,3,12
Marowak MSl+BC/RS,268,20,0
Walrein (Shadow) PS+ISp/Eq,718,3,55
Zweilous (Shadow) DB+BS/DP,253,29,0
Dragalge Ac+AT/O,362,19,0
Dudunsparce RO+BS/DR,470,3,0
Hakamo-o DT+BkB/RT,350,28,0
Pidgeot G+AC/BrB,611,3,28
Samurott (Shadow) FC+HC/Mh,341,15,0
Abomasnow (Shadow) PS+WBI/EB,869,2,93
Metang (Shadow) FC+Psh/GB,595,38,24
Politoed MS+WBW/IB,241,28,0
Dubwool DK+BS/Pbk,543,4,11
Gyarados DB+AT/Tw,515,2,4
Abomasnow PS+WBI/EB,900,2,101
Annihilape (Shadow) C+RF/IP,722,6,56
Hippowdon (Shadow) SdA+WBR/EP,341,20,0
Amoonguss A+FoP/GK,634,3,34
Charjabug (Shadow) VS+XS/D,805,2,77
Metang FC+Psh/GB,722,3,56
Poliwrath MS+IW/DyP,591,6,23
Bronzong Cf+WBW/Pbk,527,3,7
Emolga TS+Acr/D,531,3,8
Raikou TS+WC/AuS,422,38,0
Weezing (Galarian) FW+Sl/BrS,511,7,3
Castform H+WBR/EB,445,12,0
Castform (Rainy) WG+WBW/T,232,28,0
Dartrix Pk+BrB/EB,674,3,44
Dewott FC+AT/XS,489,2,0
Gyarados (Shadow) DB+AT/Tw,268,11,0
Orthworm MSl+RT/Eq,678,3,45
Rapidash (Shadow) I+DR/WC,419,33,0
Blastoise (Shadow) RO+HC/SkB,257,10,0
Tentacruel Ac+Sc/Pbk,320,28,0
Articuno PS+IW/Hu,841,3,86
Dewott (Shadow) FC+AT/XS,342,33,0
Primeape KC+RF/IP,718,6,55
Greninja WSh+HC/NS,256,2,0
Pangoro KC+CC/NS,387,29,0
Cradily (Shadow) Ac+RT/GK,406,3,0
Cetitan PS+ISp/SP,718,64,55
Electrode (Hisuian) TS+WC/EB,876,55,95
Machamp (Shadow) KC+CrC/RS,431,2,0
Qwilfish PSt+AT/SB,471,28,0
Torkoal E+FW/Ov,607,7,27
Gallade (Shadow) PC+CC/LB,427,2,0
Latias DB+AuS/MsB,240,38,0
Aurorus (Shadow) PS+WBI/MeB,356,29,0
Kecleon SkP+TP/DyP,500,21,0
Rufflet Pk+BrB/Fl,355,38,0
Dodrio Pk+DrlP/BrB,454,29,0
Oinkologne MSl+BS/TBl,487,3,0
Solrock Psy+WBF/RS,213,20,0
Wormadam (Trash) SkP+BBu/IH,837,2,85
Dragonite (Shadow) DB+TP/SP,305,15,0
Vespiquen FC+XS/PG,523,3,6
Gogoat VW+LB/RS,742,29,61
Grimmsnarl SkP+FoP/PR,390,29,0
Mightyena (Shadow) SkP+Cr/PF,439,29,0
Nidoqueen MSl+EP/PF,341,38,0
Swanna (Shadow) G+AJ/Fl,358,24,0
Dewgong (Shadow) IS+IW/DR,559,39,15
Machoke (Shadow) KC+CrC/DyP,503,6,1
Swanna G+AJ/Fl,320,24,0
Cetoddle PS+Av/BS,734,3,59
Coalossal FS+RS/FmC,464,20,0
Primarina W+DV/HC,312,33,0
Raichu TS+WC/TBl,377,11,0
Arctibax DB+Av/DC,344,38,0
Claydol MSl+RT/SB,396,21,0
Drampa DB+Sw/DgP,365,24,0
Gliscor WA+ST/Acr,567,12,17
Mawile FW+VG/IH,750,20,63
Amoonguss (Shadow) A+GK/FoP,742,38,61
Bellossom Ac+LB/DG,678,3,45
Klang MSo+VG/Tb,698,3,50
Lunatone Psy+WBI/RS,213,20,0
Marowak (Alolan) (Shadow) FS+SBo/BC,408,29,0
Ledian (Shadow) RO+DyP/Acr,466,38,0
Machamp KC+CrC/RS,527,15,7
Starmie Psy+AJ/PG,235,20,0
Ampharos VS+BrS/TBl,599,3,25
Poliwrath (Shadow) MS+IW/DyP,503,2,1
Qwilfish (Hisuian) PSt+AT/SB,400,38,0
Throh LK+BkB/BS,662,7,41
Amaura (Shadow) PS+WBI/Tb,615,3,29
Marowak (Alolan) FS+BC/SBo,412,24,0
Gallade PC+CC/LB,442,29,0
