Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,191,37,0
Lickilicky RO+BS/SB,418,16,0
Tinkaton FW+GH/Bd,329,16,0
Altaria DB+SA/Ft,402,32,0
Empoleon MSo+HC/DrlP,503,36,1
Altaria (Shadow) DB+SA/Ft,427,32,0
Empoleon (Shadow) MSo+HC/DrlP,500,16,0
Quagsire (Shadow) MS+AT/MB,654,2,42
Quagsire MS+AT/MB,632,2,36
Jellicent H+S/SB,346,12,0
Forretress VS+ST/RT,226,32,0
Ninetales E+WBF/EB,222,38,0
Ninetales (Shadow) E+WBF/EB,222,38,0
Feraligatr SC+HC/IB,735,2,64
Forretress (Shadow) VS+ST/RT,218,33,0
Corsola (Galarian) A+NSh/PG,323,36,0
Jumpluff FW+EB/Acr,307,0,0
Clodsire PSt+Eq/SE,544,1,12
Corviknight SdA+AC/Pbk,323,12,0
Fearow Pk+DrlP/DR,632,2,36
Azumarill B+IB/PR,460,36,0
Feraligatr (Shadow) SC+HC/IB,683,2,50
Kingdra DB+S/Sw,262,40,0
Guzzlord DT+BrS/SlB,547,2,13
Lapras Psy+SpA/IB,413,16,0
Corviknight (Shadow) SdA+AC/Pbk,363,12,0
Furret SkP+Sw/TBl,683,2,50
Kingdra (Shadow) DB+S/Sw,364,42,0
Dragonair (Shadow) DB+Wr/AT,374,42,0
Sableye (Shadow) SC+FoP/DrP,632,2,36
Seismitoad MS+EP/IW,438,21,0
Umbreon Sn+FoP/LR,647,24,40
Medicham PC+IP/DyP,304,1,0
Talonflame I+Fl/BrB,772,3,74
Dragonair DB+AT/DgP,580,2,22
Oinkologne (Female) MSl+BS/TBl,698,9,54
Sliggoo DB+BS/DgP,398,4,0
Sealeo PS+S/BS,470,28,0
Greedent MS+BS/TBl,540,16,11
Sealeo (Shadow) PS+S/BS,497,28,0
Diggersby MS+FiP/ScS,551,1,14
Dusclops H+IP/ShP,356,16,0
Grumpig Psy+DyP/SB,683,3,50
Cradily Ac+RT/GK,493,37,0
Florges FW+CW/DV,786,2,78
Lapras (Shadow) Psy+SpA/IB,438,16,0
Sableye SC+FoP/PG,683,2,50
Wigglytuff Ch+IW/Sw,497,32,0
Dusclops (Shadow) H+IP/ShP,393,16,0
Moltres (Galarian) SkP+Fl/BrB,555,2,15
Blastoise RO+HC/SkB,426,24,0
Clefable FW+M/MM,482,16,0
Mantine WA+Tw/WP,280,24,0
Talonflame (Shadow) I+FmC/Fl,694,2,53
Mandibuzz Sn+FoP/SB,385,40,0
Dewgong IS+IW/DR,562,4,17
Gastrodon MSl+BS/EP,661,2,44
Malamar Psy+SP/FoP,738,22,65
Steelix (Shadow) TF+PsF/Cr,190,22,0
Drapion (Shadow) PSt+Cr/AT,351,38,0
Ninetales (Alolan) PS+WBI/CW,632,8,36
Charjabug VS+XS/D,214,29,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,786,2,78
Swampert MS+HC/Eq,838,2,92
Aegislash (Shield) PC+SB/GB,849,34,95
Bastiodon SD+SE/Ft,636,0,37
Marowak (Shadow) MSl+BC/RS,595,3,26
Swampert (Shadow) MS+HC/Eq,786,3,78
Stunfisk (Galarian) MS+RS/Eq,621,25,33
Registeel LO+FC/FB,496,0,0
Stunfisk TS+MB/D,174,41,0
Dusknoir (Shadow) A+DyP/ShP,529,2,8
Hydreigon (Shadow) DB+BrS/Fl,654,22,42
Dunsparce RO+DR/RS,584,28,23
Jumpluff (Shadow) FW+EB/Acr,330,0,0
Malamar (Shadow) Psy+FoP/SP,705,10,56
Pelipper WA+WBW/Hu,473,16,0
Melmetal TS+DbI/DyP,191,33,0
Seaking Pk+DR/IW,716,10,59
Turtonator I+BrS/DC,750,5,68
Dondozo W+S/O,683,5,50
Gourgeist (Large) I+SB/SeB,405,0,0
Milotic W+AT/Wr,427,24,0
Morpeko (Full Belly) TS+AuW/PsF,650,22,41
Oranguru Cf+BrS/TBl,632,3,36
Gourgeist (Average) I+SB/SeB,421,0,0
Gourgeist (Super) I+SB/SeB,387,0,0
Hydreigon DB+BrS/Fl,595,38,26
Shelgon DB+Tw/Ft,672,2,47
Samurott FC+HC/Mh,672,2,47
Shelgon (Shadow) DB+Tw/Ft,566,7,18
Doublade SC+SSw/GB,424,0,0
Drapion PSt+Cr/AT,687,2,51
Morgrem SkP+FoP/PR,555,2,15
Castform (Sunny) E+WBF/SoB,716,2,59
Dusknoir A+DyP/ShP,450,12,0
Gourgeist (Small) I+SB/SeB,443,0,0
Crustle FC+XS/RW,683,3,50
Spidops SC+Lu/RT,416,16,0
Toxapex PJ+Bri/SW,385,12,0
Aromatisse FW+Psh/M,451,8,0
Milotic (Shadow) W+AT/Wr,727,2,62
Miltank RO+BS/Tb,406,0,0
Carbink RTh+RS/M,533,0,9
Golisopod FC+XS/AJ,462,0,0
Ludicolo A+WBW/EB,661,7,44
Primeape (Shadow) KC+RF/IP,245,30,0
Aurorus PS+WBI/MeB,786,2,78
Crustle (Shadow) FC+XS/RW,580,3,22
Gligar WA+NS/Dg,735,2,64
Politoed (Shadow) MS+WBW/IB,691,2,52
Togekiss Pk+Psh/AuS,417,0,0
Grumpig (Shadow) Psy+DyP/SB,584,3,23
Lumineon G+AT/SvW,405,24,0
Sylveon FW+Psh/SB,488,5,0
Noctowl WA+SB/Re,431,32,0
Toucannon Pk+BBl/DrlP,632,2,36
Toucannon (Shadow) Pk+BBl/DrlP,580,2,22
Walrein PS+ISp/Eq,727,24,62
Gligar (Shadow) WA+NS/Dg,683,2,50
Sandslash (Alolan) PS+IP/DR,562,13,17
Thievul SkP+NS/PR,580,3,22
Hippowdon SdA+WBR/EP,794,3,80
Lickitung L+BS/PW,389,40,0
Weezing (Galarian) (Shadow) FW+Sl/BrS,125,28,0
Araquanid BBi+WP/BuB,312,12,0
Cresselia PC+GK/M,481,16,0
Greninja (Shadow) WSh+HC/NS,863,22,99
Swalot MS+Sl/IB,415,28,0
Murkrow (Shadow) Pk+DrlP/FoP,580,3,22
Regidrago DB+DrE/VG,419,0,0
Goodra DB+AT/TP,256,36,0
Linoone SC+Sw/GK,735,2,64
Bellibolt TS+ZC/PbC,425,21,0
Pachirisu VS+HF/TP,411,8,0
Sandslash (Alolan) (Shadow) PS+IP/DR,735,2,64
Steelix TF+PsF/Cr,119,32,0
Zweilous DB+BS/DP,694,3,53
Kommo-o DT+ClS/UH,466,10,0
Lanturn WG+S/Tb,683,0,50
Spiritomb SkP+RT/SB,555,2,15
Araquanid (Shadow) BBi+BuB/WP,334,12,0
Giratina (Altered) (Shadow) DB+DC/SS,396,32,0
Qwilfish (Shadow) PSt+AT/SB,235,37,0
Annihilape LK+RF/IP,110,36,0
Diggersby (Shadow) MS+ScS/FiP,838,2,92
Klefki A+FoP/PR,414,24,0
Ledian RO+DyP/Acr,328,24,0
Marowak MSl+BC/RS,661,2,44
Walrein (Shadow) PS+ISp/Eq,588,12,24
Zweilous (Shadow) DB+BS/DP,595,38,26
Dragalge Ac+AT/O,464,16,0
Dudunsparce RO+BS/DR,599,2,27
Hakamo-o DT+BkB/RT,399,0,0
Pidgeot G+AC/BrB,478,18,0
Samurott (Shadow) FC+HC/Mh,672,2,47
Abomasnow (Shadow) PS+WBI/EB,753,38,69
Metang (Shadow) FC+Psh/GB,672,2,47
Politoed MS+WBW/IB,691,13,52
Dubwool DK+BS/Pbk,484,12,0
Gyarados DB+AT/Tw,247,36,0
Abomasnow PS+WBI/EB,786,3,78
Annihilape (Shadow) C+RF/IP,192,34,0
Hippowdon (Shadow) SdA+WBR/EP,694,3,53
Amoonguss A+FoP/GK,446,24,0
Charjabug (Shadow) VS+XS/D,234,6,0
Metang FC+Psh/GB,453,0,0
Poliwrath MS+IW/DyP,419,24,0
Bronzong Cf+WBW/Pbk,495,13,0
Emolga TS+Acr/D,632,2,36
Raikou TS+WC/AuS,632,3,36
Weezing (Galarian) FW+Sl/BrS,400,12,0
Castform H+WBR/EB,294,42,0
Castform (Rainy) WG+WBW/T,735,16,64
Dartrix Pk+BrB/EB,480,16,0
Dewott FC+AT/XS,298,41,0
Gyarados (Shadow) DB+AT/Tw,239,37,0
Orthworm MSl+RT/Eq,580,0,22
Rapidash (Shadow) I+DR/WC,698,3,54
Blastoise (Shadow) RO+HC/SkB,761,2,71
Tentacruel Ac+Sc/Pbk,431,32,0
Articuno PS+IW/Hu,376,32,0
Dewott (Shadow) FC+AT/XS,536,7,10
Primeape KC+RF/IP,224,30,0
Greninja WSh+HC/NS,647,38,40
Pangoro KC+CC/NS,338,38,0
Cradily (Shadow) Ac+RT/GK,735,2,64
Cetitan PS+ISp/SP,786,2,78
Electrode (Hisuian) TS+WC/EB,632,3,36
Machamp (Shadow) KC+CrC/RS,229,30,0
Qwilfish PSt+AT/SB,243,36,0
Torkoal E+FW/Ov,838,2,92
Gallade (Shadow) PC+CC/LB,394,30,0
Latias DB+AuS/MsB,683,3,50
Aurorus (Shadow) PS+WBI/MeB,786,3,78
Kecleon SkP+TP/DyP,683,2,50
Rufflet Pk+BrB/Fl,639,13,38
Dodrio Pk+DrlP/BrB,632,2,36
Oinkologne MSl+BS/TBl,694,2,53
Solrock Psy+WBF/RS,694,3,53
Wormadam (Trash) SkP+BBu/IH,533,1,9
Dragonite (Shadow) DB+TP/SP,566,2,18
Vespiquen FC+XS/PG,446,0,0
Gogoat VW+LB/RS,580,3,22
Grimmsnarl SkP+FoP/PR,529,3,8
Mightyena (Shadow) SkP+Cr/PF,514,30,4
Nidoqueen MSl+EP/PF,617,2,32
Swanna (Shadow) G+AJ/Fl,201,24,0
Dewgong (Shadow) IS+IW/DR,455,36,0
Machoke (Shadow) KC+CrC/DyP,199,30,0
Swanna G+AJ/Fl,417,0,0
Cetoddle PS+Av/BS,786,2,78
Coalossal FS+RS/FmC,757,2,70
Primarina W+DV/HC,709,12,57
Raichu TS+WC/TBl,566,3,18
Arctibax DB+Av/DC,617,12,32
Claydol MSl+RT/SB,665,2,45
Drampa DB+Sw/DgP,360,38,0
Gliscor WA+ST/Acr,702,2,55
Mawile FW+VG/IH,445,28,0
Amoonguss (Shadow) A+GK/FoP,471,24,0
Bellossom Ac+LB/DG,735,3,64
Klang MSo+VG/Tb,625,12,34
Lunatone Psy+WBI/RS,694,3,53
Marowak (Alolan) (Shadow) FS+SBo/BC,761,2,71
Ledian (Shadow) RO+DyP/Acr,473,12,0
Machamp KC+CrC/RS,225,38,0
Starmie Psy+AJ/PG,625,30,34
Ampharos VS+BrS/TBl,275,22,0
Poliwrath (Shadow) MS+IW/DyP,346,0,0
Qwilfish (Hisuian) PSt+AT/SB,694,3,53
Throh LK+BkB/BS,400,0,0
Amaura (Shadow) PS+WBI/Tb,786,3,78
Marowak (Alolan) FS+BC/SBo,496,24,0
Gallade PC+CC/LB,370,30,0
Latias (Shadow) DB+AuS/MsB,639,26,38
Registeel (Shadow) LO+FC/FB,617,0,32
Tinkatuff FW+PR/FC,342,40,0
Toedscruel MSl+SeB/EP,661,2,44
Hippopotas SdA+RT/BS,636,2,37
Hypno Cf+SB/TP,658,2,43
Blaziken E+AuS/BB,838,3,92
Murkrow Pk+DrlP/FoP,632,3,36
Bastiodon (Shadow) SD+SE/Ft,533,0,9
Samurott (Hisuian) FC+SSw/IW,716,30,59
Venusaur VW+FP/Sl,580,2,22
Cofagrigus SC+SB/Re,408,32,0
Rapidash I+DR/WC,753,3,69
Trumbeak (Shadow) Pk+DrlP/RB,580,2,22
