Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mimikyu SC+SS/PR,364,24,0
Lickilicky RO+BS/SB,576,30,19
Tinkaton FW+GH/Bd,414,18,0
Altaria DB+SA/Ft,792,100,73
Empoleon MSo+HC/DrlP,217,8,0
Altaria (Shadow) DB+SA/Ft,796,100,74
Empoleon (Shadow) MSo+HC/DrlP,192,40,0
Quagsire (Shadow) MS+AT/MB,248,24,0
Quagsire MS+AT/MB,239,40,0
Jellicent H+S/SB,179,44,0
Forretress VS+ST/RT,289,8,0
Ninetales E+WBF/EB,150,16,0
Ninetales (Shadow) E+WBF/EB,198,16,0
Feraligatr SC+HC/IB,316,8,0
Forretress (Shadow) VS+ST/RT,304,8,0
Corsola (Galarian) A+NSh/PG,600,0,25
Jumpluff FW+EB/Acr,872,0,93
Clodsire PSt+Eq/SE,919,16,105
Corviknight SdA+AC/Pbk,413,8,0
Fearow Pk+DrlP/DR,848,100,87
Azumarill B+IB/PR,508,16,2
Feraligatr (Shadow) SC+HC/IB,248,40,0
Kingdra DB+S/Sw,744,0,61
Guzzlord DT+BrS/SlB,683,0,46
Lapras Psy+SpA/IB,312,34,0
Corviknight (Shadow) SdA+AC/Pbk,440,8,0
Furret SkP+Sw/TBl,612,6,28
Kingdra (Shadow) DB+S/Sw,389,40,0
Dragonair (Shadow) DB+Wr/AT,800,100,75
Sableye (Shadow) SC+FoP/DrP,308,40,0
Seismitoad MS+EP/IW,366,0,0
Umbreon Sn+FoP/LR,544,6,11
Medicham PC+IP/DyP,205,32,0
Talonflame I+Fl/BrB,170,32,0
Dragonair DB+AT/DgP,624,100,31
Oinkologne (Female) MSl+BS/TBl,245,48,0
Sliggoo DB+BS/DgP,671,0,43
Sealeo PS+S/BS,336,34,0
Greedent MS+BS/TBl,415,32,0
Sealeo (Shadow) PS+S/BS,431,26,0
Diggersby MS+FiP/ScS,512,8,3
Dusclops H+IP/ShP,388,24,0
Grumpig Psy+DyP/SB,720,6,55
Cradily Ac+RT/GK,856,6,89
Florges FW+CW/DV,720,6,55
Lapras (Shadow) Psy+SpA/IB,148,36,0
Sableye SC+FoP/PG,500,8,0
Wigglytuff Ch+IW/Sw,728,6,57
Dusclops (Shadow) H+IP/ShP,568,6,17
Moltres (Galarian) SkP+Fl/BrB,612,0,28
Blastoise RO+HC/SkB,365,20,0
Clefable FW+M/MM,636,6,34
Mantine WA+Tw/WP,632,0,33
Talonflame (Shadow) I+FmC/Fl,114,0,0
