Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lickilicky RO+BS/SB,609,1,27
Tinkaton FW+GH/Bd,131,30,0
Altaria DB+SA/Ft,427,36,0
Empoleon MSo+HC/DrlP,254,40,0
Mimikyu SC+SS/PR,191,2,0
Altaria (Shadow) DB+SA/Ft,427,36,0
Empoleon (Shadow) MSo+HC/DrlP,254,40,0
Quagsire (Shadow) MS+AT/MB,577,0,19
Quagsire MS+AT/MB,601,12,25
Jellicent H+S/SB,496,12,0
Forretress VS+ST/RT,666,1,41
Ninetales E+WBF/EB,752,0,62
Ninetales (Shadow) E+WBF/EB,654,0,38
Feraligatr SC+HC/IB,520,0,5
Forretress (Shadow) VS+ST/RT,743,1,60
Corsola (Galarian) A+NSh/PG,536,0,9
Jumpluff FW+EB/Acr,470,1,0
Clodsire PSt+Eq/SE,430,40,0
Corviknight SdA+AC/Pbk,233,56,0
Fearow Pk+DrlP/DR,370,40,0
Azumarill B+IB/PR,212,15,0
Feraligatr (Shadow) SC+HC/IB,368,40,0
Kingdra DB+S/Sw,552,100,13
Guzzlord DT+BrS/SlB,373,32,0
Lapras Psy+SpA/IB,491,13,0
Corviknight (Shadow) SdA+AC/Pbk,233,56,0
Furret SkP+Sw/TBl,487,0,0
Kingdra (Shadow) DB+S/Sw,548,96,12
Dragonair (Shadow) DB+Wr/AT,437,48,0
Medicham PC+IP/DyP,548,0,12
Sableye (Shadow) SC+FoP/DrP,626,0,31
Seismitoad MS+EP/IW,448,32,0
Umbreon Sn+FoP/LR,650,0,37
Talonflame I+Fl/BrB,747,0,61
Dragonair DB+AT/DgP,601,100,25
Oinkologne (Female) MSl+BS/TBl,516,1,4
Sliggoo DB+BS/DgP,468,100,0
Sealeo PS+S/BS,264,36,0
Greedent MS+BS/TBl,528,13,7
Sealeo (Shadow) PS+S/BS,315,24,0
Thievul SkP+NS/IW,565,0,16
Diggersby MS+FiP/ScS,621,25,30
Dusclops H+IP/ShP,495,1,0
Grumpig Psy+DyP/SB,613,0,28
Florges FW+CW/DV,150,14,0
Lapras (Shadow) Psy+SpA/IB,613,0,28
Sableye SC+FoP/PG,686,0,46
Wigglytuff Ch+IW/Sw,116,5,0
Cradily Ac+RT/GK,430,32,0
Dusclops (Shadow) H+IP/ShP,287,40,0
Mantine WA+Tw/WP,425,0,0
Moltres (Galarian) SkP+Fl/BrB,565,0,16
Blastoise RO+HC/SkB,788,0,71
Clefable FW+M/MM,217,29,0
Talonflame (Shadow) I+FmC/Fl,662,0,40
Mandibuzz Sn+FoP/SB,362,40,0
Dewgong IS+IW/DR,401,32,0
Gastrodon MSl+BS/EP,497,12,0
Malamar Psy+SP/FoP,626,0,31
Steelix (Shadow) TF+PsF/Cr,670,1,42
Charjabug VS+XS/D,792,0,72
Drapion (Shadow) PSt+Cr/AT,377,36,0
Ninetales (Alolan) PS+WBI/CW,124,36,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,120,32,0
Swampert MS+HC/Eq,642,0,35
Aegislash (Shield) PC+SB/GB,825,34,80
Bastiodon SD+SE/Ft,435,16,0
Marowak (Shadow) MSl+BC/RS,585,0,21
Swampert (Shadow) MS+HC/Eq,609,0,27
Stunfisk (Galarian) MS+RS/Eq,666,21,41
Registeel LO+FC/FB,170,58,0
Stunfisk TS+MB/D,658,17,39
Dusknoir (Shadow) A+DyP/ShP,504,0,1
Hydreigon (Shadow) DB+BrS/Fl,532,40,8
Malamar (Shadow) Psy+FoP/SP,626,0,31
Dunsparce RO+DR/RS,552,21,13
Jumpluff (Shadow) FW+EB/Acr,508,12,2
Pelipper WA+WBW/Hu,560,0,15
Melmetal TS+DbI/DyP,609,1,27
Seaking Pk+DR/IW,492,16,0
Turtonator I+BrS/DC,788,100,71
Dondozo W+S/O,707,44,51
Milotic W+AT/Wr,727,0,56
Morpeko (Full Belly) TS+AuW/PsF,650,0,37
Oranguru Cf+BrS/TBl,650,0,37
Gourgeist (Large) I+SB/SeB,796,0,73
Gourgeist (Super) I+SB/SeB,796,0,73
Hydreigon DB+BrS/Fl,528,52,7
Shelgon DB+Tw/Ft,500,24,0
Gourgeist (Average) I+SB/SeB,686,12,46
Samurott FC+HC/Mh,338,40,0
Shelgon (Shadow) DB+Tw/Ft,500,20,0
Doublade SC+SSw/GB,301,44,0
Drapion PSt+Cr/AT,524,0,6
Morgrem SkP+FoP/PR,316,8,0
Castform (Sunny) E+WBF/SoB,756,0,63
Dusknoir A+DyP/ShP,585,0,21
Gourgeist (Small) I+SB/SeB,796,0,73
Crustle FC+XS/RW,626,0,31
Spidops SC+Lu/RT,715,1,53
Toxapex PJ+Bri/SW,565,0,16
Aromatisse FW+Psh/M,217,37,0
Milotic (Shadow) W+AT/Wr,707,0,51
Miltank RO+BS/Tb,613,12,28
Carbink RTh+RS/M,265,23,0
Golisopod FC+XS/AJ,425,40,0
Ludicolo A+WBW/EB,666,0,41
Crustle (Shadow) FC+XS/RW,626,0,31
Primeape (Shadow) KC+RF/IP,435,45,0
Aurorus PS+WBI/MeB,271,36,0
Gligar WA+NS/Dg,473,9,0
Politoed (Shadow) MS+WBW/IB,320,36,0
Togekiss Pk+Psh/AuS,143,14,0
Grumpig (Shadow) Psy+DyP/SB,613,0,28
Lumineon G+AT/SvW,707,0,51
Sylveon FW+Psh/SB,126,14,0
Noctowl WA+SB/Re,699,5,49
Toucannon Pk+BBl/DrlP,373,40,0
Toucannon (Shadow) Pk+BBl/DrlP,593,100,23
Walrein PS+ISp/Eq,298,40,0
Gligar (Shadow) WA+NS/Dg,540,0,10
Sandslash (Alolan) PS+IP/DR,248,40,0
Greninja (Shadow) WSh+HC/NS,605,100,26
Hippowdon SdA+WBR/EP,589,0,22
Lickitung L+BS/PW,516,0,4
Weezing (Galarian) (Shadow) FW+Sl/BrS,125,57,0
Araquanid BBi+WP/BuB,397,40,0
Cresselia PC+GK/M,362,24,0
Swalot MS+Sl/IB,650,13,37
Murkrow (Shadow) Pk+DrlP/FoP,650,100,37
Regidrago DB+DrE/VG,524,100,6
Goodra DB+AT/TP,552,100,13
Linoone SC+Sw/GK,577,4,19
Pachirisu VS+HF/TP,585,0,21
Bellibolt TS+ZC/PbC,540,0,10
Sandslash (Alolan) (Shadow) PS+IP/DR,216,24,0
Steelix TF+PsF/Cr,448,27,0
Zweilous DB+BS/DP,569,100,17
Kommo-o DT+ClS/UH,601,100,25
Lanturn WG+S/Tb,650,0,37
Spiritomb SkP+RT/SB,495,1,0
Araquanid (Shadow) BBi+BuB/WP,227,40,0
Giratina (Altered) (Shadow) DB+DC/SS,493,24,0
Qwilfish (Shadow) PSt+AT/SB,475,60,0
Annihilape LK+RF/IP,317,36,0
Diggersby (Shadow) MS+ScS/FiP,524,13,6
Klefki A+FoP/PR,634,1,33
Ledian RO+DyP/Acr,609,1,27
Marowak MSl+BC/RS,280,56,0
Walrein (Shadow) PS+ISp/Eq,344,24,0
Zweilous (Shadow) DB+BS/DP,548,96,12
Dragalge Ac+AT/O,727,100,56
Dudunsparce RO+BS/DR,597,12,24
Hakamo-o DT+BkB/RT,504,100,1
Pidgeot G+AC/BrB,621,0,30
Samurott (Shadow) FC+HC/Mh,448,40,0
Abomasnow (Shadow) PS+WBI/EB,370,24,0
Dubwool DK+BS/Pbk,626,0,31
Metang (Shadow) FC+Psh/GB,248,44,0
Politoed MS+WBW/IB,504,0,1
Gyarados DB+AT/Tw,355,32,0
Abomasnow PS+WBI/EB,311,36,0
Annihilape (Shadow) C+RF/IP,407,32,0
Charjabug (Shadow) VS+XS/D,764,0,65
Hippowdon (Shadow) SdA+WBR/EP,560,0,15
Poliwrath MS+IW/DyP,548,0,12
Amoonguss A+FoP/GK,634,1,33
Metang FC+Psh/GB,271,56,0
Bronzong Cf+WBW/Pbk,508,1,2
Emolga TS+Acr/D,368,40,0
Raikou TS+WC/AuS,573,0,18
Weezing (Galarian) FW+Sl/BrS,129,2,0
Castform H+WBR/EB,638,0,34
Dartrix Pk+BrB/EB,666,4,41
Dewott FC+AT/XS,298,36,0
Gyarados (Shadow) DB+AT/Tw,384,52,0
Orthworm MSl+RT/Eq,459,30,0
Rapidash (Shadow) I+DR/WC,707,100,51
Blastoise (Shadow) RO+HC/SkB,747,0,61
Castform (Rainy) WG+WBW/T,739,0,59
Tentacruel Ac+Sc/Pbk,686,0,46
Articuno PS+IW/Hu,428,0,0
Dewott (Shadow) FC+AT/XS,404,36,0
Primeape KC+RF/IP,331,20,0
Greninja WSh+HC/NS,642,0,35
Pangoro KC+CC/NS,413,28,0
Cetitan PS+ISp/SP,504,0,1
Cradily (Shadow) Ac+RT/GK,454,32,0
Machamp (Shadow) KC+CrC/RS,407,45,0
Electrode (Hisuian) TS+WC/EB,808,0,76
Qwilfish PSt+AT/SB,361,36,0
Torkoal E+FW/Ov,682,44,45
Latias DB+AuS/MsB,589,100,22
Gallade (Shadow) PC+CC/LB,399,28,0
Aurorus (Shadow) PS+WBI/MeB,347,32,0
Kecleon SkP+TP/DyP,626,0,31
Rufflet Pk+BrB/Fl,686,0,46
Dodrio Pk+DrlP/BrB,418,40,0
Solrock Psy+WBF/RS,317,40,0
Wormadam (Trash) SkP+BBu/IH,646,1,36
Dragonite (Shadow) DB+TP/SP,560,76,15
Oinkologne MSl+BS/TBl,666,0,41
Swanna (Shadow) G+AJ/Fl,455,40,0
Vespiquen FC+XS/PG,626,0,31
Gogoat VW+LB/RS,666,0,41
Grimmsnarl SkP+FoP/PR,233,40,0
Machoke (Shadow) KC+CrC/DyP,384,28,0
Mightyena (Shadow) SkP+Cr/PF,428,32,0
Nidoqueen MSl+EP/PF,577,0,19
Dewgong (Shadow) IS+IW/DR,410,0,0
Primarina W+DV/HC,357,21,0
Swanna G+AJ/Fl,540,0,10
Cetoddle PS+Av/BS,276,36,0
Coalossal FS+RS/FmC,695,36,48
Raichu TS+WC/TBl,403,40,0
Arctibax DB+Av/DC,524,100,6
Claydol MSl+RT/SB,536,0,9
Drampa DB+Sw/DgP,552,92,13
Mawile FW+VG/IH,130,36,0
Amoonguss (Shadow) A+GK/FoP,626,0,31
Bellossom Ac+LB/DG,613,0,28
Gliscor WA+ST/Acr,478,4,0
Klang MSo+VG/Tb,536,1,9
Lunatone Psy+WBI/RS,296,32,0
Marowak (Alolan) (Shadow) FS+SBo/BC,747,0,61
Ledian (Shadow) RO+DyP/Acr,788,0,71
Machamp KC+CrC/RS,334,28,0
Starmie Psy+AJ/PG,442,40,0
Amaura (Shadow) PS+WBI/Tb,321,24,0
Ampharos VS+BrS/TBl,605,0,26
Poliwrath (Shadow) MS+IW/DyP,467,0,0
Qwilfish (Hisuian) PSt+AT/SB,367,36,0
Throh LK+BkB/BS,479,12,0
Marowak (Alolan) FS+BC/SBo,500,36,0
Gallade PC+CC/LB,399,28,0
Latias (Shadow) DB+AuS/MsB,589,84,22
Tinkatuff FW+PR/FC,144,54,0
Toedscruel MSl+SeB/EP,666,0,41
Hippopotas SdA+RT/BS,605,0,26
Hypno Cf+SB/TP,634,12,33
Registeel (Shadow) LO+FC/FB,849,1,86
Blaziken E+AuS/BB,821,100,79
Venusaur VW+FP/Sl,808,0,76
Bastiodon (Shadow) SD+SE/Ft,316,39,0
Murkrow Pk+DrlP/FoP,451,40,0
Samurott (Hisuian) FC+SSw/IW,325,32,0
Cofagrigus SC+SB/Re,646,12,36
Rapidash I+DR/WC,512,0,3
Trumbeak (Shadow) Pk+DrlP/RB,462,40,0
Wartortle WG+AJ/IB,739,0,59
Castform (Snowy) PS+WBI/Bl,304,36,0
Skuntank PJ+Cr/TBl,577,0,19
Ursaring (Shadow) SC+Sw/CC,464,45,0
Urshifu (Single Strike) SkP+BkB/DyP,355,32,0
Hypno (Shadow) Cf+TP/IP,593,0,23
Nidoqueen (Shadow) MSl+EP/PF,330,40,0
Victreebel (Shadow) Ac+LB/SlB,450,36,0
Golbat WA+PF/SB,686,0,46
Blaziken (Shadow) E+AuS/BB,491,60,0
Munchlax Tk+BS/Bd,405,20,0
Piloswine PS+ISp/SE,504,0,1
Trumbeak Pk+DrlP/RB,455,40,0
Drifblim H+IW/SB,306,56,0
Kingambit MSo+FoP/IH,250,40,0
Overqwil PSt+AT/SB,364,36,0
Raikou (Shadow) TS+WC/AuS,833,100,82
Runerigus SC+SB/RT,495,17,0
Slurpuff FW+PR/EB,133,30,0
Togetic FW+HW/DG,150,30,0
Uxie Cf+Sw/T,454,1,0
Ampharos (Shadow) VS+BrS/TBl,703,0,50
Magcargo E+RT/Ov,605,0,26
Spinda SkP+RT/IW,646,1,36
Wailmer RO+Sc/BS,646,0,36
Bellossom (Shadow) Ac+LB/DG,524,0,6
Conkeldurr (Shadow) FPm+DyP/BrS,383,20,0
Dedenne TS+D/PR,342,8,0
Flamigo WA+UH/BrB,707,100,51
Mightyena SkP+Cr/PF,345,40,0
Noctowl (Shadow) WA+SA/SB,646,12,36
Palkia (Shadow) DB+AT/DM,609,68,27
Regirock LO+SE/FB,560,28,15
Scrafty C+FoP/UH,577,1,19
Snorlax (Shadow) L+BS/SP,613,0,28
Starmie (Shadow) Psy+AJ/PG,427,36,0
Pidgeot (Shadow) G+AC/BrB,565,0,16
Snorlax L+BS/SP,491,13,0
Victreebel Ac+LB/SlB,450,36,0
Conkeldurr FPm+DyP/BrS,504,0,1
Gliscor (Shadow) WA+ST/Acr,642,0,35
Palossand A+SB/ST,536,0,9
Tentacruel (Shadow) Ac+Sc/Pbk,626,0,31
Glalie RO+Av/SB,788,0,71
Mawile (Shadow) FW+VG/IH,130,36,0
Zeraora VS+PF/WC,626,0,31
Cresselia (Shadow) PC+GK/M,646,5,36
Throh (Shadow) LK+BkB/BS,345,36,0
Wailmer (Shadow) RO+Sc/BS,577,0,19
Jirachi Cf+DD/AuS,569,1,17
Lileep Ac+AP/GK,715,16,53
Whiscash MS+MB/Sc,573,32,18
Whiscash (Shadow) MS+MB/Sc,808,0,76
Amaura PS+WBI/Tb,269,36,0
