Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,715,63,43
Abomasnow (Shadow) PS+WBI/EB,835,54,67
Accelgor Ac+BBu/SiB,875,78,75
Accelgor (Shadow) Ac+BBu/SiB,845,66,69
Alomomola W+P/Bl,610,1,22
Amoonguss A+FoP/GK,307,41,0
Amoonguss (Shadow) A+FoP/GK,355,35,0
Annihilape LK+RF/CC,153,23,0
Annihilape (Shadow) LK+RF/CC,139,17,0
Anorith StB+AP/CP,784,69,57
Anorith (Shadow) StB+AP/CP,784,60,57
Appletun A+SeB/O,715,69,43
Arbok Ac+DP/SW,590,7,18
Arbok (Shadow) Ac+DP/SW,336,41,0
Arboliva ML+TBl/SeB,770,17,54
Ariados PSt+Lu/TBl,655,1,31
Armaldo FC+RB/Li,456,38,0
Armaldo (Shadow) FC+RB/Li,525,69,5
Azumarill B+IB/PR,379,22,0
Banette SC+SB/T,356,41,0
Banette (Shadow) SC+SB/T,473,41,0
Barbaracle FC+SE/CrC,421,32,0
Basculin WG+AT/AJ,635,78,27
Bayleef ML+AP/GK,860,1,72
Bayleef (Shadow) ML+AP/GK,855,72,71
Beautifly Inf+AC/SvW,605,1,21
Beedrill PSt+XS/DR,496,7,0
Beedrill (Shadow) PSt+XS/DR,540,1,8
Bellossom Ac+LB/DG,790,66,58
Bellossom (Shadow) Ac+LB/DG,905,57,81
Bibarel RO+S/HF,422,35,0
Bibarel (Shadow) RO+S/HF,463,69,0
Blastoise RO+HC/SkB,419,41,0
Blastoise (Shadow) RO+HC/SkB,342,26,0
Breloom FPm+DyP/GK,545,63,9
Brionne WG+AJ/DV,590,1,18
Bruxish Cf+Psh/PsF,804,51,61
Bulbasaur VW+PW/SlB,735,1,47
Bulbasaur (Shadow) VW+SlB/PW,885,72,77
Butterfree Cf+BBu/P,750,4,50
Butterfree (Shadow) Cf+BBu/P,679,1,36
Cacturne SkP+TBl/DP,800,30,60
Cacturne (Shadow) SkP+DP/TBl,800,24,60
Carnivine VW+Cr/PW,905,57,81
Carracosta RTh+AP/BS,505,1,1
Carracosta (Shadow) RTh+AP/BS,420,35,0
Castform (Rainy) WG+WBW/T,345,35,0
Centiskorch E+HW/Lu,235,23,0
Ceruledge I+SB/HW,132,42,0
Chandelure I+SB/FmC,107,30,0
Chandelure (Shadow) I+SB/FmC,107,30,0
Cherrim (Overcast) BS+DG/SoB,925,66,85
Cherrim (Sunshine) BS+WBF/SoB,461,60,0
Chesnaught VW+FP/TP,670,1,34
Chesnaught (Shadow) VW+FP/TP,635,1,27
Chespin VW+BS/SeB,905,60,81
Chespin (Shadow) VW+BS/SeB,915,51,83
Chinchou Sp+Tb/WP,715,1,43
Clamperl WG+BS/WP,505,81,1
Clauncher WG+AJ/Crbh,725,1,45
Clawitzer SD+Crbh/DP,640,84,28
Cloyster IS+Av/Li,770,1,54
Cloyster (Shadow) IS+Av/Li,725,1,45
Cofagrigus SC+SB/DP,252,41,0
Cofagrigus (Shadow) SC+SB/DP,252,41,0
Corphish B+AJ/RSh,491,69,0
Corphish (Shadow) B+AJ/RSh,725,60,45
