Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,676,100,43
Abomasnow (Shadow) PS+WBI/EB,700,80,49
Accelgor Ac+BBu/SiB,790,100,71
Accelgor (Shadow) Ac+BBu/SiB,831,80,81
Alomomola W+P/Bl,745,0,60
Amoonguss A+FoP/GK,540,0,10
Amoonguss (Shadow) A+FoP/GK,480,40,0
Annihilape LK+RF/CC,586,0,21
Annihilape (Shadow) LK+RF/CC,532,0,8
Anorith StB+AP/CP,663,0,40
Anorith (Shadow) StB+AP/CP,663,100,40
Appletun A+SeB/O,285,30,0
Arbok Ac+DP/SW,622,10,30
Arbok (Shadow) Ac+DP/SW,622,0,30
Arboliva ML+TBl/SeB,799,100,73
Ariados PSt+Lu/TBl,631,0,32
Armaldo FC+RB/Li,373,40,0
Armaldo (Shadow) FC+RB/Li,452,40,0
Azumarill B+IB/PR,545,0,11
Banette SC+SB/T,452,40,0
Banette (Shadow) SC+SB/T,434,100,0
Barbaracle FC+SE/CrC,300,0,0
Basculin WG+AT/AJ,696,10,48
Bayleef ML+AP/GK,811,20,76
Bayleef (Shadow) ML+AP/GK,786,100,70
Beautifly Inf+AC/SvW,848,100,85
Beedrill PSt+XS/DR,819,100,78
Beedrill (Shadow) PSt+XS/DR,811,100,76
Bellossom Ac+LB/DG,745,0,60
Bellossom (Shadow) Ac+LB/DG,795,100,72
Bibarel RO+S/HF,590,0,22
Bibarel (Shadow) RO+S/HF,581,40,20
Blastoise RO+HC/SkB,647,0,36
Blastoise (Shadow) RO+HC/SkB,606,10,26
Breloom FPm+DyP/GK,852,100,86
Brionne WG+AJ/DV,696,10,48
Bruxish Cf+Psh/PsF,264,30,0
Bulbasaur VW+PW/SlB,885,100,94
Bulbasaur (Shadow) VW+SlB/PW,848,100,85
Butterfree Cf+BBu/P,709,100,51
Butterfree (Shadow) Cf+BBu/P,750,100,61
Cacturne SkP+TBl/DP,483,30,0
Cacturne (Shadow) SkP+DP/TBl,569,30,17
Carnivine VW+Cr/PW,844,100,84
Carracosta RTh+AP/BS,454,10,0
Carracosta (Shadow) RTh+AP/BS,158,30,0
Castform (Rainy) WG+WBW/T,553,0,13
Centiskorch E+HW/Lu,319,40,0
Ceruledge I+SB/HW,174,40,0
Chandelure I+SB/FmC,204,0,0
