Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,634,4,46
Abomasnow (Shadow) PS+WBI/EB,555,4,19
Accelgor Ac+BBu/SiB,897,4,136
Accelgor (Shadow) Ac+BBu/SiB,325,49,0
Alomomola W+P/Bl,397,39,0
Amoonguss A+FoP/GK,616,34,40
Amoonguss (Shadow) A+FoP/GK,634,6,46
Annihilape LK+RF/CC,107,42,0
Annihilape (Shadow) LK+RF/CC,128,42,0
Anorith StB+AP/CP,780,4,96
Anorith (Shadow) StB+AP/CP,751,4,86
Appletun A+SeB/O,777,4,95
Arbok Ac+DP/SW,675,32,60
Arbok (Shadow) Ac+DP/SW,877,4,129
Arboliva ML+TBl/SeB,754,4,87
Ariados PSt+Lu/TBl,382,25,0
Armaldo FC+RB/Li,500,18,0
Armaldo (Shadow) FC+RB/Li,156,42,0
Azumarill B+IB/PR,619,13,41
Banette SC+SB/T,877,4,129
Banette (Shadow) SC+SB/T,213,49,0
Barbaracle FC+SE/CrC,386,4,0
Basculin WG+AT/AJ,244,49,0
Bayleef ML+AP/GK,695,6,67
Bayleef (Shadow) ML+AP/GK,868,4,126
Beautifly Inf+AC/SvW,675,4,60
Beedrill PSt+XS/DR,134,49,0
Beedrill (Shadow) PSt+XS/DR,115,35,0
Bellossom Ac+LB/DG,769,4,92
Bellossom (Shadow) Ac+LB/DG,719,4,75
Bibarel RO+S/HF,573,11,25
Bibarel (Shadow) RO+S/HF,508,4,3
Blastoise RO+HC/SkB,442,6,0
Blastoise (Shadow) RO+HC/SkB,529,11,10
Breloom FPm+DyP/GK,678,4,61
Brionne WG+AJ/DV,502,11,1
Bruxish Cf+Psh/PsF,678,4,61
Bulbasaur VW+PW/SlB,918,4,143
Bulbasaur (Shadow) VW+SlB/PW,897,4,136
Butterfree Cf+BBu/P,894,4,135
Butterfree (Shadow) Cf+BBu/P,877,4,129
Cacturne SkP+TBl/DP,646,4,50
Cacturne (Shadow) SkP+DP/TBl,795,49,101
Carnivine VW+Cr/PW,666,4,57
Carracosta RTh+AP/BS,400,11,0
Carracosta (Shadow) RTh+AP/BS,487,11,0
Castform (Rainy) WG+WBW/T,564,20,22
Centiskorch E+HW/Lu,587,4,30
Ceruledge I+SB/HW,736,4,81
Chandelure I+SB/FmC,710,4,72
Chandelure (Shadow) I+SB/FmC,649,4,51
Cherrim (Overcast) BS+DG/SoB,926,4,146
Cherrim (Sunshine) BS+WBF/SoB,748,4,85
Chesnaught VW+FP/TP,707,11,71
Chesnaught (Shadow) VW+FP/TP,684,4,63
Chespin VW+BS/SeB,777,4,95
Chespin (Shadow) VW+BS/SeB,728,4,78
Chinchou Sp+Tb/WP,859,6,123
Clamperl WG+BS/WP,780,4,96
Clauncher WG+AJ/Crbh,836,4,115
Clawitzer SD+Crbh/DP,795,4,101
Cloyster IS+Av/Li,446,4,0
Cloyster (Shadow) IS+Av/Li,795,4,101
Cofagrigus SC+SB/DP,660,11,55
Cofagrigus (Shadow) SC+SB/DP,877,4,129
Corphish B+AJ/RSh,570,4,24
Corphish (Shadow) B+AJ/RSh,282,42,0
Corsola B+PG/RB,391,39,0
Crawdaunt Sn+NS/Sc,552,4,18
Crawdaunt (Shadow) Sn+NS/Sc,275,42,0
Crobat AS+AC/CP,546,39,16
Crobat (Shadow) AS+AC/CP,573,11,25
Croconaw WG+IP/Cr,602,13,35
Croconaw (Shadow) WG+Cr/IP,795,4,101
Cursola A+NSh/PG,824,4,111
Dartrix Pk+BrB/SeB,736,4,81
Decidueye A+FP/BrB,839,4,116
Decidueye (Hisuian) PC+AuS/NSh,625,4,43
Deerling Tk+WC/TBl,824,4,111
Dewgong IS+IW/DR,359,18,0
Dewott FC+AT/XS,599,11,34
Dewott (Shadow) FC+AT/XS,535,4,12
Dhelmise SC+SB/BrS,599,4,34
Dipplin DT+SeB/O,733,4,80
Dolliv ML+TBl/SeB,777,4,95
Dondozo W+S/O,401,6,0
Dottler Cf+P/BBu,912,4,141
Doublade SC+SSw/GB,716,4,74
Dragapult DT+SB/O,795,4,101
Drakloak DT+SB/O,809,4,106
Drifblim A+IW/SB,853,4,121
Drifblim (Shadow) A+IW/SB,824,4,111
Drifloon H+SB/IW,710,4,72
Drifloon (Shadow) H+SB/IW,654,4,53
Drizzile WG+S/WP,780,4,96
Durant BBi+XS/SE,105,49,0
Dustox Cf+SlB/SvW,660,1,55
Dwebble SD+RT/XS,460,25,0
Dwebble (Shadow) SD+RT/XS,484,4,0
Eldegoss BS+GK/EB,748,11,85
Electrode (Hisuian) TS+WC/Sw,304,49,0
Escavalier BBi+DR/Mh,416,4,0
Escavalier (Shadow) BBi+DR/Mh,692,4,66
Exeggcute Cf+SeB/AP,783,4,97
Exeggcute (Shadow) Cf+SeB/AP,742,4,83
Exeggutor Cf+SeB/P,719,4,75
Exeggutor (Alolan) DT+DgP/SeB,690,4,65
Exeggutor (Alolan) (Shadow) DT+DgP/SeB,637,4,47
Exeggutor (Shadow) Cf+SeB/P,663,4,56
Feraligatr SC+HC/IB,584,11,29
Feraligatr (Shadow) SC+HC/IB,517,4,6
Ferroseed MC+GB/Re,529,1,10
Ferroseed (Shadow) MC+GB/IH,558,32,20
Ferrothorn BS+PW/T,611,1,38
Ferrothorn (Shadow) BS+PW/MrS,437,39,0
Flapple DB+Fl/SeB,502,4,1
Floatzel W+AJ/Sw,225,42,0
Floragato Lf+GK/PR,877,4,129
Frillish H+NSh/IB,777,4,95
Frogadier B+S/AA,824,4,111
Frogadier (Shadow) B+S/AA,795,4,101
Froslass PS+Av/SB,511,4,4
Froslass (Shadow) PS+Av/SB,138,42,0
Frosmoth PS+IW/BBu,795,4,101
Galvantula VS+D/Lu,552,4,18
Galvantula (Shadow) VS+D/Lu,270,42,0
Garbodor Inf+BS/SeB,492,39,0
Garbodor (Shadow) Inf+BS/SeB,672,11,59
Gastrodon MSl+BS/EP,366,18,0
Gengar SC+ShP/SlB,707,4,71
Gengar (Shadow) SC+ShP/SlB,543,4,15
Gholdengo A+SB/PG,839,4,116
Glimmet RTh+RS/SW,733,4,80
Glimmora RTh+RS/SW,482,11,0
Gloom Ac+SlB/PlB,704,6,70
Gloom (Shadow) Ac+SlB/PlB,877,4,129
Gogoat VW+LB/RS,675,4,60
Golbat WA+AC/SB,413,18,0
Golbat (Shadow) WA+AC/SB,496,18,0
Goldeen Pk+AT/HA,675,4,60
Golduck Cf+CrC/Li,713,11,73
Golduck (Shadow) Cf+CrC/Li,660,4,55
Golett A+ShP/BkB,725,4,77
Golett (Shadow) A+ShP/BkB,669,4,58
Golisopod SC+XS/AJ,622,11,42
Golurk A+ShP/DyP,725,4,77
Golurk (Shadow) A+ShP/DyP,672,4,59
Gorebyss Cf+WP/P,885,4,132
Gourgeist (Average) I+SB/FoP,751,4,86
Gourgeist (Large) I+SB/FoP,751,4,86
Gourgeist (Small) I+SB/FoP,751,4,86
Gourgeist (Super) I+SB/FoP,754,4,87
Grafaiai PJ+PF/SlB,710,11,72
Greninja WSh+NS/HC,495,4,0
Greninja (Shadow) WSh+NS/HC,217,35,0
Grimer MSl+Sl/MB,389,4,0
Grimer (Alolan) PJ+Cr/SlB,500,1,0
