Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,482,12,0
Abomasnow (Shadow) PS+WBI/EB,598,3,21
Accelgor Ac+BBu/SiB,752,3,54
Accelgor (Shadow) Ac+BBu/SiB,672,3,37
Alomomola W+P/Bl,247,39,0
Amoonguss A+FoP/GK,327,39,0
Amoonguss (Shadow) A+FoP/GK,341,12,0
Annihilape LK+RF/CC,556,4,12
Annihilape (Shadow) LK+RF/CC,425,12,0
Anorith StB+AP/CP,733,3,50
Anorith (Shadow) StB+AP/CP,696,3,42
Appletun A+SeB/O,447,30,0
Arbok Ac+DP/SW,672,4,37
Arbok (Shadow) Ac+DP/SW,593,39,20
Arboliva ML+TBl/SeB,841,3,73
Ariados PSt+Lu/TBl,421,31,0
Armaldo FC+RB/Li,757,3,55
Armaldo (Shadow) FC+RB/Li,640,3,30
Azumarill B+IB/PR,598,5,21
Banette SC+SB/T,532,12,7
Banette (Shadow) SC+SB/T,226,20,0
Barbaracle FC+SE/CrC,404,39,0
Basculin WG+AT/AJ,286,38,0
Bayleef ML+AP/GK,785,4,61
Bayleef (Shadow) ML+AP/GK,803,39,65
Beautifly Inf+AC/SvW,803,3,65
Beedrill PSt+XS/DR,365,12,0
Beedrill (Shadow) PSt+XS/DR,453,12,0
Bellossom Ac+LB/DG,649,4,32
Bellossom (Shadow) Ac+LB/DG,766,3,57
Bibarel RO+S/HF,528,4,6
Bibarel (Shadow) RO+S/HF,412,12,0
Blastoise RO+HC/SkB,338,30,0
Blastoise (Shadow) RO+HC/SkB,415,30,0
Breloom FPm+DyP/GK,799,100,64
Brionne WG+AJ/DV,518,4,4
Bruxish Cf+Psh/PsF,175,37,0
Bulbasaur VW+PW/SlB,831,4,71
Bulbasaur (Shadow) VW+SlB/PW,794,12,63
Butterfree Cf+BBu/P,169,2,0
Butterfree (Shadow) Cf+BBu/P,201,2,0
Cacturne SkP+TBl/DP,421,20,0
Cacturne (Shadow) SkP+DP/TBl,454,11,0
Carnivine VW+Cr/PW,878,3,81
Carracosta RTh+AP/BS,104,37,0
Carracosta (Shadow) RTh+AP/BS,91,28,0
Castform (Rainy) WG+WBW/T,383,39,0
Centiskorch E+HW/Lu,452,21,0
Ceruledge I+SB/HW,122,2,0
Chandelure I+SB/FmC,86,10,0
Chandelure (Shadow) I+SB/FmC,112,10,0
Cherrim (Overcast) BS+DG/SoB,906,21,87
Cherrim (Sunshine) BS+WBF/SoB,551,21,11
Chesnaught VW+FP/TP,850,21,75
Chesnaught (Shadow) VW+FP/TP,822,3,69
Chespin VW+BS/SeB,859,12,77
Chespin (Shadow) VW+BS/SeB,878,3,81
Chinchou Sp+Tb/WP,672,4,37
Clamperl WG+BS/WP,518,4,4
Clauncher WG+AJ/Crbh,518,4,4
Clawitzer SD+Crbh/DP,209,11,0
Cloyster IS+Av/Li,381,39,0
Cloyster (Shadow) IS+Av/Li,467,30,0
Cofagrigus SC+SB/DP,307,30,0
Cofagrigus (Shadow) SC+SB/DP,380,12,0
Corphish B+AJ/RSh,612,12,24
Corphish (Shadow) B+AJ/RSh,602,3,22
Corsola B+PG/RB,485,4,0
Crawdaunt Sn+NS/Sc,766,3,57
Crawdaunt (Shadow) Sn+NS/Sc,728,3,49
Crobat AS+AC/CP,135,29,0
Crobat (Shadow) AS+AC/CP,147,11,0
Croconaw WG+IP/Cr,518,4,4
Croconaw (Shadow) WG+Cr/IP,229,38,0
Cursola A+NSh/PG,184,29,0
Dartrix Pk+BrB/SeB,331,20,0
Decidueye A+FP/BrB,386,38,0
Decidueye (Hisuian) PC+AuS/NSh,654,3,33
Deerling Tk+WC/TBl,584,3,18
Dewgong IS+IW/DR,353,40,0
Dewott FC+AT/XS,345,12,0
Dewott (Shadow) FC+AT/XS,421,12,0
Dhelmise SC+SB/BrS,476,12,0
Dipplin DT+SeB/O,473,30,0
Dolliv ML+TBl/SeB,649,30,32
Dondozo W+S/O,296,30,0
Doublade SC+SSw/GB,268,21,0
Dragapult DT+SB/O,430,30,0
Drakloak DT+SB/O,352,30,0
Drifblim A+IW/SB,287,3,0
Drifblim (Shadow) A+IW/SB,133,29,0
Drifloon H+SB/IW,424,4,0
Drifloon (Shadow) H+SB/IW,579,4,17
Drizzile WG+S/WP,289,38,0
Durant BBi+XS/SE,405,39,0
Dustox Cf+SlB/SvW,133,38,0
Dwebble SD+RT/XS,114,11,0
Dwebble (Shadow) SD+RT/XS,129,37,0
Eldegoss BS+GK/EB,887,4,83
Electrode (Hisuian) TS+WC/Sw,542,12,9
Escavalier BBi+DR/Mh,384,39,0
Escavalier (Shadow) BBi+DR/Mh,120,38,0
Exeggcute Cf+SeB/AP,253,20,0
Exeggcute (Shadow) Cf+SeB/AP,260,2,0
Exeggutor Cf+SeB/P,244,28,0
Exeggutor (Alolan) DT+DgP/SeB,616,3,25
Exeggutor (Alolan) (Shadow) DT+DgP/SeB,542,3,9
Exeggutor (Shadow) Cf+SeB/P,297,28,0
