Pokemon,Battle Rating,Energy Remaining,HP Remaining
Accelgor Ac+BBu/SiB,282,49,0
Alakazam PC+SB/FiP,274,22,0
Ampharos VS+BrS/PG,189,38,0
Appletun A+O/DgP,183,5,0
Arbok Ac+DP/SW,225,49,0
Arboliva Tk+TBl/SeB,178,60,0
Ariados PSt+SS/Lu,382,5,0
Azelf Cf+Sw/FS,268,27,0
Banette SC+SB/DG,278,49,0
Bayleef ML+AP/GK,98,49,0
Beautifly Inf+AC/SvW,557,10,19
Beedrill PSt+XS/DR,165,22,0
Beheeyem Cf+RS/DP,303,60,0
Bellossom Ac+LB/DG,97,38,0
Boltund Sp+Cr/T,281,60,0
Braviary (Hisuian) AS+BrB/Fl,649,10,49
Breloom FPm+SlB/DyP,223,49,0
Bruxish Cf+Psh/PsF,141,38,0
Bulbasaur VW+SlB/PW,154,49,0
Butterfree BBi+BBu/SiB,512,5,4
Carnivine VW+Cr/PW,126,38,0
Celebi Cf+AuS/P,127,38,0
Cherrim (Overcast) BS+DG/HB,307,5,0
Cherrim (Sunshine) BS+WBF/DG,307,5,0
Chesnaught VW+FP/TP,116,27,0
Chespin VW+BS/SeB,136,49,0
Chimecho A+Psh/SB,211,49,0
Chinchou B+WP/Tb,500,0,0
Crobat AS+AC/CP,676,5,58
Dartrix Pk+BrB/SeB,334,0,0
Decidueye A+FP/SSh,155,49,0
Decidueye (Hisuian) PC+NSh/AuS,161,60,0
Dedenne TS+PbC/PR,191,49,0
Deerling Tk+WC/TBl,179,60,0
Delphox FS+Psh/BB,542,10,14
Deoxys (Defense) C+PB/RS,336,32,0
Deoxys (Speed) CB+PB/Sw,594,5,31
Dipplin DT+O/DgP,79,60,0
Dolliv Tk+TBl/SeB,157,60,0
Drowzee Cf+Psh/Re,415,5,0
Duosion HPP+Psh/NSh,329,60,0
Dustox Cf+SlB/SvW,383,43,0
Eelektrik Ac+Cr/D,437,10,0
Eelektross Ac+Cr/Tb,253,49,0
Eldegoss BS+GK/EB,105,38,0
Electabuzz TS+TP/Re,239,49,0
Electivire TS+IP/WC,231,27,0
Electrode VS+FoP/D,503,21,1
Electrode (Hisuian) TS+WC/Sw,143,38,0
Elekid TS+TP/BkB,295,60,0
Elgyem Cf+DP/P,612,5,37
Emolga TS+Acr/D,244,60,0
Espeon Cf+SB/PsF,293,38,0
Espurr Cf+Psh/EB,210,60,0
Exeggcute Cf+AP/SeB,144,60,0
Exeggutor Cf+P/SeB,156,38,0
Exeggutor (Alolan) DT+DgP/SeB,83,27,0
Flaaffy Tk+PG/D,447,10,0
Flapple DB+Fl/O,119,49,0
Floragato Lf+GK/PR,141,49,0
Frosmoth PS+IW/BBu,274,49,0
Gallade Cf+LB/CC,206,27,0
Galvantula FC+CP/Lu,229,38,0
Garbodor Inf+BS/GS,231,60,0
Gardevoir Cf+SB/TAx,293,60,0
Gengar SC+ShP/SB,255,27,0
Girafarig Cf+PsF/TBl,219,38,0
Gloom Ac+SlB/M,141,49,0
Gogoat VW+LB/RS,93,16,0
Golisopod SC+XS/AJ,518,5,6
Gothitelle Cf+RS/FS,214,60,0
Gothorita Cf+FS/P,391,5,0
Grafaiai PJ+PF/SlB,213,38,0
Grimer PJ+Sl/MB,188,38,0
Grotle Bi+BS/EB,297,16,0
Grovyle QA+LB/AA,106,16,0
Grumpig Psy+SB/DyP,174,49,0
Hatterene PC+PW/DG,255,38,0
Hattrem Cf+P/DG,480,5,0
Haunter SC+ShP/IP,282,22,0
Heliolisk VS+PbC/GK,271,60,0
Heracross FC+Mh/RT,201,38,0
Hoopa A+SB/P,308,60,0
Houndstone L+SB/PsF,214,60,0
Hydrapple DT+O/DgP,113,60,0
Hypno Cf+SB/Psh,173,60,0
Illumise StB+SvW/DG,387,21,0
Indeedee (Female) Ex+P/EB,453,5,0
Indeedee (Male) Ex+SB/P,285,60,0
Ivysaur VW+SlB/PW,141,49,0
Jolteon VS+D/LR,237,38,0
Jynx Cf+Av/IP,322,60,0
Kadabra PC+SB/DG,309,38,0
Karrablast FC+XS/DR,224,27,0
Kilowattrel TS+Acr/AA,631,5,43
Koffing Tk+Sl/DP,491,16,0
Kricketune FC+XS/AA,212,38,0
Leafeon QA+LB/LR,93,16,0
Leavanny SC+XS/LB,103,16,0
Lilligant Ch+PlB/HB,364,21,0
Lilligant (Hisuian) Lf+LB/Acr,106,16,0
Lombre B+IB/Sc,376,44,0
Ludicolo A+WBW/IB,343,11,0
Lurantis FC+LB/XS,105,16,0
Luxio Sp+WC/Cr,230,49,0
Luxray Sp+Cr/PsF,539,10,13
Manectric Sn+WC/PsF,206,27,0
Maractus PJ+AA/PlB,382,5,0
Masquerain Inf+AC/Lu,606,5,35
Medicham PC+IP/DyP,365,5,0
Meganium VW+FP/Re,95,38,0
Meowstic (Female) Cf+SB/P,450,5,0
Meowstic (Male) SkP+P/Tb,450,5,0
Mesprit Cf+Sw/FS,223,60,0
Mew SC+DP/Psh,468,5,0
Minun QA+Tb/GK,176,49,0
Misdreavus A+SS/DP,250,60,0
Mismagius H+SB/DP,235,38,0
Mothim BBi+AA/BBu,293,60,0
Mr. Mime Psy+SB/P,227,38,0
