Pokemon,Battle Rating,Energy Remaining,HP Remaining
Accelgor Ac+BBu/SiB,232,42,0
Alakazam PC+SB/FiP,181,42,0
Ampharos VS+BrS/PG,541,1,11
Appletun A+O/DgP,450,1,0
Arbok Ac+DP/SW,282,42,0
Arboliva Tk+TBl/SeB,260,56,0
Ariados PSt+SS/Lu,335,56,0
Azelf Cf+Sw/FS,583,6,22
Banette SC+SB/DG,247,42,0
Bayleef ML+AP/GK,366,1,0
Beautifly Inf+AC/SvW,236,42,0
Beedrill PSt+XS/DR,200,28,0
Beheeyem Cf+RS/DP,170,56,0
Bellossom Ac+LB/DG,410,6,0
Boltund Sp+Cr/T,214,42,0
Braviary (Hisuian) AS+BrB/Fl,158,56,0
Breloom FPm+SlB/DyP,810,56,82
Bruxish Cf+Psh/PsF,678,6,47
Bulbasaur VW+SlB/PW,553,6,14
Butterfree BBi+BBu/SiB,549,1,13
Carnivine VW+Cr/PW,196,42,0
Celebi Cf+AuS/P,727,6,60
Cherrim (Overcast) BS+DG/HB,602,20,27
Cherrim (Sunshine) BS+WBF/DG,602,15,27
Chesnaught VW+FP/TP,266,42,0
Chespin VW+BS/SeB,685,6,49
Chimecho A+Psh/SB,138,56,0
Chinchou B+WP/Tb,556,20,15
Crobat AS+AC/CP,674,6,46
Dartrix Pk+BrB/SeB,146,42,0
Decidueye A+FP/SSh,189,42,0
Decidueye (Hisuian) PC+NSh/AuS,553,6,14
Dedenne TS+PbC/PR,518,1,5
Deerling Tk+WC/TBl,534,6,9
Delphox FS+Psh/BB,181,56,0
Deoxys (Defense) C+PB/RS,438,48,0
Deoxys (Speed) CB+PB/Sw,704,6,54
Dipplin DT+O/DgP,196,56,0
Dolliv Tk+TBl/SeB,515,15,4
Drowzee Cf+Psh/Re,522,34,6
Duosion HPP+Psh/NSh,662,6,43
Dustox Cf+SlB/SvW,893,1,104
Eelektrik Ac+Cr/D,511,1,3
Eelektross Ac+Cr/Tb,202,42,0
Eldegoss BS+GK/EB,462,34,0
Electabuzz TS+TP/Re,621,6,32
Electivire TS+IP/WC,157,28,0
Electrode VS+FoP/D,177,42,0
Electrode (Hisuian) TS+WC/Sw,169,42,0
Elekid TS+TP/BkB,632,6,35
Elgyem Cf+DP/P,500,6,0
Emolga TS+Acr/D,192,42,0
Espeon Cf+SB/PsF,206,56,0
Espurr Cf+Psh/EB,655,20,41
Exeggcute Cf+AP/SeB,617,34,31
Exeggutor Cf+P/SeB,628,6,34
Exeggutor (Alolan) DT+DgP/SeB,274,56,0
Flaaffy Tk+PG/D,537,20,10
Flapple DB+Fl/O,217,42,0
Floragato Lf+GK/PR,183,42,0
Frosmoth PS+IW/BBu,306,56,0
Gallade Cf+LB/CC,613,6,30
Galvantula FC+CP/Lu,221,42,0
Garbodor Inf+BS/GS,704,6,54
Gardevoir Cf+SB/TAx,192,56,0
Gengar SC+ShP/SB,285,28,0
Girafarig Cf+PsF/TBl,772,6,72
Gloom Ac+SlB/M,537,6,10
Gogoat VW+LB/RS,469,1,0
Golisopod SC+XS/AJ,120,28,0
Gothitelle Cf+RS/FS,587,20,23
Gothorita Cf+FS/P,500,48,0
Grafaiai PJ+PF/SlB,434,56,0
Grimer PJ+Sl/MB,549,6,13
Grotle Bi+BS/EB,457,1,0
Grovyle QA+LB/AA,571,1,19
Grumpig Psy+SB/DyP,90,42,0
Hatterene PC+PW/DG,522,6,6
Hattrem Cf+P/DG,833,6,88
Haunter SC+ShP/IP,316,28,0
Heliolisk VS+PbC/GK,285,56,0
Heracross FC+Mh/RT,328,42,0
Hoopa A+SB/P,202,56,0
Houndstone L+SB/PsF,613,6,30
Hydrapple DT+O/DgP,235,56,0
Hypno Cf+SB/Psh,374,6,0
Illumise StB+SvW/DG,413,1,0
Indeedee (Female) Ex+P/EB,905,6,107
Indeedee (Male) Ex+SB/P,186,56,0
Ivysaur VW+SlB/PW,534,6,9
Jolteon VS+D/LR,291,56,0
Jynx Cf+Av/IP,200,56,0
Kadabra PC+SB/DG,195,42,0
Karrablast FC+XS/DR,157,28,0
Kilowattrel TS+Acr/AA,241,42,0
Koffing Tk+Sl/DP,571,6,19
Kricketune FC+XS/AA,124,28,0
Leafeon QA+LB/LR,587,6,23
Leavanny SC+XS/LB,132,28,0
Lilligant Ch+PlB/HB,753,6,67
Lilligant (Hisuian) Lf+LB/Acr,320,42,0
Lombre B+IB/Sc,556,15,15
Ludicolo A+WBW/IB,208,56,0
Lurantis FC+LB/XS,126,28,0
Luxio Sp+WC/Cr,205,42,0
Luxray Sp+Cr/PsF,214,42,0
Manectric Sn+WC/PsF,235,42,0
Maractus PJ+AA/PlB,575,1,20
Masquerain Inf+AC/Lu,196,42,0
Medicham PC+IP/DyP,414,15,0
Meganium VW+FP/Re,416,1,0
Meowstic (Female) Cf+SB/P,477,6,0
Meowstic (Male) SkP+P/Tb,477,6,0
Mesprit Cf+Sw/FS,696,6,52
Mew SC+DP/Psh,104,42,0
Minun QA+Tb/GK,522,15,6
Misdreavus A+SS/DP,229,56,0
Mismagius H+SB/DP,201,42,0
Mothim BBi+AA/BBu,304,56,0
Mr. Mime Psy+SB/P,133,42,0
Mr. Mime (Galarian) Cf+IP/TAx,632,6,35
Mr. Rime Cf+IP/TAx,636,6,36
Muk PJ+DP/TP,632,6,35
Munna CB+Psh/DG,678,6,47
Musharna CB+Psh/DG,613,34,30
Nidorino PSt+SlB/IB,560,6,16
Ninjask FC+SB/AA,235,42,0
Oddish Ac+SlB/SeB,507,1,2
Oricorio (Pa'u) AS+AC/AA,564,6,17
Oricorio (Pom-Pom) AS+AC/AA,564,6,17
Parasect FC+XS/CP,121,28,0
Pawmo TS+WC/TP,232,28,0
Pawmot TS+WC/CC,250,28,0
Pineco BBi+RT/ST,522,1,6
Pinsir FC+XS/CC,147,28,0
Plusle QA+Tb/GK,507,1,2
Polteageist H+SB/DP,236,42,0
Ponyta (Galarian) PC+Sw/Psb,731,6,61
Quilladin VW+BS/GB,407,6,0
Qwilfish PSt+AT/IB,643,1,38
Raichu VS+WC/BkB,210,42,0
Raichu (Alolan) TS+WC/Psh,90,28,0
Rapidash (Galarian) PC+BS/Mh,133,42,0
Reuniclus Ch+Psh/SB,598,6,26
Ribombee FW+BBu/DG,210,42,0
Rillaboom RL+DrB/FP,696,1,52
Roselia PJ+SlB/DG,472,56,0
Roserade PSt+WBF/SlB,515,1,4
Rowlet Lf+SeB/EB,696,1,52
Sawsbuck FA+WC/Mh,727,1,60
