Pokemon,Battle Rating,Energy Remaining,HP Remaining
Accelgor Ac+BBu/SiB,286,6,0
Alakazam PC+SB/FiP,785,96,69
Ampharos VS+BrS/PG,760,7,63
Appletun A+O/DgP,456,27,0
Arbok Ac+DP/SW,254,6,0
Arboliva Tk+TBl/SeB,313,23,0
Ariados PSt+SS/Lu,289,7,0
Azelf Cf+Sw/FS,553,96,13
Banette SC+SB/DG,648,100,36
Bayleef ML+AP/GK,830,12,80
Beautifly Inf+AC/SvW,393,42,0
Beedrill PSt+XS/DR,276,42,0
Beheeyem Cf+RS/DP,533,100,8
Bellossom Ac+LB/DG,226,42,0
Boltund Sp+Cr/T,760,7,63
Braviary (Hisuian) AS+BrB/Fl,268,29,0
Breloom FPm+SlB/DyP,623,7,30
Bruxish Cf+Psh/PsF,545,100,11
Bulbasaur VW+SlB/PW,859,3,87
Butterfree BBi+BBu/SiB,189,2,0
Carnivine VW+Cr/PW,859,3,87
Celebi Cf+AuS/P,586,7,21
Cherrim (Overcast) BS+DG/HB,909,3,99
Cherrim (Sunshine) BS+WBF/DG,276,42,0
Chesnaught VW+FP/TP,859,3,87
Chespin VW+BS/SeB,723,3,54
Chimecho A+Psh/SB,657,7,38
Chinchou B+WP/Tb,830,7,80
Crobat AS+AC/CP,178,37,0
Dartrix Pk+BrB/SeB,224,37,0
Decidueye A+FP/SSh,582,100,20
Decidueye (Hisuian) PC+NSh/AuS,619,3,29
Dedenne TS+PbC/PR,793,3,71
Deerling Tk+WC/TBl,359,39,0
Delphox FS+Psh/BB,195,13,0
Deoxys (Defense) C+PB/RS,793,23,71
Deoxys (Speed) CB+PB/Sw,892,26,95
Dipplin DT+O/DgP,528,0,7
Dolliv Tk+TBl/SeB,273,23,0
Drowzee Cf+Psh/Re,702,7,49
Duosion HPP+Psh/NSh,665,100,40
Dustox Cf+SlB/SvW,408,12,0
Eelektrik Ac+Cr/D,586,7,21
Eelektross Ac+Cr/Tb,341,42,0
Eldegoss BS+GK/EB,900,11,97
Electabuzz TS+TP/Re,818,7,77
Electivire TS+IP/WC,398,42,0
Electrode VS+FoP/D,760,15,63
Electrode (Hisuian) TS+WC/Sw,640,3,34
Elekid TS+TP/BkB,702,7,49
Elgyem Cf+DP/P,533,100,8
Emolga TS+Acr/D,308,50,0
Espeon Cf+SB/PsF,607,61,26
Espurr Cf+Psh/EB,615,7,28
Exeggcute Cf+AP/SeB,644,15,35
Exeggutor Cf+P/SeB,533,100,8
Exeggutor (Alolan) DT+DgP/SeB,533,3,8
Flaaffy Tk+PG/D,623,7,30
Flapple DB+Fl/O,607,15,26
Floragato Lf+GK/PR,793,3,71
Frosmoth PS+IW/BBu,234,18,0
Gallade Cf+LB/CC,533,100,8
Galvantula FC+CP/Lu,262,18,0
Garbodor Inf+BS/GS,673,3,42
Gardevoir Cf+SB/TAx,475,45,0
Gengar SC+ShP/SB,731,88,56
Girafarig Cf+PsF/TBl,223,42,0
Gloom Ac+SlB/M,236,6,0
Gogoat VW+LB/RS,516,3,4
Golisopod SC+XS/AJ,702,7,49
Gothitelle Cf+RS/FS,590,7,22
Gothorita Cf+FS/P,619,7,29
Grafaiai PJ+PF/SlB,86,2,0
Grimer PJ+Sl/MB,197,18,0
Grotle Bi+BS/EB,574,3,18
Grovyle QA+LB/AA,491,7,0
Grumpig Psy+SB/DyP,632,7,32
Hatterene PC+PW/DG,768,96,65
Hattrem Cf+P/DG,590,7,22
Haunter SC+ShP/IP,731,45,56
Heliolisk VS+PbC/GK,694,3,47
Heracross FC+Mh/RT,236,18,0
Hoopa A+SB/P,731,64,56
Houndstone L+SB/PsF,586,7,21
Hydrapple DT+O/DgP,595,19,23
Hypno Cf+SB/Psh,595,23,23
Illumise StB+SvW/DG,218,42,0
Indeedee (Female) Ex+P/EB,677,3,43
Indeedee (Male) Ex+SB/P,661,15,39
Ivysaur VW+SlB/PW,834,4,81
Jolteon VS+D/LR,731,7,56
Jynx Cf+Av/IP,537,100,9
Kadabra PC+SB/DG,789,88,70
Karrablast FC+XS/DR,267,18,0
Kilowattrel TS+Acr/AA,818,7,77
Koffing Tk+Sl/DP,719,3,53
Kricketune FC+XS/AA,222,18,0
