Pokemon,Battle Rating,Energy Remaining,HP Remaining
Accelgor Ac+BBu/SiB,677,31,43
Alakazam PC+SB/FiP,768,25,65
Ampharos VS+BrS/PG,360,14,0
Appletun A+O/DgP,372,32,0
Arbok Ac+DP/SW,590,8,22
Arboliva Tk+TBl/SeB,330,8,0
Ariados PSt+SS/Lu,475,20,0
Azelf Cf+Sw/FS,500,31,0
Banette SC+SB/DG,632,31,32
Bayleef ML+AP/GK,295,32,0
Beautifly Inf+AC/SvW,863,48,88
Beedrill PSt+XS/DR,723,8,54
Beheeyem Cf+RS/DP,524,43,6
Bellossom Ac+LB/DG,320,14,0
Boltund Sp+Cr/T,710,32,51
Braviary (Hisuian) AS+BrB/Fl,822,60,78
Breloom FPm+SlB/DyP,364,31,0
Bruxish Cf+Psh/PsF,661,19,39
Bulbasaur VW+SlB/PW,640,32,34
Butterfree BBi+BBu/SiB,603,25,25
Carnivine VW+Cr/PW,480,32,0
Celebi Cf+AuS/P,302,4,0
Cherrim (Overcast) BS+DG/HB,694,3,47
Cherrim (Sunshine) BS+WBF/DG,353,20,0
Chesnaught VW+FP/TP,358,20,0
Chespin VW+BS/SeB,360,14,0
Chimecho A+Psh/SB,541,20,10
Chinchou B+WP/Tb,702,61,49
Crobat AS+AC/CP,847,25,84
Dartrix Pk+BrB/SeB,508,32,2
Decidueye A+FP/SSh,302,2,0
Decidueye (Hisuian) PC+NSh/AuS,377,14,0
Dedenne TS+PbC/PR,586,3,21
Deerling Tk+WC/TBl,429,26,0
Delphox FS+Psh/BB,566,43,16
Deoxys (Defense) C+PB/RS,570,32,17
Deoxys (Speed) CB+PB/Sw,876,37,91
Dipplin DT+O/DgP,397,9,0
Dolliv Tk+TBl/SeB,315,14,0
Drowzee Cf+Psh/Re,595,26,23
Duosion HPP+Psh/NSh,648,31,36
Dustox Cf+SlB/SvW,582,3,20
Eelektrik Ac+Cr/D,382,20,0
Eelektross Ac+Cr/Tb,496,32,0
Eldegoss BS+GK/EB,743,3,59
Electabuzz TS+TP/Re,495,32,0
Electivire TS+IP/WC,453,14,0
Electrode VS+FoP/D,398,26,0
Electrode (Hisuian) TS+WC/Sw,421,32,0
Elekid TS+TP/BkB,553,26,13
Elgyem Cf+DP/P,524,43,6
Emolga TS+Acr/D,842,43,83
Espeon Cf+SB/PsF,516,31,4
Espurr Cf+Psh/EB,528,20,7
Exeggcute Cf+AP/SeB,274,14,0
