Pokemon,Battle Rating,Energy Remaining,HP Remaining
Accelgor Ac+BBu/SiB,714,0,48
Alakazam PC+SB/FiP,252,36,0
Ampharos VS+BrS/PG,754,0,57
Appletun A+O/DgP,428,27,0
Arbok Ac+DP/SW,669,0,38
Arboliva Tk+TBl/SeB,611,0,25
Ariados PSt+SS/Lu,178,54,0
Azelf Cf+Sw/FS,202,18,0
Banette SC+SB/DG,625,0,28
Bayleef ML+AP/GK,369,18,0
Beautifly Inf+AC/SvW,598,9,22
Beedrill PSt+XS/DR,508,0,2
Beheeyem Cf+RS/DP,153,18,0
Bellossom Ac+LB/DG,121,45,0
Boltund Sp+Cr/T,808,0,69
Braviary (Hisuian) AS+BrB/Fl,683,9,41
Breloom FPm+SlB/DyP,135,36,0
Bruxish Cf+Psh/PsF,277,27,0
Bulbasaur VW+SlB/PW,166,72,0
Butterfree BBi+BBu/SiB,709,0,47
Carnivine VW+Cr/PW,718,0,49
Celebi Cf+AuS/P,108,36,0
Cherrim (Overcast) BS+DG/HB,803,9,68
Cherrim (Sunshine) BS+WBF/DG,496,0,0
Chesnaught VW+FP/TP,553,9,12
Chespin VW+BS/SeB,616,0,26
Chimecho A+Psh/SB,616,9,26
Chinchou B+WP/Tb,732,9,52
Crobat AS+AC/CP,651,9,34
Dartrix Pk+BrB/SeB,133,45,0
Decidueye A+FP/SSh,403,9,0
Decidueye (Hisuian) PC+NSh/AuS,122,45,0
Dedenne TS+PbC/PR,150,72,0
Deerling Tk+WC/TBl,678,0,40
Delphox FS+Psh/BB,540,9,9
Deoxys (Defense) C+PB/RS,484,36,0
Deoxys (Speed) CB+PB/Sw,892,0,88
Dipplin DT+O/DgP,435,27,0
Dolliv Tk+TBl/SeB,678,0,40
Drowzee Cf+Psh/Re,144,45,0
Duosion HPP+Psh/NSh,223,36,0
Dustox Cf+SlB/SvW,443,18,0
Eelektrik Ac+Cr/D,602,9,23
Eelektross Ac+Cr/Tb,714,0,48
Eldegoss BS+GK/EB,394,9,0
Electabuzz TS+TP/Re,602,0,23
Electivire TS+IP/WC,593,0,21
Electrode VS+FoP/D,620,0,27
Electrode (Hisuian) TS+WC/Sw,611,27,25
Elekid TS+TP/BkB,665,0,37
Elgyem Cf+DP/P,136,18,0
Emolga TS+Acr/D,633,0,30
Espeon Cf+SB/PsF,211,27,0
Espurr Cf+Psh/EB,158,36,0
