Pokemon,Battle Rating,Energy Remaining,HP Remaining
Accelgor Ac+BBu/SiB,453,3,0
Alakazam PC+SB/FiP,808,46,84
Ampharos VS+BrS/PG,399,13,0
Appletun A+O/DgP,566,82,18
Arbok Ac+DP/SW,360,3,0
Arboliva Tk+TBl/SeB,486,19,0
Ariados PSt+SS/Lu,385,9,0
Azelf Cf+Sw/FS,599,54,27
Banette SC+SB/DG,334,21,0
Bayleef ML+AP/GK,555,96,15
Beautifly Inf+AC/SvW,460,3,0
Beedrill PSt+XS/DR,465,5,0
Beheeyem Cf+RS/DP,584,60,23
Bellossom Ac+LB/DG,363,62,0
Boltund Sp+Cr/T,772,64,74
Braviary (Hisuian) AS+BrB/Fl,374,1,0
Breloom FPm+SlB/DyP,555,52,15
Bruxish Cf+Psh/PsF,507,60,2
Bulbasaur VW+SlB/PW,838,60,92
Butterfree BBi+BBu/SiB,278,46,0
Carnivine VW+Cr/PW,827,66,89
Celebi Cf+AuS/P,445,21,0
Cherrim (Overcast) BS+DG/HB,602,88,28
Cherrim (Sunshine) BS+WBF/DG,426,74,0
Chesnaught VW+FP/TP,580,84,22
Chespin VW+BS/SeB,698,68,54
Chimecho A+Psh/SB,450,78,0
Chinchou B+WP/Tb,801,82,82
Crobat AS+AC/CP,364,7,0
Dartrix Pk+BrB/SeB,321,66,0
Decidueye A+FP/SSh,289,13,0
Decidueye (Hisuian) PC+NSh/AuS,370,7,0
Dedenne TS+PbC/PR,394,21,0
Deerling Tk+WC/TBl,602,72,28
Delphox FS+Psh/BB,327,48,0
Deoxys (Defense) C+PB/RS,459,90,0
Deoxys (Speed) CB+PB/Sw,893,58,107
Dipplin DT+O/DgP,580,88,22
Dolliv Tk+TBl/SeB,450,78,0
Drowzee Cf+Psh/Re,411,78,0
Duosion HPP+Psh/NSh,632,62,36
Dustox Cf+SlB/SvW,454,86,0
Eelektrik Ac+Cr/D,363,66,0
Eelektross Ac+Cr/Tb,555,64,15
Eldegoss BS+GK/EB,694,80,53
Electabuzz TS+TP/Re,473,17,0
Electivire TS+IP/WC,860,54,98
Electrode VS+FoP/D,547,80,13
Electrode (Hisuian) TS+WC/Sw,495,76,0
Elekid TS+TP/BkB,680,60,49
Elgyem Cf+DP/P,529,66,8
Emolga TS+Acr/D,388,9,0
Espeon Cf+SB/PsF,632,50,36
Espurr Cf+Psh/EB,396,21,0
Exeggcute Cf+AP/SeB,411,78,0
Exeggutor Cf+P/SeB,529,66,8
Exeggutor (Alolan) DT+DgP/SeB,661,66,44
Flaaffy Tk+PG/D,595,76,26
Flapple DB+Fl/O,573,60,20
Floragato Lf+GK/PR,484,29,0
Frosmoth PS+IW/BBu,441,1,0
Gallade Cf+LB/CC,495,13,0
Galvantula FC+CP/Lu,401,6,0
Garbodor Inf+BS/GS,424,19,0
Gardevoir Cf+SB/TAx,466,9,0
Gengar SC+ShP/SB,311,5,0
Girafarig Cf+PsF/TBl,507,66,2
Gloom Ac+SlB/M,335,3,0
Gogoat VW+LB/RS,580,84,22
Golisopod SC+XS/AJ,449,9,0
Gothitelle Cf+RS/FS,533,80,9
Gothorita Cf+FS/P,429,21,0
Grafaiai PJ+PF/SlB,300,46,0
Grimer PJ+Sl/MB,305,2,0
Grotle Bi+BS/EB,482,35,0
Grovyle QA+LB/AA,735,60,64
Grumpig Psy+SB/DyP,420,74,0
Hatterene PC+PW/DG,716,64,59
Hattrem Cf+P/DG,414,15,0
Haunter SC+ShP/IP,301,5,0
Heliolisk VS+PbC/GK,694,76,53
Heracross FC+Mh/RT,359,4,0
Hoopa A+SB/P,318,7,0
Houndstone L+SB/PsF,159,24,0
Hydrapple DT+O/DgP,496,90,0
Hypno Cf+SB/Psh,397,78,0
Illumise StB+SvW/DG,387,13,0
Indeedee (Female) Ex+P/EB,617,80,32
Indeedee (Male) Ex+SB/P,669,72,46
Ivysaur VW+SlB/PW,469,82,0
Jolteon VS+D/LR,727,70,62
Jynx Cf+Av/IP,562,56,17
Kadabra PC+SB/DG,794,46,80
Karrablast FC+XS/DR,429,4,0
Kilowattrel TS+Acr/AA,838,60,92
Koffing Tk+Sl/DP,595,76,26
Kricketune FC+XS/AA,356,4,0
Leafeon QA+LB/LR,621,68,33
Leavanny SC+XS/LB,376,5,0
Lilligant Ch+PlB/HB,632,58,36
