Pokemon,Battle Rating,Energy Remaining,HP Remaining
Accelgor Ac+BBu/SiB,356,7,0
Alakazam PC+SB/FiP,545,5,11
Ampharos VS+BrS/PG,696,5,48
Appletun A+O/DgP,508,19,2
Arbok Ac+DP/SW,610,5,27
Arboliva Tk+TBl/SeB,659,5,39
Ariados PSt+SS/Lu,672,5,42
Azelf Cf+Sw/FS,729,5,56
Banette SC+SB/DG,252,7,0
Bayleef ML+AP/GK,464,33,0
Beautifly Inf+AC/SvW,573,5,18
Beedrill PSt+XS/DR,442,21,0
Beheeyem Cf+RS/DP,565,14,16
Bellossom Ac+LB/DG,545,33,11
Boltund Sp+Cr/T,618,5,29
Braviary (Hisuian) AS+BrB/Fl,384,19,0
Breloom FPm+SlB/DyP,901,7,98
Bruxish Cf+Psh/PsF,610,14,27
Bulbasaur VW+SlB/PW,704,35,50
Butterfree BBi+BBu/SiB,326,21,0
Carnivine VW+Cr/PW,668,5,41
Celebi Cf+AuS/P,639,12,34
Cherrim (Overcast) BS+DG/HB,758,5,63
Cherrim (Sunshine) BS+WBF/DG,696,5,48
Chesnaught VW+FP/TP,672,5,42
Chespin VW+BS/SeB,799,5,73
Chimecho A+Psh/SB,226,21,0
Chinchou B+WP/Tb,733,5,57
Crobat AS+AC/CP,766,5,65
Dartrix Pk+BrB/SeB,480,19,0
Decidueye A+FP/SSh,256,21,0
Decidueye (Hisuian) PC+NSh/AuS,709,5,51
Dedenne TS+PbC/PR,684,5,45
Deerling Tk+WC/TBl,827,5,80
Delphox FS+Psh/BB,481,14,0
Deoxys (Defense) C+PB/RS,606,5,26
Deoxys (Speed) CB+PB/Sw,676,0,43
Dipplin DT+O/DgP,586,33,21
Dolliv Tk+TBl/SeB,659,19,39
Drowzee Cf+Psh/Re,627,7,31
Duosion HPP+Psh/NSh,631,0,32
Dustox Cf+SlB/SvW,766,5,65
Eelektrik Ac+Cr/D,680,5,44
Eelektross Ac+Cr/Tb,659,5,39
Eldegoss BS+GK/EB,516,47,4
Electabuzz TS+TP/Re,745,5,60
Electivire TS+IP/WC,758,5,63
Electrode VS+FoP/D,672,5,42
Electrode (Hisuian) TS+WC/Sw,557,5,14
Elekid TS+TP/BkB,610,5,27
Elgyem Cf+DP/P,565,14,16
Emolga TS+Acr/D,631,5,32
Espeon Cf+SB/PsF,386,35,0
Espurr Cf+Psh/EB,427,28,0
Exeggcute Cf+AP/SeB,631,7,32
Exeggutor Cf+P/SeB,549,14,12
Exeggutor (Alolan) DT+DgP/SeB,631,5,32
Flaaffy Tk+PG/D,676,5,43
Flapple DB+Fl/O,668,5,41
Floragato Lf+GK/PR,647,5,36
Frosmoth PS+IW/BBu,342,7,0
Gallade Cf+LB/CC,737,5,58
Galvantula FC+CP/Lu,512,5,3
Garbodor Inf+BS/GS,672,5,42
Gardevoir Cf+SB/TAx,475,0,0
Gengar SC+ShP/SB,413,7,0
Girafarig Cf+PsF/TBl,561,12,15
Gloom Ac+SlB/M,672,5,42
Gogoat VW+LB/RS,565,19,16
Golisopod SC+XS/AJ,577,5,19
Gothitelle Cf+RS/FS,524,7,6
Gothorita Cf+FS/P,508,21,2
Grafaiai PJ+PF/SlB,696,35,48
Grimer PJ+Sl/MB,696,5,48
Grotle Bi+BS/EB,618,19,29
Grovyle QA+LB/AA,536,5,9
Grumpig Psy+SB/DyP,371,14,0
Hatterene PC+PW/DG,684,0,45
Hattrem Cf+P/DG,441,28,0
Haunter SC+ShP/IP,512,21,3
Heliolisk VS+PbC/GK,663,5,40
Heracross FC+Mh/RT,399,7,0
Hoopa A+SB/P,191,7,0
Houndstone L+SB/PsF,214,21,0
Hydrapple DT+O/DgP,631,5,32
Hypno Cf+SB/Psh,319,28,0
Illumise StB+SvW/DG,508,33,2
Indeedee (Female) Ex+P/EB,696,12,48
Indeedee (Male) Ex+SB/P,549,28,12
Ivysaur VW+SlB/PW,692,5,47
Jolteon VS+D/LR,663,5,40
Jynx Cf+Av/IP,622,0,30
Kadabra PC+SB/DG,528,5,7
Karrablast FC+XS/DR,512,5,3
Kilowattrel TS+Acr/AA,602,5,25
Koffing Tk+Sl/DP,692,5,47
Kricketune FC+XS/AA,512,5,3
Leafeon QA+LB/LR,713,5,52
Leavanny SC+XS/LB,338,21,0
Lilligant Ch+PlB/HB,799,5,73
Lilligant (Hisuian) Lf+LB/Acr,508,5,2
Lombre B+IB/Sc,700,19,49
Ludicolo A+WBW/IB,470,5,0
Lurantis FC+LB/XS,315,21,0
Luxio Sp+WC/Cr,877,5,92
Luxray Sp+Cr/PsF,614,5,28
Manectric Sn+WC/PsF,614,5,28
Maractus PJ+AA/PlB,561,5,15
Masquerain Inf+AC/Lu,622,5,30
Medicham PC+IP/DyP,577,47,19
Meganium VW+FP/Re,473,19,0
Meowstic (Female) Cf+SB/P,412,28,0
Meowstic (Male) SkP+P/Tb,386,14,0
Mesprit Cf+Sw/FS,614,12,28
Mew SC+DP/Psh,375,0,0
Minun QA+Tb/GK,659,19,39
Misdreavus A+SS/DP,229,21,0
Mismagius H+SB/DP,158,42,0
Mothim BBi+AA/BBu,452,35,0
Mr. Mime Psy+SB/P,455,0,0
Mr. Mime (Galarian) Cf+IP/TAx,480,14,0
Mr. Rime Cf+IP/TAx,404,33,0
Muk PJ+DP/TP,627,5,31
Munna CB+Psh/DG,622,12,30
Musharna CB+Psh/DG,553,7,13
Nidorino PSt+SlB/IB,709,5,51
Ninjask FC+SB/AA,359,7,0
Oddish Ac+SlB/SeB,672,35,42
Oricorio (Pa'u) AS+AC/AA,524,28,6
Oricorio (Pom-Pom) AS+AC/AA,709,5,51
Parasect FC+XS/CP,349,35,0
Pawmo TS+WC/TP,750,21,61
Pawmot TS+WC/CC,635,21,33
Pineco BBi+RT/ST,668,5,41
Pinsir FC+XS/CC,397,21,0
Plusle QA+Tb/GK,713,5,52
Polteageist H+SB/DP,189,42,0
Ponyta (Galarian) PC+Sw/Psb,672,14,42
Quilladin VW+BS/GB,602,33,25
Qwilfish PSt+AT/IB,639,35,34
Raichu VS+WC/BkB,569,5,17
Raichu (Alolan) TS+WC/Psh,346,35,0
Rapidash (Galarian) PC+BS/Mh,325,35,0
Reuniclus Ch+Psh/SB,350,5,0
Ribombee FW+BBu/DG,381,21,0
Rillaboom RL+DrB/FP,754,5,62
Roselia PJ+SlB/DG,631,21,32
