Pokemon,Battle Rating,Energy Remaining,HP Remaining
Absol PC+DP/Mh,636,10,29
Aggron DT+MeB/RT,424,46,0
Alomomola W+P/HP,342,24,0
Altaria DB+M/Ft,745,0,52
Arctibax DB+Av/DC,693,10,41
Aron MSo+RT/BS,393,22,0
Axew Scr+DC/AT,924,10,90
Barbaracle FC+CrC/SE,575,12,16
Basculin Tk+AT/AJ,646,0,31
Baxcalibur DB+GlR/Av,849,10,74
Bibarel RO+HF/S,566,12,14
Bisharp Sn+XS/DP,338,46,0
Blastoise RO+HC/SkB,457,24,0
Bombirdier SkP+Fl/RT,702,10,43
Brionne Ch+AJ/DV,570,0,15
Bronzong Cf+Psh/WBW,220,46,0
Bruxish Cf+AT/Psh,613,0,24
Carracosta RTh+BS/AP,797,12,63
Castform (Rainy) WG+WBW/T,414,0,0
Clamperl WG+BS/WP,773,0,58
Clauncher WG+AJ/Crbh,514,0,3
Clawitzer SD+Crbh/DP,905,0,86
Cloyster IS+Av/Li,589,0,19
Corphish B+Bd/AJ,136,48,0
Corsola B+PG/RB,608,8,23
Crawdaunt Sn+NS/Bd,594,0,20
Croconaw WG+Cr/IP,537,24,8
Dewgong IS+IW/DR,551,12,11
Dewott FC+XS/AT,655,12,33
Dondozo W+O/Li,360,0,0
Dragalge DT+O/AT,716,0,46
Dragonair DB+AT/Wr,641,0,30
Dragonite DB+SP/TP,146,36,0
Drampa DB+Sw/O,632,10,28
Drapion PSt+Cr/AT,533,36,7
Drizzile WG+S/WP,156,60,0
Druddigon DT+NS/RT,792,0,62
Duraludon DT+DC/FC,509,24,2
Feraligatr SC+HC/Cr,120,60,0
Floatzel W+Sw/AJ,135,48,0
Fraxure DT+NS/DC,707,10,44
Frigibax DB+Av/DC,688,10,40
Frogadier B+S/AA,142,60,0
Goldeen Pk+AT/HA,698,0,42
Golduck Cf+CrC/Li,570,0,15
Golisopod FC+XS/AJ,528,10,6
Goodra DB+AT/TP,650,0,32
Gorebyss Cf+WP/DK,886,0,82
Greninja WSh+NS/HC,91,36,0
Grimer (Alolan) PJ+Cr/SlB,707,12,44
Gyarados DB+Tw/AT,584,10,18
Haxorus DT+NS/DC,702,10,43
Honchkrow Pk+BrB/DP,646,10,31
Huntail WG+AT/Cr,115,48,0
Hydreigon DB+BrS/Fl,679,10,38
Inteleon WG+SB/S,186,60,0
Kabuto MS+RT/AJ,125,48,0
Kabutops FC+SE/AJ,147,60,0
Kingambit MSo+FoP/XS,362,24,0
Kingdra DB+Sw/S,509,0,2
Kingler MS+Bd/XS,504,0,1
Klinklang TS+ZC/MrS,350,12,0
Krabby MS+Bd/RSh,190,60,0
Lairon MSo+RT/RS,334,56,0
Lapras Psy+SpA/DgP,613,0,24
Liepard Sn+DP/PR,655,0,33
Linoone (Galarian) Sn+BS/Dg,483,24,0
Lokix SkP+XS/TBl,627,10,27
Lumineon G+AT/SvW,547,8,10
Malamar Psy+SP/FoP,64,36,0
Mantyke B+AA/WP,834,0,71
Metagross FC+MM/Eq,365,0,0
Metang FC+Psh/GB,220,58,0
Mightyena SkP+Cr/PF,589,0,19
Milotic DT+AT/Wr,454,12,0
Muk (Alolan) PJ+DP/SW,731,24,49
Murkrow Pk+DrlP/FoP,712,10,45
Noivern G+Hu/HW,924,10,90
Octillery LO+WP/GS,528,0,6
Omanyte MS+RT/RB,617,24,25
Omastar MS+RS/HP,693,0,41
Overqwil PSt+SB/DP,707,0,44
Pawniard FC+NS/XS,373,12,0
Pelipper WA+WBW/Hu,650,10,32
Perrserker SC+CC/TBl,67,48,0
Persian (Alolan) FA+FoP/TBl,641,12,30
Piplup B+DrlP/IW,806,0,65
Politoed MS+WBW/Eq,424,0,0
Poliwhirl MS+MB/Sc,101,60,0
Popplio WG+AT/AJ,137,60,0
Prinplup B+IW/Re,474,48,0
Quaxwell WA+AJ/AA,599,0,21
Qwilfish PSt+AT/SB,693,0,41
Qwilfish (Hisuian) PSt+SB/DP,712,0,45
Raticate (Alolan) QA+Cr/HF,575,8,16
Relicanth WG+AP/AT,289,22,0
Revavroom PJ+GB/Ov,688,8,40
Salamence DT+Fl/BrS,750,10,53
Samurott FC+HC/Mh,102,48,0
Samurott (Hisuian) FC+SSw/XS,90,36,0
Sandshrew (Alolan) PS+NS/GB,472,24,0
Sandslash (Alolan) PS+DR/IP,80,60,0
Seadra DB+DgP/Re,712,0,45
Seaking Pk+DR/Mh,126,60,0
Sealeo PS+BS/S,603,0,22
Seel L+AT/IW,594,36,20
Sharpedo W+Cr/PF,218,60,0
Shelgon DB+Tw/Ft,636,0,29
Shellos MSl+BS/MB,433,0,0
Simipour WG+Cr/S,158,60,0
Skarmory AS+BrB/SA,830,10,70
Skrelp Ac+Tw/AT,754,0,54
Skuntank PJ+TBl/Cr,712,12,45
Sliggoo DB+BS/DgP,674,12,37
Slowbro Cf+DrP/S,489,36,0
Slowking Cf+S/P,533,36,7
Slowpoke Cf+Psh/WP,514,48,3
Sneasel IS+FoP/Av,716,10,46
Starmie Psy+AJ/PG,504,0,1
Stunky Bi+TBl/Cr,773,0,58
Swanna G+Fl/AJ,584,10,18
Tatsugiri (Curly) WG+S/MW,252,60,0
Tatsugiri (Droopy) WG+S/MW,252,60,0
Tatsugiri (Stretchy) WG+S/MW,252,60,0
Tentacool PSt+Wr/WP,665,24,35
Tentacruel Ac+Sc/Pbk,354,58,0
Thievul SkP+NS/PR,617,24,25
Tirtouga WG+BS/AP,556,36,12
Totodile WG+AJ/Cr,137,60,0
Tyranitar DB+BrS/SE,688,0,40
Tyrantrum DT+MeB/RT,674,0,37
Tyrunt DT+RT/DC,754,0,54
Vaporeon WG+AT/LR,490,12,0
Varoom PJ+GB/GS,754,8,54
Wailmer RO+BS/Sc,487,24,0
Wailord RO+S/Re,561,24,13
Walrein PS+ISp/Eq,783,0,60
Wartortle WG+AJ/IB,89,60,0
Weavile Sn+FoP/Av,735,10,50
Wugtrio MSl+Dg/S,194,60,0
Zoroark SC+FoP/NSh,622,10,26
Zweilous DB+BS/DP,627,0,27
