Pokemon,Battle Rating,Energy Remaining,HP Remaining
Metang FC+Psh/GB,329,25,0
Barbaracle FC+CrC/SE,430,25,0
Milotic DT+AT/Wr,251,10,0
Golisopod FC+XS/AJ,263,65,0
Goodra DB+AT/TP,243,65,0
Gyarados DB+Tw/AT,293,65,0
Perrserker SC+CC/TBl,474,25,0
Shelgon DB+Tw/Ft,288,65,0
Pawniard FC+NS/XS,474,25,0
Sliggoo DB+BS/DgP,222,65,0
Altaria DB+M/Ft,268,30,0
Blastoise RO+HC/SkB,284,30,0
Lapras Psy+SpA/DgP,229,10,0
Dewgong IS+IW/DR,286,70,0
Seaking Pk+DR/Mh,278,0,0
Walrein PS+ISp/Eq,298,30,0
Pelipper WA+WBW/Hu,391,100,0
Dragonair DB+AT/Wr,279,65,0
Dewott FC+XS/AT,308,0,0
Dondozo W+O/Li,465,5,0
Kingdra DB+Sw/S,199,0,0
Sandslash (Alolan) PS+DR/IP,558,35,28
Lumineon G+AT/SvW,240,10,0
Bronzong Cf+Psh/WBW,429,25,0
Dragonite DB+SP/TP,292,25,0
Thievul SkP+NS/PR,389,65,0
Zweilous DB+BS/DP,253,65,0
Lokix SkP+XS/TBl,483,25,0
Sealeo PS+BS/S,288,40,0
Dragalge DT+O/AT,292,10,0
Drapion PSt+Cr/AT,527,100,13
Samurott FC+HC/Mh,334,25,0
Castform (Rainy) WG+WBW/T,349,50,0
Wailord RO+S/Re,291,20,0
Malamar Psy+SP/FoP,435,35,0
Politoed MS+WBW/Eq,294,10,0
Kingambit MSo+FoP/XS,546,100,22
Samurott (Hisuian) FC+SSw/XS,321,25,0
Skuntank PJ+TBl/Cr,401,35,0
Arctibax DB+Av/DC,304,0,0
Tentacruel Ac+Sc/Pbk,255,20,0
Skarmory AS+BrB/SA,454,25,0
Salamence DT+Fl/BrS,363,25,0
Aron MSo+RT/BS,733,100,111
Klinklang TS+ZC/MrS,350,45,0
Kabutops FC+SE/AJ,506,100,3
Metagross FC+MM/Eq,510,100,5
Wailmer RO+BS/Sc,334,50,0
Tyranitar DB+BrS/SE,825,100,155
Aggron DT+MeB/RT,581,100,39
Hydreigon DB+BrS/Fl,262,45,0
Sandshrew (Alolan) PS+NS/GB,539,100,19
Relicanth WG+AP/AT,533,100,16
Bombirdier SkP+Fl/RT,423,55,0
Swanna G+Fl/AJ,294,55,0
Qwilfish PSt+AT/SB,333,10,0
Drampa DB+Sw/O,291,35,0
Wartortle WG+AJ/IB,338,80,0
Mightyena SkP+Cr/PF,364,25,0
Feraligatr SC+HC/Cr,348,20,0
Lairon MSo+RT/RS,735,100,112
Grimer (Alolan) PJ+Cr/SlB,444,0,0
Murkrow Pk+DrlP/FoP,565,100,31
Revavroom PJ+GB/Ov,659,100,76
Starmie Psy+AJ/PG,341,25,0
Alomomola W+P/HP,439,15,0
Muk (Alolan) PJ+DP/SW,435,25,0
Raticate (Alolan) QA+Cr/HF,400,35,0
Druddigon DT+NS/RT,307,75,0
Kabuto MS+RT/AJ,508,20,4
Baxcalibur DB+GlR/Av,314,45,0
Corsola B+PG/RB,432,40,0
Frigibax DB+Av/DC,359,0,0
Carracosta RTh+BS/AP,445,0,0
Omanyte MS+RT/RB,475,25,0
Bisharp Sn+XS/DP,672,55,82
Duraludon DT+DC/FC,409,25,0
Vaporeon WG+AT/LR,369,50,0
Fraxure DT+NS/DC,385,25,0
Slowbro Cf+DrP/S,222,10,0
Golduck Cf+CrC/Li,337,20,0
Greninja WSh+NS/HC,478,25,0
Omastar MS+RS/HP,548,100,23
Bibarel RO+HF/S,348,20,0
Shellos MSl+BS/MB,367,50,0
Slowpoke Cf+Psh/WP,263,10,0
Haxorus DT+NS/DC,441,75,0
Quaxwell WA+AJ/AA,394,35,0
Bruxish Cf+AT/Psh,311,25,0
Poliwhirl MS+MB/Sc,361,60,0
Tirtouga WG+BS/AP,596,100,46
Brionne Ch+AJ/DV,400,40,0
Croconaw WG+Cr/IP,396,60,0
Prinplup B+IW/Re,552,5,25
Persian (Alolan) FA+FoP/TBl,484,35,0
Linoone (Galarian) Sn+BS/Dg,506,40,3
Seadra DB+DgP/Re,345,25,0
Tentacool PSt+Wr/WP,309,20,0
Slowking Cf+S/P,267,0,0
Zoroark SC+FoP/NSh,775,100,131
Crawdaunt Sn+NS/VG,477,20,0
Mantyke B+AA/WP,516,5,8
Tyrunt DT+RT/DC,525,100,12
Honchkrow Pk+BrB/DP,710,100,100
Skrelp Ac+Tw/AT,409,20,0
Noivern AS+Hu/HW,345,20,0
Octillery LO+WP/GS,406,20,0
Weavile Sn+FoP/Av,703,100,97
Kingler MS+VG/XS,435,25,0
Floatzel W+Sw/AJ,525,100,12
Cloyster IS+Av/Li,521,100,10
Overqwil PSt+SB/DP,584,0,40
Tyrantrum DT+MeB/RT,435,25,0
Sneasel IS+FoP/Av,844,100,164
Huntail WG+AT/Cr,485,25,0
Qwilfish (Hisuian) PSt+SB/DP,598,75,47
Stunky Bi+TBl/Cr,584,100,40
Basculin Tk+AT/AJ,422,35,0
Krabby MS+VG/RSh,445,10,0
Seel L+AT/IW,456,45,0
Varoom PJ+GB/GS,716,100,103
Absol PC+DP/Mh,838,100,161
Clamperl WG+BS/WP,558,35,28
Liepard Sn+DP/PR,857,100,170
Goldeen Pk+AT/HA,404,40,0
Clauncher WG+AJ/Crbh,460,80,0
Totodile WG+AJ/Cr,558,100,28
Wugtrio MSl+Dg/S,502,100,1
Corphish B+VG/AJ,542,100,20
Popplio WG+AT/AJ,579,100,38
Sharpedo W+Cr/PF,724,100,107
Simipour WG+Cr/S,611,35,53
Clawitzer SD+Crbh/DP,433,40,0
Piplup B+DrlP/IW,600,100,48
Drizzile WG+S/WP,476,50,0
Frogadier B+S/AA,558,100,28
Axew Scr+DC/AT,454,30,0
Gorebyss Cf+WP/DK,455,25,0
Inteleon WG+SB/S,453,25,0
