Pokemon,Battle Rating,Energy Remaining,HP Remaining
Metang FC+Psh/GB,430,13,0
Barbaracle FC+CrC/SE,495,10,0
Milotic DT+AT/Wr,389,22,0
Golisopod FC+XS/AJ,416,4,0
Goodra DB+AT/TP,226,3,0
Gyarados DB+Tw/AT,421,10,0
Perrserker SC+CC/TBl,519,1,5
Shelgon DB+Tw/Ft,223,41,0
Pawniard FC+NS/XS,642,1,37
Sliggoo DB+BS/DgP,390,19,0
Altaria DB+M/Ft,278,74,0
Blastoise RO+HC/SkB,353,31,0
Lapras Psy+SpA/DgP,203,68,0
Dewgong IS+IW/DR,523,14,6
Seaking Pk+DR/Mh,376,13,0
Walrein PS+ISp/Eq,383,37,0
Pelipper WA+WBW/Hu,239,41,0
Dragonair DB+AT/Wr,377,4,0
Dewott FC+XS/AT,352,10,0
Dondozo W+O/Li,491,29,0
Kingdra DB+Sw/S,216,4,0
Sandslash (Alolan) PS+DR/IP,496,25,0
Lumineon G+AT/SvW,390,31,0
Bronzong Cf+Psh/WBW,462,16,0
Dragonite DB+SP/TP,216,32,0
Thievul SkP+NS/PR,565,1,17
Zweilous DB+BS/DP,189,3,0
Lokix SkP+XS/TBl,336,41,0
Sealeo PS+BS/S,235,77,0
Dragalge DT+O/AT,225,35,0
Drapion PSt+Cr/AT,487,13,0
Samurott FC+HC/Mh,393,13,0
Castform (Rainy) WG+WBW/T,349,16,0
Wailord RO+S/Re,515,2,4
Malamar Psy+SP/FoP,780,1,73
Politoed MS+WBW/Eq,413,37,0
Kingambit MSo+FoP/XS,665,1,43
Samurott (Hisuian) FC+SSw/XS,390,4,0
Skuntank PJ+TBl/Cr,259,41,0
Arctibax DB+Av/DC,175,3,0
Tentacruel Ac+Sc/Pbk,389,25,0
Skarmory AS+BrB/SA,475,28,0
Salamence DT+Fl/BrS,209,32,0
Aron MSo+RT/BS,657,1,41
Klinklang TS+ZC/MrS,264,41,0
Kabutops FC+SE/AJ,401,41,0
