Pokemon,Battle Rating,Energy Remaining,HP Remaining
Absol PC+DP/Mh,366,21,0
Aggron DT+MeB/RT,779,14,67
Alomomola W+P/HP,462,18,0
Altaria DB+M/Ft,629,4,31
Arctibax DB+Av/DC,658,44,38
Aron MSo+RT/BS,800,0,72
Axew Scr+DC/AT,858,16,86
Barbaracle FC+CrC/SE,704,0,49
Basculin Tk+AT/AJ,675,30,42
Baxcalibur DB+GlR/Av,675,30,42
Bibarel RO+HF/S,486,44,0
Bisharp Sn+XS/DP,247,7,0
Blastoise RO+HC/SkB,516,9,4
Bombirdier SkP+Fl/RT,264,35,0
Brionne Ch+AJ/DV,641,44,34
Bronzong Cf+Psh/WBW,500,21,0
Bruxish Cf+AT/Psh,570,9,17
Carracosta RTh+BS/AP,733,0,56
Castform (Rainy) WG+WBW/T,508,4,2
Clamperl WG+BS/WP,587,44,21
Clauncher WG+AJ/Crbh,641,44,34
Clawitzer SD+Crbh/DP,883,30,92
Cloyster IS+Av/Li,687,4,45
Corphish B+Bd/AJ,679,16,43
Corsola B+PG/RB,708,9,50
Crawdaunt Sn+NS/Bd,238,21,0
Croconaw WG+Cr/IP,554,9,13
Dewgong IS+IW/DR,353,44,0
Dewott FC+XS/AT,508,4,2
Dondozo W+O/Li,641,4,34
Dragalge DT+O/AT,833,2,80
Dragonair DB+AT/Wr,558,44,14
Dragonite DB+SP/TP,633,30,32
Drampa DB+Sw/O,670,16,41
Drapion PSt+Cr/AT,283,35,0
Drizzile WG+S/WP,591,16,22
Druddigon DT+NS/RT,525,30,6
Duraludon DT+DC/FC,662,9,39
Feraligatr SC+HC/Cr,448,30,0
Floatzel W+Sw/AJ,595,16,23
Fraxure DT+NS/DC,687,16,45
Frigibax DB+Av/DC,679,30,43
Frogadier B+S/AA,633,30,32
Goldeen Pk+AT/HA,650,30,36
Golduck Cf+CrC/Li,712,44,51
Golisopod FC+XS/AJ,462,30,0
Goodra DB+AT/TP,558,4,14
Gorebyss Cf+WP/DK,683,30,44
Greninja WSh+NS/HC,221,21,0
Grimer (Alolan) PJ+Cr/SlB,467,14,0
Gyarados DB+Tw/AT,541,30,10
Haxorus DT+NS/DC,720,2,53
Honchkrow Pk+BrB/DP,300,7,0
Huntail WG+AT/Cr,466,16,0
Hydreigon DB+BrS/Fl,215,21,0
Inteleon WG+SB/S,837,2,81
Kabuto MS+RT/AJ,473,16,0
Kabutops FC+SE/AJ,629,30,31
Kingambit MSo+FoP/XS,237,35,0
Kingdra DB+Sw/S,483,44,0
Kingler MS+Bd/XS,712,16,51
Klinklang TS+ZC/MrS,504,14,1
Krabby MS+Bd/RSh,725,2,54
Lairon MSo+RT/RS,666,14,40
Lapras Psy+SpA/DgP,541,4,10
Liepard Sn+DP/PR,271,7,0
Linoone (Galarian) Sn+BS/Dg,334,0,0
Lokix SkP+XS/TBl,270,21,0
Lumineon G+AT/SvW,637,4,33
Malamar Psy+SP/FoP,190,35,0
Mantyke B+AA/WP,658,4,38
Metagross FC+MM/Eq,269,21,0
Metang FC+Psh/GB,356,42,0
Mightyena SkP+Cr/PF,221,7,0
Milotic DT+AT/Wr,633,4,32
Muk (Alolan) PJ+DP/SW,452,28,0
Murkrow Pk+DrlP/FoP,329,35,0
Noivern G+Hu/HW,554,44,13
Octillery LO+WP/GS,691,30,46
Omanyte MS+RT/RB,745,0,59
Omastar MS+RS/HP,520,0,5
Overqwil PSt+SB/DP,541,0,10
Pawniard FC+NS/XS,239,21,0
Pelipper WA+WBW/Hu,591,9,22
Perrserker SC+CC/TBl,331,35,0
Persian (Alolan) FA+FoP/TBl,203,7,0
Piplup B+DrlP/IW,758,44,62
Politoed MS+WBW/Eq,348,16,0
Poliwhirl MS+MB/Sc,381,30,0
Popplio WG+AT/AJ,662,30,39
Prinplup B+IW/Re,754,4,61
Quaxwell WA+AJ/AA,541,44,10
Qwilfish PSt+AT/SB,575,2,18
Qwilfish (Hisuian) PSt+SB/DP,487,0,0
Raticate (Alolan) QA+Cr/HF,310,0,0
