Pokemon,Battle Rating,Energy Remaining,HP Remaining
Absol PC+DP/Mh,513,2,4
Aggron DT+MeB/RT,811,2,91
Alomomola W+P/HP,468,36,0
Altaria DB+M/Ft,485,31,0
Arctibax DB+Av/DC,294,11,0
Aron MSo+RT/BS,681,2,53
Axew Scr+DC/AT,537,0,11
Barbaracle FC+CrC/SE,510,1,3
Basculin Tk+AT/AJ,565,1,19
Baxcalibur DB+GlR/Av,330,34,0
Bibarel RO+HF/S,606,1,31
Bisharp Sn+XS/DP,613,2,33
Blastoise RO+HC/SkB,554,1,16
Bombirdier SkP+Fl/RT,708,2,61
Brionne Ch+AJ/DV,565,1,19
Bronzong Cf+Psh/WBW,408,23,0
Bruxish Cf+AT/Psh,209,37,0
Carracosta RTh+BS/AP,684,8,54
Castform (Rainy) WG+WBW/T,500,1,0
Clamperl WG+BS/WP,650,1,44
Clauncher WG+AJ/Crbh,674,1,51
Clawitzer SD+Crbh/DP,695,1,57
Cloyster IS+Av/Li,674,1,51
Corphish B+VG/AJ,654,1,45
Corsola B+PG/RB,654,1,45
Crawdaunt Sn+NS/VG,417,14,0
Croconaw WG+Cr/IP,623,1,36
Dewgong IS+IW/DR,712,10,62
Dewott FC+XS/AT,325,23,0
Dondozo W+O/Li,561,25,18
Dragalge DT+O/AT,331,5,0
Dragonair DB+AT/Wr,342,14,0
Dragonite DB+SP/TP,362,5,0
Drampa DB+Sw/O,213,37,0
Drapion PSt+Cr/AT,432,23,0
Drizzile WG+S/WP,633,1,39
Druddigon DT+NS/RT,371,23,0
Duraludon DT+DC/FC,423,17,0
Feraligatr SC+HC/Cr,616,1,34
Floatzel W+Sw/AJ,609,23,32
Fraxure DT+NS/DC,207,37,0
Frigibax DB+Av/DC,315,11,0
Frogadier B+S/AA,674,1,51
Goldeen Pk+AT/HA,613,1,33
Golduck Cf+CrC/Li,568,1,20
Golisopod FC+XS/AJ,407,23,0
Goodra DB+AT/TP,350,14,0
Gorebyss Cf+WP/DK,517,1,5
Greninja WSh+NS/HC,426,26,0
Grimer (Alolan) PJ+Cr/SlB,708,14,61
Gyarados DB+Tw/AT,380,20,0
Haxorus DT+NS/DC,237,37,0
Honchkrow Pk+BrB/DP,750,2,73
Huntail WG+AT/Cr,606,1,31
Hydreigon DB+BrS/Fl,383,14,0
Inteleon WG+SB/S,476,26,0
Kabuto MS+RT/AJ,650,2,44
