Pokemon,Battle Rating,Energy Remaining,HP Remaining
Metang FC+Psh/GB,333,16,0
Barbaracle FC+CrC/SE,703,0,46
Milotic DT+AT/Wr,488,4,0
Golisopod FC+XS/AJ,818,0,72
Goodra DB+AT/TP,329,36,0
Gyarados DB+Tw/AT,252,40,0
Perrserker SC+CC/TBl,403,16,0
Shelgon DB+Tw/Ft,553,0,12
Pawniard FC+NS/XS,449,32,0
Sliggoo DB+BS/DgP,316,40,0
Altaria DB+M/Ft,570,2,16
Blastoise RO+HC/SkB,566,12,15
Lapras Psy+SpA/DgP,418,20,0
Dewgong IS+IW/DR,178,40,0
Seaking Pk+DR/Mh,774,0,62
Walrein PS+ISp/Eq,168,28,0
Pelipper WA+WBW/Hu,623,0,28
Dragonair DB+AT/Wr,377,36,0
Dewott FC+XS/AT,681,0,41
Dondozo W+O/Li,579,0,18
Kingdra DB+Sw/S,326,36,0
Sandslash (Alolan) PS+DR/IP,140,28,0
Lumineon G+AT/SvW,579,20,18
Bronzong Cf+Psh/WBW,350,16,0
Dragonite DB+SP/TP,500,0,0
Thievul SkP+NS/PR,251,44,0
Zweilous DB+BS/DP,342,36,0
Lokix SkP+XS/TBl,641,0,32
Sealeo PS+BS/S,154,28,0
Dragalge DT+O/AT,464,0,0
Drapion PSt+Cr/AT,535,2,8
Samurott FC+HC/Mh,818,0,72
Castform (Rainy) WG+WBW/T,637,20,31
Wailord RO+S/Re,535,8,8
Malamar Psy+SP/FoP,230,44,0
Politoed MS+WBW/Eq,805,12,69
Kingambit MSo+FoP/XS,366,4,0
Samurott (Hisuian) FC+SSw/XS,681,0,41
Skuntank PJ+TBl/Cr,623,2,28
Arctibax DB+Av/DC,530,0,7
Tentacruel Ac+Sc/Pbk,730,16,52
Skarmory AS+BrB/SA,685,0,42
Salamence DT+Fl/BrS,491,26,0
Aron MSo+RT/BS,338,8,0
Klinklang TS+ZC/MrS,427,20,0
Kabutops FC+SE/AJ,818,0,72
Metagross FC+MM/Eq,437,12,0
Wailmer RO+BS/Sc,508,16,2
Tyranitar DB+BrS/SE,241,36,0
Aggron DT+MeB/RT,391,28,0
Hydreigon DB+BrS/Fl,413,36,0
Sandshrew (Alolan) PS+NS/GB,129,24,0
Relicanth WG+AP/AT,480,28,0
Bombirdier SkP+Fl/RT,641,0,32
Swanna G+Fl/AJ,663,0,37
Qwilfish PSt+AT/SB,672,0,39
Drampa DB+Sw/O,417,36,0
Wartortle WG+AJ/IB,756,24,58
Mightyena SkP+Cr/PF,570,4,16
Feraligatr SC+HC/Cr,774,0,62
Lairon MSo+RT/RS,330,16,0
Grimer (Alolan) PJ+Cr/SlB,623,2,28
Murkrow Pk+DrlP/FoP,300,40,0
Revavroom PJ+GB/Ov,474,40,0
Starmie Psy+AJ/PG,730,0,52
Alomomola W+P/HP,774,0,62
Muk (Alolan) PJ+DP/SW,676,6,40
Raticate (Alolan) QA+Cr/HF,483,14,0
Druddigon DT+NS/RT,410,36,0
Kabuto MS+RT/AJ,761,0,59
Baxcalibur DB+GlR/Av,530,44,7
Corsola B+PG/RB,570,20,16
Frigibax DB+Av/DC,530,0,7
Carracosta RTh+BS/AP,241,36,0
Omanyte MS+RT/RB,619,0,27
Bisharp Sn+XS/DP,438,4,0
Duraludon DT+DC/FC,447,4,0
Vaporeon WG+AT/LR,809,0,70
Fraxure DT+NS/DC,487,26,0
Slowbro Cf+DrP/S,493,32,0
Golduck Cf+CrC/Li,707,0,47
Greninja WSh+NS/HC,663,0,37
Omastar MS+RS/HP,951,0,102
Bibarel RO+HF/S,716,0,49
Shellos MSl+BS/MB,902,0,91
Slowpoke Cf+Psh/WP,650,16,34
Haxorus DT+NS/DC,641,72,32
Quaxwell WA+AJ/AA,818,0,72
Bruxish Cf+AT/Psh,346,40,0
Poliwhirl MS+MB/Sc,743,20,55
Tirtouga WG+BS/AP,792,8,66
Brionne Ch+AJ/DV,530,0,7
Croconaw WG+Cr/IP,800,4,68
Prinplup B+IW/Re,796,24,67
Persian (Alolan) FA+FoP/TBl,676,2,40
Linoone (Galarian) Sn+BS/Dg,615,14,26
Seadra DB+DgP/Re,623,0,28
Tentacool PSt+Wr/WP,668,0,38
Slowking Cf+S/P,623,16,28
Zoroark SC+FoP/NSh,393,40,0
Crawdaunt Sn+NS/VG,561,0,14
Mantyke B+AA/WP,871,0,84
Tyrunt DT+RT/DC,561,8,14
Honchkrow Pk+BrB/DP,685,0,42
Skrelp Ac+Tw/AT,654,0,35
Noivern AS+Hu/HW,716,0,49
Octillery LO+WP/GS,907,0,92
Weavile Sn+FoP/Av,809,0,70
Kingler MS+VG/XS,632,0,30
Floatzel W+Sw/AJ,747,0,56
Cloyster IS+Av/Li,188,28,0
Overqwil PSt+SB/DP,783,2,64
Tyrantrum DT+MeB/RT,561,0,14
Sneasel IS+FoP/Av,180,2,0
Huntail WG+AT/Cr,809,0,70
Qwilfish (Hisuian) PSt+SB/DP,783,2,64
Stunky Bi+TBl/Cr,592,8,21
Basculin Tk+AT/AJ,716,0,49
Krabby MS+VG/RSh,628,0,29
Seel L+AT/IW,681,20,41
Varoom PJ+GB/GS,470,40,0
Absol PC+DP/Mh,818,0,72
Clamperl WG+BS/WP,809,0,70
Liepard Sn+DP/PR,809,0,70
Goldeen Pk+AT/HA,646,0,33
Clauncher WG+AJ/Crbh,809,0,70
Totodile WG+AJ/Cr,809,0,70
Wugtrio MSl+Dg/S,871,0,84
Corphish B+VG/AJ,840,0,77
Popplio WG+AT/AJ,809,0,70
Sharpedo W+Cr/PF,699,0,45
Simipour WG+Cr/S,809,0,70
Clawitzer SD+Crbh/DP,535,0,8
Piplup B+DrlP/IW,871,0,84
Drizzile WG+S/WP,809,0,70
Frogadier B+S/AA,840,0,77
Axew Scr+DC/AT,646,84,33
Gorebyss Cf+WP/DK,685,0,42
Inteleon WG+SB/S,716,0,49
