Pokemon,Battle Rating,Energy Remaining,HP Remaining
Metang FC+Psh/GB,403,15,0
Barbaracle FC+CrC/SE,478,3,0
Milotic DT+AT/Wr,282,38,0
Golisopod FC+XS/AJ,342,3,0
Goodra DB+AT/TP,444,96,0
Gyarados DB+Tw/AT,297,14,0
Perrserker SC+CC/TBl,285,62,0
Shelgon DB+Tw/Ft,345,2,0
Pawniard FC+NS/XS,235,3,0
Sliggoo DB+BS/DgP,363,14,0
Altaria DB+M/Ft,286,14,0
Blastoise RO+HC/SkB,508,4,2
Lapras Psy+SpA/DgP,396,27,0
Dewgong IS+IW/DR,191,26,0
Seaking Pk+DR/Mh,369,15,0
Walrein PS+ISp/Eq,211,14,0
Pelipper WA+WBW/Hu,321,3,0
Dragonair DB+AT/Wr,358,2,0
Dewott FC+XS/AT,338,3,0
Dondozo W+O/Li,635,4,32
Kingdra DB+Sw/S,394,14,0
Sandslash (Alolan) PS+DR/IP,148,14,0
Lumineon G+AT/SvW,456,27,0
Bronzong Cf+Psh/WBW,404,3,0
Dragonite DB+SP/TP,429,2,0
Thievul SkP+NS/PR,291,26,0
Zweilous DB+BS/DP,382,14,0
Lokix SkP+XS/TBl,290,49,0
Sealeo PS+BS/S,220,26,0
Dragalge DT+O/AT,327,2,0
Drapion PSt+Cr/AT,313,3,0
Samurott FC+HC/Mh,635,3,32
Castform (Rainy) WG+WBW/T,533,39,8
Wailord RO+S/Re,508,27,2
Malamar Psy+SP/FoP,478,15,0
Politoed MS+WBW/Eq,330,15,0
Kingambit MSo+FoP/XS,250,15,0
Samurott (Hisuian) FC+SSw/XS,382,3,0
Skuntank PJ+TBl/Cr,316,73,0
Arctibax DB+Av/DC,341,2,0
Tentacruel Ac+Sc/Pbk,538,39,9
Skarmory AS+BrB/SA,309,27,0
Salamence DT+Fl/BrS,500,14,0
Aron MSo+RT/BS,346,15,0
Klinklang TS+ZC/MrS,394,27,0
Kabutops FC+SE/AJ,635,3,32
Metagross FC+MM/Eq,635,3,32
Wailmer RO+BS/Sc,487,27,0
Tyranitar DB+BrS/SE,300,14,0
Aggron DT+MeB/RT,198,26,0
Hydreigon DB+BrS/Fl,418,2,0
Sandshrew (Alolan) PS+NS/GB,173,14,0
Relicanth WG+AP/AT,555,4,13
Bombirdier SkP+Fl/RT,316,26,0
Swanna G+Fl/AJ,332,26,0
Qwilfish PSt+AT/SB,455,27,0
Drampa DB+Sw/O,421,2,0
Wartortle WG+AJ/IB,677,4,42
Mightyena SkP+Cr/PF,304,61,0
Feraligatr SC+HC/Cr,368,15,0
Lairon MSo+RT/RS,355,39,0
Grimer (Alolan) PJ+Cr/SlB,321,3,0
Murkrow Pk+DrlP/FoP,440,3,0
Revavroom PJ+GB/Ov,243,26,0
Starmie Psy+AJ/PG,521,3,5
Alomomola W+P/HP,686,4,44
Muk (Alolan) PJ+DP/SW,435,15,0
Raticate (Alolan) QA+Cr/HF,376,27,0
Druddigon DT+NS/RT,427,14,0
Kabuto MS+RT/AJ,813,3,74
Baxcalibur DB+GlR/Av,405,2,0
Corsola B+PG/RB,559,4,14
Frigibax DB+Av/DC,406,2,0
Carracosta RTh+BS/AP,275,26,0
Omanyte MS+RT/RB,485,15,0
Bisharp Sn+XS/DP,423,15,0
Duraludon DT+DC/FC,290,37,0
Vaporeon WG+AT/LR,703,27,48
Fraxure DT+NS/DC,500,14,0
Slowbro Cf+DrP/S,440,15,0
Golduck Cf+CrC/Li,546,3,11
Greninja WSh+NS/HC,567,3,16
Omastar MS+RS/HP,813,3,74
Bibarel RO+HF/S,724,3,53
Shellos MSl+BS/MB,478,15,0
Slowpoke Cf+Psh/WP,546,15,11
Haxorus DT+NS/DC,593,72,22
Quaxwell WA+AJ/AA,673,15,41
Bruxish Cf+AT/Psh,350,26,0
Poliwhirl MS+MB/Sc,538,39,9
Tirtouga WG+BS/AP,376,74,0
Brionne Ch+AJ/DV,227,2,0
Croconaw WG+Cr/IP,703,27,48
Prinplup B+IW/Re,686,4,44
Persian (Alolan) FA+FoP/TBl,447,15,0
Linoone (Galarian) Sn+BS/Dg,529,4,7
Seadra DB+DgP/Re,295,14,0
Tentacool PSt+Wr/WP,362,15,0
Slowking Cf+S/P,521,3,5
Zoroark SC+FoP/NSh,635,100,32
Crawdaunt Sn+NS/VG,463,3,0
Mantyke B+AA/WP,737,4,56
Tyrunt DT+RT/DC,406,14,0
