Pokemon,Battle Rating,Energy Remaining,HP Remaining
Metang FC+Psh/GB,606,0,23
Barbaracle FC+CrC/SE,391,12,0
Milotic DT+AT/Wr,662,0,35
Golisopod FC+XS/AJ,500,0,0
Goodra DB+AT/TP,431,32,0
Gyarados DB+Tw/AT,322,36,0
Perrserker SC+CC/TBl,606,0,23
Shelgon DB+Tw/Ft,434,32,0
Pawniard FC+NS/XS,491,32,0
Sliggoo DB+BS/DgP,648,0,32
Altaria DB+M/Ft,376,16,0
Blastoise RO+HC/SkB,373,28,0
Lapras Psy+SpA/DgP,491,8,0
Dewgong IS+IW/DR,606,40,23
Seaking Pk+DR/Mh,384,24,0
Walrein PS+ISp/Eq,726,0,49
Pelipper WA+WBW/Hu,273,20,0
Dragonair DB+AT/Wr,456,40,0
Dewott FC+XS/AT,527,0,6
Dondozo W+O/Li,555,16,12
Kingdra DB+Sw/S,440,32,0
Sandslash (Alolan) PS+DR/IP,740,0,52
Lumineon G+AT/SvW,386,40,0
Bronzong Cf+Psh/WBW,537,0,8
Dragonite DB+SP/TP,309,20,0
Thievul SkP+NS/PR,699,4,43
Zweilous DB+BS/DP,861,0,78
Lokix SkP+XS/TBl,837,0,73
Sealeo PS+BS/S,699,0,43
Dragalge DT+O/AT,256,16,0
Drapion PSt+Cr/AT,560,0,13
Samurott FC+HC/Mh,452,40,0
Castform (Rainy) WG+WBW/T,373,36,0
Wailord RO+S/Re,377,28,0
Malamar Psy+SP/FoP,861,0,78
Politoed MS+WBW/Eq,685,0,40
Kingambit MSo+FoP/XS,487,40,0
Samurott (Hisuian) FC+SSw/XS,712,0,46
Skuntank PJ+TBl/Cr,560,0,13
Arctibax DB+Av/DC,380,28,0
Tentacruel Ac+Sc/Pbk,419,20,0
Skarmory AS+BrB/SA,239,28,0
Salamence DT+Fl/BrS,282,0,0
Aron MSo+RT/BS,484,40,0
Klinklang TS+ZC/MrS,399,28,0
Kabutops FC+SE/AJ,470,12,0
Metagross FC+MM/Eq,625,24,27
Wailmer RO+BS/Sc,634,0,29
Tyranitar DB+BrS/SE,907,0,88
Aggron DT+MeB/RT,462,16,0
Hydreigon DB+BrS/Fl,861,0,78
Sandshrew (Alolan) PS+NS/GB,606,0,23
Relicanth WG+AP/AT,541,0,9
Bombirdier SkP+Fl/RT,414,12,0
Swanna G+Fl/AJ,268,20,0
Qwilfish PSt+AT/SB,329,40,0
Drampa DB+Sw/O,447,16,0
Wartortle WG+AJ/IB,685,0,40
Mightyena SkP+Cr/PF,861,0,78
Feraligatr SC+HC/Cr,648,0,32
Lairon MSo+RT/RS,483,40,0
Grimer (Alolan) PJ+Cr/SlB,504,0,1
Murkrow Pk+DrlP/FoP,148,40,0
Revavroom PJ+GB/Ov,407,20,0
Starmie Psy+AJ/PG,861,0,78
Alomomola W+P/HP,648,0,32
Muk (Alolan) PJ+DP/SW,398,36,0
Raticate (Alolan) QA+Cr/HF,601,32,22
Druddigon DT+NS/RT,423,16,0
Kabuto MS+RT/AJ,479,16,0
Baxcalibur DB+GlR/Av,448,8,0
Corsola B+PG/RB,380,32,0
Frigibax DB+Av/DC,479,28,0
Carracosta RTh+BS/AP,412,20,0
Omanyte MS+RT/RB,648,28,32
Bisharp Sn+XS/DP,583,20,18
Duraludon DT+DC/FC,352,32,0
Vaporeon WG+AT/LR,574,0,16
Fraxure DT+NS/DC,689,12,41
Slowbro Cf+DrP/S,782,20,61
Golduck Cf+CrC/Li,620,0,26
Greninja WSh+NS/HC,754,0,55
Omastar MS+RS/HP,504,36,1
Bibarel RO+HF/S,648,0,32
Shellos MSl+BS/MB,740,0,52
Slowpoke Cf+Psh/WP,615,24,25
Haxorus DT+NS/DC,717,0,47
Quaxwell WA+AJ/AA,438,40,0
Bruxish Cf+AT/Psh,879,0,82
Poliwhirl MS+MB/Sc,740,0,52
Tirtouga WG+BS/AP,518,0,4
Brionne Ch+AJ/DV,578,0,17
Croconaw WG+Cr/IP,629,0,28
Prinplup B+IW/Re,787,0,62
Persian (Alolan) FA+FoP/TBl,884,0,83
Linoone (Galarian) Sn+BS/Dg,726,12,49
Seadra DB+DgP/Re,477,28,0
Tentacool PSt+Wr/WP,486,16,0
Slowking Cf+S/P,796,20,64
Zoroark SC+FoP/NSh,606,0,23
Crawdaunt Sn+NS/VG,736,0,51
Mantyke B+AA/WP,433,24,0
Tyrunt DT+RT/DC,406,16,0
Honchkrow Pk+BrB/DP,791,0,63
Skrelp Ac+Tw/AT,480,0,0
Noivern AS+Hu/HW,293,32,0
Octillery LO+WP/GS,523,0,5
Weavile Sn+FoP/Av,930,0,93
Kingler MS+VG/XS,717,12,47
Floatzel W+Sw/AJ,708,16,45
Cloyster IS+Av/Li,708,0,45
Overqwil PSt+SB/DP,532,40,7
Tyrantrum DT+MeB/RT,435,16,0
Sneasel IS+FoP/Av,930,0,93
Huntail WG+AT/Cr,625,32,27
Qwilfish (Hisuian) PSt+SB/DP,583,40,18
Stunky Bi+TBl/Cr,615,32,25
Basculin Tk+AT/AJ,657,0,34
Krabby MS+VG/RSh,717,8,47
Seel L+AT/IW,736,0,51
Varoom PJ+GB/GS,611,0,24
Absol PC+DP/Mh,569,0,15
Clamperl WG+BS/WP,638,36,30
Liepard Sn+DP/PR,930,0,93
Goldeen Pk+AT/HA,527,40,6
Clauncher WG+AJ/Crbh,689,0,41
Totodile WG+AJ/Cr,680,0,39
Wugtrio MSl+Dg/S,916,4,90
Corphish B+VG/AJ,717,12,47
Popplio WG+AT/AJ,671,44,37
Sharpedo W+Cr/PF,902,0,87
Simipour WG+Cr/S,648,20,32
Clawitzer SD+Crbh/DP,482,28,0
Piplup B+DrlP/IW,620,0,26
Drizzile WG+S/WP,685,20,40
Frogadier B+S/AA,597,40,21
Axew Scr+DC/AT,504,16,1
Gorebyss Cf+WP/DK,550,28,11
Inteleon WG+SB/S,907,0,88
