Pokemon,Battle Rating,Energy Remaining,HP Remaining
Metang FC+Psh/GB,240,26,0
Barbaracle FC+CrC/SE,213,41,0
Milotic DT+AT/Wr,575,2,27
Golisopod FC+XS/AJ,592,14,33
Goodra DB+AT/TP,578,2,28
Gyarados DB+Tw/AT,487,10,0
Perrserker SC+CC/TBl,214,45,0
Shelgon DB+Tw/Ft,597,2,35
Pawniard FC+NS/XS,277,6,0
Sliggoo DB+BS/DgP,567,2,24
Altaria DB+M/Ft,513,34,5
Blastoise RO+HC/SkB,488,18,0
Lapras Psy+SpA/DgP,377,50,0
Dewgong IS+IW/DR,650,3,54
Seaking Pk+DR/Mh,442,18,0
Walrein PS+ISp/Eq,717,22,78
Pelipper WA+WBW/Hu,513,2,5
Dragonair DB+AT/Wr,600,2,36
Dewott FC+XS/AT,634,6,48
Dondozo W+O/Li,617,3,42
Kingdra DB+Sw/S,553,2,19
Sandslash (Alolan) PS+DR/IP,480,7,0
Lumineon G+AT/SvW,620,14,43
Bronzong Cf+Psh/WBW,266,38,0
Dragonite DB+SP/TP,234,49,0
Thievul SkP+NS/PR,326,14,0
Zweilous DB+BS/DP,432,14,0
Lokix SkP+XS/TBl,114,53,0
Sealeo PS+BS/S,600,3,36
Dragalge DT+O/AT,731,2,83
Drapion PSt+Cr/AT,334,22,0
Samurott FC+HC/Mh,639,2,50
Castform (Rainy) WG+WBW/T,508,14,3
Wailord RO+S/Re,505,2,2
Malamar Psy+SP/FoP,298,6,0
Politoed MS+WBW/Eq,606,2,38
Kingambit MSo+FoP/XS,270,14,0
Samurott (Hisuian) FC+SSw/XS,109,57,0
Skuntank PJ+TBl/Cr,174,53,0
Arctibax DB+Av/DC,575,2,27
Tentacruel Ac+Sc/Pbk,611,6,40
Skarmory AS+BrB/SA,243,30,0
Salamence DT+Fl/BrS,550,2,18
Aron MSo+RT/BS,220,30,0
Klinklang TS+ZC/MrS,134,53,0
Kabutops FC+SE/AJ,250,45,0
Metagross FC+MM/Eq,298,6,0
Wailmer RO+BS/Sc,481,6,0
Tyranitar DB+BrS/SE,104,41,0
Aggron DT+MeB/RT,259,6,0
Hydreigon DB+BrS/Fl,125,57,0
Sandshrew (Alolan) PS+NS/GB,564,30,23
Relicanth WG+AP/AT,430,58,0
Bombirdier SkP+Fl/RT,307,6,0
Swanna G+Fl/AJ,505,2,2
Qwilfish PSt+AT/SB,631,2,47
Drampa DB+Sw/O,230,49,0
Wartortle WG+AJ/IB,698,18,71
Mightyena SkP+Cr/PF,349,26,0
Feraligatr SC+HC/Cr,513,2,5
Lairon MSo+RT/RS,250,38,0
Grimer (Alolan) PJ+Cr/SlB,525,6,9
Murkrow Pk+DrlP/FoP,400,14,0
Revavroom PJ+GB/Ov,415,10,0
Starmie Psy+AJ/PG,254,49,0
Alomomola W+P/HP,650,3,54
Muk (Alolan) PJ+DP/SW,712,6,76
Raticate (Alolan) QA+Cr/HF,360,26,0
Druddigon DT+NS/RT,519,2,7
Kabuto MS+RT/AJ,572,6,26
Baxcalibur DB+GlR/Av,754,2,91
Corsola B+PG/RB,444,38,0
Frigibax DB+Av/DC,569,2,25
Carracosta RTh+BS/AP,237,57,0
Omanyte MS+RT/RB,684,2,66
Bisharp Sn+XS/DP,314,10,0
Duraludon DT+DC/FC,561,2,22
Vaporeon WG+AT/LR,642,2,51
Fraxure DT+NS/DC,550,2,18
Slowbro Cf+DrP/S,343,14,0
Golduck Cf+CrC/Li,472,22,0
Greninja WSh+NS/HC,408,18,0
Omastar MS+RS/HP,581,10,29
Bibarel RO+HF/S,608,6,39
Shellos MSl+BS/MB,695,2,70
Slowpoke Cf+Psh/WP,376,38,0
Haxorus DT+NS/DC,513,2,5
Quaxwell WA+AJ/AA,606,2,38
Bruxish Cf+AT/Psh,519,2,7
Poliwhirl MS+MB/Sc,662,10,58
Tirtouga WG+BS/AP,558,54,21
Brionne Ch+AJ/DV,581,2,29
Croconaw WG+Cr/IP,681,2,65
Prinplup B+IW/Re,787,18,103
Persian (Alolan) FA+FoP/TBl,338,26,0
Linoone (Galarian) Sn+BS/Dg,305,42,0
Seadra DB+DgP/Re,754,2,91
Tentacool PSt+Wr/WP,620,2,43
Slowking Cf+S/P,544,10,16
Zoroark SC+FoP/NSh,495,14,0
Crawdaunt Sn+NS/VG,578,2,28
Mantyke B+AA/WP,756,2,92
Tyrunt DT+RT/DC,457,2,0
Honchkrow Pk+BrB/DP,196,57,0
Skrelp Ac+Tw/AT,684,2,66
Noivern AS+Hu/HW,796,2,106
Octillery LO+WP/GS,645,2,52
Weavile Sn+FoP/Av,505,2,2
Kingler MS+VG/XS,717,2,78
Floatzel W+Sw/AJ,695,2,70
Cloyster IS+Av/Li,821,2,115
Overqwil PSt+SB/DP,608,18,39
Tyrantrum DT+MeB/RT,245,57,0
Sneasel IS+FoP/Av,706,2,74
Huntail WG+AT/Cr,695,2,70
Qwilfish (Hisuian) PSt+SB/DP,614,22,41
Stunky Bi+TBl/Cr,617,2,42
Basculin Tk+AT/AJ,650,2,54
Krabby MS+VG/RSh,659,2,57
Seel L+AT/IW,745,10,88
Varoom PJ+GB/GS,550,2,18
Absol PC+DP/Mh,578,2,28
Clamperl WG+BS/WP,731,2,83
Liepard Sn+DP/PR,628,2,46
Goldeen Pk+AT/HA,684,10,66
Clauncher WG+AJ/Crbh,726,2,81
Totodile WG+AJ/Cr,687,2,67
Wugtrio MSl+Dg/S,608,2,39
Corphish B+VG/AJ,723,2,80
Popplio WG+AT/AJ,765,2,95
Sharpedo W+Cr/PF,572,2,26
Simipour WG+Cr/S,835,2,120
Clawitzer SD+Crbh/DP,645,2,52
Piplup B+DrlP/IW,776,2,99
Drizzile WG+S/WP,835,2,120
Frogadier B+S/AA,743,2,87
Axew Scr+DC/AT,673,2,62
Gorebyss Cf+WP/DK,743,2,87
Inteleon WG+SB/S,835,2,120
