Pokemon,Battle Rating,Energy Remaining,HP Remaining
Metang FC+Psh/GB,77,32,0
Barbaracle FC+CrC/SE,117,24,0
Milotic DT+AT/Wr,492,6,0
Golisopod FC+XS/AJ,125,24,0
Goodra DB+AT/TP,358,48,0
Gyarados DB+Tw/AT,272,48,0
Perrserker SC+CC/TBl,117,32,0
Shelgon DB+Tw/Ft,243,32,0
Pawniard FC+NS/XS,138,24,0
Sliggoo DB+BS/DgP,273,40,0
Altaria DB+M/Ft,217,40,0
Blastoise RO+HC/SkB,184,48,0
Lapras Psy+SpA/DgP,438,14,0
Dewgong IS+IW/DR,407,14,0
Seaking Pk+DR/Mh,199,40,0
Walrein PS+ISp/Eq,194,48,0
Pelipper WA+WBW/Hu,195,40,0
Dragonair DB+AT/Wr,314,40,0
Dewott FC+XS/AT,110,24,0
Dondozo W+O/Li,160,48,0
Kingdra DB+Sw/S,237,32,0
Sandslash (Alolan) PS+DR/IP,168,56,0
Lumineon G+AT/SvW,145,40,0
Bronzong Cf+Psh/WBW,674,6,45
Dragonite DB+SP/TP,225,24,0
Thievul SkP+NS/PR,354,48,0
Zweilous DB+BS/DP,546,48,12
Lokix SkP+XS/TBl,278,32,0
Sealeo PS+BS/S,178,48,0
Dragalge DT+O/AT,176,40,0
Drapion PSt+Cr/AT,203,48,0
Samurott FC+HC/Mh,121,24,0
Castform (Rainy) WG+WBW/T,215,56,0
Wailord RO+S/Re,215,48,0
Malamar Psy+SP/FoP,161,24,0
Politoed MS+WBW/Eq,194,48,0
Kingambit MSo+FoP/XS,161,32,0
Samurott (Hisuian) FC+SSw/XS,215,24,0
Skuntank PJ+TBl/Cr,227,48,0
Arctibax DB+Av/DC,238,32,0
Tentacruel Ac+Sc/Pbk,95,40,0
Skarmory AS+BrB/SA,363,6,0
Salamence DT+Fl/BrS,324,32,0
Aron MSo+RT/BS,137,48,0
Klinklang TS+ZC/MrS,144,48,0
Kabutops FC+SE/AJ,147,24,0
Metagross FC+MM/Eq,115,32,0
Wailmer RO+BS/Sc,495,6,0
Tyranitar DB+BrS/SE,333,40,0
Aggron DT+MeB/RT,117,40,0
Hydreigon DB+BrS/Fl,503,40,1
Sandshrew (Alolan) PS+NS/GB,118,40,0
Relicanth WG+AP/AT,453,14,0
Bombirdier SkP+Fl/RT,320,40,0
Swanna G+Fl/AJ,164,32,0
Qwilfish PSt+AT/SB,170,48,0
Drampa DB+Sw/O,369,40,0
Wartortle WG+AJ/IB,172,48,0
Mightyena SkP+Cr/PF,593,6,24
Feraligatr SC+HC/Cr,503,6,1
Lairon MSo+RT/RS,122,48,0
Grimer (Alolan) PJ+Cr/SlB,190,40,0
Murkrow Pk+DrlP/FoP,244,24,0
Revavroom PJ+GB/Ov,105,40,0
Starmie Psy+AJ/PG,523,6,6
Alomomola W+P/HP,346,6,0
Muk (Alolan) PJ+DP/SW,236,56,0
Raticate (Alolan) QA+Cr/HF,466,6,0
Druddigon DT+NS/RT,452,56,0
Kabuto MS+RT/AJ,281,48,0
Baxcalibur DB+GlR/Av,224,24,0
Corsola B+PG/RB,208,56,0
Frigibax DB+Av/DC,281,32,0
Carracosta RTh+BS/AP,225,48,0
Omanyte MS+RT/RB,267,48,0
Bisharp Sn+XS/DP,333,56,0
Duraludon DT+DC/FC,238,40,0
Vaporeon WG+AT/LR,218,48,0
Fraxure DT+NS/DC,423,40,0
Slowbro Cf+DrP/S,655,6,40
Golduck Cf+CrC/Li,569,6,18
Greninja WSh+NS/HC,391,40,0
Omastar MS+RS/HP,247,48,0
Bibarel RO+HF/S,258,56,0
Shellos MSl+BS/MB,596,14,25
Slowpoke Cf+Psh/WP,596,6,25
Haxorus DT+NS/DC,461,40,0
Quaxwell WA+AJ/AA,503,6,1
Bruxish Cf+AT/Psh,585,6,22
Poliwhirl MS+MB/Sc,493,6,0
Tirtouga WG+BS/AP,207,48,0
Brionne Ch+AJ/DV,206,40,0
Croconaw WG+Cr/IP,259,56,0
Prinplup B+IW/Re,515,14,4
Persian (Alolan) FA+FoP/TBl,596,6,25
Linoone (Galarian) Sn+BS/Dg,689,6,49
Seadra DB+DgP/Re,227,40,0
Tentacool PSt+Wr/WP,438,6,0
Slowking Cf+S/P,573,6,19
Zoroark SC+FoP/NSh,624,48,32
Crawdaunt Sn+NS/VG,616,56,30
Mantyke B+AA/WP,458,14,0
Tyrunt DT+RT/DC,329,40,0
Honchkrow Pk+BrB/DP,448,40,0
Skrelp Ac+Tw/AT,165,48,0
Noivern AS+Hu/HW,444,56,0
Octillery LO+WP/GS,214,40,0
Weavile Sn+FoP/Av,320,32,0
Kingler MS+VG/XS,161,24,0
Floatzel W+Sw/AJ,210,32,0
Cloyster IS+Av/Li,188,40,0
Overqwil PSt+SB/DP,569,6,18
Tyrantrum DT+MeB/RT,344,40,0
Sneasel IS+FoP/Av,360,40,0
Huntail WG+AT/Cr,259,48,0
