Pokemon,Battle Rating,Energy Remaining,HP Remaining
Metang FC+Psh/GB,575,5,18
Barbaracle FC+CrC/SE,321,44,0
Milotic DT+AT/Wr,225,52,0
Golisopod FC+XS/AJ,217,20,0
Goodra DB+AT/TP,316,44,0
Gyarados DB+Tw/AT,272,28,0
Perrserker SC+CC/TBl,222,36,0
Shelgon DB+Tw/Ft,353,36,0
Pawniard FC+NS/XS,310,44,0
Sliggoo DB+BS/DgP,273,36,0
Altaria DB+M/Ft,647,10,35
Blastoise RO+HC/SkB,215,44,0
Lapras Psy+SpA/DgP,243,36,0
Dewgong IS+IW/DR,366,2,0
Seaking Pk+DR/Mh,224,20,0
Walrein PS+ISp/Eq,529,2,7
Pelipper WA+WBW/Hu,256,52,0
Dragonair DB+AT/Wr,362,44,0
Dewott FC+XS/AT,248,44,0
Dondozo W+O/Li,208,52,0
Kingdra DB+Sw/S,199,20,0
Sandslash (Alolan) PS+DR/IP,248,20,0
Lumineon G+AT/SvW,368,10,0
Bronzong Cf+Psh/WBW,208,28,0
Dragonite DB+SP/TP,340,20,0
Thievul SkP+NS/PR,263,4,0
Zweilous DB+BS/DP,275,20,0
Lokix SkP+XS/TBl,299,46,0
Sealeo PS+BS/S,229,20,0
Dragalge DT+O/AT,309,36,0
Drapion PSt+Cr/AT,313,44,0
Samurott FC+HC/Mh,481,2,0
Castform (Rainy) WG+WBW/T,191,44,0
Wailord RO+S/Re,371,2,0
Malamar Psy+SP/FoP,276,20,0
Politoed MS+WBW/Eq,147,4,0
Kingambit MSo+FoP/XS,189,20,0
Samurott (Hisuian) FC+SSw/XS,280,44,0
Skuntank PJ+TBl/Cr,831,2,79
Arctibax DB+Av/DC,722,100,53
Tentacruel Ac+Sc/Pbk,389,18,0
Skarmory AS+BrB/SA,718,5,52
Salamence DT+Fl/BrS,388,50,0
Aron MSo+RT/BS,592,2,22
Klinklang TS+ZC/MrS,254,36,0
Kabutops FC+SE/AJ,377,20,0
Metagross FC+MM/Eq,495,2,0
Wailmer RO+BS/Sc,179,36,0
Tyranitar DB+BrS/SE,764,100,63
Aggron DT+MeB/RT,714,2,51
Hydreigon DB+BrS/Fl,413,100,0
Sandshrew (Alolan) PS+NS/GB,381,52,0
Relicanth WG+AP/AT,243,44,0
Bombirdier SkP+Fl/RT,277,7,0
Swanna G+Fl/AJ,276,44,0
Qwilfish PSt+AT/SB,284,36,0
Drampa DB+Sw/O,452,36,0
Wartortle WG+AJ/IB,212,52,0
Mightyena SkP+Cr/PF,323,12,0
Feraligatr SC+HC/Cr,188,20,0
Lairon MSo+RT/RS,592,2,22
Grimer (Alolan) PJ+Cr/SlB,831,2,79
Murkrow Pk+DrlP/FoP,418,45,0
Revavroom PJ+GB/Ov,831,2,79
Starmie Psy+AJ/PG,206,62,0
Alomomola W+P/HP,277,2,0
Muk (Alolan) PJ+DP/SW,831,2,79
Raticate (Alolan) QA+Cr/HF,521,2,5
Druddigon DT+NS/RT,414,52,0
Kabuto MS+RT/AJ,395,70,0
Baxcalibur DB+GlR/Av,764,62,63
Corsola B+PG/RB,276,44,0
Frigibax DB+Av/DC,756,100,61
Carracosta RTh+BS/AP,592,2,22
Omanyte MS+RT/RB,287,12,0
Bisharp Sn+XS/DP,276,12,0
Duraludon DT+DC/FC,663,2,39
Vaporeon WG+AT/LR,224,44,0
Fraxure DT+NS/DC,385,50,0
Slowbro Cf+DrP/S,177,44,0
Golduck Cf+CrC/Li,193,28,0
Greninja WSh+NS/HC,230,54,0
Omastar MS+RS/HP,353,20,0
Bibarel RO+HF/S,248,44,0
Shellos MSl+BS/MB,123,30,0
Slowpoke Cf+Psh/WP,198,44,0
Haxorus DT+NS/DC,446,20,0
Quaxwell WA+AJ/AA,268,44,0
Bruxish Cf+AT/Psh,226,54,0
Poliwhirl MS+MB/Sc,158,20,0
Tirtouga WG+BS/AP,284,44,0
Brionne Ch+AJ/DV,773,5,65
Croconaw WG+Cr/IP,218,52,0
Prinplup B+IW/Re,316,2,0
Persian (Alolan) FA+FoP/TBl,345,44,0
Linoone (Galarian) Sn+BS/Dg,250,15,0
Seadra DB+DgP/Re,647,5,35
Tentacool PSt+Wr/WP,668,5,40
Slowking Cf+S/P,173,28,0
Zoroark SC+FoP/NSh,663,100,39
Crawdaunt Sn+NS/VG,321,36,0
Mantyke B+AA/WP,383,2,0
Tyrunt DT+RT/DC,714,94,51
Honchkrow Pk+BrB/DP,634,94,32
Skrelp Ac+Tw/AT,655,2,37
Noivern AS+Hu/HW,663,2,39
Octillery LO+WP/GS,289,44,0
Weavile Sn+FoP/Av,815,96,75
Kingler MS+VG/XS,220,4,0
Floatzel W+Sw/AJ,266,62,0
Cloyster IS+Av/Li,663,2,39
Overqwil PSt+SB/DP,563,2,15
Tyrantrum DT+MeB/RT,739,100,57
Sneasel IS+FoP/Av,789,100,69
Huntail WG+AT/Cr,269,44,0
Qwilfish (Hisuian) PSt+SB/DP,571,2,17
Stunky Bi+TBl/Cr,289,62,0
Basculin Tk+AT/AJ,286,44,0
Krabby MS+VG/RSh,217,54,0
Seel L+AT/IW,365,10,0
Varoom PJ+GB/GS,831,2,79
Absol PC+DP/Mh,756,100,61
Clamperl WG+BS/WP,266,44,0
Liepard Sn+DP/PR,426,44,0
Goldeen Pk+AT/HA,558,2,14
Clauncher WG+AJ/Crbh,232,52,0
Totodile WG+AJ/Cr,504,2,1
Wugtrio MSl+Dg/S,155,56,0
Corphish B+VG/AJ,299,36,0
Popplio WG+AT/AJ,291,44,0
Sharpedo W+Cr/PF,289,46,0
Simipour WG+Cr/S,226,62,0
Clawitzer SD+Crbh/DP,663,5,39
Piplup B+DrlP/IW,396,2,0
Drizzile WG+S/WP,222,62,0
Frogadier B+S/AA,317,52,0
Axew Scr+DC/AT,479,52,0
Gorebyss Cf+WP/DK,250,28,0
Inteleon WG+SB/S,266,62,0
