Pokemon,Battle Rating,Energy Remaining,HP Remaining
Metang FC+Psh/GB,453,0,0
Barbaracle FC+CrC/SE,503,0,1
Milotic DT+AT/Wr,267,56,0
Golisopod FC+XS/AJ,462,0,0
Goodra DB+AT/TP,256,36,0
Gyarados DB+Tw/AT,247,36,0
Perrserker SC+CC/TBl,639,0,38
Shelgon DB+Tw/Ft,661,0,44
Pawniard FC+NS/XS,373,36,0
Sliggoo DB+BS/DgP,250,44,0
Altaria DB+M/Ft,551,1,14
Blastoise RO+HC/SkB,292,68,0
Lapras Psy+SpA/DgP,413,16,0
Dewgong IS+IW/DR,562,4,17
Seaking Pk+DR/Mh,716,0,59
Walrein PS+ISp/Eq,727,24,62
Pelipper WA+WBW/Hu,473,16,0
Dragonair DB+AT/Wr,362,40,0
Dewott FC+XS/AT,298,36,0
Dondozo W+O/Li,705,5,56
Kingdra DB+Sw/S,262,40,0
Sandslash (Alolan) PS+DR/IP,562,8,17
Lumineon G+AT/SvW,405,24,0
Bronzong Cf+Psh/WBW,495,8,0
Dragonite DB+SP/TP,274,40,0
Thievul SkP+NS/PR,551,100,14
Zweilous DB+BS/DP,503,0,1
Lokix SkP+XS/TBl,479,33,0
Sealeo PS+BS/S,470,28,0
Dragalge DT+O/AT,455,12,0
Drapion PSt+Cr/AT,536,0,10
Samurott FC+HC/Mh,500,0,0
Castform (Rainy) WG+WBW/T,735,16,64
Wailord RO+S/Re,547,1,13
Malamar Psy+SP/FoP,750,96,68
Politoed MS+WBW/Eq,478,0,0
Kingambit MSo+FoP/XS,772,0,74
Samurott (Hisuian) FC+SSw/XS,716,100,59
Skuntank PJ+TBl/Cr,540,0,11
Arctibax DB+Av/DC,617,12,32
Tentacruel Ac+Sc/Pbk,305,76,0
Skarmory AS+BrB/SA,584,0,23
Salamence DT+Fl/BrS,247,32,0
Aron MSo+RT/BS,676,0,48
Klinklang TS+ZC/MrS,580,0,22
Kabutops FC+SE/AJ,450,40,0
Metagross FC+MM/Eq,650,0,41
Wailmer RO+BS/Sc,293,60,0
Tyranitar DB+BrS/SE,470,60,0
Aggron DT+MeB/RT,709,16,57
Hydreigon DB+BrS/Fl,595,29,26
Sandshrew (Alolan) PS+NS/GB,632,0,36
Relicanth WG+AP/AT,511,0,3
Bombirdier SkP+Fl/RT,551,0,14
Swanna G+Fl/AJ,432,8,0
Qwilfish PSt+AT/SB,243,36,0
Drampa DB+Sw/O,373,32,0
Wartortle WG+AJ/IB,555,0,15
Mightyena SkP+Cr/PF,458,40,0
Feraligatr SC+HC/Cr,716,0,59
Lairon MSo+RT/RS,827,0,89
Grimer (Alolan) PJ+Cr/SlB,606,0,29
Murkrow Pk+DrlP/FoP,451,40,0
Revavroom PJ+GB/Ov,462,0,0
Starmie Psy+AJ/PG,639,100,38
Alomomola W+P/HP,661,20,44
Muk (Alolan) PJ+DP/SW,584,0,23
Raticate (Alolan) QA+Cr/HF,716,0,59
Druddigon DT+NS/RT,393,40,0
Kabuto MS+RT/AJ,658,0,43
Baxcalibur DB+GlR/Av,401,40,0
Corsola B+PG/RB,507,32,2
Frigibax DB+Av/DC,650,0,41
Carracosta RTh+BS/AP,525,0,7
Omanyte MS+RT/RB,643,0,39
Bisharp Sn+XS/DP,438,40,0
Duraludon DT+DC/FC,625,0,34
Vaporeon WG+AT/LR,602,28,28
Fraxure DT+NS/DC,364,32,0
Slowbro Cf+DrP/S,551,16,14
Golduck Cf+CrC/Li,658,0,43
Greninja WSh+NS/HC,647,100,40
Omastar MS+RS/HP,827,0,89
Bibarel RO+HF/S,750,8,68
Shellos MSl+BS/MB,481,24,0
Slowpoke Cf+Psh/WP,658,0,43
Haxorus DT+NS/DC,417,32,0
Quaxwell WA+AJ/AA,716,0,59
Bruxish Cf+AT/Psh,558,100,16
Poliwhirl MS+MB/Sc,628,16,35
Tirtouga WG+BS/AP,735,16,64
Brionne Ch+AJ/DV,628,0,35
Croconaw WG+Cr/IP,757,4,70
Prinplup B+IW/Re,753,1,69
Persian (Alolan) FA+FoP/TBl,610,0,30
Linoone (Galarian) Sn+BS/Dg,628,0,35
Seadra DB+DgP/Re,643,0,39
Tentacool PSt+Wr/WP,547,28,13
Slowking Cf+S/P,606,0,29
Zoroark SC+FoP/NSh,738,84,65
Crawdaunt Sn+NS/VG,860,88,98
Mantyke B+AA/WP,599,29,27
Tyrunt DT+RT/DC,661,4,44
Honchkrow Pk+BrB/DP,584,0,23
Skrelp Ac+Tw/AT,472,20,0
Noivern AS+Hu/HW,562,1,17
Octillery LO+WP/GS,878,0,103
Weavile Sn+FoP/Av,816,100,86
Kingler MS+VG/XS,838,100,92
Floatzel W+Sw/AJ,698,0,54
Cloyster IS+Av/Li,772,4,74
Overqwil PSt+SB/DP,716,0,59
Tyrantrum DT+MeB/RT,606,0,29
Sneasel IS+FoP/Av,816,100,86
Huntail WG+AT/Cr,757,4,70
Qwilfish (Hisuian) PSt+SB/DP,772,0,74
Stunky Bi+TBl/Cr,312,40,0
Basculin Tk+AT/AJ,650,0,41
Krabby MS+VG/RSh,838,100,92
Seel L+AT/IW,606,0,29
Varoom PJ+GB/GS,487,28,0
Absol PC+DP/Mh,812,88,85
Clamperl WG+BS/WP,750,8,68
Liepard Sn+DP/PR,819,100,87
Goldeen Pk+AT/HA,602,0,28
Clauncher WG+AJ/Crbh,764,0,72
Totodile WG+AJ/Cr,764,0,72
Wugtrio MSl+Dg/S,595,100,26
Corphish B+VG/AJ,772,0,74
Popplio WG+AT/AJ,764,0,72
Sharpedo W+Cr/PF,830,72,90
Simipour WG+Cr/S,764,0,72
Clawitzer SD+Crbh/DP,628,0,35
Piplup B+DrlP/IW,808,0,84
Drizzile WG+S/WP,764,0,72
Frogadier B+S/AA,772,0,74
Axew Scr+DC/AT,514,0,4
Gorebyss Cf+WP/DK,555,0,15
Inteleon WG+SB/S,636,0,37
