Pokemon,Battle Rating,Energy Remaining,HP Remaining
Absol PC+DP/Mh,880,100,95
Aggron DT+MeB/RT,832,0,83
Alomomola W+P/HP,441,40,0
Altaria DB+M/Ft,780,100,70
Arctibax DB+Av/DC,728,8,57
Aron MSo+RT/BS,688,0,47
Axew Scr+DC/AT,804,56,76
Barbaracle FC+CrC/SE,191,32,0
Basculin Tk+AT/AJ,536,24,9
Baxcalibur DB+GlR/Av,744,0,61
Bibarel RO+HF/S,516,0,4
Bisharp Sn+XS/DP,528,0,7
Blastoise RO+HC/SkB,388,40,0
Bombirdier SkP+Fl/RT,632,0,33
Brionne Ch+AJ/DV,712,0,53
Bronzong Cf+Psh/WBW,580,0,20
Bruxish Cf+AT/Psh,560,8,15
Carracosta RTh+BS/AP,540,16,10
Castform (Rainy) WG+WBW/T,504,0,1
Clamperl WG+BS/WP,452,16,0
Clauncher WG+AJ/Crbh,671,40,43
Clawitzer SD+Crbh/DP,644,8,36
Cloyster IS+Av/Li,824,0,81
Corphish B+Bd/AJ,712,0,53
Corsola B+PG/RB,432,24,0
Crawdaunt Sn+NS/Bd,620,0,30
Croconaw WG+Cr/IP,381,32,0
Dewgong IS+IW/DR,407,32,0
Dewott FC+XS/AT,426,24,0
Dondozo W+O/Li,481,0,0
Dragalge DT+O/AT,704,0,51
Dragonair DB+AT/Wr,624,100,31
Dragonite DB+SP/TP,860,72,90
Drampa DB+Sw/O,808,100,77
Drapion PSt+Cr/AT,683,0,46
Drizzile WG+S/WP,576,16,19
Druddigon DT+NS/RT,812,100,78
Duraludon DT+DC/FC,792,0,73
Feraligatr SC+HC/Cr,380,8,0
Floatzel W+Sw/AJ,592,0,23
Fraxure DT+NS/DC,852,96,88
Frigibax DB+Av/DC,744,0,61
Frogadier B+S/AA,683,16,46
Goldeen Pk+AT/HA,636,16,34
Golduck Cf+CrC/Li,426,0,0
Golisopod FC+XS/AJ,379,24,0
Goodra DB+AT/TP,620,0,30
Gorebyss Cf+WP/DK,740,24,60
Greninja WSh+NS/HC,628,0,32
Grimer (Alolan) PJ+Cr/SlB,872,0,93
Gyarados DB+Tw/AT,580,0,20
Haxorus DT+NS/DC,872,88,93
Honchkrow Pk+BrB/DP,820,96,80
Huntail WG+AT/Cr,456,16,0
Hydreigon DB+BrS/Fl,800,100,75
Inteleon WG+SB/S,604,0,26
Kabuto MS+RT/AJ,752,0,63
Kabutops FC+SE/AJ,744,0,61
Kingambit MSo+FoP/XS,556,0,14
Kingdra DB+Sw/S,744,0,61
Kingler MS+Bd/XS,548,0,12
Klinklang TS+ZC/MrS,812,0,78
Krabby MS+Bd/RSh,336,40,0
Lairon MSo+RT/RS,449,24,0
Lapras Psy+SpA/DgP,391,16,0
Liepard Sn+DP/PR,792,0,73
Linoone (Galarian) Sn+BS/Dg,532,0,8
Lokix SkP+XS/TBl,524,0,6
Lumineon G+AT/SvW,608,0,27
Malamar Psy+SP/FoP,464,8,0
Mantyke B+AA/WP,540,0,10
Metagross FC+MM/Eq,744,0,61
Metang FC+Psh/GB,620,0,30
Mightyena SkP+Cr/PF,560,0,15
Milotic DT+AT/Wr,389,40,0
Muk (Alolan) PJ+DP/SW,872,0,93
Murkrow Pk+DrlP/FoP,816,100,79
Noivern G+Hu/HW,868,80,92
Octillery LO+WP/GS,592,32,23
Omanyte MS+RT/RB,671,0,43
Omastar MS+RS/HP,812,0,78
Overqwil PSt+SB/DP,872,0,93
Pawniard FC+NS/XS,596,0,24
Pelipper WA+WBW/Hu,648,0,37
Perrserker SC+CC/TBl,700,0,50
Persian (Alolan) FA+FoP/TBl,632,16,33
Piplup B+DrlP/IW,640,0,35
Politoed MS+WBW/Eq,323,0,0
Poliwhirl MS+MB/Sc,520,0,5
Popplio WG+AT/AJ,564,24,16
Prinplup B+IW/Re,488,16,0
Quaxwell WA+AJ/AA,481,40,0
Qwilfish PSt+AT/SB,624,0,31
Qwilfish (Hisuian) PSt+SB/DP,872,0,93
Raticate (Alolan) QA+Cr/HF,656,0,39
Relicanth WG+AP/AT,524,0,6
Revavroom PJ+GB/Ov,812,0,78
Salamence DT+Fl/BrS,896,64,99
Samurott FC+HC/Mh,437,8,0
Samurott (Hisuian) FC+SSw/XS,219,32,0
